energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.50175088,9.87964907,1.23184480,7.53700020,0.03428230,0.08785778,1.93573419,0.00000000
-5.49574787,9.74353868,1.21707326,7.40414222,0.03471974,0.08725063,1.92421358,0.00000000
-5.48974487,9.58637101,1.19950555,7.25697390,0.03501542,0.08670792,1.90705828,0.00000000
-5.48374187,9.40828529,1.17929624,7.09559389,0.03516398,0.08623646,1.88429541,0.00000000
-5.47773887,9.20995882,1.15668983,6.92048195,0.03516309,0.08584616,1.85607656,0.00000000
-5.47173587,8.99260184,1.13201527,6.73249940,0.03501353,0.08555005,1.82267479,0.00000000
-5.46573287,8.75792611,1.10567718,6.53286905,0.03471902,0.08536401,1.78447691,0.00000000
-5.45972986,8.50808914,1.07814407,6.32313607,0.03428605,0.08530623,1.74197141,0.00000000
-5.45372686,8.24561763,1.04993389,6.10511255,0.03372357,0.08539659,1.69573286,0.00000000
-5.44772386,7.97331453,1.02159772,5.88080920,0.03304255,0.08565575,1.64640305,0.00000000
-5.44172086,7.69415514,0.99370193,5.65235860,0.03225556,0.08610417,1.59467031,0.00000000
-5.43571786,7.41117802,0.96680967,5.42193440,0.03137622,0.08676104,1.54124742,0.00000000
-5.42971486,7.12737679,0.94146233,5.19167131,0.03041874,0.08764316,1.48684957,0.00000000
-5.42371186,6.84559824,0.91816149,4.96359037,0.02939737,0.08876389,1.43217302,0.00000000
-5.41770885,6.56845197,0.89735225,4.73953308,0.02832597,0.09013211,1.37787552,0.00000000
-5.41170585,6.29823558,0.87940821,4.52110800,0.02721763,0.09175131,1.32455919,0.00000000
-5.40570285,6.03687825,0.86461881,4.30965171,0.02608431,0.09361888,1.27275643,0.00000000
-5.39969985,5.78590471,0.85317935,4.10620540,0.02493667,0.09572551,1.22291934,0.00000000
-5.39369685,5.54641967,0.84518395,3.91150750,0.02378386,0.09805485,1.17541279,0.00000000
-5.38769385,5.31911222,0.84062175,3.72600115,0.02263355,0.10058335,1.13051112,0.00000000
-5.38169085,5.10427806,0.83937636,3.54985524,0.02149192,0.10328038,1.08839843,0.00000000
-5.37568784,4.90185694,0.84122867,3.38299639,0.02036379,0.10610854,1.04917186,0.00000000
-5.36968484,4.71148178,0.84586279,3.22514907,0.01925278,0.10902418,1.01284769,0.00000000
-5.36368184,4.53253581,0.85287509,3.07588098,0.01816154,0.11197822,0.97936948,0.00000000
-5.35767884,4.36421391,0.86178598,2.93465024,0.01709196,0.11491703,0.94861786,0.00000000
-5.35167584,4.20558447,0.87205413,2.80085189,0.01604542,0.11778364,0.92042124,0.00000000
-5.34567284,4.05564866,0.88309269,2.67386083,0.01502301,0.12051900,0.89456701,0.00000000
-5.33966983,3.91339454,0.89428716,2.55306950,0.01402572,0.12306339,0.87081278,0.00000000
-5.33366683,3.77784401,0.90501417,2.43791865,0.01305462,0.12535796,0.84889724,0.00000000
-5.32766383,3.64809163,0.91466082,2.32792075,0.01211095,0.12734632,0.82855034,0.00000000
-5.32166083,3.52333468,0.92264387,2.22267562,0.01119622,0.12897610,0.80950270,0.00000000
-5.31565783,3.40289485,0.92842818,2.12187885,0.01031222,0.13020057,0.79149410,0.00000000
-5.30965483,3.28623212,0.93154382,2.02532397,0.00946103,0.13098009,0.77428095,0.00000000
-5.30365183,3.17295196,0.93160121,1.93289923,0.00864494,0.13128352,0.75764288,0.00000000
-5.29764882,3.06280714,0.92830384,1.84458071,0.00786642,0.13108940,0.74138833,0.00000000
