energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
1.78589295,2.67673487,0.14951691,0.00000000,0.12350188,0.36019831,0.90359050,2.39772906
1.79189595,2.64406685,0.14917911,0.00000000,0.12113472,0.35204619,0.89345462,2.37298310
1.79789895,2.60887097,0.14911618,0.00000000,0.11853317,0.34260787,0.88192788,2.34710196
1.80390195,2.57274409,0.14939782,0.00000000,0.11575544,0.33212497,0.86948126,2.32153623
1.80990495,2.53732758,0.15008723,0.00000000,0.11285948,0.32086077,0.85658569,2.29777393
1.81590795,2.50425428,0.15123849,0.00000000,0.10990091,0.30909229,0.84369522,2.27729302
1.82191096,2.47509919,0.15289437,0.00000000,0.10693132,0.29710246,0.83123232,2.26151719
1.82791396,2.45133595,0.15508474,0.00000000,0.10399693,0.28517265,0.81957597,2.25177666
1.83391696,2.43430041,0.15782573,0.00000000,0.10113753,0.27357585,0.80905288,2.24927519
1.83991996,2.42516252,0.16111943,0.00000000,0.09838599,0.26257073,0.79993217,2.25506439
1.84592296,2.42490675,0.16495438,0.00000000,0.09576809,0.25239663,0.79242341,2.27002544
1.85192596,2.43432089,0.16930651,0.00000000,0.09330284,0.24326962,0.78667795,2.29485814
1.85792896,2.45399267,0.17414062,0.00000000,0.09100308,0.23537955,0.78279287,2.33007668
1.86393197,2.48431286,0.17941219,0.00000000,0.08887638,0.22888809,0.78081724,2.37601115
1.86993497,2.52548355,0.18506940,0.00000000,0.08692608,0.22392754,0.78075984,2.43281345
1.87593797,2.57752995,0.19105517,0.00000000,0.08515254,0.22060039,0.78259755,2.50046620
1.88194097,2.64031398,0.19730916,0.00000000,0.08355420,0.21897929,0.78628378,2.57879322
1.88794397,2.71354805,0.20376952,0.00000000,0.08212868,0.21910743,0.79175607,2.66747017
1.89394697,2.79680776,0.21037437,0.00000000,0.08087367,0.22099906,0.79894239,2.76603437
1.89994997,2.88954248,0.21706285,0.00000000,0.07978752,0.22464015,0.80776553,2.87389273
1.90595298,2.99108317,0.22377577,0.00000000,0.07886963,0.22998896,0.81814545,2.99032763
1.91195598,3.10064736,0.23045591,0.00000000,0.07812052,0.23697671,0.82999945,3.11450057
1.91795898,3.21734165,0.23704787,0.00000000,0.07754163,0.24550816,0.84324018,3.24545408
1.92396198,3.34016243,0.24349770,0.00000000,0.07713488,0.25546234,0.85777207,3.38211249
1.92996498,3.46799586,0.24975236,0.00000000,0.07690202,0.26669346,0.87348634,3.52328293
1.93596798,3.59961862,0.25575911,0.00000000,0.07684392,0.27903212,0.89025545,3.66765739
1.94197099,3.73370059,0.26146493,0.00000000,0.07695974,0.29228702,0.90792755,3.81381752
1.94797399,3.86881112,0.26681624,0.00000000,0.07724617,0.30624721,0.92632157,3.96024322
1.95397699,4.00342989,0.27175881,0.00000000,0.07769683,0.32068506,0.94522377,4.10532605
1.95997999,4.13596330,0.27623815,0.00000000,0.07830173,0.33536001,0.96438612,4.24738835
1.96598299,4.26476699,0.28020027,0.00000000,0.07904710,0.35002296,0.98352699,4.38470822
1.97198599,4.38817425,0.28359288,0.00000000,0.07991536,0.36442153,1.00233450,4.51555032
1.97798899,4.50453001,0.28636700,0.00000000,0.08088545,0.37830572,1.02047234,4.63820177
1.98399200,4.61222913,0.28847889,0.00000000,0.08193333,0.39143416,1.03758808,4.75101206
1.98999500,4.70975761,0.28989214,0.00000000,0.08303279,0.40358036,1.05332356,4.85243528
1.99599800,4.79573468,0.29057987,0.00000000,0.08415638,0.41453898,1.06732670,4.94107289
2.00200100,4.86895369,0.29052673,0.00000000,0.08527651,0.42413167,1.07926425,5.01571467
2.00800400,4.92841938,0.28973073,0.00000000,0.08636646,0.43221217,1.08883454,5.07537575
2.01400700,4.97337939,0.28820451,0.00000000,0.08740155,0.43867047,1.09577956,5.11932753
2.02001001,5.00334803,0.28597613,0.00000000,0.08835998,0.44343572,1.09989550,5.14712044
2.02601301,5.01812050,0.28308905,0.00000000,0.08922368,0.44647772,1.10104118,5.15859714
2.03201601,5.01777656,0.27960141,0.00000000,0.08997875,0.44780684,1.09914372,5.15389503
2.03801901,5.00267312,0.27558454,0.00000000,0.09061579,0.44747236,1.09420112,5.13343757
2.04402201,4.97342578,0.27112063,0.00000000,0.09112980,0.44555928,1.08628157,5.09791475
2.05002501,4.93088028,0.26629983,0.00000000,0.09151994,0.44218373,1.07551956,5.04825342
2.05602801,4.87607512,0.26121680,0.00000000,0.09178887,0.43748718,1.06210898,4.98557904
2.06203102,4.81019761,0.25596685,0.00000000,0.09194206,0.43162979,1.04629371,4.91117091
2.06803402,4.73453555,0.25064203,0.00000000,0.09198681,0.42478318,1.02835633,4.82641322
2.07403702,4.65042747,0.24532728,0.00000000,0.09193126,0.41712307,1.00860561,4.73274462
2.08004002,4.55921423,0.24009683,0.00000000,0.09178339,0.40882213,0.98736365,4.63160931
2.08604302,4.46219464,0.23501127,0.00000000,0.09155015,0.40004344,0.96495345,4.52441204
2.09204602,4.36058785,0.23011520,0.00000000,0.09123662,0.39093482,0.94168773,4.41247984
2.09804902,4.25550432,0.22543582,0.00000000,0.09084556,0.38162450,0.91785958,4.29703218
2.10405203,4.14792713,0.22098246,0.00000000,0.09037711,0.37221807,0.89373562,4.17916129
2.11005503,4.03870436,0.21674717,0.00000000,0.08982881,0.36279703,0.86955182,4.05982333
2.11605803,3.92855269,0.21270615,0.00000000,0.08919596,0.35341892,0.84551239,3.93984058
2.12206103,3.81807159,0.20882225,0.00000000,0.08847225,0.34411890,0.82179145,3.81991403
2.12806403,3.70776685,0.20504811,0.00000000,0.08765064,0.33491264,0.79853744,3.70064509
2.13406703,3.59808138,0.20132991,0.00000000,0.08672443,0.32580035,0.77587961,3.58256455
2.14007004,3.48943105,0.19761153,0.00000000,0.08568851,0.31677158,0.75393623,3.46616635
2.14607304,3.38224256,0.19383876,0.00000000,0.08454061,0.30781052,0.73282361,3.35194367
2.15207604,3.27699057,0.18996345,0.00000000,0.08328251,0.29890132,0.71266527,3.24042424
2.15807904,3.17423115,0.18594727,0.00000000,0.08192120,0.29003330,0.69360054,3.13220220
2.16408204,3.07462880,0.18176492,0.00000000,0.08046971,0.28120540,0.67579164,3.02796398
2.17008504,2.97897478,0.17740660,0.00000000,0.07894782,0.27242998,0.65942884,2.92850574
2.17608804,2.88819496,0.17287957,0.00000000,0.07738229,0.26373537,0.64473296,2.83474086
2.18209105,2.80334605,0.16820881,0.00000000,0.07580682,0.25516723,0.63195502,2.74769626
2.18809405,2.72559979,0.16343666,0.00000000,0.07426159,0.24678867,0.62137276,2.66849731
2.19409705,2.65621551,0.15862151,0.00000000,0.07279244,0.23867897,0.61328416,2.59834143
2.20010005,2.59650204,0.15383568,0.00000000,0.07144966,0.23093116,0.60799813,2.53846174
2.20610305,2.54777088,0.14916249,0.00000000,0.07028653,0.22364852,0.60582284,2.49008215
2.21210605,2.51128277,0.14469284,0.00000000,0.06935758,0.21694020,0.60705228,2.45436647
2.21810905,2.48819065,0.14052135,0.00000000,0.06871667,0.21091641,0.61195173,2.43236394
2.22411206,2.47948190,0.13674238,0.00000000,0.06841503,0.20568311,0.62074307,2.42495438
2.23011506,2.48592315,0.13344608,0.00000000,0.06849928,0.20133692,0.63359063,2.43279588
2.23611806,2.50801071,0.13071464,0.00000000,0.06900955,0.19796019,0.65058852,2.45627811
2.24212106,2.54592936,0.12861902,0.00000000,0.06997777,0.19561676,0.67175018,2.49548386
2.24812406,2.59952216,0.12721614,0.00000000,0.07142622,0.19434840,0.69700084,2.55016134
2.25412706,2.66827283,0.12654690,0.00000000,0.07336644,0.19417235,0.72617330,2.61970884
2.26013007,2.75130221,0.12663473,0.00000000,0.07579843,0.19507990,0.75900756,2.70317293
2.26613307,2.84737903,0.12748515,0.00000000,0.07871026,0.19703618,0.79515411,2.79926073
2.27213607,2.95494482,0.12908587,0.00000000,0.08207820,0.19998114,0.83418113,2.90636583
2.27813907,3.07215200,0.13140777,0.00000000,0.08586706,0.20383153,0.87558494,3.02260687
2.28414207,3.19691332,0.13440640,0.00000000,0.09003107,0.20848405,0.91880347,3.14587712
2.29014507,3.32696052,0.13802406,0.00000000,0.09451509,0.21381921,0.96323188,3.27390286
2.29614807,3.45990947,0.14219225,0.00000000,0.09925596,0.21970587,1.00823968,3.40430784
2.30215108,3.59332886,0.14683432,0.00000000,0.10418433,0.22600625,1.05318833,3.53468097
2.30815408,3.72480931,0.15186835,0.00000000,0.10922639,0.23258102,1.09744862,3.66264429
2.31415708,3.85202999,0.15720982,0.00000000,0.11430589,0.23929448,1.14041681,3.78591817
