energy_ev,total_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.32166083,2.33953183,0.38135233,0.16662609,0.78229537,1.10547371,0.00110938,0.52793602,0.01307623,0.48716102
-5.31565783,2.49509073,0.39463421,0.17612533,0.85540230,1.18300267,0.00120612,0.57543190,0.01283673,0.50247457
-5.30965483,2.65638171,0.40926281,0.18566174,0.93215261,1.26289277,0.00130400,0.62458188,0.01261587,0.51876951
-5.30365183,2.82212024,0.42509241,0.19511484,1.01190649,1.34458259,0.00140207,0.67501851,0.01241807,0.53586821
-5.29764882,2.99079872,0.44193386,0.20435645,1.09393305,1.42741068,0.00149937,0.72631927,0.01224621,0.55354853
-5.29164582,3.16070918,0.45955812,0.21325412,1.17742023,1.51062332,0.00159487,0.77801156,0.01210167,0.57154938
-5.28564282,3.32997525,0.47770143,0.22167514,1.26148789,1.59338649,0.00168754,0.82957966,0.01198440,0.58957831
-5.27963982,3.49659272,0.49607233,0.22949071,1.34520384,1.67480194,0.00177632,0.88047390,0.01189306,0.60732087
-5.27363682,3.65847766,0.51436001,0.23658027,1.42760256,1.75392687,0.00186018,0.93012158,0.01182524,0.62445135
-5.26763382,3.81352054,0.53224391,0.24283573,1.50770595,1.82979682,0.00193813,0.97793959,0.01177768,0.64064451
-5.26163082,3.95964449,0.54940406,0.24816543,1.58454566,1.90145092,0.00200921,1.02334822,0.01174660,0.65558776
-5.25562781,4.09486563,0.56553189,0.25249773,1.65718616,1.96795870,0.00207253,1.06578574,0.01172793,0.66899334
-5.24962481,4.21735316,0.58034096,0.25578397,1.72474796,2.02844737,0.00212727,1.10472335,0.01171762,0.68060991
-5.24362181,4.32548682,0.59357734,0.25800080,1.78643001,2.08212860,0.00217271,1.13967968,0.01171195,0.69023306
-5.23761881,4.41790956,0.60502900,0.25915164,1.84153056,2.12832366,0.00220824,1.17023469,0.01170774,0.69771439
-5.23161581,4.49357327,0.61453413,0.25926738,1.88946584,2.16648589,0.00223334,1.19604196,0.01170256,0.70296866
-5.22561281,4.55177562,0.62198778,0.25840617,1.92978568,2.19621967,0.00224766,1.21683931,0.01169498,0.70597889
-5.21960980,4.59218679,0.62734672,0.25665236,1.96218574,2.21729499,0.00225094,1.23245696,0.01168461,0.70679897
-5.21360680,4.61486479,0.63063239,0.25411472,1.98651574,2.22965705,0.00224309,1.24282321,0.01167226,0.70555403
-5.20760380,4.62025890,0.63193158,0.25092390,2.00278350,2.23343054,0.00222416,1.24796711,0.01165993,0.70243829
-5.20160080,4.60920114,0.63139515,0.24722932,2.01115461,2.22891837,0.00219435,1.24801826,0.01165082,0.69771063
-5.19559780,4.58288597,0.62923458,0.24319562,2.01194767,2.21659489,0.00215403,1.24320356,0.01164927,0.69168808
-5.18959480,4.54283919,0.62571662,0.23899878,2.00562540,2.19709389,0.00210370,1.23384110,0.01166063,0.68473749
-5.18359180,4.49087706,0.62115623,0.23482205,1.99278171,2.17119186,0.00204400,1.22033140,0.01169122,0.67726565
-5.17758879,4.42905711,0.61590802,0.23085187,1.97412533,2.13978699,0.00197573,1.20314634,0.01174805,0.66970830
-5.17158579,4.35962251,0.61035653,0.22727382,1.95046029,2.10387480,0.00189979,1.18281601,0.01183878,0.66251840
-5.16558279,4.28494169,0.60490576,0.22426881,1.92266404,2.06452120,0.00181719,1.15991420,0.01197141,0.65615401
-5.15957979,4.20744523,0.59996813,0.22200949,1.89166368,2.02283382,0.00172905,1.13504268,0.01215415,0.65106626
-5.15357679,4.12956215,0.59595339,0.22065708,1.85841116,1.97993258,0.00163652,1.10881509,0.01239519,0.64768768
-5.14757379,4.05365728,0.59325784,0.22035844,1.82385799,1.93692046,0.00154084,1.08184066,0.01270250,0.64642136
-5.14157079,3.98197175,0.59225403,0.22124369,1.78893040,1.89485525,0.00144322,1.05470846,0.01308364,0.64763112
-5.13556778,3.91656815,0.59328144,0.22342410,1.75450542,1.85472317,0.00134490,1.02797255,0.01354553,0.65163301
-5.12956478,3.85928190,0.59663830,0.22699046,1.72138891,1.81741506,0.00124708,1.00213842,0.01409431,0.65868830
-5.12356178,3.81168002,0.60257475,0.23201173,1.69029578,1.78370589,0.00115089,0.97765123,0.01473511,0.66899822
-5.11755878,3.77502832,0.61128762,0.23853410,1.66183341,1.75423791,0.00105740,0.95488604,0.01547194,0.68270036
-5.11155578,3.75026783,0.62291676,0.24658024,1.63648841,1.72950813,0.00096758,0.93414035,0.01630751,0.69986689
-5.10555278,3.73800070,0.63754314,0.25614891,1.61461746,1.70986015,0.00088228,0.91562917,0.01724308,0.72050448
-5.09954977,3.73848596,0.65518860,0.26721478,1.59644218,1.69548066,0.00080226,0.89948260,0.01827836,0.74455597
-5.09354677,3.75164474,0.67581721,0.27972841,1.58204847,1.68640058,0.00072811,0.88574616,0.01941139,0.77190336
-5.08754377,3.77707469,0.69933806,0.29361658,1.57139011,1.68250054,0.00066031,0.87438359,0.02063847,0.80237230
-5.08154077,3.81407272,0.72560941,0.30878270,1.56429660,1.68352067,0.00059921,0.86528215,0.02195406,0.83573749
-5.07553777,3.86166511,0.75444382,0.32510758,1.56048480,1.68907395,0.00054503,0.85826006,0.02335078,0.87172895
-5.06953477,3.91864362,0.78561413,0.34245036,1.55957392,1.69866282,0.00049786,0.85307594,0.02481939,0.91003875
-5.06353177,3.98360636,0.81885992,0.36064982,1.56110333,1.71169821,0.00045770,0.84943970,0.02634881,0.95032800
-5.05752876,4.05500165,0.85389416,0.37952595,1.56455230,1.72752028,0.00042444,0.84702455,0.02792616,0.99223371
-5.05152576,4.13117333,0.89040986,0.39888189,1.56936097,1.74542010,0.00039791,0.84547972,0.02953694,1.03537534
-5.04552276,4.21040586,0.92808627,0.41850627,1.57495158,1.76466139,0.00037784,0.84444324,0.03116511,1.07936083
-5.03951976,4.29096773,0.96659458,0.43817594,1.58074923,1.78450156,0.00036395,0.84355445,0.03279336,1.12379186
-5.03351676,4.37115171,1.00560282,0.45765907,1.58620110,1.80421133,0.00035588,0.84246576,0.03440335,1.16826834
-5.02751376,4.44931088,1.04477988,0.47671870,1.59079368,1.82309229,0.00035329,0.84085314,0.03597601,1.21239208
-5.02151076,4.52388955,1.08379860,0.49511664,1.59406714,1.84049193,0.00035581,0.83842515,0.03749194,1.25576960
-5.01550775,4.59344850,1.12233796,0.51261767,1.59562651,1.85581576,0.00036308,0.83493015,0.03893182,1.29801434
-5.00950475,4.65668444,1.16008444,0.52899404,1.59514934,1.86853641,0.00037475,0.83016151,0.04027685,1.33874838
-5.00350175,4.71244365,1.19673281,0.54403015,1.59238983,1.87819965,0.00039051,0.82396089,0.04150924,1.37760383
-4.99749875,4.75973047,1.23198641,0.55752728,1.58717945,1.88442757,0.00041007,0.81621944,0.04261272,1.41422425
-4.99149575,4.79771105,1.26555743,0.56930828,1.57942440,1.88691913,0.00043319,0.80687715,0.04357303,1.44826636
-4.98549275,4.82571344,1.29716723,0.57922217,1.56910036,1.88544853,0.00045968,0.79592056,0.04437838,1.47940218
-4.97948974,4.84322490,1.32654719,0.58714827,1.55624514,1.87986193,0.00048940,0.78337910,0.04501994,1.50732192
-4.97348674,4.84988743,1.35344025,0.59300006,1.54094976,1.87007295,0.00052225,0.76932027,0.04549216,1.53173774
-4.96748374,4.84549243,1.37760338,0.59672828,1.52334885,1.85605750,0.00055821,0.75384417,0.04579317,1.55238836
-4.96148074,4.82997540,1.39881110,0.59832337,1.50361087,1.83784849,0.00059732,0.73707762,0.04592489,1.56904462
-4.95547774,4.80341106,1.41686017,0.59781703,1.48192882,1.81553062,0.00063966,0.71916815,0.04589326,1.58151583
-4.94947474,4.76600946,1.43157523,0.59528274,1.45851205,1.78923583,0.00068538,0.70027828,0.04570814,1.58965662
-4.94347174,4.71811309,1.44281539,0.59083531,1.43357941,1.75913930,0.00073469,0.68058020,0.04538326,1.59337404
-4.93746873,4.66019469,1.45048137,0.58462918,1.40735406,1.72545630,0.00078785,0.66025105,0.04493591,1.59263452
-4.93146573,4.59285559,1.45452283,0.57685565,1.38006002,1.68843969,0.00084514,0.63946901,0.04438661,1.58747027
-4.92546273,4.51682370,1.45494552,0.56773893,1.35192036,1.64837804,0.00090690,0.61840999,0.04375858,1.57798457
-4.91945973,4.43295056,1.45181756,0.55753111,1.32315674,1.60559399,0.00097347,0.59724523,0.04307716,1.56435563
-4.91345673,4.34220665,1.44527448,0.54650611,1.29399011,1.56044283,0.00104519,0.57613943,0.04236913,1.54683843
-4.90745373,4.24567402,1.43552246,0.53495279,1.26464198,1.51331060,0.00112238,0.55524951,0.04166189,1.52576438
-4.90145073,4.14453566,1.42283928,0.52316738,1.23533590,1.46461186,0.00120531,0.53472368,0.04098273,1.50153834
-4.89544772,4.04006111,1.40757261,0.51144539,1.20629867,1.41478650,0.00129420,0.51470087,0.04035796,1.47463301
-4.88944472,3.93358790,1.39013552,0.50007343,1.17776071,1.36429563,0.00138915,0.49531019,0.03981209,1.44558059
-4.88344172,3.82649898,1.37099891,0.48932089,1.14995554,1.31361628,0.00149015,0.47667036,0.03936702,1.41496193
-4.87743872,3.72019635,1.35068117,0.47943215,1.12311776,1.26323500,0.00159702,0.45888910,0.03904138,1.38339333
-4.87143572,3.61607155,1.32973518,0.47061927,1.09747972,1.21364035,0.00170942,0.44206224,0.03884981,1.35151155
-4.86543272,3.51547399,1.30873307,0.46305573,1.07326678,1.16531455,0.00182679,0.42627271,0.03880248,1.31995740
-4.85942971,3.41967821,1.28824945,0.45687125,1.05069132,1.11872444,0.00194837,0.41158930,0.03890472,1.28935868
-4.85342671,3.32985147,1.26884363,0.45214808,1.02994587,1.07431215,0.00207318,0.39806541,0.03915676,1.26031303
-4.84742371,3.24702318,1.25104181,0.44891886,1.01119577,1.03248594,0.00219997,0.38573773,0.03955366,1.23337146
-4.84142071,3.17205752,1.23531986,0.44716628,0.99457178,0.99361144,0.00232732,0.37462504,0.04008546,1.20902325
-4.83541771,3.10563074,1.22208773,0.44682438,0.98016326,0.95800387,0.00245358,0.36472742,0.04073747,1.18768271
-4.82941471,3.04821427,1.21167602,0.44778176,0.96801236,0.92592147,0.00257693,0.35602565,0.04149068,1.16967856
-4.82341171,3.00006450,1.20432559,0.44988634,0.95810977,0.89756056,0.00269543,0.34848134,0.04232245,1.15524618
-4.81740870,2.96121997,1.20018051,0.45295166,0.95039232,0.87305244,0.00280705,0.34203753,0.04320722,1.14452301
-4.81140570,2.93150596,1.19928480,0.45676438,0.94474281,0.85246213,0.00290973,0.33662000,0.04411742,1.13754727
-4.80540270,2.91054640,1.20158294,0.46109270,0.94099208,0.83578920,0.00300143,0.33213928,0.04502437,1.13425997
-4.79939970,2.89778238,1.20692428,0.46569533,0.93892341,0.82297042,0.00308024,0.32849323,0.04589932,1.13450989
-4.79339670,2.89249640,1.21507069,0.47033059,0.93827899,0.81388416,0.00314439,0.32557015,0.04671438,1.13806126
-4.78739370,2.89384094,1.22570735,0.47476530,0.93876812,0.80835618,0.00319236,0.32325232,0.04744352,1.14460377
-4.78139070,2.90086998,1.23845570,0.47878295,0.94007685,0.80616655,0.00322289,0.32141974,0.04806338,1.15376409
-4.77538769,2.91257179,1.25288810,0.48219091,0.94187831,0.80705726,0.00323508,0.31995387,0.04855404,1.16511871
-4.76938469,2.92790135,1.26854315,0.48482636,0.94384337,0.81074021,0.00322839,0.31874124,0.04889958,1.17820706
-4.76338169,2.94581110,1.28494104,0.48656054,0.94565095,0.81690506,0.00320266,0.31767664,0.04908850,1.19254474
-4.75737869,2.96527831,1.30159812,0.48730152,0.94699750,0.82522671,0.00315817,0.31666585,0.04911395,1.20763607
-4.75137569,2.98532853,1.31804005,0.48699502,0.94760503,0.83537214,0.00309556,0.31562759,0.04897370,1.22298565
-4.74537269,3.00505394,1.33381304,0.48562367,0.94722766,0.84700626,0.00301587,0.31449482,0.04867001,1.23810864
-4.73936968,3.02362665,1.34849282,0.48320469,0.94565607,0.85979689,0.00292049,0.31321509,0.04820921,1.25253949
-4.73336668,3.04030680,1.36169115,0.47978617,0.94272008,0.87341860,0.00281109,0.31175024,0.04760124,1.26583910
-4.72736368,3.05444586,1.37306000,0.47544239,0.93828920,0.88755571,0.00268959,0.31007534,0.04685899,1.27760044
-4.72136068,3.06548589,1.38229347,0.47026829,0.93227150,0.90190442,0.00255809,0.30817693,0.04599753,1.28745268
-4.71535768,3.07295556,1.38912781,0.46437368,0.92461089,0.91617432,0.00241879,0.30605097,0.04503341,1.29506420
-4.70935468,3.07646403,1.39334003,0.45787727,0.91528337,0.93008953,0.00227395,0.30370042,0.04398382,1.30014453
-4.70335168,3.07569374,1.39474551,0.45090114,0.90429253,0.94338967,0.00212578,0.30113279,0.04286587,1.30244564
-4.69734867,3.07039303,1.39319521,0.44356563,0.89166482,0.95583088,0.00197642,0.29835773,0.04169593,1.30176270
-4.69134567,3.06036960,1.38857280,0.43598510,0.87744482,0.96718702,0.00182787,0.29538503,0.04048907,1.29793465
-4.68534267,3.04548534,1.38079233,0.42826455,0.86169112,0.97725124,0.00168193,0.29222288,0.03925857,1.29084467
-4.67933967,3.02565294,1.36979656,0.42049733,0.84447284,0.98583781,0.00154020,0.28887678,0.03801569,1.28042060
-4.67333667,3.00083448,1.35555620,0.41276368,0.82586704,0.99278436,0.00140401,0.28534887,0.03676946,1.26663543
-4.66733367,2.97104168,1.33807011,0.40513036,0.80595713,0.99795423,0.00127446,0.28163796,0.03552669,1.24950770
-4.66133067,2.93633759,1.31736635,0.39765092,0.78483219,1.00123879,0.00115236,0.27773995,0.03429205,1.22910173
-4.65532766,2.89683898,1.29350381,0.39036664,0.76258708,1.00255960,0.00103829,0.27364874,0.03306835,1.20552744
-4.64932466,2.85271871,1.26657426,0.38330786,0.73932313,1.00187005,0.00093258,0.26935742,0.03185678,1.17893973
-4.64332166,2.80420741,1.23670425,0.37649544,0.71514920,0.99915625,0.00083536,0.26485965,0.03065730,1.14953692
