energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
3.30465233,5.27565192,0.19010504,1.22483380,1.15491795,0.54774972,1.99535105,1.63531803,1.52261532,0.00000000
3.31065533,5.28088979,0.19461453,1.20925019,1.17838697,0.54958125,1.99990931,1.62483824,1.54450453,0.00000000
3.31665833,5.28738785,0.19925005,1.19319813,1.20165063,0.55163225,2.00632596,1.61497756,1.56632549,0.00000000
3.32266133,5.29477297,0.20395274,1.17685493,1.22433054,0.55381710,2.01455212,1.60571983,1.58785926,0.00000000
3.32866433,5.30256119,0.20865869,1.16037938,1.24603570,0.55603800,2.02446933,1.59700727,1.60886861,0.00000000
3.33466733,5.31018904,0.21330105,1.14391071,1.26637472,0.55819024,2.03589724,1.58874843,1.62910879,0.00000000
3.34067034,5.31704517,0.21781207,1.12756775,1.28496752,0.56016744,2.04860227,1.58082639,1.64833816,0.00000000
3.34667334,5.32250022,0.22212514,1.11144826,1.30145617,0.56186635,2.06230663,1.57310664,1.66632817,0.00000000
3.35267634,5.32593342,0.22617656,1.09562844,1.31551421,0.56319112,2.07669721,1.56544440,1.68287196,0.00000000
3.35867934,5.32675476,0.22990717,1.08016259,1.32685423,0.56405663,2.09143369,1.55769098,1.69779127,0.00000000
3.36468234,5.32442186,0.23326359,1.06508308,1.33523354,0.56439094,2.10615588,1.54969891,1.71094115,0.00000000
3.37068534,5.31845141,0.23619919,1.05040057,1.34045789,0.56413666,2.12048993,1.54132596,1.72221252,0.00000000
3.37668834,5.30842510,0.23867465,1.03610477,1.34238316,0.56325133,2.13405355,1.53243788,1.73153243,0.00000000
3.38269135,5.29399092,0.24065830,1.02216561,1.34091547,0.56170688,2.14646036,1.52291021,1.73886229,0.00000000
3.38869435,5.27486035,0.24212601,1.00853508,1.33600974,0.55948827,2.15732369,1.51262917,1.74419425,0.00000000
3.39469735,5.25080294,0.24306098,0.99514965,1.32766717,0.55659154,2.16626011,1.50149202,1.74754638,0.00000000
3.40070035,5.22163917,0.24345317,0.98193344,1.31593191,0.55302146,2.17289316,1.48940716,1.74895683,0.00000000
3.40670335,5.18723312,0.24329876,0.96880195,1.30088735,0.54878902,2.17685744,1.47629408,1.74847777,0.00000000
3.41270635,5.14748591,0.24259940,0.95566630,1.28265218,0.54390897,2.17780358,1.46208366,1.74616938,0.00000000
3.41870935,5.10233093,0.24136157,0.94243797,1.26137658,0.53839765,2.17540406,1.44671867,1.74209453,0.00000000
3.42471236,5.05173147,0.23959593,0.92903368,1.23723868,0.53227120,2.16936010,1.43015488,1.73631436,0.00000000
3.43071536,4.99568125,0.23731681,0.91538030,1.21044131,0.52554434,2.15940938,1.41236254,1.72888513,0.00000000
3.43671836,4.93420775,0.23454183,0.90141958,1.18120909,0.51822980,2.14533462,1.39332843,1.71985647,0.00000000
3.44272136,4.86737811,0.23129172,0.88711228,1.14978583,0.51033837,2.12697237,1.37305810,1.70927101,0.00000000
3.44872436,4.79530712,0.22759023,0.87244171,1.11643214,0.50187954,2.10422190,1.35157843,1.69716532,0.00000000
3.45472736,4.71816649,0.22346423,0.85741623,1.08142304,0.49286273,2.07705347,1.32894003,1.68357208,0.00000000
3.46073037,4.63619447,0.21894401,0.84207069,1.04504552,0.48329887,2.04551555,1.30521948,1.66852300,0.00000000
3.46673337,4.54970495,0.21406348,0.82646665,1.00759592,0.47320229,2.00974048,1.28052102,1.65205241,0.00000000
3.47273637,4.45909504,0.20886064,0.81069134,0.96937708,0.46259271,1.96994807,1.25497761,1.63420109,0.00000000
3.47873937,4.36485036,0.20337780,0.79485535,0.93069506,0.45149721,1.92644683,1.22875120,1.61502001,0.00000000
3.48474237,4.26754734,0.19766189,0.77908920,0.89185573,0.43995195,1.87963256,1.20203192,1.59457374,0.00000000
3.49074537,4.16785205,0.19176455,0.76353896,0.85316103,0.42800356,1.82998413,1.17503646,1.57294326,0.00000000
3.49674837,4.06651546,0.18574209,0.74836107,0.81490514,0.41571010,1.77805654,1.14800527,1.55022811,0.00000000
3.50275138,3.96436508,0.17965521,0.73371674,0.77737076,0.40314148,1.72447148,1.12119895,1.52654767,0.00000000
3.50875438,3.86229332,0.17356845,0.71976616,0.74082552,0.39037930,1.66990552,1.09489378,1.50204165,0.00000000
3.51475738,3.76124303,0.16754945,0.70666280,0.70551897,0.37751615,1.61507660,1.06937659,1.47686985,0.00000000
3.52076038,3.66219102,0.16166794,0.69454826,0.67167997,0.36465438,1.56072912,1.04493917,1.45121124,0.00000000
3.52676338,3.56613014,0.15599444,0.68354767,0.63951500,0.35190432,1.50761833,1.02187246,1.42526263,0.00000000
3.53276638,3.47405106,0.15059889,0.67376625,0.60920722,0.33938228,1.45649462,1.00046072,1.39923700,0.00000000
3.53876938,3.38692441,0.14554901,0.66528673,0.58091656,0.32720812,1.40808823,0.98097592,1.37336170,0.00000000
3.54477239,3.30568416,0.14090868,0.65816822,0.55478068,0.31550280,1.36309500,0.96367251,1.34787671,0.00000000
3.55077539,3.23121296,0.13673628,0.65244617,0.53091687,0.30438585,1.32216372,0.94878285,1.32303300,0.00000000
3.55677839,3.16432998,0.13308308,0.64813361,0.50942472,0.29397295,1.28588540,0.93651340,1.29909117,0.00000000
3.56278139,3.10578159,0.12999178,0.64522342,0.49038946,0.28437373,1.25478471,0.92704169,1.27632016,0.00000000
3.56878439,3.05623509,0.12749524,0.64369158,0.47388574,0.27568982,1.22931403,0.92051435,1.25499631,0.00000000
3.57478739,3.01627546,0.12561556,0.64350106,0.45998156,0.26801329,1.20984988,0.91704595,1.23540228,0.00000000
3.58079040,2.98640476,0.12436331,0.64460612,0.44874224,0.26142543,1.19669186,0.91671887,1.21782599,0.00000000
3.58679340,2.96704399,0.12373734,0.64695676,0.44023401,0.25599597,1.19006379,0.91958393,1.20255923,0.00000000
3.59279640,2.95853649,0.12372471,0.65050302,0.43452705,0.25178258,1.19011692,0.92566177,1.18989570,0.00000000
3.59879940,2.96115251,0.12430124,0.65519885,0.43169772,0.24883080,1.19693460,0.93494481,1.18012841,0.00000000
3.60480240,2.97509387,0.12543217,0.66100526,0.43182963,0.24717413,1.21053808,0.94739953,1.17354612,0.00000000
3.61080540,3.00049810,0.12707335,0.66789263,0.43501366,0.24683431,1.23089290,0.96296899,1.17042872,0.00000000
3.61680840,3.03744115,0.12917253,0.67584191,0.44134637,0.24782174,1.25791522,0.98157519,1.17104148,0.00000000
3.62281141,3.08593794,0.13167091,0.68484473,0.45092712,0.25013582,1.29147764,1.00312122,1.17562811,0.00000000
3.62881441,3.14594034,0.13450486,0.69490222,0.46385362,0.25376526,1.33141391,1.02749289,1.18440270,0.00000000
3.63481741,3.21733191,0.13760759,0.70602277,0.48021603,0.25868816,1.37752211,1.05455972,1.19754074,0.00000000
3.64082041,3.29991953,0.14091088,0.71821865,0.50008977,0.26487198,1.42956599,1.08417501,1.21516944,0.00000000
3.64682341,3.39342186,0.14434663,0.73150173,0.52352727,0.27227315,1.48727408,1.11617519,1.23735770,0.00000000
3.65282641,3.49745507,0.14784836,0.74587850,0.55054884,0.28083661,1.55033683,1.15037815,1.26410626,0.00000000
3.65882941,3.61151655,0.15135235,0.76134464,0.58113315,0.29049500,1.61840157,1.18658082,1.29533842,0.00000000
3.66483242,3.73496772,0.15479865,0.77787949,0.61520774,0.30116781,1.69106588,1.22455610,1.33089198,0.00000000
3.67083542,3.86701700,0.15813179,0.79544062,0.65263991,0.31276054,1.76786974,1.26404942,1.37051298,0.00000000
3.67683842,4.00670468,0.16130124,0.81395900,0.69322881,0.32516386,1.84828717,1.30477524,1.41385184,0.00000000
3.68284142,4.15289102,0.16426159,0.83333501,0.73669899,0.33825307,1.93171832,1.34641390,1.46046245,0.00000000
3.68884442,4.30424958,0.16697261,0.85343552,0.78269611,0.35188794,2.01748277,1.38860931,1.50980462,0.00000000
3.69484742,4.45926703,0.16939906,0.87409257,0.83078530,0.36591303,2.10481518,1.43096786,1.56125035,0.00000000
3.70085043,4.61625100,0.17151045,0.89510350,0.88045250,0.38015867,2.19286413,1.47305908,1.61409398,0.00000000
3.70685343,4.77334706,0.17328080,0.91623300,0.93110910,0.39444270,2.28069510,1.51441836,1.66756640,0.00000000
3.71285643,4.92856530,0.17468830,0.93721691,0.98210021,0.40857300,2.36729829,1.55455203,1.72085286,0.00000000
3.71885943,5.07981672,0.17571515,0.95776782,1.03271621,0.42235084,2.45160156,1.59294497,1.77311422,0.00000000
3.72486243,5.22495885,0.17634741,0.97758231,1.08220771,0.43557498,2.53248885,1.62907081,1.82351079,0.00000000
3.73086543,5.36184945,0.17657507,0.99634950,1.12980338,0.44804651,2.60882367,1.66240433,1.87122800,0.00000000
3.73686843,5.48840647,0.17639218,1.01376069,1.17473008,0.45957416,2.67947725,1.69243599,1.91550281,0.00000000
3.74287144,5.60267201,0.17579714,1.02951954,1.21623456,0.46997994,2.74336023,1.71868777,1.95564974,0.00000000
3.74887444,5.70287731,0.17479309,1.04335237,1.25360590,0.47910490,2.79945683,1.74072982,1.99108525,0.00000000
3.75487744,5.78750577,0.17338837,1.05501807,1.28619766,0.48681464,2.84685978,1.75819697,2.02134926,0.00000000
3.76088044,5.85535069,0.17159695,1.06431704,1.31344873,0.49300439,2.88480440,1.77080439,2.04612260,0.00000000
3.76688344,5.90556449,0.16943890,1.07109879,1.33490195,0.49760328,2.91269997,1.77836123,2.06523948,0.00000000
3.77288644,5.93769659,0.16694064,1.07526758,1.35021944,0.50057762,2.93015663,1.78078165,2.07869405,0.00000000
3.77888944,5.95171736,0.16413514,1.07678604,1.35919406,0.50193291,2.93700626,1.77809232,2.08664064,0.00000000
3.78489245,5.94802658,0.16106180,1.07567633,1.36175615,0.50171449,2.93331574,1.77043585,2.08938743,0.00000000
3.79089545,5.92744518,0.15776618,1.07201888,1.35797537,0.50000663,2.91939186,1.75806982,2.08738368,0.00000000
3.79689845,5.89119034,0.15429941,1.06594875,1.34805738,0.49693016,2.89577704,1.74136112,2.08120112,0.00000000
3.80290145,5.84083468,0.15071729,1.05764978,1.33233564,0.49263860,2.86323598,1.72077583,2.07151010,0.00000000
3.80890445,5.77825125,0.14707925,1.04734699,1.31125850,0.48731303,2.82273338,1.69686503,2.05905187,0.00000000
3.81490745,5.70554670,0.14344697,1.03529745,1.28537247,0.48115579,2.77540381,1.67024697,2.04460808,0.00000000
3.82091046,5.62498595,0.13988288,1.02178032,1.25530227,0.47438337,2.72251500,1.64158661,2.02896914,0.00000000
