energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.59779890,1.95811000,0.90314414,0.19772861,0.98652357,0.41811160,0.00039008,0.57965645,0.00612900,0.73240146
-5.59179590,1.92352157,0.87520618,0.19431530,0.97019763,0.40811747,0.00037323,0.56180254,0.00647768,0.73282360
-5.58579290,1.89982132,0.85357640,0.19239557,0.95845041,0.40011284,0.00036315,0.54569785,0.00687097,0.73887006
-5.57978989,1.88684910,0.83816779,0.19195268,0.95120799,0.39407294,0.00035962,0.53137580,0.00730210,0.75037481
-5.57378689,1.88426390,0.82878891,0.19294739,0.94830986,0.38993682,0.00036241,0.51883315,0.00776332,0.76708819
-5.56778389,1.89156055,0.82515529,0.19532063,0.94951460,0.38761070,0.00037131,0.50803133,0.00824605,0.78868689
-5.56178089,1.90809064,0.82690300,0.19899693,0.95450788,0.38697202,0.00038614,0.49889865,0.00874095,0.81478597
-5.55577789,1.93308692,0.83360379,0.20388818,0.96291228,0.38787430,0.00040674,0.49133321,0.00923818,0.84495237
-5.54977489,1.96568996,0.84478109,0.20989763,0.97429864,0.39015236,0.00043297,0.48520653,0.00972756,0.87871931
-5.54377189,2.00497607,0.85992623,0.21692394,0.98819820,0.39362793,0.00046473,0.48036768,0.01019886,0.91560095
-5.53776888,2.04998491,0.87851414,0.22486494,1.00411524,0.39811519,0.00050189,0.47664777,0.01064205,0.95510646
-5.53176588,2.09974595,0.90001799,0.23362109,1.02153942,0.40342629,0.00054436,0.47386467,0.01104758,0.99675303
-5.52576288,2.15330227,0.92392199,0.24309833,1.03995756,0.40937631,0.00059205,0.47182764,0.01140660,1.04007716
-5.51975988,2.20973095,0.94973215,0.25321023,1.05886413,0.41578778,0.00064486,0.47034192,0.01171127,1.08464357
-5.51375688,2.26815930,0.97698440,0.26387936,1.07777036,0.42249435,0.00070267,0.46921290,0.01195495,1.13005169
-5.50775388,2.32777625,1.00525004,0.27503781,1.09621156,0.42934373,0.00076534,0.46824988,0.01213237,1.17593920
-5.50175088,2.38783899,1.03413852,0.28662689,1.11375262,0.43619953,0.00083270,0.46726938,0.01223977,1.22198282
-5.49574787,2.44767487,1.06329754,0.29859606,1.12999179,0.44294236,0.00090454,0.46609778,0.01227499,1.26789646
-5.48974487,2.50667904,1.09241092,0.31090119,1.14456274,0.44946988,0.00098061,0.46457349,0.01223746,1.31342701
-5.48374187,2.56430858,1.12119465,0.32350232,1.15713539,0.45569616,0.00106059,0.46254855,0.01212822,1.35834835
-5.47773887,2.62007412,1.14939154,0.33636114,1.16741566,0.46155036,0.00114413,0.45988986,0.01194979,1.40245408
-5.47173587,2.67352996,1.17676522,0.34943824,1.17514465,0.46697485,0.00123082,0.45647996,0.01170605,1.44554971
-5.46573287,2.72426376,1.20309396,0.36269062,1.18009767,0.47192317,0.00132020,0.45221764,0.01140207,1.48744506
-5.45972986,2.77188718,1.22816499,0.37606937,1.18208336,0.47635771,0.00141174,0.44701835,0.01104388,1.52794736
-5.45372686,2.81602805,1.25176981,0.38951788,1.18094333,0.48024761,0.00150489,0.44081459,0.01063830,1.56685583
-5.44772386,2.85632525,1.27370089,0.40297072,1.17655240,0.48356677,0.00159905,0.43355625,0.01019261,1.60395816
-5.44172086,2.89242646,1.29375004,0.41635325,1.16881961,0.48629228,0.00169360,0.42521101,0.00971442,1.63902913
-5.43571786,2.92398933,1.31170859,0.42958202,1.15768993,0.48840324,0.00178789,0.41576472,0.00921136,1.67183165
-5.42971486,2.95068583,1.32736949,0.44256600,1.14314653,0.48988011,0.00188124,0.40522177,0.00869092,1.70212010
-5.42371186,2.97220950,1.34053085,0.45520856,1.12521327,0.49070444,0.00197297,0.39360543,0.00816025,1.72964581
-5.41770885,2.98828505,1.35100108,0.46741012,1.10395727,0.49085919,0.00206241,0.38095792,0.00762602,1.75416432
-5.41170585,2.99867942,1.35860479,0.47907130,1.07949103,0.49032922,0.00214884,0.36734030,0.00709433,1.77544395
-5.40570285,3.00321361,1.36318938,0.49009643,1.05197380,0.48910224,0.00223159,0.35283197,0.00657057,1.79327503
-5.39969985,3.00177411,1.36463158,0.50039717,1.02161188,0.48716979,0.00230995,0.33752973,0.00605944,1.80747938
-5.39369685,2.99432319,1.36284364,0.50989605,0.98865757,0.48452837,0.00238322,0.32154636,0.00556490,1.81791918
-5.38769385,2.98090715,1.35777857,0.51852975,0.95340657,0.48118047,0.00245072,0.30500868,0.00509022,1.82450488
-5.38169085,2.96166188,1.34943429,0.52625190,0.91619382,0.47713549,0.00251174,0.28805512,0.00463796,1.82720154
-5.37568784,2.93681523,1.33785621,0.53303517,0.87738776,0.47241049,0.00256559,0.27083279,0.00421009,1.82603324
-5.36968484,2.90668600,1.32313822,0.53887270,0.83738316,0.46703063,0.00261161,0.25349421,0.00380803,1.82108536
-5.36368184,2.87167942,1.30542199,0.54377850,0.79659292,0.46102943,0.00264911,0.23619382,0.00343273,1.81250451
-5.35767884,2.83227938,1.28489461,0.54778706,0.75543898,0.45444866,0.00267747,0.21908430,0.00308475,1.80049616
-5.35167584,2.78903763,1.26178477,0.55095201,0.71434283,0.44733801,0.00269609,0.20231296,0.00276436,1.78532015
-5.34567284,2.74256073,1.23635763,0.55334385,0.67371616,0.43975457,0.00270445,0.18601837,0.00247162,1.76728423
-5.33966983,2.69349494,1.20890874,0.55504701,0.63395176,0.43176202,0.00270209,0.17032720,0.00220644,1.74673597
-5.33366683,2.64251023,1.17975721,0.55615621,0.59541538,0.42342973,0.00268864,0.15535164,0.00196868,1.72405350
-5.32766383,2.59028368,1.14923857,0.55677234,0.55843864,0.41483167,0.00266388,0.14118734,0.00175818,1.69963542
-5.32166083,2.53748320,1.11769748,0.55699816,0.52331341,0.40604531,0.00262771,0.12791192,0.00157488,1.67389034
-5.31565783,2.48475220,1.08548069,0.55693382,0.49028762,0.39715039,0.00258019,0.11558428,0.00141880,1.64722654
-5.30965483,2.43269557,1.05293046,0.55667262,0.45956275,0.38822766,0.00252155,0.10424444,0.00129015,1.62004207
-5.30365183,2.38186767,1.02037857,0.55629709,0.43129296,0.37935769,0.00245221,0.09391407,0.00118931,1.59271570
-5.29764882,2.33276248,0.98814111,0.55587558,0.40558556,0.37061957,0.00237274,0.08459761,0.00111691,1.56559906
-5.29164582,2.28580622,0.95651411,0.55545968,0.38250294,0.36208973,0.00228394,0.07628381,0.00107381,1.53901005
-5.28564282,2.24135253,0.92577007,0.55508238,0.36206554,0.35384071,0.00218672,0.06894771,0.00106113,1.51322789
-5.27963982,2.19968011,0.89615529,0.55475720,0.34425562,0.34594006,0.00208219,0.06255277,0.00108022,1.48848974
-5.27363682,2.16099286,0.86788806,0.55447832,0.32902163,0.33844920,0.00197156,0.05705330,0.00113268,1.46498887
-5.26763382,2.12542208,0.84115747,0.55422168,0.31628292,0.33142246,0.00185615,0.05239672,0.00122028,1.44287444
-5.26163082,2.09303065,0.81612292,0.55394694,0.30593441,0.32490608,0.00173732,0.04852591,0.00134495,1.42225267
-5.25562781,2.06381871,0.79291401,0.55360029,0.29785120,0.31893744,0.00161650,0.04538131,0.00150867,1.40318911
-5.24962481,2.03773040,0.77163085,0.55311791,0.29189283,0.31354431,0.00149508,0.04290274,0.00171342,1.38571196
-5.24362181,2.01466138,0.75234455,0.55242991,0.28790703,0.30874429,0.00137442,0.04103102,0.00196104,1.36981603
-5.23761881,1.99446662,0.73509793,0.55146451,0.28573305,0.30454435,0.00125582,0.03970919,0.00225314,1.35546710
-5.23161581,1.97696810,0.71990624,0.55015226,0.28520438,0.30094059,0.00114045,0.03888344,0.00259097,1.34260637
-5.22561281,1.96196204,0.70675786,0.54843018,0.28615101,0.29791812,0.00102937,0.03850365,0.00297522,1.33115483
-5.21960980,1.94922549,0.69561509,0.54624538,0.28840118,0.29545113,0.00092348,0.03852368,0.00340594,1.32101725
-5.21360680,1.93852195,0.68641485,0.54355826,0.29178277,0.29350319,0.00082352,0.03890139,0.00388239,1.31208567
-5.20760380,1.92960594,0.67906947,0.54034488,0.29612441,0.29202771,0.00073007,0.03959840,0.00440285,1.30424227
-5.20160080,1.92222659,0.67346752,0.53659857,0.30125642,0.29096861,0.00064353,0.04057967,0.00496456,1.29736154
-5.19559780,1.91613009,0.66947488,0.53233061,0.30701167,0.29026120,0.00056415,0.04181306,0.00556361,1.29131183
-5.18959480,1.91106126,0.66693595,0.52757004,0.31322643,0.28983318,0.00049201,0.04326865,0.00619490,1.28595630
-5.18359180,1.90676439,0.66567529,0.52236243,0.31974128,0.28960598,0.00042705,0.04491827,0.00685209,1.28115334
-5.17758879,1.90298351,0.66549957,0.51676798,0.32640221,0.28949606,0.00036909,0.04673485,0.00752765,1.27675673
-5.17158579,1.89946229,0.66620003,0.51085877,0.33306172,0.28941654,0.00031785,0.04869198,0.00821295,1.27261551
-5.16558279,1.89594389,0.66755535,0.50471541,0.33958007,0.28927885,0.00027295,0.05076349,0.00889838,1.26857389
-5.15957979,1.89217080,0.66933505,0.49842329,0.34582664,0.28899447,0.00023396,0.05292317,0.00957353,1.26447127
-5.15357679,1.88788498,0.67130319,0.49206846,0.35168116,0.28847673,0.00020039,0.05514459,0.01022745,1.26014243
-5.14757379,1.88282836,0.67322257,0.48573350,0.35703498,0.28764260,0.00017173,0.05740102,0.01084886,1.25541815
-5.14157079,1.87674376,0.67485898,0.47949340,0.36179203,0.28641446,0.00014746,0.05966549,0.01142653,1.25012616
-5.13556778,1.86937625,0.67598570,0.47341175,0.36586967,0.28472170,0.00012706,0.06191090,0.01194955,1.24409248
-5.12956478,1.86047503,0.67638782,0.46753734,0.36919914,0.28250224,0.00011003,0.06411019,0.01240770,1.23714323
-5.12356178,1.84979573,0.67586640,0.46190133,0.37172566,0.27970380,0.00009589,0.06623663,0.01279173,1.22910671
-5.11755878,1.83710296,0.67424226,0.45651515,0.37340812,0.27628496,0.00008420,0.06826400,0.01309372,1.21981584
-5.11155578,1.82217338,0.67135924,0.45136923,0.37421847,0.27221597,0.00007456,0.07016694,0.01330731,1.20911079
-5.10555278,1.80479875,0.66708680,0.44643260,0.37414065,0.26747922,0.00006660,0.07192115,0.01342792,1.19684177
-5.09954977,1.78478935,0.66132199,0.44165346,0.37316932,0.26206943,0.00006000,0.07350369,0.01345293,1.18287192
-5.09354677,1.76197744,0.65399064,0.43696067,0.37130832,0.25599359,0.00005449,0.07489316,0.01338176,1.16708014
-5.08754377,1.73622074,0.64504772,0.43226618,0.36856912,0.24927050,0.00004983,0.07606993,0.01321589,1.14936395
-5.08154077,1.70740608,0.63447710,0.42746832,0.36496920,0.24193019,0.00004583,0.07701636,0.01295883,1.12964220
-5.07553777,1.67545295,0.62229063,0.42245580,0.36053060,0.23401297,0.00004233,0.07771693,0.01261596,1.10785769
-5.06953477,1.64031703,0.60852656,0.41711231,0.35527865,0.22556838,0.00003919,0.07815847,0.01219435,1.08397956
-5.06353177,1.60199367,0.59324771,0.41132161,0.34924115,0.21665397,0.00003633,0.07833030,0.01170255,1.05800550
-5.05752876,1.56052108,0.57653919,0.40497276,0.34244773,0.20733392,0.00003367,0.07822449,0.01115024,1.02996373
-5.05152576,1.51598331,0.55850599,0.39796540,0.33492977,0.19767772,0.00003116,0.07783600,0.01054800,0.99991458
-5.04552276,1.46851279,0.53927051,0.39021480,0.32672068,0.18775867,0.00002876,0.07716298,0.00990688,0.96795181
-5.03951976,1.41829219,0.51897011,0.38165647,0.31785653,0.17765256,0.00002646,0.07620690,0.00923814,0.93420337
-5.03351676,1.36555566,0.49775475,0.37225010,0.30837700,0.16743633,0.00002423,0.07497285,0.00855286,0.89883174
-5.02751376,1.31058898,0.47578485,0.36198264,0.29832652,0.15718678,0.00002209,0.07346965,0.00786173,0.86203353
-5.02151076,1.25372871,0.45322924,0.35087043,0.28775557,0.14697946,0.00002003,0.07171006,0.00717469,0.82403854
