energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-5.37568784,6.74920456,0.06396461,0.82063165,1.47972250,0.66020012,2.65903113,2.89071903,2.03105731,0.00000000
-5.36968484,6.68893152,0.06427690,0.81370587,1.50450109,0.65358369,2.64896080,2.84530940,2.03104969,0.00000000
-5.36368184,6.61260380,0.06431214,0.80428284,1.52610097,0.64454357,2.63250089,2.79655252,2.02527144,0.00000000
-5.35767884,6.52144561,0.06407362,0.79250753,1.54432072,0.63326687,2.61002034,2.74501490,2.01394795,0.00000000
-5.35167584,6.41683525,0.06356970,0.77856085,1.55896963,0.61997745,2.58199387,2.69125288,1.99737025,0.00000000
-5.34567284,6.30026392,0.06281341,0.76265296,1.56986980,0.60492903,2.54897747,2.63580030,1.97588341,0.00000000
-5.33966983,6.17329599,0.06182202,0.74501619,1.57685981,0.58839774,2.51158268,2.57915878,1.94987502,0.00000000
-5.33366683,6.03753218,0.06061635,0.72589787,1.57979983,0.57067432,2.47045120,2.52179073,1.91976421,0.00000000
-5.32766383,5.89457662,0.05922015,0.70555325,1.57857782,0.55205623,2.42623078,2.46411536,1.88599145,0.00000000
-5.32166083,5.74600882,0.05765932,0.68423903,1.57311661,0.53284006,2.37955369,2.40650740,1.84900957,0.00000000
-5.31565783,5.59336077,0.05596115,0.66220737,1.56338117,0.51331439,2.33101849,2.34929834,1.80927595,0.00000000
-5.30965483,5.43809943,0.05415356,0.63970096,1.54938572,0.49375334,2.28117570,2.29277991,1.76724614,0.00000000
-5.30365183,5.28161428,0.05226437,0.61694889,1.53120004,0.47441102,2.23051781,2.23720919,1.72336865,0.00000000
-5.29764882,5.12520937,0.05032061,0.59416361,1.50895440,0.45551690,2.17947359,2.18281483,1.67808099,0.00000000
-5.29164582,4.97009940,0.04834792,0.57153888,1.48284284,0.43727233,2.12840655,2.12980386,1.63180651,0.00000000
-5.28564282,4.81740872,0.04637007,0.54924865,1.45312419,0.41984812,2.07761719,2.07836844,1.58495222,0.00000000
-5.27963982,4.66817258,0.04440855,0.52744676,1.42012073,0.40338322,2.02734835,2.02869209,1.53790698,0.00000000
-5.27363682,4.52333980,0.04248223,0.50626740,1.38421442,0.38798444,1.97779314,1.98095492,1.49104019,0.00000000
-5.26763382,4.38377608,0.04060723,0.48582602,1.34584076,0.37372715,1.92910442,1.93533765,1.44470076,0.00000000
-5.26163082,4.25026764,0.03879682,0.46622070,1.30548046,0.36065689,1.88140540,1.89202411,1.39921629,0.00000000
-5.25562781,4.12352472,0.03706142,0.44753369,1.26364946,0.34879167,1.83480028,1.85120227,1.35489245,0.00000000
-5.24962481,4.00418484,0.03540874,0.42983314,1.22088774,0.33812500,1.78938468,1.81306395,1.31201271,0.00000000
-5.24362181,3.89281614,0.03384395,0.41317462,1.17774740,0.32862944,1.74525498,1.77780327,1.27083849,0.00000000
-5.23761881,3.78992075,0.03236993,0.39760274,1.13478096,0.32026050,1.70251650,1.74561438,1.23160981,0.00000000
-5.23161581,3.69593873,0.03098757,0.38315236,1.09253013,0.31296086,1.66129008,1.71668858,1.19454672,0.00000000
-5.22561281,3.61125286,0.02969610,0.36984978,1.05151595,0.30666474,1.62171706,1.69121144,1.15985143,0.00000000
-5.21960980,3.53619449,0.02849346,0.35771352,1.01223056,0.30130235,1.58396258,1.66936016,1.12771142,0.00000000
-5.21360680,3.47105085,0.02737667,0.34675501,0.97513098,0.29680413,1.54821728,1.65130154,1.09830331,0.00000000
-5.20760380,3.41607347,0.02634213,0.33697900,0.94063519,0.29310493,1.51469761,1.63719070,1.07179749,0.00000000
