energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
0.66333167,2.22931964,-3.94944525,0.42877410,-0.46088145,0.90242104,-3.01867454,0.00442537,-0.03150721,0.41209772,-0.11275374,0.04638589,-0.02146540,0.45927328,-0.43133507,0.27529691,-0.60628474,0.00258225,-0.00215211
0.66933467,2.30698097,-3.86462144,0.45186705,-0.45791619,0.93045722,-2.94532194,0.00517739,-0.03129218,0.42063889,-0.11370281,0.04892630,-0.02100725,0.47302662,-0.42653305,0.29484874,-0.59375243,0.00268081,-0.00211556
0.67533767,2.38761356,-3.77177080,0.47457289,-0.45387114,0.96017479,-2.86584291,0.00601957,-0.03100418,0.42999797,-0.11472638,0.05179728,-0.02055135,0.48664228,-0.42042286,0.31603493,-0.57970482,0.00277496,-0.00207656
0.68134067,2.47057969,-3.67189033,0.49670611,-0.44877572,0.99134467,-2.78099510,0.00695493,-0.03065379,0.44015727,-0.11582250,0.05498666,-0.02009357,0.49991805,-0.41309763,0.33880156,-0.56440709,0.00286368,-0.00203590
0.68734367,2.55525372,-3.56618173,0.51810294,-0.44268782,1.02373606,-2.69169066,0.00798509,-0.03025332,0.45109494,-0.11698780,0.05847488,-0.01963078,0.51266889,-0.40467472,0.36307907,-0.54816104,0.00294613,-0.00199450
0.69334667,2.64104446,-3.45602043,0.53862570,-0.43569222,1.05712588,-2.59897381,0.00911001,-0.02981660,0.46278997,-0.11821675,0.06223501,-0.01916112,0.52473065,-0.39529172,0.38878145,-0.53129667,0.00302171,-0.00195338
0.69934967,2.72741543,-3.34291737,0.55816583,-0.42789800,1.09130760,-2.50399272,0.01032777,-0.02935868,0.47522722,-0.11950088,0.06623315,-0.01868399,0.53596285,-0.38510203,0.41580543,-0.51416278,0.00309006,-0.00191367
0.70535268,2.81390197,-3.22847541,0.57664548,-0.41943498,1.12609896,-2.40796708,0.01163432,-0.02889548,0.48840205,-0.12082818,0.07042882,-0.01820020,0.54625058,-0.37426998,0.44402990,-0.49711684,0.00315111,-0.00187652
0.71135568,2.90012388,-3.11434239,0.59401755,-0.41044943,1.16134794,-2.31215301,0.01302336,-0.02844348,0.50232403,-0.12218271,0.07477577,-0.01771190,0.55550539,-0.36296602,0.47331548,-0.48051472,0.00320503,-0.00184315
0.71735868,2.98579289,-3.00216309,0.61026422,-0.40109920,1.19693656,-2.21780678,0.01448618,-0.02801927,0.51701955,-0.12354432,0.07922273,-0.01722252,0.56366519,-0.35136191,0.50350421,-0.46470059,0.00325226,-0.00181475
