energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,S_s_up,S_p_up
-5.71185593,11.14504252,0.01102294,2.59619246,5.38909416,5.21661986,0.22605379,0.11915562,3.22598069
-5.70585293,10.85045032,0.01148283,2.49014188,5.27405389,5.03415021,0.22239927,0.11700262,3.18613787
-5.69984992,10.50663322,0.01192230,2.37377311,5.13619336,4.82974231,0.21764193,0.11424366,3.13085466
-5.69384692,10.12034262,0.01233715,2.24921688,4.97854202,4.60713028,0.21187143,0.11094873,3.06143636
-5.68784392,9.69902144,0.01272384,2.11868839,4.80448248,4.37028154,0.20520608,0.10719979,2.97947611
-5.68184092,9.25060675,0.01307960,1.98443037,4.61766870,4.12329269,0.19778898,0.10308871,2.88681094
-5.67583792,8.78333158,0.01340263,1.84865951,4.42194425,3.87028845,0.18978383,0.09871497,2.78547354
-5.66983492,8.30553323,0.01369220,1.71351782,4.22126363,3.61532714,0.18137030,0.09418341,2.67764190
-5.66383192,7.82547419,0.01394883,1.58103062,4.01961923,3.36231577,0.17273931,0.08960188,2.56558837
-5.65782891,7.35118057,0.01417432,1.45307189,3.82097537,3.11493677,0.16408828,0.08507904,2.45162975
-5.65182591,6.89030129,0.01437190,1.33133767,3.62921071,2.87658777,0.15561656,0.08072222,2.33807953
-5.64582291,6.44999003,0.01454615,1.21732753,3.44806900,2.65033516,0.14752115,0.07663554,2.22720337
-5.63981991,6.03681018,0.01470309,1.11233366,3.28111793,2.43888115,0.13999266,0.07291810,2.12117825
-5.63381691,5.65666204,0.01484998,1.01743692,3.13171496,2.24454359,0.13321177,0.06966252,2.02205573
-5.62781391,5.31473025,0.01499526,0.93350886,3.00297874,2.06924728,0.12734594,0.06695352,1.93172931
-5.62181091,5.01544878,0.01514828,0.86121838,2.89776453,1.91452497,0.12254665,0.06486679,1.85190592
-5.61580790,4.76248032,0.01531910,0.80104199,2.81864174,1.78152628,0.11894683,0.06346795,1.78408113
-5.60980490,4.55870700,0.01551810,0.75327610,2.76787207,1.67103232,0.11665871,0.06281172,1.72951802
-5.60380190,4.40622914,0.01575571,0.71805035,2.74738688,1.58347432,0.11577192,0.06294110,1.68922933
-5.59779890,4.30636972,0.01604197,0.69534088,2.75876295,1.51895443,0.11635184,0.06388675,1.66396284
-5.59179590,4.25968250,0.01638617,0.68498273,2.80319604,1.47726737,0.11843814,0.06566641,1.65418993
-5.58579290,4.26596258,0.01679643,0.68668084,2.88147261,1.45792179,0.12204358,0.06828439,1.66009742
-5.57978989,4.32425916,0.01727938,0.70001927,2.99394040,1.46016078,0.12715309,0.07173127,1.68158304
-5.57378689,4.43289084,0.01783977,0.72446883,3.14047909,1.48298129,0.13372312,0.07598359,1.71825472
-5.56778389,4.58946456,0.01848026,0.75939301,3.32047293,1.52515256,0.14168136,0.08100385,1.76943440
-5.56178089,4.79089981,0.01920115,0.80405301,3.53278741,1.58523392,0.15092688,0.08674058,1.83416663
-5.55577789,5.03346002,0.02000029,0.85761208,3.77575237,1.66159274,0.16133089,0.09312873,1.91123262
-5.54977489,5.31279313,0.02087302,0.91914018,4.04715395,1.75242313,0.17273793,0.10009032,1.99916984
-5.54377189,5.62398316,0.02181221,0.98761934,4.34423762,1.85576636,0.18496795,0.10753536,2.09629758
-5.53776888,5.96161436,0.02280841,1.06195058,4.66372436,1.96953353,0.19781899,0.11536313,2.20074836
-5.53176588,6.31984871,0.02385004,1.14096299,5.00184153,2.09153128,0.21107061,0.12346381,2.31050484
-5.52576288,6.69251703,0.02492376,1.22342516,5.35436935,2.21949073,0.22448816,0.13172033,2.42344176
-5.51975988,7.07322302,0.02601475,1.30805954,5.71670318,2.35109976,0.23782770,0.14001070,2.53737203
-5.51375688,7.45545863,0.02710720,1.39355945,6.08393116,2.48403849,0.25084145,0.14821039,2.65009585
-5.50775388,7.83272848,0.02818479,1.47860883,6.45092582,2.61601719,0.26328384,0.15619507,2.75945149
-5.50175088,8.19867998,0.02923110,1.56190410,6.81244729,2.74481601,0.27491778,0.16384340,2.86336624
-5.49574787,8.54723541,0.03023021,1.64217769,7.16325553,2.86832521,0.28552103,0.17103982,2.95990587
-5.48974487,8.87272156,0.03116713,1.71822238,7.49822764,2.98458470,0.29489244,0.17767733,3.04732090
