energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
0.69334667,3.64201353,0.11059625,1.33695915,4.13455190,1.12668262,1.00841896,0.00000000
0.69934967,3.67628101,0.11163037,1.33653361,4.20486101,1.13566220,1.03441869,0.00000000
0.70535268,3.70330388,0.11225738,1.33565111,4.26481525,1.14192879,1.05753426,0.00000000
0.71135568,3.72204327,0.11242588,1.33415145,4.31235541,1.14513969,1.07734158,0.00000000
0.71735868,3.73161225,0.11209604,1.33188845,4.34566952,1.14501406,1.09345511,0.00000000
0.72336168,3.73131092,0.11124106,1.32873708,4.36325004,1.14134392,1.10554307,0.00000000
0.72936468,3.72065378,0.10984801,1.32459884,4.36393965,1.13400210,1.11334113,0.00000000
0.73536768,3.69938791,0.10791828,1.31940517,4.34696374,1.12294688,1.11666390,0.00000000
0.74137069,3.66750121,0.10546731,1.31311854,4.31194867,1.10822302,1.11541366,0.00000000
0.74737369,3.62522035,0.10252386,1.30573133,4.25892527,1.08995935,1.10958580,0.00000000
0.75337669,3.57299886,0.09912878,1.29726257,4.18831818,1.06836293,1.09927081,0.00000000
0.75937969,3.51149602,0.09533328,1.28775283,4.10092178,1.04371026,1.08465264,0.00000000
0.76538269,3.44154830,0.09119697,1.27725777,3.99786461,1.01633611,1.06600369,0.00000000
0.77138569,3.36413476,0.08678556,1.26584065,3.88056423,0.98662060,1.04367670,0.00000000
0.77738869,3.28033886,0.08216849,1.25356466,3.75067516,0.95497518,1.01809407,0.00000000
0.78339170,3.19130869,0.07741655,1.24048553,3.61003256,0.92182849,0.98973529,0.00000000
0.78939470,3.09821807,0.07259956,1.22664501,3.46059428,0.88761257,0.95912313,0.00000000
0.79539770,3.00223049,0.06778427,1.21206590,3.30438410,0.85275032,0.92680944,0.00000000
0.80140070,2.90446787,0.06303257,1.19674892,3.14343836,0.81764473,0.89336134,0.00000000
0.80740370,2.80598551,0.05839997,1.18067181,2.97975804,0.78267014,0.85934840,0.00000000
0.81340670,2.70775432,0.05393452,1.16379090,2.81526789,0.74816613,0.82533150,0.00000000
0.81940970,2.61065067,0.04967613,1.14604490,2.65178342,0.71443387,0.79185380,0.00000000
0.82541271,2.51545405,0.04565628,1.12736109,2.49098662,0.68173492,0.75943408,0.00000000
0.83141571,2.42285174,0.04189806,1.10766321,2.33441000,0.65029247,0.72856256,0.00000000
0.83741871,2.33344972,0.03841664,1.08688093,2.18342882,0.62029438,0.69969915,0.00000000
0.84342171,2.24778827,0.03521993,1.06495998,2.03926047,0.59189782,0.67327389,0.00000000
0.84942471,2.16636080,0.03230949,1.04187272,1.90296994,0.56523489,0.64968915,0.00000000
0.85542771,2.08963406,0.02968160,1.01762802,1.77547985,0.54041864,0.62932312,0.00000000
0.86143072,2.01806796,0.02732834,0.99228024,1.65758382,0.51754914,0.61253399,0.00000000
0.86743372,1.95213327,0.02523876,0.96593640,1.54996140,0.49671886,0.59966428,0.00000000
0.87343672,1.89232575,0.02339993,0.93876118,1.45319335,0.47801719,0.59104459,0.00000000
0.87943972,1.83917543,0.02179791,0.91097936,1.36777580,0.46153354,0.58699627,0.00000000
0.88544272,1.79325012,0.02041861,0.88287543,1.29413237,0.44735900,0.58783261,0.00000000
0.89144572,1.75515277,0.01924848,0.85479028,1.23262332,0.43558632,0.59385795,0.00000000
0.89744872,1.72551241,0.01827495,0.82711499,1.18355114,0.42630827,0.60536472,0.00000000
0.90345173,1.70496911,0.01748683,0.80028204,1.14716241,0.41961458,0.62262806,0.00000000
0.90945473,1.69415352,0.01687444,0.77475411,1.12364577,0.41558750,0.64589829,0.00000000
0.91545773,1.69366204,0.01642964,0.75101110,1.11312643,0.41429649,0.67539119,0.00000000
0.92146073,1.70402882,0.01614580,0.72953574,1.11565751,0.41579228,0.71127651,0.00000000
0.92746373,1.72569593,0.01601756,0.71079846,1.13120917,0.42010074,0.75366518,0.00000000
0.93346673,1.75898344,0.01604068,0.69524217,1.15965608,0.42721698,0.80259572,0.00000000
0.93946973,1.80406081,0.01621178,0.68326747,1.20076454,0.43710007,0.85802038,0.00000000
0.94547274,1.86092119,0.01652817,0.67521901,1.25418006,0.44966878,0.91979193,0.00000000
0.95147574,1.92936014,0.01698766,0.67137346,1.31941667,0.46479864,0.98765155,0.00000000
0.95747874,2.00895994,0.01758847,0.67192962,1.39584889,0.48232062,1.06121882,0.00000000
0.96348174,2.09908078,0.01832922,0.67700111,1.48270746,0.50202156,1.13998422,0.00000000
0.96948474,2.19885933,0.01920904,0.68661191,1.57907972,0.52364646,1.22330515,0.00000000
0.97548774,2.30721565,0.02022766,0.70069493,1.68391523,0.54690275,1.31040574,0.00000000
0.98149075,2.42286818,0.02138570,0.71909378,1.79603722,0.57146621,1.40038113,0.00000000
0.98749375,2.54435718,0.02268499,0.74156777,1.91416000,0.59698867,1.49220643,0.00000000
0.99349675,2.67007567,0.02412885,0.76779980,2.03691235,0.62310698,1.58475061,0.00000000
0.99949975,2.79830745,0.02572250,0.79740709,2.16286634,0.64945304,1.67679518,0.00000000
1.00550275,2.92727076,0.02747334,0.82995429,2.29057090,0.67566454,1.76705747,0.00000000
1.01150575,3.05516617,0.02939123,0.86496837,2.41858898,0.70139584,1.85421797,0.00000000
1.01750875,3.18022700,0.03148866,0.90195491,2.54553691,0.72632860,1.93695109,0.00000000
1.02351176,3.30077019,0.03378072,0.94041488,2.67012422,0.75018168,2.01395820,0.00000000
1.02951476,3.41524544,0.03628497,0.97986124,2.79119195,0.77271973,2.08400208,0.00000000
1.03551776,3.52228057,0.03902105,1.01983465,2.90774753,0.79376020,2.14594123,0.00000000
1.04152076,3.62072061,0.04201010,1.05991731,3.01899399,0.81317811,2.19876279,0.00000000
1.04752376,3.70965894,0.04527390,1.09974432,3.12435166,0.83090851,2.24161257,0.00000000
1.05352676,3.78845847,0.04883378,1.13901189,3.22347058,0.84694620,2.27382093,0.00000000
1.05952976,3.85676152,0.05270936,1.17748176,3.31623232,0.86134271,2.29492299,0.00000000
1.06553277,3.91448763,0.05691707,1.21498162,3.40274024,0.87420049,2.30467240,0.00000000
1.07153577,3.96181893,0.06146850,1.25140126,3.48329812,0.88566456,2.30304772,0.00000000
1.07753877,3.99917347,0.06636876,1.28668463,3.55837744,0.89591173,2.29025100,0.00000000
1.08354177,4.02716756,0.07161478,1.32081816,3.62857442,0.90513812,2.26669851,0.00000000
1.08954477,4.04656886,0.07719380,1.35381589,3.69455890,0.91354525,2.23300394,0.00000000
1.09554777,4.05824252,0.08308196,1.38570240,3.75701726,0.92132567,2.18995479,0.00000000
1.10155078,4.06309329,0.08924325,1.41649445,3.81659268,0.92864861,2.13848310,0.00000000
1.10755378,4.06200664,0.09562889,1.44618257,3.87382598,0.93564670,2.07963176,0.00000000
1.11355678,4.05579249,0.10217711,1.47471395,3.92910077,0.94240436,2.01451820,0.00000000
1.11955978,4.04513470,0.10881355,1.50197774,3.98259644,0.94894867,1.94429709,0.00000000
1.12556278,4.03054948,0.11545221,1.52779407,4.03425241,0.95524336,1.87012381,0.00000000
1.13156578,4.01235548,0.12199703,1.55190772,4.08374627,0.96118637,1.79312049,0.00000000
1.13756878,3.99065740,0.12834409,1.57398713,4.13048812,0.96661126,1.71434597,0.00000000
1.14357179,3.96534448,0.13438423,1.59362923,4.17363226,0.97129270,1.63477107,0.00000000
1.14957479,3.93610414,0.14000634,1.61037018,4.21210631,0.97495564,1.55525994,0.00000000
1.15557779,3.90245016,0.14510076,1.62370155,4.24465715,0.97728806,1.47655806,0.00000000
1.16158079,3.86376394,0.14956306,1.63309138,4.26991156,0.97795655,1.39928697,0.00000000
1.16758379,3.81934634,0.15329777,1.63800901,4.28644874,0.97662401,1.32394551,0.00000000
1.17358679,3.76847723,0.15622198,1.63795241,4.29288099,0.97296852,1.25091673,0.00000000
1.17958979,3.71047903,0.15826868,1.63247636,4.28793836,0.96670249,1.18047984,0.00000000
1.18559280,3.64478057,0.15938962,1.62122009,4.27055231,0.95759085,1.11282572,0.00000000
1.19159580,3.57097721,0.15955745,1.60393244,4.23993405,0.94546748,1.04807490,0.00000000
1.19759880,3.48888383,0.15876733,1.58049337,4.19564267,0.93024886,0.98629660,0.00000000
1.20360180,3.39857725,0.15703747,1.55093012,4.13763930,0.91194411,0.92752753,0.00000000
1.20960480,3.30042563,0.15440903,1.51542739,4.06632394,0.89066105,0.87178927,0.00000000
1.21560780,3.19510316,0.15094499,1.47433048,3.98255265,0.86660770,0.81910331,0.00000000
1.22161081,3.08358887,0.14672826,1.42814136,3.88763380,0.84008921,0.76950297,0.00000000
1.22761381,2.96714993,0.14185905,1.37750774,3.78330326,0.81150037,0.72304168,0.00000000
1.23361681,2.84731003,0.13645160,1.32320545,3.67167963,0.78131409,0.67979752,0.00000000
1.23961981,2.72580472,0.13063037,1.26611532,3.55520135,0.75006629,0.63987401,0.00000000
1.24562281,2.60452609,0.12452601,1.20719535,3.43654882,0.71833807,0.60339742,0.00000000
1.25162581,2.48545959,0.11827111,1.14744983,3.31855516,0.68673605,0.57051123,0.00000000
1.25762881,2.37061628,0.11199601,1.08789672,3.20410969,0.65587168,0.54136817,0.00000000
1.26363182,2.26196384,0.10582478,1.02953489,3.09605879,0.62634053,0.51612082,0.00000000
1.26963482,2.16135967,0.09987160,0.97331267,2.99710840,0.59870260,0.49491128,0.00000000
1.27563782,2.07048912,0.09423758,0.92009923,2.90973260,0.57346427,0.47786097,0.00000000
1.28164082,1.99081141,0.08900820,0.87065973,2.83609202,0.55106284,0.46506096,0.00000000
1.28764382,1.92351576,0.08425137,0.82563536,2.77796549,0.53185404,0.45656373,0.00000000
1.29364682,1.86948888,0.08001623,0.78552888,2.73669737,0.51610309,0.45237668,0.00000000
1.29964982,1.82929528,0.07633263,0.75069605,2.71316253,0.50397943,0.45245781,0.00000000
1.30565283,1.80317039,0.07321132,0.72134299,2.70774968,0.49555527,0.45671380,0.00000000
1.31165583,1.79102649,0.07064474,0.69752932,2.72036346,0.49080775,0.46500059,0.00000000
1.31765883,1.79247047,0.06860845,0.67917662,2.75044424,0.48962460,0.47712630,0.00000000
1.32366183,1.80683230,0.06706297,0.66608160,2.79700457,0.49181271,0.49285638,0.00000000
1.32966483,1.83320232,0.06595612,0.65793306,2.85867983,0.49710927,0.51192057,0.00000000
1.33566783,1.87047544,0.06522552,0.65433180,2.93379071,0.50519488,0.53402143,0.00000000
1.34167084,1.91740006,0.06480135,0.65481245,3.02041444,0.51570781,0.55884381,0.00000000
1.34767384,1.97262920,0.06460918,0.65886606,3.11646140,0.52825903,0.58606478,0.00000000
1.35367684,2.03477166,0.06457275,0.66596261,3.21975383,0.54244713,0.61536351,0.00000000
1.35967984,2.10244089,0.06461660,0.67557235,3.32810319,0.55787250,0.64643060,0.00000000
1.36568284,2.17429949,0.06466857,0.68718514,3.43938293,0.57415043,0.67897620,0.00000000
1.37168584,2.24909756,0.06466192,0.70032706,3.55159389,0.59092230,0.71273669,0.00000000
1.37768884,2.32570347,0.06453724,0.71457381,3.66291959,0.60786472,0.74747939,0.00000000
1.38369185,2.40312594,0.06424389,0.72956029,3.77176979,0.62469625,0.78300510,0.00000000
1.38969485,2.48052692,0.06374108,0.74498640,3.87681056,0.64118147,0.81914839,0.00000000
1.39569785,2.55722518,0.06299860,0.76061887,3.97698060,0.65713252,0.85577550,0.00000000
1.40170085,2.63269081,0.06199705,0.77628941,4.07149351,0.67240811,0.89278008,0.00000000
1.40770385,2.70653183,0.06072780,0.79188944,4.15982691,0.68691022,0.93007709,0.00000000
1.41370685,2.77847380,0.05919258,0.80736204,4.24169988,0.70057896,0.96759506,0.00000000
1.41970985,2.84833444,0.05740273,0.82269160,4.31704048,0.71338588,1.00526751,0.00000000
1.42571286,2.91599493,0.05537829,0.83789213,4.38594611,0.72532629,1.04302386,0.00000000
1.43171586,2.98137018,0.05314685,0.85299481,4.44863936,0.73641123,1.08078067,0.00000000
1.43771886,3.04438002,0.05074225,0.86803576,4.50542241,0.74665949,1.11843381,0.00000000
1.44372186,3.10492351,0.04820334,0.88304472,4.55663301,0.75609034,1.15585219,0.00000000
1.44972486,3.16285817,0.04557254,0.89803537,4.60260478,0.76471739,1.19287357,0.00000000
1.45572786,3.21798550,0.04289461,0.91299783,4.64363429,0.77254396,1.22930302,0.00000000
1.46173087,3.27004396,0.04021543,0.92789382,4.67995690,0.77956025,1.26491410,0.00000000
1.46773387,3.31870975,0.03758083,0.94265462,4.71173234,0.78574244,1.29945303,0.00000000
1.47373687,3.36360543,0.03503569,0.95718199,4.73904081,0.79105373,1.33264552,0.00000000
1.47973987,3.40431567,0.03262312,0.97135172,4.76188903,0.79544710,1.36420611,0.00000000
1.48574287,3.44040891,0.03038372,0.98501965,4.78022526,0.79886966,1.39384936,0.00000000
