energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-5.24962481,2.50323481,0.00197585,0.06766603,0.79731021,1.15157526,0.28675354,0.23530626,0.00506958,1.42215680
-5.24362181,2.38243476,0.00193253,0.06293415,0.75182675,1.10725241,0.26784588,0.22217561,0.00475102,1.35432954
-5.23761881,2.25918929,0.00192257,0.05836395,0.70724620,1.05977992,0.24961331,0.20907595,0.00445290,1.28493933
-5.23161581,2.13504801,0.00195088,0.05399062,0.66414254,1.00977151,0.23221081,0.19620360,0.00418186,1.21480899
-5.22561281,2.01152982,0.00202316,0.04984372,0.62305444,0.95785831,0.21577502,0.18375075,0.00394489,1.14473798
-5.21960980,1.89010001,0.00214587,0.04594737,0.58448145,0.90467529,0.20042445,0.17190234,0.00374918,1.07549103
-5.21360680,1.77215121,0.00232610,0.04232062,0.54888165,0.85084878,0.18626035,0.16083348,0.00360206,1.00778895
-5.20760380,1.65898765,0.00257145,0.03897801,0.51667050,0.79698526,0.17336805,0.15070729,0.00351092,0.94230154
-5.20160080,1.55181268,0.00288993,0.03593015,0.48822019,0.74366163,0.16181845,0.14167322,0.00348308,0.87964214
-5.19559780,1.45171874,0.00328977,0.03318428,0.46385931,0.69141706,0.15166954,0.13386561,0.00352575,0.82036386
-5.18959480,1.35967954,0.00377919,0.03074491,0.44387221,0.64074642,0.14296780,0.12740254,0.00364590,0.76495682
-5.18359180,1.27654359,0.00436621,0.02861433,0.42849784,0.59209531,0.13574919,0.12238472,0.00385020,0.71384640
-5.17758879,1.20302880,0.00505832,0.02679296,0.41792778,0.54585665,0.13003971,0.11889455,0.00414483,0.66739199
-5.17158579,1.13971774,0.00586217,0.02527971,0.41230335,0.50236856,0.12585547,0.11699503,0.00453538,0.62588618
-5.16558279,1.08705328,0.00678325,0.02407210,0.41171178,0.46191366,0.12320224,0.11672868,0.00502666,0.58955416
-5.15957979,1.04533458,0.00782547,0.02316632,0.41618174,0.42471945,0.12207444,0.11811639,0.00562251,0.55855338
-5.15357679,1.01471371,0.00899082,0.02255711,0.42567832,0.39095980,0.12245380,0.12115625,0.00632560,0.53297343
-5.14757379,0.99519295,0.01027899,0.02223760,0.44009807,0.36075726,0.12430770,0.12582235,0.00713722,0.51283623
-5.14157079,0.98662349,0.01168696,0.02219906,0.45926449,0.33418631,0.12758745,0.13206384,0.00805708,0.49809689
-5.13556778,0.98870585,0.01320880,0.02243059,0.48292445,0.31127719,0.13222651,0.13980411,0.00908308,0.48864519
-5.12956478,1.00099280,0.01483532,0.02291885,0.51074633,0.29202041,0.13813912,0.14894049,0.01021120,0.48430816
-5.12356178,1.02289515,0.01655398,0.02364778,0.54232012,0.27637173,0.14521924,0.15934438,0.01143532,0.48485382
-5.11755878,1.05369109,0.01834880,0.02459843,0.57716018,0.26425751,0.15334022,0.17086210,0.01274721,0.48999635
-5.11155578,1.09253928,0.02020046,0.02574888,0.61471079,0.25558033,0.16235512,0.18331654,0.01413655,0.49940268
-5.10555278,1.13849586,0.02208647,0.02707428,0.65435486,0.25022476,0.17209801,0.19650958,0.01559094,0.51270060
-5.09954977,1.19053528,0.02398154,0.02854700,0.69542565,0.24806298,0.18238610,0.21022542,0.01709620,0.52948825
