energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.87993997,2.32329528,0.70424690,0.43275782,0.00402840,0.13151927,0.47770054,0.41230271,0.00183039,1.35397484
-5.87393697,2.28345996,0.69099167,0.43090127,0.00370730,0.12245481,0.45829036,0.40699916,0.00178564,1.33895458
-5.86793397,2.24873103,0.67886244,0.42985377,0.00338915,0.11392408,0.43992985,0.40267525,0.00178009,1.32665960
-5.86193097,2.21941838,0.66799041,0.42962645,0.00307766,0.10596647,0.42276130,0.39937660,0.00181435,1.31724037
-5.85592796,2.19573797,0.65848120,0.43021369,0.00277615,0.09861870,0.40691390,0.39712986,0.00188889,1.31078916
-5.84992496,2.17779167,0.65040712,0.43159085,0.00248746,0.09191270,0.39249686,0.39593911,0.00200398,1.30732962
-5.84392196,2.16555110,0.64380089,0.43371264,0.00221394,0.08587369,0.37959329,0.39578318,0.00215967,1.30680866
-5.83791896,2.15884650,0.63865106,0.43651241,0.00195741,0.08051844,0.36825506,0.39661377,0.00235566,1.30909132
-5.83191596,2.15736110,0.63489936,0.43990219,0.00171921,0.07585397,0.35849894,0.39835479,0.00259121,1.31395876
-5.82591296,2.16063137,0.63244023,0.44377379,0.00150016,0.07187654,0.35030413,0.40090281,0.00286508,1.32110966
-5.81990995,2.16805331,0.63112227,0.44800076,0.00130062,0.06857114,0.34361135,0.40412861,0.00317544,1.33016493
-5.81390695,2.17889451,0.63075181,0.45244124,0.00112056,0.06591133,0.33832352,0.40787985,0.00351975,1.34067568
-5.80790395,2.19231157,0.63109827,0.45694156,0.00095957,0.06385958,0.33430783,0.41198481,0.00389478,1.35213409
-5.80190095,2.20737228,0.63190105,0.46134052,0.00081693,0.06236797,0.33139940,0.41625688,0.00429647,1.36398689
-5.79589795,2.22308155,0.63287781,0.46547409,0.00069170,0.06137926,0.32940602,0.42049985,0.00472001,1.37565078
-5.78989495,2.23841027,0.63373351,0.46918039,0.00058273,0.06082827,0.32811403,0.42451363,0.00515980,1.38652938
-5.78389195,2.25232581,0.63417014,0.47230477,0.00048874,0.06064359,0.32729496,0.42810024,0.00560953,1.39603095
-5.77788894,2.26382305,0.63389653,0.47470469,0.00040839,0.06074936,0.32671267,0.43106988,0.00606226,1.40358623
-5.77188594,2.27195482,0.63263788,0.47625430,0.00034030,0.06106732,0.32613078,0.43324674,0.00651052,1.40866569
-5.76588294,2.27586037,0.63014472,0.47684843,0.00028309,0.06151879,0.32531998,0.43447443,0.00694652,1.41079559
-5.75987994,2.27479099,0.62620087,0.47640583,0.00023542,0.06202676,0.32406502,0.43462072,0.00736229,1.40957221
-5.75387694,2.26813174,0.62063018,0.47487163,0.00019603,0.06251780,0.32217112,0.43358158,0.00774989,1.40467366
-5.74787394,2.25541848,0.61330174,0.47221876,0.00016374,0.06292390,0.31946953,0.43128412,0.00810165,1.39586896
-5.74187094,2.23634969,0.60413341,0.46844838,0.00013746,0.06318405,0.31582210,0.42768860,0.00841037,1.38302385
-5.73586793,2.21079265,0.59309367,0.46358934,0.00011621,0.06324562,0.31112461,0.42278928,0.00866959,1.36610348
-5.72986493,2.17878390,0.58020159,0.45769658,0.00009912,0.06306543,0.30530896,0.41661421,0.00887372,1.34517160
-5.72386193,2.14052417,0.56552514,0.45084870,0.00008543,0.06261049,0.29834398,0.40922390,0.00901829,1.32038659
-5.71785893,2.09636807,0.54917789,0.44314479,0.00007448,0.06185843,0.29023495,0.40070905,0.00910009,1.29199443
-5.71185593,2.04680923,0.53131426,0.43470068,0.00006571,0.06079753,0.28102197,0.39118748,0.00911722,1.26031911
-5.70585293,1.99246159,0.51212364,0.42564474,0.00005865,0.05942653,0.27077718,0.38080035,0.00906922,1.22575085
-5.69984992,1.93403785,0.49182364,0.41611360,0.00005293,0.05775399,0.25960107,0.36970785,0.00895706,1.18873273
-5.69384692,1.87232599,0.47065272,0.40624785,0.00004822,0.05579749,0.24761805,0.35808471,0.00878309,1.14974636
-5.68784392,1.80816500,0.44886257,0.39618793,0.00004428,0.05358251,0.23497142,0.34611549,0.00855095,1.10929719
-5.68184092,1.74242072,0.42671062,0.38607048,0.00004093,0.05114118,0.22181809,0.33399004,0.00826548,1.06790008
-5.67583792,1.67596276,0.40445277,0.37602520,0.00003801,0.04851086,0.20832323,0.32189914,0.00793249,1.02606561
-5.66983492,1.60964328,0.38233679,0.36617227,0.00003543,0.04573269,0.19465493,0.31003049,0.00755863,0.98428768
-5.66383192,1.54427817,0.36059651,0.35662050,0.00003311,0.04285009,0.18097931,0.29856522,0.00715109,0.94303278
-5.65782891,1.48063111,0.33944691,0.34746612,0.00003100,0.03990731,0.16745603,0.28767479,0.00671745,0.90273101
-5.65182591,1.41940066,0.31908031,0.33879216,0.00002909,0.03694810,0.15423445,0.27751842,0.00626541,0.86376918
-5.64582291,1.36121038,0.29966351,0.33066832,0.00002737,0.03401450,0.14145044,0.26824097,0.00580256,0.82648583
-5.63981991,1.30660184,0.28133613,0.32315129,0.00002583,0.03114579,0.12922408,0.25997120,0.00533620,0.79116810
-5.63381691,1.25603017,0.26420978,0.31628529,0.00002449,0.02837768,0.11765795,0.25282030,0.00487316,0.75805037
-5.62781391,1.20986177,0.24836817,0.31010276,0.00002336,0.02574165,0.10683638,0.24688069,0.00441961,0.72731420
-5.62181091,1.16837378,0.23386799,0.30462497,0.00002246,0.02326458,0.09682522,0.24222490,0.00398101,0.69908951
-5.61580790,1.13175475,0.22074031,0.29986266,0.00002181,0.02096853,0.08767240,0.23890452,0.00356198,0.67345658
-5.60980490,1.10010637,0.20899252,0.29581633,0.00002141,0.01887076,0.07940894,0.23694915,0.00316626,0.65044865
-5.60380190,1.07344570,0.19861058,0.29247652,0.00002129,0.01698391,0.07205042,0.23636541,0.00279674,0.63005492
-5.59779890,1.05170802,0.18956146,0.28982372,0.00002145,0.01531632,0.06559877,0.23713589,0.00245542,0.61222386
-5.59179590,1.03475003,0.18179572,0.28782828,0.00002189,0.01387250,0.06004430,0.23921829,0.00214351,0.59686658
-5.58579290,1.02235360,0.17525013,0.28645022,0.00002262,0.01265367,0.05536784,0.24254478,0.00186146,0.58386049
-5.57978989,1.01423038,0.16985035,0.28563915,0.00002362,0.01165835,0.05154288,0.24702163,0.00160905,0.57305308
-5.57378689,1.01002718,0.16551346,0.28533435,0.00002489,0.01088301,0.04853771,0.25252939,0.00138551,0.56426601
-5.56778389,1.00933279,0.16215059,0.28546529,0.00002640,0.01032265,0.04631736,0.25892373,0.00118958,0.55729958
-5.56178089,1.01168623,0.15966945,0.28595246,0.00002813,0.00997143,0.04484542,0.26603699,0.00101963,0.55193773
-5.55577789,1.01658671,0.15797680,0.28670888,0.00003007,0.00982317,0.04408567,0.27368067,0.00087376,0.54795344
-5.54977489,1.02350541,0.15698090,0.28764208,0.00003218,0.00987184,0.04400339,0.28164884,0.00074988,0.54511482
-5.54377189,1.03189887,0.15659388,0.28865668,0.00003443,0.01011192,0.04456649,0.28972251,0.00064581,0.54319162
-5.53776888,1.04122397,0.15673403,0.28965749,0.00003679,0.01053865,0.04574634,0.29767490,0.00055933,0.54196207
-5.53176588,1.05095395,0.15732794,0.29055294,0.00003923,0.01114830,0.04751832,0.30527747,0.00048824,0.54121995
-5.52576288,1.06059492,0.15831241,0.29125879,0.00004173,0.01193812,0.04986218,0.31230659,0.00043046,0.54078149
-5.51975988,1.06970235,0.15963613,0.29170190,0.00004427,0.01290643,0.05276208,0.31855051,0.00038399,0.54049193
-5.51375688,1.07789663,0.16126104,0.29182372,0.00004683,0.01405246,0.05620644,0.32381644,0.00034701,0.54023127
-5.50775388,1.08487696,0.16316321,0.29158352,0.00004941,0.01537616,0.06018760,0.32793737,0.00031784,0.53991900
-5.50175088,1.09043287,0.16533328,0.29096088,0.00005201,0.01687797,0.06470121,0.33077832,0.00029502,0.53951741
-5.49574787,1.09445259,0.16777641,0.28995750,0.00005464,0.01855851,0.06974558,0.33224171,0.00027725,0.53903327
-5.48974487,1.09692783,0.17051162,0.28859804,0.00005732,0.02041825,0.07532081,0.33227154,0.00026341,0.53851776
-5.48374187,1.09795447,0.17357060,0.28692995,0.00006011,0.02245716,0.08142782,0.33085617,0.00025259,0.53806443
-5.47773887,1.09772904,0.17699593,0.28502226,0.00006305,0.02467437,0.08806740,0.32802943,0.00024401,0.53780536
-5.47173587,1.09654105,0.18083891,0.28296338,0.00006620,0.02706788,0.09523913,0.32387012,0.00023709,0.53790558
-5.46573287,1.09476135,0.18515684,0.28085795,0.00006963,0.02963426,0.10294036,0.31849971,0.00023135,0.53855591
-5.45972986,1.09282701,0.19001007,0.27882298,0.00007344,0.03236838,0.11116520,0.31207837,0.00022648,0.53996465
-5.45372686,1.09122346,0.19545878,0.27698333,0.00007771,0.03526333,0.11990361,0.30479947,0.00022224,0.54234844
-5.44772386,1.09046440,0.20155969,0.27546691,0.00008254,0.03831022,0.12914054,0.29688283,0.00021852,0.54592268
-5.44172086,1.09107072,0.20836281,0.27439968,0.00008801,0.04149816,0.13885521,0.28856681,0.00021525,0.55089192
-5.43571786,1.09354893,0.21590830,0.27390075,0.00009423,0.04481429,0.14902051,0.28009986,0.00021245,0.55744077
-5.42971486,1.09837040,0.22422366,0.27407791,0.00010126,0.04824378,0.15960253,0.27173158,0.00021016,0.56572549
-5.42371186,1.10595194,0.23332124,0.27502351,0.00010919,0.05177001,0.17056024,0.26370393,0.00020847,0.57586686
-5.41770885,1.11663865,0.24319621,0.27681115,0.00011805,0.05537464,0.18184531,0.25624280,0.00020746,0.58794434
-5.41170585,1.13068968,0.25382511,0.27949309,0.00012789,0.05903779,0.19340207,0.24955033,0.00020722,0.60199178
-5.40570285,1.14826726,0.26516486,0.28309857,0.00013869,0.06273818,0.20516754,0.24379837,0.00020785,0.61799491
-5.39969985,1.16942944,0.27715242,0.28763296,0.00015042,0.06645331,0.21707173,0.23912317,0.00020939,0.63589038
-5.39369685,1.19412668,0.28970504,0.29307779,0.00016304,0.07015958,0.22903788,0.23562174,0.00021189,0.65556649
-5.38769385,1.22220226,0.30272107,0.29939164,0.00017645,0.07383246,0.24098299,0.23334976,0.00021536,0.67686530
-5.38169085,1.25339636,0.31608130,0.30651162,0.00019051,0.07744658,0.25281836,0.23232135,0.00021975,0.69958620
-5.37568784,1.28735369,0.32965086,0.31435556,0.00020507,0.08097588,0.26445036,0.23251046,0.00022502,0.72349038
-5.36968484,1.32363407,0.34328154,0.32282461,0.00021996,0.08439373,0.27578128,0.23385396,0.00023105,0.74830637
-5.36368184,1.36172567,0.35681455,0.33180617,0.00023495,0.08767308,0.28671040,0.23625630,0.00023774,0.77373604
-5.35767884,1.40106047,0.37008359,0.34117699,0.00024982,0.09078662,0.29713517,0.23959537,0.00024492,0.79946110
-5.35167584,1.44103111,0.38291822,0.35080640,0.00026434,0.09370707,0.30695268,0.24372950,0.00025244,0.82514978
-5.34567284,1.48100884,0.39514741,0.36055941,0.00027827,0.09640738,0.31606122,0.24850518,0.00026013,0.85046351
-5.33966983,1.52036193,0.40660322,0.37029974,0.00029137,0.09886118,0.32436206,0.25376526,0.00026782,0.87506349
-5.33366683,1.55847383,0.41712455,0.37989260,0.00030344,0.10104313,0.33176137,0.25935729,0.00027535,0.89861689
-5.32766383,1.59476075,0.42656076,0.38920720,0.00031429,0.10292948,0.33817234,0.26514157,0.00028258,0.92080287
-5.32166083,1.62868806,0.43477520,0.39811897,0.00032376,0.10449860,0.34351723,0.27099869,0.00028942,0.94131796
-5.31565783,1.65978505,0.44164854,0.40651152,0.00033174,0.10573164,0.34772957,0.27683627,0.00029580,0.95988109
-5.30965483,1.68765767,0.44708168,0.41427820,0.00033816,0.10661311,0.35075623,0.28259442,0.00030169,0.97623803
-5.30365183,1.71199898,0.45099835,0.42132348,0.00034303,0.10713156,0.35255933,0.28824999,0.00030714,0.99016535
-5.29764882,1.73259685,0.45334714,0.42756400,0.00034639,0.10728018,0.35311789,0.29381910,0.00031221,1.00147381
-5.29164582,1.74933901,0.45410301,0.43292947,0.00034834,0.10705731,0.35242923,0.29935806,0.00031705,1.01001121
-5.28564282,1.76221499,0.45326818,0.43736331,0.00034904,0.10646688,0.35050988,0.30496246,0.00032185,1.01566471
-5.27963982,1.77131520,0.45087237,0.44082320,0.00034871,0.10551870,0.34739599,0.31076449,0.00032683,1.01836262
-5.27363682,1.77682695,0.44697233,0.44328149,0.00034759,0.10422857,0.34314324,0.31692844,0.00033226,1.01807560
-5.26763382,1.77902771,0.44165074,0.44472546,0.00034599,0.10261824,0.33782617,0.32364468,0.00033843,1.01481736
-5.26163082,1.77827556,0.43501439,0.44515749,0.00034421,0.10071517,0.33153689,0.33112201,0.00034566,1.00864471
-5.25562781,1.77499736,0.42719183,0.44459514,0.00034259,0.09855201,0.32438323,0.33957888,0.00035425,0.99965702
-5.24962481,1.76967460,0.41833036,0.44307105,0.00034145,0.09616602,0.31648640,0.34923363,0.00036451,0.98799502
-5.24362181,1.76282764,0.40859259,0.44063261,0.00034112,0.09359821,0.30797811,0.36029400,0.00037670,0.97383895
-5.23761881,1.75499840,0.39815258,0.43734152,0.00034188,0.09089239,0.29899742,0.37294649,0.00039104,0.95740584
-5.23161581,1.74673227,0.38719170,0.43327291,0.00034400,0.08809403,0.28968725,0.38734568,0.00040770,0.93894611
-5.22561281,1.73855944,0.37589426,0.42851429,0.00034766,0.08524914,0.28019076,0.40360416,0.00042679,0.91873935
-5.21960980,1.73097633,0.36444306,0.42316394,0.00035302,0.08240303,0.27064774,0.42178331,0.00044830,0.89708914
-5.21360680,1.72442761,0.35301500,0.41732905,0.00036015,0.07959910,0.26119103,0.44188542,0.00047217,0.87431721
-5.20760380,1.71928936,0.34177679,0.41112331,0.00036905,0.07687772,0.25194325,0.46384743,0.00049823,0.85075670
-5.20160080,1.71585377,0.33088095,0.40466413,0.00037965,0.07427513,0.24301380,0.48753677,0.00052620,0.82674479
-5.19559780,1.71431620,0.32046210,0.39806945,0.00039181,0.07182252,0.23449628,0.51274938,0.00055574,0.80261474
-5.18959480,1.71476481,0.31063380,0.39145429,0.00040530,0.06954525,0.22646649,0.53921032,0.00058639,0.77868761
-5.18359180,1.71717338,0.30148590,0.38492704,0.00041983,0.06746224,0.21898090,0.56657690,0.00061763,0.75526382
-5.17758879,1.72139768,0.29308249,0.37858570,0.00043507,0.06558560,0.21207582,0.59444460,0.00064887,0.73261481
-5.17158579,1.72717569,0.28546061,0.37251421,0.00045062,0.06392043,0.20576708,0.62235536,0.00067948,0.71097528
-5.16558279,1.73413185,0.27862975,0.36677900,0.00046606,0.06246488,0.20005046,0.64980844,0.00070879,0.69053611
-5.15957979,1.74178539,0.27257204,0.36142609,0.00048095,0.06121035,0.19490263,0.67627324,0.00073614,0.67143846
-5.15357679,1.74956279,0.26724340,0.35647868,0.00049483,0.06014200,0.19028270,0.70120381,0.00076086,0.65376935
-5.14757379,1.75681382,0.26257536,0.35193564,0.00050727,0.05923933,0.18613422,0.72405462,0.00078234,0.63755891
-5.14157079,1.76283116,0.25847777,0.34777086,0.00051785,0.05847701,0.18238769,0.74429684,0.00080000,0.62277967
-5.13556778,1.76687258,0.25484210,0.34393365,0.00052619,0.05782580,0.17896333,0.76143472,0.00081336,0.60934789
-5.12956478,1.76818533,0.25154547,0.34035019,0.00053197,0.05725362,0.17577415,0.77502124,0.00082201,0.59712707
-5.12356178,1.76603161,0.24845501,0.33692604,0.00053494,0.05672662,0.17272919,0.78467254,0.00082566,0.58593355
-5.11755878,1.75971435,0.24543272,0.33354965,0.00053488,0.05621034,0.16973673,0.79008044,0.00082412,0.57554399
-5.11155578,1.74860212,0.24234032,0.33009670,0.00053170,0.05567086,0.16670748,0.79102257,0.00081733,0.56570464
-5.10555278,1.73215237,0.23904422,0.32643517,0.00052534,0.05507589,0.16355760,0.78736972,0.00080535,0.55614171
-5.09954977,1.70993181,0.23542018,0.32243083,0.00051585,0.05439579,0.16021141,0.77908995,0.00078835,0.54657272
-5.09354677,1.68163329,0.23135766,0.31795295,0.00050334,0.05360450,0.15660375,0.76624951,0.00076661,0.53671813
-5.08754377,1.64708823,0.22676351,0.31287998,0.00048799,0.05268026,0.15268193,0.74901038,0.00074050,0.52631279
-5.08154077,1.60627423,0.22156504,0.30710486,0.00047004,0.05160624,0.14840711,0.72762464,0.00071050,0.51511667
-5.07553777,1.55931753,0.21571221,0.30053978,0.00044979,0.05037098,0.14375522,0.70242596,0.00067714,0.50292441
-5.06953477,1.50649011,0.20917891,0.29312004,0.00042758,0.04896854,0.13871727,0.67381852,0.00064099,0.48957322
-5.06353177,1.44820168,0.20196336,0.28480704,0.00040377,0.04739860,0.13329914,0.64226395,0.00060267,0.47494882
-5.05752876,1.38498706,0.19408750,0.27559005,0.00037874,0.04566621,0.12752082,0.60826689,0.00056281,0.45898914
-5.05152576,1.31748924,0.18559551,0.26548678,0.00035289,0.04378150,0.12141517,0.57235964,0.00052202,0.44168581
-5.04552276,1.24643932,0.17655164,0.25454282,0.00032660,0.04175914,0.11502634,0.53508673,0.00048089,0.42308319
-5.03951976,1.17263378,0.16703722,0.24282987,0.00030023,0.03961769,0.10840780,0.49698991,0.00044000,0.40327537
-5.03351676,1.09691054,0.15714729,0.23044295,0.00027414,0.03737882,0.10162012,0.45859405,0.00039985,0.38240110
-5.02751376,1.02012437,0.14698680,0.21749684,0.00024862,0.03506656,0.09472873,0.42039463,0.00036090,0.36063721
-5.02151076,0.94312308,0.13666675,0.20412171,0.00022396,0.03270637,0.08780148,0.38284701,0.00032352,0.33819069
-5.01550775,0.86672503,0.12630023,0.19045842,0.00020037,0.03032431,0.08090645,0.34635782,0.00028805,0.31529004
-5.00950475,0.79169898,0.11599872,0.17665364,0.00017806,0.02794624,0.07410973,0.31127871,0.00025472,0.29217629
-5.00350175,0.71874692,0.10586872,0.16285491,0.00015716,0.02559703,0.06747356,0.27790228,0.00022371,0.26909399
-4.99749875,0.64849020,0.09600876,0.14920606,0.00013777,0.02329993,0.06105471,0.24646046,0.00019515,0.24628283
-4.99149575,0.58145941,0.08650696,0.13584295,0.00011995,0.02107598,0.05490314,0.21712480,0.00016907,0.22396996
-4.98549275,0.51808798,0.07743928,0.12288995,0.00010373,0.01894361,0.04906110,0.19000876,0.00014548,0.20236350
-4.97948974,0.45870952,0.06886821,0.11045700,0.00008910,0.01691829,0.04356250,0.16517151,0.00012434,0.18164729
-4.97348674,0.40355858,0.06084219,0.09863746,0.00007601,0.01501240,0.03843269,0.14262301,0.00010554,0.16197705
-4.96748374,0.35277454,0.05339557,0.08750682,0.00006440,0.01323515,0.03368851,0.12232997,0.00008898,0.14347804
-4.96148074,0.30640805,0.04654902,0.07712215,0.00005419,0.01159267,0.02933866,0.10422242,0.00007451,0.12624402
-4.95547774,0.26442966,0.04031045,0.06752219,0.00004529,0.01008813,0.02538432,0.08820046,0.00006196,0.11033759
-4.94947474,0.22673992,0.03467623,0.05872824,0.00003760,0.00872200,0.02181989,0.07414106,0.00005118,0.09579160
-4.94347174,0.19318051,0.02963266,0.05074544,0.00003099,0.00749237,0.01863395,0.06190448,0.00004199,0.08261154
-4.93746873,0.16354577,0.02515766,0.04356459,0.00002538,0.00639528,0.01581023,0.05134032,0.00003422,0.07077864
-4.93146573,0.13759423,0.02122242,0.03716416,0.00002064,0.00542510,0.01332865,0.04229284,0.00002769,0.06025348
-4.92546273,0.11505975,0.01779318,0.03151257,0.00001667,0.00457493,0.01116636,0.03460564,0.00002226,0.05097991
-4.91945973,0.09566173,0.01483288,0.02657051,0.00001337,0.00383694,0.00929868,0.02812552,0.00001777,0.04288904
-4.91345673,0.07911451,0.01230266,0.02229323,0.00001065,0.00320275,0.00770003,0.02270563,0.00001409,0.03590319
-4.90745373,0.06513535,0.01016324,0.01863269,0.00000843,0.00266375,0.00634471,0.01820775,0.00001110,0.02993958
-4.90145073,0.05345127,0.00837612,0.01553958,0.00000662,0.00221140,0.00520756,0.01450403,0.00000868,0.02491371
-4.89544772,0.04380446,0.00690456,0.01296509,0.00000517,0.00183745,0.00426457,0.01147796,0.00000674,0.02074232
-4.88944472,0.03595645,0.00571433,0.01086237,0.00000401,0.00153416,0.00349328,0.00902487,0.00000520,0.01734590
-4.88344172,0.02969104,0.00477431,0.00918779,0.00000308,0.00129446,0.00287313,0.00705201,0.00000399,0.01465066
-4.87743872,0.02481600,0.00405687,0.00790184,0.00000236,0.00111203,0.00238563,0.00547818,0.00000303,0.01259004
-4.87143572,0.02116394,0.00353809,0.00696979,0.00000179,0.00098140,0.00201452,0.00423317,0.00000229,0.01110573
-4.86543272,0.01859210,0.00319777,0.00636202,0.00000135,0.00089798,0.00174578,0.00325695,0.00000172,0.01014822
-4.85942971,0.01698154,0.00301942,0.00605419,0.00000101,0.00085802,0.00156754,0.00249880,0.00000128,0.00967696
-4.85342671,0.01623563,0.00298997,0.00602710,0.00000075,0.00085861,0.00147004,0.00191630,0.00000095,0.00966006
-4.84742371,0.01627805,0.00309956,0.00626636,0.00000055,0.00089760,0.00144538,0.00147436,0.00000070,0.01007375
-4.84142071,0.01705035,0.00334109,0.00676187,0.00000041,0.00097352,0.00148738,0.00114425,0.00000051,0.01090147
-4.83541771,0.01850932,0.00370978,0.00750718,0.00000030,0.00108542,0.00159130,0.00090268,0.00000037,0.01213274
-4.82941471,0.02062398,0.00420270,0.00849866,0.00000021,0.00123284,0.00175361,0.00073098,0.00000027,0.01376179
-4.82341171,0.02337253,0.00481819,0.00973460,0.00000015,0.00141555,0.00197170,0.00061430,0.00000019,0.01578605
-4.81740870,0.02673920,0.00555529,0.01121423,0.00000011,0.00163351,0.00224358,0.00054092,0.00000014,0.01820450
-4.81140570,0.03071108,0.00641322,0.01293667,0.00000008,0.00188665,0.00256766,0.00050169,0.00000010,0.02101598
-4.80540270,0.03527504,0.00739072,0.01489988,0.00000005,0.00217471,0.00294239,0.00048952,0.00000007,0.02421746
-4.79939970,0.04041479,0.00848559,0.01709963,0.00000004,0.00249714,0.00336608,0.00049888,0.00000006,0.02780231
-4.79339670,0.04610818,0.00969409,0.01952855,0.00000003,0.00285290,0.00383659,0.00052554,0.00000005,0.03175874
-4.78739370,0.05232474,0.01101057,0.02217518,0.00000002,0.00324036,0.00435118,0.00056620,0.00000005,0.03606833
-4.78139070,0.05902371,0.01242698,0.02502330,0.00000001,0.00365720,0.00490627,0.00061827,0.00000005,0.04070484
-4.77538769,0.06615248,0.01393270,0.02805132,0.00000001,0.00410029,0.00549734,0.00067972,0.00000007,0.04563327
-4.76938469,0.07364558,0.01551426,0.03123193,0.00000001,0.00456570,0.00611881,0.00074894,0.00000009,0.05080927
-4.76338169,0.08142432,0.01715532,0.03453199,0.00000000,0.00504862,0.00676403,0.00082465,0.00000013,0.05617892
-4.75737869,0.08939709,0.01883677,0.03791264,0.00000000,0.00554344,0.00742525,0.00090584,0.00000018,0.06167902
-4.75137569,0.09746033,0.02053693,0.04132979,0.00000000,0.00604379,0.00809373,0.00099180,0.00000026,0.06723773
-4.74537269,0.10550025,0.02223192,0.04473477,0.00000000,0.00654265,0.00875986,0.00108215,0.00000036,0.07277572
-4.73936968,0.11339515,0.02389616,0.04807535,0.00000000,0.00703249,0.00941333,0.00117691,0.00000052,0.07820778
-4.73336668,0.12101851,0.02550302,0.05129693,0.00000001,0.00750551,0.01004335,0.00127662,0.00000073,0.08344474
-4.72736368,0.12824242,0.02702559,0.05434401,0.00000001,0.00795380,0.01063899,0.00138249,0.00000103,0.08839582
-4.72136068,0.13494160,0.02843745,0.05716177,0.00000001,0.00836961,0.01118940,0.00149663,0.00000144,0.09297122
-4.71535768,0.14099764,0.02971362,0.05969776,0.00000002,0.00874562,0.01168419,0.00162229,0.00000199,0.09708475
-4.70935468,0.14630334,0.03083146,0.06190363,0.00000003,0.00907523,0.01211376,0.00176418,0.00000274,0.10065671
-4.70335168,0.15076710,0.03177154,0.06373683,0.00000004,0.00935277,0.01246962,0.00192879,0.00000375,0.10361644
-4.69734867,0.15431700,0.03251855,0.06516215,0.00000005,0.00957383,0.01274465,0.00212488,0.00000510,0.10590491
-4.69134567,0.15690459,0.03306205,0.06615311,0.00000008,0.00973544,0.01293343,0.00236390,0.00000688,0.10747682
-4.68534267,0.15850815,0.03339710,0.06669310,0.00000011,0.00983629,0.01303243,0.00266056,0.00000922,0.10830239
-4.67933967,0.15913531,0.03352482,0.06677618,0.00000015,0.00987689,0.01304015,0.00303345,0.00001227,0.10836856
-4.67333667,0.15882493,0.03345272,0.06640763,0.00000021,0.00985968,0.01295725,0.00350569,0.00001622,0.10767975
-4.66733367,0.15764825,0.03319489,0.06560404,0.00000029,0.00978910,0.01278657,0.00410563,0.00002130,0.10625794
-4.66133067,0.15570920,0.03277197,0.06439310,0.00000040,0.00967160,0.01253306,0.00486765,0.00002777,0.10414217
-4.65532766,0.15314389,0.03221101,0.06281303,0.00000055,0.00951558,0.01220376,0.00583289,0.00003597,0.10138750
-4.64932466,0.15011942,0.03154502,0.06091170,0.00000074,0.00933134,0.01180755,0.00705007,0.00004627,0.09806342
-4.64332166,0.14683196,0.03081255,0.05874542,0.00000099,0.00913090,0.01135502,0.00857625,0.00005913,0.09425192
