energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
1.56378189,3.58274970,0.86738466,0.00013525,1.08409229,0.00000000,2.19839770,2.07584803
1.56978489,3.59734382,0.89143094,0.00013303,1.09141742,0.00000000,2.23131474,2.07576871
1.57578789,3.59970067,0.91404357,0.00013034,1.09455872,0.00000000,2.25819142,2.06955104
1.58179090,3.58919785,0.93473527,0.00012718,1.09335462,0.00000000,2.27820955,2.05680026
1.58779390,3.56558404,0.95304693,0.00012356,1.08775169,0.00000000,2.29071790,2.03735163
1.59379690,3.52899847,0.96856181,0.00011954,1.07780827,0.00000000,2.29525699,2.01128657
1.59979990,3.47997790,0.98091881,0.00011515,1.06369468,0.00000000,2.29157796,1.97894023
1.60580290,3.41945125,0.98982458,0.00011047,1.04569034,0.00000000,2.27965501,1.94090061
1.61180590,3.34872244,0.99506389,0.00010557,1.02417787,0.00000000,2.25969136,1.89799942
1.61780890,3.26944250,0.99650811,0.00010053,0.99963454,0.00000000,2.23211846,1.85129537
1.62381191,3.18357223,0.99412132,0.00009547,0.97262148,0.00000000,2.19758889,1.80205052
1.62981491,3.09333658,0.98796387,0.00009047,0.94377091,0.00000000,2.15696291,1.75170065
1.63581791,3.00117235,0.97819306,0.00008565,0.91377193,0.00000000,2.11128915,1.70182070
1.64182091,2.90967051,0.96506090,0.00008110,0.88335509,0.00000000,2.06177988,1.65408599
1.64782391,2.82151454,0.94890865,0.00007694,0.85327618,0.00000000,2.00978133,1.61023052
1.65382691,2.73941602,0.93015847,0.00007325,0.82429944,0.00000000,1.95673966,1.57200294
1.65982991,2.66604878,0.90930201,0.00007012,0.79718066,0.00000000,1.90416332,1.54112130
1.66583292,2.60398257,0.88688645,0.00006763,0.77265015,0.00000000,1.85358254,1.51922724
1.67183592,2.55561762,0.86349819,0.00006584,0.75139609,0.00000000,1.80650691,1.50784065
1.67783892,2.52312109,0.83974489,0.00006481,0.73404839,0.00000000,1.76438196,1.50831537
1.68384192,2.50836681,0.81623628,0.00006457,0.72116345,0.00000000,1.72854608,1.52179714
1.68984492,2.51287947,0.79356466,0.00006514,0.71320991,0.00000000,1.70018875,1.54918453
1.69584792,2.53778501,0.77228560,0.00006653,0.71055610,0.00000000,1.68031164,1.59109403
1.70185093,2.58376852,0.75289986,0.00006872,0.71345925,0.00000000,1.66969394,1.64783038
1.70785393,2.65104143,0.73583711,0.00007167,0.72205701,0.00000000,1.66886312,1.71936336
1.71385693,2.73931962,0.72144229,0.00007536,0.73636171,0.00000000,1.67807269,1.80531220
1.71985993,2.84781399,0.70996504,0.00007970,0.75625762,0.00000000,1.69728797,1.90493884
1.72586293,2.97523475,0.70155294,0.00008462,0.78150175,0.00000000,1.72618104,2.01715096
1.73186593,3.11981064,0.69624865,0.00009004,0.81172819,0.00000000,1.76413540,2.14051568
1.73786893,3.27932336,0.69399115,0.00009583,0.84645638,0.00000000,1.81026089,2.27328436
1.74387194,3.45115749,0.69462118,0.00010191,0.88510313,0.00000000,1.86341879,2.41342866
1.74987494,3.63236500,0.69789037,0.00010813,0.92699830,0.00000000,1.92225669,2.55868738
1.75587794,3.81974325,0.70347393,0.00011439,0.97140378,0.00000000,1.98525209,2.70662341
1.76188094,4.00992407,0.71098606,0.00012054,1.01753525,0.00000000,2.05076360,2.85468906
1.76788394,4.19947139,0.71999753,0.00012648,1.06458602,0.00000000,2.11708774,3.00029807
1.77388694,4.38498396,0.73005450,0.00013208,1.11175203,0.00000000,2.18251946,3.14090170
1.77988994,4.56319913,0.74069777,0.00013724,1.15825713,0.00000000,2.24541367,3.27406613
1.78589295,4.73109370,0.75148151,0.00014185,1.20337754,0.00000000,2.30424555,3.39754810
1.79189595,4.88597746,0.76199065,0.00014583,1.24646437,0.00000000,2.35766684,3.50936547
1.79789895,5.02557518,0.77185606,0.00014911,1.28696327,0.00000000,2.40455555,3.60785963
1.80390195,5.14809347,0.78076706,0.00015165,1.32443016,0.00000000,2.44405703,3.69174684
1.80990495,5.25226910,0.78848043,0.00015341,1.35854240,0.00000000,2.47561415,3.76015585
1.81590795,5.33739649,0.79482589,0.00015439,1.38910458,0.00000000,2.49898537,3.81265005
1.82191096,5.40333296,0.79970769,0.00015459,1.41604896,0.00000000,2.51424948,3.84923263
1.82791396,5.45048128,0.80310251,0.00015404,1.43943009,0.00000000,2.52179692,3.87033457
1.83391696,5.47975028,0.80505377,0.00015280,1.45941422,0.00000000,2.52230774,3.87678558
1.83991996,5.49249543,0.80566288,0.00015091,1.47626370,0.00000000,2.51671726,3.86976939
1.84592296,5.49044206,0.80507797,0.00014846,1.49031734,0.00000000,2.50617077,3.85076523
1.85192596,5.47559502,0.80348072,0.00014553,1.50196756,0.00000000,2.49196948,3.82147839
1.85792896,5.45013906,0.80107209,0.00014222,1.51163559,0.00000000,2.47550993,3.78376285
1.86393197,5.41633467,0.79805780,0.00013862,1.51974582,0.00000000,2.45821972,3.73953983
1.86993497,5.37641437,0.79463419,0.00013482,1.52670071,0.00000000,2.44149241,3.69071587
1.87593797,5.33248416,0.79097534,0.00013093,1.53285745,0.00000000,2.42662445,3.63910432
1.88194097,5.28643470,0.78722203,0.00012702,1.53850743,0.00000000,2.41475704,3.58635378
1.88794397,5.23986599,0.78347303,0.00012317,1.54385965,0.00000000,2.40682536,3.53388656
1.89394697,5.19402879,0.77977922,0.00011946,1.54902874,0.00000000,2.40351741,3.48284987
1.89994997,5.14978492,0.77614061,0.00011594,1.55402813,0.00000000,2.40524425,3.43408160
1.90595298,5.10758768,0.77250651,0.00011266,1.55876865,0.00000000,2.41212272,3.38809181
1.91195598,5.06748268,0.76877862,0.00010963,1.56306251,0.00000000,2.42397135,3.34506031
1.91795898,5.02912824,0.76481685,0.00010687,1.56663251,0.00000000,2.44031950,3.30485002
1.92396198,4.99183377,0.76044755,0.00010440,1.56912572,0.00000000,2.46042912,3.26703471
1.92996498,4.95461374,0.75547359,0.00010218,1.57013112,0.00000000,2.48332812,3.23093959
1.93596798,4.91625409,0.74968583,0.00010021,1.56920022,0.00000000,2.50785366,3.19569214
1.94197099,4.87538768,0.74287525,0.00009844,1.56586960,0.00000000,2.53270344,3.16028070
1.94797399,4.83057508,0.73484532,0.00009684,1.55968434,0.00000000,2.55649260,3.12361756
1.95397699,4.78038673,0.72542378,0.00009537,1.55022123,0.00000000,2.57781378,3.08460378
1.95997999,4.72348293,0.71447346,0.00009398,1.53711068,0.00000000,2.59529761,3.04219247
1.96598299,4.65868818,0.70190153,0.00009261,1.52005642,0.00000000,2.60767102,2.99544785
1.97198599,4.58505683,0.68766680,0.00009123,1.49885211,0.00000000,2.61381100,2.94359772
1.97798899,4.50192757,0.67178476,0.00008978,1.47339409,0.00000000,2.61279144,2.88607700
1.98399200,4.40896486,0.65433022,0.00008823,1.44368997,0.00000000,2.60392110,2.82256117
1.98999500,4.30618602,0.63543739,0.00008655,1.40986259,0.00000000,2.58677141,2.75298829
1.99599800,4.19397344,0.61529746,0.00008471,1.37214936,0.00000000,2.56119286,2.67756935
2.00200100,4.07307192,0.59415384,0.00008269,1.33089699,0.00000000,2.52731951,2.59678700
2.00800400,3.94457180,0.57229532,0.00008048,1.28655205,0.00000000,2.48556182,2.51138326
2.01400700,3.80987915,0.55004743,0.00007809,1.23964774,0.00000000,2.43658803,2.42233734
2.02001001,3.67067460,0.52776234,0.00007552,1.19078748,0.00000000,2.38129544,2.33083490
2.02601301,3.52886291,0.50580788,0.00007278,1.14062610,0.00000000,2.32077278,2.23823054
2.03201601,3.38651556,0.48455597,0.00006989,1.08984946,0.00000000,2.25625565,2.14600537
2.03801901,3.24580871,0.46437097,0.00006690,1.03915321,0.00000000,2.18907710,2.05572159
2.04402201,3.10895914,0.44559842,0.00006381,0.98922177,0.00000000,2.12061557,1.96897606
2.05002501,2.97816038,0.42855456,0.00006068,0.94070806,0.00000000,2.05224248,1.88735452
2.05602801,2.85552148,0.41351687,0.00005754,0.89421502,0.00000000,1.98527175,1.81238832
2.06203102,2.74301006,0.40071613,0.00005442,0.85027934,0.00000000,1.92091345,1.74551469
2.06803402,2.64240170,0.39033005,0.00005136,0.80935804,0.00000000,1.86023322,1.68804189
2.07403702,2.55523657,0.38247866,0.00004840,0.77181829,0.00000000,1.80411918,1.64111976
2.08004002,2.48278452,0.37722164,0.00004556,0.73793060,0.00000000,1.75325739,1.60571617
2.08604302,2.42601888,0.37455743,0.00004288,0.70786563,0.00000000,1.70811655,1.58259949
2.09204602,2.38559942,0.37442432,0.00004037,0.68169440,0.00000000,1.66894222,1.57232680
2.09804902,2.36186398,0.37670310,0.00003806,0.65939180,0.00000000,1.63576047,1.57523757
2.10405203,2.35482862,0.38122143,0.00003595,0.64084301,0.00000000,1.60839027,1.59145221
2.11005503,2.36419532,0.38775954,0.00003406,0.62585249,0.00000000,1.58646380,1.62087480
2.11605803,2.38936674,0.39605720,0.00003238,0.61415492,0.00000000,1.56945342,1.66319944
2.12206103,2.42946678,0.40582163,0.00003090,0.60542772,0.00000000,1.55670385,1.71791937
