energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
5.38169085,2.42954888,0.05522190,0.39763619,0.13396528,0.39212874,1.12917739,0.52315057,1.51448841,0.03794277
5.38769385,2.50455172,0.05732004,0.41159856,0.13890787,0.40080543,1.17313107,0.53364405,1.57836200,0.03885111
5.39369685,2.57193334,0.05921239,0.42397546,0.14353997,0.40801865,1.21273767,0.54269585,1.63938665,0.03960569
5.39969985,2.63034867,0.06085272,0.43447386,0.14776682,0.41360472,1.24730318,0.55010961,1.69657930,0.04019005
5.40570285,2.67859194,0.06220155,0.44283087,0.15150316,0.41742662,1.27621107,0.55571491,1.74901272,0.04059056
5.41170585,2.71563600,0.06322727,0.44882254,0.15467597,0.41937953,1.29894323,0.55937310,1.79584066,0.04079693
5.41770885,2.74066685,0.06390695,0.45227148,0.15722658,0.41939552,1.31509824,0.56098215,1.83632112,0.04080261
5.42371186,2.75311167,0.06422693,0.45305309,0.15911237,0.41744722,1.32440612,0.56048049,1.86983656,0.04060509
5.42971486,2.75265927,0.06418308,0.45110011,0.16030778,0.41355019,1.32673892,0.55784940,1.89591052,0.04020612
5.43571786,2.73927188,0.06378078,0.44640517,0.16080475,0.40776389,1.32211671,0.55311414,1.91421986,0.03961174
5.44172086,2.71318786,0.06303455,0.43902134,0.16061257,0.40019112,1.31070860,0.54634354,1.92460233,0.03883223
5.44772386,2.67491521,0.06196741,0.42906054,0.15975713,0.39097585,1.29282891,0.53764819,1.92705917,0.03788185
5.45372686,2.62521628,0.06060995,0.41668996,0.15827971,0.38029960,1.26892861,0.52717741,1.92175276,0.03677858
5.45972986,2.56508436,0.05899927,0.40212660,0.15623535,0.36837635,1.23958245,0.51511494,1.90899956,0.03554362
5.46573287,2.49571330,0.05717757,0.38563027,0.15369084,0.35544633,1.20547251,0.50167377,1.88925872,0.03420091
5.47173587,2.41846162,0.05519082,0.36749529,0.15072255,0.34176878,1.16736883,0.48709023,1.86311688,0.03277649
5.47773887,2.33481258,0.05308718,0.34804132,0.14741404,0.32761407,1.12610796,0.47161764,1.83126993,0.03129793
5.48374187,2.24633198,0.05091553,0.32760372,0.14385372,0.31325550,1.08257045,0.45551970,1.79450235,0.02979363
5.48974487,2.15462531,0.04872399,0.30652386,0.14013244,0.29896099,1.03765801,0.43906400,1.75366500,0.02829220
