energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-4.78739370,1.03073607,0.00000528,0.03149128,0.29845359,0.41411164,0.00003506,0.57452149,0.11914869,0.15532125
-4.78139070,1.03121461,0.00000692,0.02962998,0.29089088,0.42995909,0.00004601,0.56375772,0.11505685,0.15238310
-4.77538769,1.03227683,0.00000902,0.02785607,0.28359042,0.44527822,0.00005995,0.55398618,0.11130572,0.14966306
-4.76938469,1.03388179,0.00001167,0.02617916,0.27657732,0.45995752,0.00007755,0.54525200,0.10791516,0.14717334
-4.76338169,1.03597091,0.00001499,0.02460675,0.26986821,0.47389500,0.00009960,0.53757366,0.10489594,0.14492247
-4.75737869,1.03846808,0.00001911,0.02314426,0.26347118,0.48699946,0.00012700,0.53094186,0.10224959,0.14291499
-4.75137569,1.04128021,0.00002419,0.02179507,0.25738589,0.49919165,0.00016076,0.52531884,0.09996856,0.14115113
-4.74537269,1.04429825,0.00003041,0.02056059,0.25160381,0.51040523,0.00020205,0.52063862,0.09803659,0.13962670
-4.73936968,1.04739895,0.00003794,0.01944041,0.24610861,0.52058762,0.00025212,0.51680795,0.09642923,0.13833297
-4.73336668,1.05044730,0.00004700,0.01843248,0.24087672,0.52970079,0.00031234,0.51370827,0.09511471,0.13725679
-4.72736368,1.05329987,0.00005781,0.01753329,0.23587812,0.53772190,0.00038416,0.51119862,0.09405496,0.13638080
-4.72136068,1.05580879,0.00007059,0.01673809,0.23107729,0.54464392,0.00046910,0.50911946,0.09320681,0.13568393
-4.71535768,1.05782653,0.00008558,0.01604111,0.22643443,0.55047595,0.00056872,0.50729748,0.09252340,0.13514192
-4.70935468,1.05921107,0.00010301,0.01543579,0.22190675,0.55524350,0.00068454,0.50555109,0.09195570,0.13472813
-4.70335168,1.05983130,0.00012310,0.01491500,0.21745000,0.55898831,0.00081803,0.50369655,0.09145411,0.13441441
-4.69734867,1.05957240,0.00014604,0.01447125,0.21302005,0.56176782,0.00097054,0.50155438,0.09097010,0.13417204
-4.69134567,1.05834066,0.00017202,0.01409688,0.20857446,0.56365410,0.00114323,0.49895587,0.09045779,0.13397270
-4.68534267,1.05606749,0.00020117,0.01378425,0.20407407,0.56473219,0.00133698,0.49574929,0.08987545,0.13378943
-4.67933967,1.05271235,0.00023356,0.01352589,0.19948443,0.56509780,0.00155236,0.49180553,0.08918683,0.13359743
-4.67333667,1.04826404,0.00026922,0.01331459,0.19477696,0.56485427,0.00178951,0.48702281,0.08836229,0.13337477
-4.66733367,1.04274047,0.00030810,0.01314352,0.18993000,0.56410889,0.00204813,0.48133027,0.08737961,0.13310284
-4.66133067,1.03618657,0.00035006,0.01300629,0.18492935,0.56296876,0.00232733,0.47469018,0.08622461,0.13276659
-4.65532766,1.02867054,0.00039488,0.01289699,0.17976859,0.56153607,0.00262569,0.46709859,0.08489131,0.13235450
-4.64932466,1.02027848,0.00044224,0.01281020,0.17444897,0.55990333,0.00294114,0.45858453,0.08338192,0.13185835
-4.64332166,1.01110793,0.00049173,0.01274101,0.16897893,0.55814855,0.00327098,0.44920759,0.08170640,0.13127274
