energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
5.26163082,0.86115047,0.02042927,0.06062847,0.13760043,0.04843698,0.29321022,0.09091028,0.40860765,0.51526231
5.26763382,0.84968754,0.02126801,0.05814087,0.13348149,0.04658250,0.29078627,0.08801596,0.40636679,0.51455420
5.27363682,0.84018453,0.02228599,0.05598634,0.12923429,0.04501634,0.28951486,0.08515814,0.40458076,0.51547352
5.27963982,0.83319671,0.02351243,0.05420940,0.12491456,0.04376762,0.28940866,0.08239810,0.40338166,0.51843711
5.28564282,0.82922846,0.02497430,0.05284923,0.12057254,0.04286103,0.29045125,0.07979520,0.40287795,0.52382643
5.29164582,0.82871378,0.02669518,0.05193831,0.11625151,0.04231597,0.29259630,0.07740504,0.40314893,0.53197172
5.29764882,0.83199805,0.02869416,0.05150113,0.11198658,0.04214573,0.29576743,0.07527775,0.40424034,0.54313705
5.30365183,0.83932191,0.03098474,0.05155296,0.10780405,0.04235675,0.29985892,0.07345630,0.40616097,0.55750653
5.30965483,0.85080789,0.03357390,0.05209876,0.10372119,0.04294789,0.30473736,0.07197518,0.40888081,0.57517262
5.31565783,0.86645057,0.03646114,0.05313238,0.09974650,0.04390994,0.31024408,0.07085923,0.41233064,0.59612677
5.32166083,0.88611055,0.03963787,0.05463591,0.09588037,0.04522529,0.31619863,0.07012279,0.41640321,0.62025312
5.32766383,0.90951273,0.04308684,0.05657943,0.09211623,0.04686780,0.32240287,0.06976920,0.42095595,0.64732543
5.33366683,0.93624908,0.04678194,0.05892114,0.08844188,0.04880292,0.32864589,0.06979067,0.42581505,0.67700769
5.33966983,0.96578596,0.05068814,0.06160782,0.08484114,0.05098809,0.33470934,0.07016846,0.43078087,0.70885848
5.34567284,0.99747576,0.05476184,0.06457573,0.08129551,0.05337343,0.34037320,0.07087337,0.43563432,0.74233912
5.35167584,1.03057267,0.05895146,0.06775192,0.07778592,0.05590267,0.34542160,0.07186661,0.44014399,0.77682551
5.35767884,1.06425219,0.06319832,0.07105591,0.07429430,0.05851436,0.34964865,0.07310094,0.44407384,0.81162331
5.36368184,1.09763355,0.06743787,0.07440172,0.07080504,0.06114330,0.35286401,0.07452198,0.44719091,0.84598622
5.36968484,1.12980468,0.07160114,0.07770015,0.06730611,0.06372218,0.35489793,0.07606984,0.44927306,0.87913665
5.37568784,1.15984857,0.07561642,0.08086136,0.06378995,0.06618335,0.35560574,0.07768075,0.45011621,0.91028811
5.38169085,1.18687038,0.07941113,0.08379745,0.06025398,0.06846070,0.35487155,0.07928895,0.44954090,0.93866867
5.38769385,1.21002418,0.08291381,0.08642518,0.05670076,0.07049149,0.35261109,0.08082846,0.44739803,0.96354457
5.39369685,1.22853853,0.08605614,0.08866856,0.05313785,0.07221822,0.34877353,0.08223496,0.44357349,0.98424300
5.39969985,1.24173984,0.08877494,0.09046123,0.04957737,0.07359028,0.34334238,0.08344749,0.43799157,1.00017341
5.40570285,1.24907272,0.09101405,0.09174865,0.04603530,0.07456549,0.33633532,0.08441016,0.43061716,1.01084622
5.41170585,1.25011663,0.09272598,0.09248980,0.04253065,0.07511132,0.32780311,0.08507354,0.42145653,1.01588846
5.41770885,1.24459807,0.09387343,0.09265853,0.03908445,0.07520584,0.31782757,0.08539597,0.41055693,1.01505546
5.42371186,1.23239802,0.09443036,0.09224438,0.03571871,0.07483827,0.30651869,0.08534455,0.39800481,1.00823835
5.42971486,1.21355425,0.09438275,0.09125282,0.03245543,0.07400926,0.29401114,0.08489589,0.38392298,0.99546685
5.43571786,1.18825864,0.09372897,0.08970498,0.02931562,0.07273067,0.28046008,0.08403651,0.36846671,0.97690745
5.44172086,1.15684942,0.09247976,0.08763687,0.02631850,0.07102503,0.26603669,0.08276302,0.35181900,0.95285705
5.44772386,1.11979893,0.09065777,0.08509802,0.02348076,0.06892471,0.25092331,0.08108196,0.33418516,0.92373224
5.45372686,1.07769735,0.08829672,0.08214977,0.02081607,0.06647065,0.23530857,0.07900931,0.31578696,0.89005495
5.45972986,1.03123306,0.08544028,0.07886312,0.01833474,0.06371098,0.21938255,0.07656980,0.29685644,0.85243492
5.46573287,0.98117052,0.08214057,0.07531639,0.01604353,0.06069936,0.20333216,0.07379595,0.27762979,0.81154980
5.47173587,0.92832658,0.07845652,0.07159259,0.01394570,0.05749322,0.18733685,0.07072688,0.25834131,0.76812383
5.47773887,0.87354600,0.07445207,0.06777684,0.01204110,0.05415196,0.17156484,0.06740704,0.23921769,0.72290581
5.48374187,0.81767735,0.07019422,0.06395372,0.01032648,0.05073520,0.15616984,0.06388475,0.22047284,0.67664728
5.48974487,0.76154987,0.06575121,0.06020476,0.00879586,0.04730103,0.14128847,0.06021077,0.20230335,0.63008180
5.49574787,0.70595219,0.06119063,0.05660614,0.00744090,0.04390448,0.12703837,0.05643679,0.18488464,0.58390585
5.50175088,0.65161364,0.05657782,0.05322664,0.00625142,0.04059617,0.11351690,0.05261405,0.16836797,0.53876211
5.50775388,0.59918841,0.05197431,0.05012590,0.00521587,0.03742114,0.10080068,0.04879198,0.15287832,0.49522548
5.51375688,0.54924313,0.04743662,0.04735307,0.00432174,0.03441801,0.08894563,0.04501702,0.13851301,0.45379217
5.51975988,0.50224792,0.04301523,0.04494578,0.00355603,0.03161832,0.07798768,0.04133163,0.12534133,0.41487199
5.52576288,0.45857102,0.03875389,0.04292956,0.00290565,0.02904620,0.06794397,0.03777341,0.11340479,0.37878393
5.53176588,0.41847686,0.03468914,0.04131758,0.00235768,0.02671825,0.05881444,0.03437454,0.10271815,0.34575475
5.53776888,0.38212733,0.03085016,0.04011083,0.00189972,0.02464367,0.05058381,0.03116133,0.09327108,0.31592057
5.54377189,0.34958601,0.02725883,0.03929857,0.00152003,0.02282462,0.04322368,0.02815403,0.08503033,0.28933100
5.54977489,0.32082490,0.02393002,0.03885913,0.00120774,0.02125674,0.03669486,0.02536687,0.07794230,0.26595542
5.55577789,0.29573325,0.02087200,0.03876098,0.00095291,0.01992982,0.03094959,0.02280822,0.07193593,0.24569119
5.56178089,0.27412802,0.01808715,0.03896405,0.00074660,0.01882858,0.02593388,0.02048095,0.06692582,0.22837310
5.56778389,0.25576551,0.01557255,0.03942115,0.00058088,0.01793357,0.02158954,0.01838293,0.06281543,0.21378388
5.57378689,0.24035367,0.01332085,0.04007971,0.00044880,0.01722205,0.01785615,0.01650763,0.05950028,0.20166522
5.57978989,0.22756471,0.01132099,0.04088340,0.00034433,0.01666894,0.01467280,0.01484476,0.05687116,0.19172887
5.58579290,0.21704763,0.00955907,0.04177397,0.00026235,0.01624773,0.01197949,0.01338100,0.05481711,0.18366770
5.59179590,0.20844020,0.00801905,0.04269299,0.00019850,0.01593140,0.00971836,0.01210073,0.05322825,0.17716619
5.59779890,0.20138022,0.00668349,0.04358359,0.00014914,0.01569319,0.00783464,0.01098675,0.05199834,0.17191014
5.60380190,0.19551575,0.00553419,0.04439202,0.00011129,0.01550741,0.00627732,0.01002094,0.05102705,0.16759553
5.60980490,0.19051402,0.00455272,0.04506919,0.00008247,0.01535004,0.00499960,0.00918493,0.05022192,0.16393618
