energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
0.05102551,1.99681744,0.00284092,0.00000000,0.29702628,1.58458934,0.02081961,0.06576510,0.30682362,0.00000000
0.05702851,1.97827190,0.00282302,0.00000000,0.30586604,1.56539233,0.02061350,0.06745546,0.30575866,0.00000000
0.06303152,1.95520737,0.00279843,0.00000000,0.31479325,1.54126347,0.02039956,0.06938074,0.30418304,0.00000000
0.06903452,1.92810194,0.00276814,0.00000000,0.32365455,1.51262883,0.02017345,0.07150254,0.30213815,0.00000000
0.07503752,1.89749110,0.00273319,0.00000000,0.33229933,1.47997398,0.01993045,0.07378229,0.29966713,0.00000000
0.08104052,1.86394566,0.00269467,0.00000000,0.34058208,1.44382708,0.01966552,0.07618100,0.29681245,0.00000000
0.08704352,1.82805187,0.00265365,0.00000000,0.34836495,1.40474312,0.01937349,0.07865909,0.29361395,0.00000000
0.09304652,1.79039432,0.00261119,0.00000000,0.35552050,1.36329009,0.01904927,0.08117623,0.29010745,0.00000000
0.09904952,1.75154228,0.00256824,0.00000000,0.36193457,1.32003732,0.01868810,0.08369149,0.28632393,0.00000000
0.10505253,1.71203967,0.00252569,0.00000000,0.36750906,1.27554631,0.01828583,0.08616340,0.28228924,0.00000000
0.11105553,1.67239861,0.00248433,0.00000000,0.37216459,1.23036405,0.01783918,0.08855034,0.27802436,0.00000000
0.11705853,1.63309645,0.00244483,0.00000000,0.37584279,1.18501858,0.01734601,0.09081090,0.27354611,0.00000000
0.12306153,1.59457567,0.00240776,0.00000000,0.37850824,1.14001657,0.01680550,0.09290449,0.26886818,0.00000000
0.12906453,1.55724620,0.00237359,0.00000000,0.38014983,1.09584249,0.01621832,0.09479195,0.26400242,0.00000000
0.13506753,1.52148937,0.00234270,0.00000000,0.38078145,1.05295889,0.01558675,0.09643625,0.25896026,0.00000000
0.14107054,1.48766283,0.00231541,0.00000000,0.38044203,1.01180724,0.01491466,0.09780332,0.25375415,0.00000000
0.14707354,1.45610571,0.00229197,0.00000000,0.37919483,0.97280905,0.01420751,0.09886279,0.24839899,0.00000000
0.15307654,1.42714334,0.00227260,0.00000000,0.37712600,0.93636656,0.01347224,0.09958877,0.24291329,0.00000000
0.15907954,1.40109099,0.00225751,0.00000000,0.37434246,0.90286299,0.01271706,0.09996058,0.23732020,0.00000000
0.16508254,1.37825624,0.00224691,0.00000000,0.37096914,0.87266188,0.01195134,0.09996343,0.23164824,0.00000000
0.17108554,1.35893964,0.00224101,0.00000000,0.36714565,0.84610558,0.01118524,0.09958891,0.22593170,0.00000000
0.17708854,1.34343363,0.00224006,0.00000000,0.36302263,0.82351279,0.01042955,0.09883548,0.22021073,0.00000000
0.18309155,1.33201978,0.00224433,0.00000000,0.35875768,0.80517524,0.00969534,0.09770864,0.21453119,0.00000000
0.18909455,1.32496442,0.00225409,0.00000000,0.35451127,0.79135387,0.00899376,0.09622110,0.20894408,0.00000000
0.19509755,1.32251318,0.00226965,0.00000000,0.35044255,0.78227448,0.00833568,0.09439269,0.20350484,0.00000000
0.20110055,1.32488467,0.00229135,0.00000000,0.34670542,0.77812340,0.00773156,0.09225004,0.19827238,0.00000000
0.20710355,1.33226390,0.00231948,0.00000000,0.34344487,0.77904338,0.00719114,0.08982623,0.19330794,0.00000000
0.21310655,1.34479594,0.00235434,0.00000000,0.34079373,0.78512993,0.00672334,0.08716019,0.18867390,0.00000000
0.21910955,1.36258014,0.00239617,0.00000000,0.33887008,0.79642845,0.00633603,0.08429599,0.18443242,0.00000000
0.22511256,1.38566559,0.00244517,0.00000000,0.33777527,0.81293238,0.00603596,0.08128206,0.18064422,0.00000000
0.23111556,1.41404790,0.00250145,0.00000000,0.33759271,0.83458243,0.00582862,0.07817028,0.17736723,0.00000000
0.23711856,1.44766777,0.00256505,0.00000000,0.33838744,0.86126690,0.00571819,0.07501512,0.17465543,0.00000000
0.24312156,1.48641128,0.00263590,0.00000000,0.34020655,0.89282331,0.00570748,0.07187271,0.17255773,0.00000000
0.24912456,1.53011193,0.00271381,0.00000000,0.34308032,0.92904095,0.00579784,0.06879994,0.17111692,0.00000000
0.25512756,1.57855430,0.00279851,0.00000000,0.34702417,0.96966448,0.00598919,0.06585367,0.17036884,0.00000000
0.26113057,1.63147909,0.00288961,0.00000000,0.35204113,1.01439817,0.00627999,0.06308990,0.17034157,0.00000000
0.26713357,1.68858907,0.00298661,0.00000000,0.35812495,1.06291075,0.00666722,0.06056314,0.17105480,0.00000000
0.27313657,1.74955564,0.00308894,0.00000000,0.36526342,1.11484048,0.00714643,0.05832574,0.17251929,0.00000000
0.27913957,1.81402553,0.00319596,0.00000000,0.37344202,1.16980035,0.00771177,0.05642738,0.17473642,0.00000000
0.28514257,1.88162723,0.00330696,0.00000000,0.38264741,1.22738317,0.00835611,0.05491457,0.17769784,0.00000000
0.29114557,1.95197672,0.00342119,0.00000000,0.39287088,1.28716638,0.00907109,0.05383024,0.18138525,0.00000000
0.29714857,2.02468232,0.00353791,0.00000000,0.40411122,1.34871651,0.00984732,0.05321326,0.18577020,0.00000000
0.30315158,2.09934836,0.00365634,0.00000000,0.41637721,1.41159327,0.01067457,0.05309808,0.19081409,0.00000000
0.30915458,2.17557770,0.00377573,0.00000000,0.42968927,1.47535316,0.01154197,0.05351432,0.19646816,0.00000000
0.31515758,2.25297301,0.00389537,0.00000000,0.44408030,1.53955279,0.01243833,0.05448628,0.20267375,0.00000000
0.32116058,2.33113708,0.00401456,0.00000000,0.45959557,1.60375186,0.01335240,0.05603246,0.20936262,0.00000000
0.32716358,2.40967227,0.00413265,0.00000000,0.47629160,1.66751587,0.01427324,0.05816513,0.21645752,0.00000000
0.33316658,2.48817944,0.00424906,0.00000000,0.49423405,1.73041881,0.01519053,0.06088972,0.22387294,0.00000000
0.33916958,2.56625657,0.00436322,0.00000000,0.51349459,1.79204563,0.01609493,0.06420432,0.23151608,0.00000000
0.34517259,2.64349752,0.00447464,0.00000000,0.53414681,1.85199471,0.01697836,0.06809920,0.23928807,0.00000000
0.35117559,2.71949089,0.00458287,0.00000000,0.55626139,1.90988031,0.01783429,0.07255630,0.24708541,0.00000000
0.35717859,2.79381942,0.00468747,0.00000000,0.57990046,1.96533479,0.01865796,0.07754883,0.25480162,0.00000000
0.36318159,2.86605994,0.00478809,0.00000000,0.60511152,2.01801075,0.01944648,0.08304107,0.26232907,0.00000000
0.36918459,2.93578376,0.00488435,0.00000000,0.63192100,2.06758276,0.02019891,0.08898813,0.26956090,0.00000000
0.37518759,3.00255770,0.00497595,0.00000000,0.66032776,2.11374876,0.02091618,0.09533604,0.27639307,0.00000000
0.38119060,3.06594538,0.00506257,0.00000000,0.69029672,2.15623083,0.02160091,0.10202200,0.28272635,0.00000000
0.38719360,3.12550889,0.00514392,0.00000000,0.72175292,2.19477541,0.02225720,0.10897475,0.28846823,0.00000000
0.39319660,3.18081052,0.00521973,0.00000000,0.75457633,2.22915285,0.02289022,0.11611533,0.29353470,0.00000000
0.39919960,3.23141455,0.00528970,0.00000000,0.78859766,2.25915629,0.02350576,0.12335793,0.29785180,0.00000000
0.40520260,3.27688908,0.00535355,0.00000000,0.82359543,2.28460011,0.02410981,0.13061102,0.30135683,0.00000000
0.41120560,3.31680784,0.00541095,0.00000000,0.85929469,2.30531789,0.02470792,0.13777876,0.30399930,0.00000000
0.41720860,3.35075220,0.00546159,0.00000000,0.89536746,2.32116036,0.02530475,0.14476248,0.30574149,0.00000000
0.42321161,3.37831359,0.00550508,0.00000000,0.93143528,2.33199342,0.02590354,0.15146246,0.30655864,0.00000000
0.42921461,3.39909647,0.00554103,0.00000000,0.96707382,2.33769673,0.02650562,0.15777975,0.30643883,0.00000000
0.43521761,3.41272237,0.00556897,0.00000000,1.00181982,2.33816300,0.02711012,0.16361816,0.30538255,0.00000000
0.44122061,3.41883502,0.00558840,0.00000000,1.03518010,2.33329841,0.02771366,0.16888625,0.30340196,0.00000000
0.44722361,3.41710705,0.00559876,0.00000000,1.06664275,2.32302427,0.02831029,0.17349937,0.30052003,0.00000000
0.45322661,3.40724830,0.00559945,0.00000000,1.09569000,2.30728021,0.02889147,0.17738160,0.29676954,0.00000000
0.45922961,3.38901570,0.00558985,0.00000000,1.12181269,2.28602868,0.02944633,0.18046765,0.29219201,0.00000000
0.46523262,3.36222469,0.00556928,0.00000000,1.14452557,2.25926084,0.02996192,0.18270450,0.28683662,0.00000000
0.47123562,3.32676173,0.00553712,0.00000000,1.16338316,2.22700350,0.03042371,0.18405292,0.28075924,0.00000000
0.47723862,3.28259737,0.00549273,0.00000000,1.17799527,2.18932673,0.03081615,0.18448865,0.27402154,0.00000000
0.48324162,3.22979925,0.00543556,0.00000000,1.18804172,2.14635165,0.03112333,0.18400322,0.26669017,0.00000000
0.48924462,3.16854418,0.00536517,0.00000000,1.19328535,2.09825782,0.03132969,0.18260449,0.25883609,0.00000000
0.49524762,3.09912833,0.00528125,0.00000000,1.19358278,2.04528964,0.03142067,0.18031666,0.25053397,0.00000000
0.50125063,3.02197468,0.00518364,0.00000000,1.18889233,1.98776109,0.03138349,0.17717996,0.24186169,0.00000000
0.50725363,2.93763685,0.00507242,0.00000000,1.17927845,1.92605827,0.03120770,0.17324977,0.23289976,0.00000000
0.51325663,2.84679858,0.00494790,0.00000000,1.16491243,1.86063929,0.03088572,0.16859545,0.22373081,0.00000000
0.51925963,2.75026835,0.00481062,0.00000000,1.14606920,1.79203122,0.03041327,0.16329862,0.21443894,0.00000000
0.52526263,2.64896887,0.00466143,0.00000000,1.12312015,1.72082373,0.02978963,0.15745119,0.20510895,0.00000000
0.53126563,2.54392155,0.00450142,0.00000000,1.09652224,1.64765984,0.02901775,0.15115301,0.19582549,0.00000000
0.53726863,2.43622619,0.00433196,0.00000000,1.06680383,1.57322363,0.02810420,0.14450931,0.18667197,0.00000000
0.54327164,2.32703671,0.00415463,0.00000000,1.03454774,1.49822562,0.02705900,0.13762805,0.17772940,0.00000000
0.54927464,2.21753383,0.00397125,0.00000000,1.00037241,1.42338632,0.02589528,0.13061720,0.16907514,0.00000000
0.55527764,2.10889596,0.00378379,0.00000000,0.96491194,1.34941875,0.02462885,0.12358206,0.16078152,0.00000000
0.56128064,2.00226955,0.00359434,0.00000000,0.92879598,1.27701080,0.02327765,0.11662280,0.15291459,0.00000000
