energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
1.02951476,1.57199334,0.04186184,0.09744997,0.24732555,0.19299740,0.03683201,0.16892957,0.80312808,0.99037842
1.03551776,1.54363558,0.04354531,0.09268367,0.24362844,0.19181305,0.03647150,0.16867730,0.78397338,0.97161949
1.04152076,1.52226125,0.04564314,0.08877745,0.24208743,0.19216366,0.03632888,0.16911643,0.76694042,0.95567457
1.04752376,1.50769804,0.04811358,0.08570613,0.24258677,0.19398367,0.03640240,0.17021386,0.75193057,0.94253881
1.05352676,1.49969945,0.05090556,0.08344908,0.24499329,0.19719089,0.03668711,0.17192656,0.73881943,0.93217152
1.05952976,1.49795485,0.05395957,0.08199110,0.24915978,0.20168849,0.03717507,0.17420307,0.72746729,0.92449879
1.06553277,1.50210080,0.05720901,0.08132303,0.25492827,0.20736727,0.03785567,0.17698516,0.71772935,0.91941708
1.07153577,1.51173364,0.06058159,0.08144204,0.26213340,0.21410844,0.03871604,0.18020961,0.70946538,0.91679799
1.07753877,1.52642307,0.06400107,0.08235158,0.27060578,0.22178652,0.03974146,0.18381009,0.70254843,0.91649372
1.08354177,1.54572617,0.06738907,0.08406108,0.28017535,0.23027264,0.04091588,0.18771921,0.69687233,0.91834329
1.08954477,1.56920171,0.07066707,0.08658540,0.29067463,0.23943789,0.04222256,0.19187046,0.69235773,0.92217902
1.09554777,1.59642391,0.07375847,0.08994401,0.30194189,0.24915679,0.04364463,0.19620017,0.68895650,0.92783304
1.10155078,1.62699518,0.07659064,0.09415992,0.31382416,0.25931062,0.04516572,0.20064939,0.68665423,0.93514354
1.10755378,1.66055730,0.07909693,0.09925838,0.32617998,0.26979052,0.04677060,0.20516558,0.68547094,0.94396020
1.11355678,1.69680016,0.08121856,0.10526534,0.33888174,0.28050017,0.04844574,0.20970397,0.68545967,0.95414872
1.11955978,1.73546781,0.08290627,0.11220573,0.35181767,0.29135795,0.05017978,0.21422874,0.68670330,0.96559400
1.12556278,1.77636100,0.08412178,0.12010144,0.36489319,0.30229834,0.05196391,0.21871365,0.68930940,0.97820184
1.13156578,1.81933616,0.08483879,0.12896925,0.37803170,0.31327254,0.05379212,0.22314235,0.69340346,0.99189892
1.13756878,1.86430035,0.08504375,0.13881843,0.39117463,0.32424820,0.05566123,0.22750813,0.69912062,1.00663100
1.14357179,1.91120242,0.08473614,0.14964840,0.40428071,0.33520821,0.05757076,0.23181321,0.70659629,1.02235950
1.14957479,1.96002043,0.08392831,0.16144619,0.41732459,0.34614850,0.05952262,0.23606755,0.71595576,1.03905637
1.15557779,2.01074586,0.08264497,0.17418401,0.43029461,0.35707512,0.06152059,0.24028722,0.72730359,1.05669768
1.16158079,2.06336535,0.08092221,0.18781692,0.44319001,0.36800047,0.06356961,0.24449241,0.74071273,1.07525607
1.16758379,2.11784072,0.07880617,0.20228065,0.45601758,0.37893902,0.06567496,0.24870516,0.75621430,1.09469263
1.17358679,2.17408849,0.07635145,0.21748984,0.46878792,0.38990276,0.06784134,0.25294699,0.77378820,1.11494855
1.17958979,2.23196006,0.07361920,0.23333671,0.48151160,0.40089646,0.07007181,0.25723646,0.79335507,1.13593718
1.18559280,2.29122370,0.07067514,0.24969030,0.49419523,0.41191324,0.07236689,0.26158686,0.81477022,1.15753684
1.19159580,2.35154980,0.06758741,0.26639649,0.50683793,0.42293057,0.07472354,0.26600427,0.83781973,1.17958521
1.19759880,2.41250037,0.06442450,0.28327877,0.51942821,0.43390705,0.07713442,0.27048586,0.86221916,1.20187540
1.20360180,2.47352389,0.06125320,0.30013994,0.53194156,0.44478016,0.07958726,0.27501885,0.88761511,1.22415447
1.20960480,2.53395611,0.05813677,0.31676482,0.54433884,0.45546520,0.08206442,0.27957993,0.91358968,1.24612440
1.21560780,2.59302739,0.05513326,0.33292383,0.55656567,0.46585551,0.08454285,0.28413537,0.93966798,1.26744579
1.22161081,2.64987642,0.05229417,0.34837752,0.56855281,0.47582408,0.08699418,0.28864174,0.96532834,1.28774428
1.22761381,2.70357010,0.04966331,0.36288192,0.58021743,0.48522641,0.08938521,0.29304719,0.99001516,1.30661944
1.23361681,2.75312885,0.04727612,0.37619458,0.59146534,0.49390462,0.09167869,0.29729323,1.01315380,1.32365585
1.23961981,2.79755609,0.04515913,0.38808102,0.60219388,0.50169258,0.09383428,0.30131689,1.03416702,1.33843581
1.24562281,2.83587068,0.04332990,0.39832143,0.61229528,0.50842170,0.09580979,0.30505311,1.05249241,1.35055312
1.25162581,2.86714047,0.04179714,0.40671734,0.62166034,0.51392733,0.09756259,0.30843721,1.06759989,1.35962712
1.25762881,2.89051537,0.04056108,0.41309791,0.63018201,0.51805506,0.09905101,0.31140721,1.07900875,1.36531635
1.26363182,2.90525812,0.03961413,0.41732559,0.63775872,0.52066696,0.10023590,0.31390601,1.08630326,1.36733091
1.26963482,2.91077107,0.03894162,0.41930091,0.64429722,0.52164712,0.10108202,0.31588309,1.08914635,1.36544305
1.27563782,2.90661755,0.03852273,0.41896601,0.64971463,0.52090636,0.10155932,0.31729578,1.08729059,1.35949516
1.28164082,2.89253676,0.03833145,0.41630698,0.65393977,0.51838579,0.10164411,0.31810999,1.08058604,1.34940493
1.28764382,2.86845151,0.03833764,0.41135455,0.65691358,0.51405912,0.10131986,0.31830034,1.06898461,1.33516731
1.29364682,2.83446837,0.03850801,0.40418340,0.65858869,0.50793351,0.10057783,0.31784986,1.05254088,1.31685329
1.29964982,2.79087068,0.03880720,0.39490984,0.65892836,0.50004906,0.09941733,0.31674912,1.03140922,1.29460559
1.30565283,2.73810480,0.03919870,0.38368818,0.65790484,0.49047703,0.09784570,0.31499515,1.00583758,1.26863166
1.31165583,2.67676084,0.03964580,0.37070582,0.65549743,0.47931682,0.09587797,0.31259004,0.97615824,1.23919451
1.31765883,2.60754893,0.04011242,0.35617725,0.65169059,0.46669201,0.09353632,0.30953956,0.94277606,1.20660191
