energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.95997999,1.00518745,0.32405179,0.02038896,0.00199977,0.17752384,0.03965997,0.14922489,0.08241371,0.49096806
1.96598299,0.93423792,0.31410307,0.01896259,0.00187499,0.16835306,0.03540570,0.13866313,0.07381763,0.45096560
1.97198599,0.86736269,0.30566743,0.01768016,0.00176693,0.15900860,0.03154896,0.12866493,0.06619246,0.41411413
1.97798899,0.80522990,0.29919164,0.01655900,0.00167872,0.14962208,0.02809802,0.11933826,0.05957634,0.38070172
1.98399200,0.74847223,0.29514686,0.01561587,0.00161330,0.14032644,0.02505725,0.11078542,0.05399661,0.35098616
1.98999500,0.69768535,0.29402236,0.01486713,0.00157341,0.13125313,0.02242819,0.10310255,0.04947169,0.32519786
1.99599800,0.65342550,0.29631778,0.01432862,0.00156153,0.12252920,0.02021052,0.09637909,0.04601297,0.30354226
2.00200100,0.61620608,0.30253383,0.01401571,0.00157989,0.11427453,0.01840300,0.09069720,0.04362630,0.28620144
2.00800400,0.58649307,0.31316153,0.01394315,0.00163041,0.10659916,0.01700423,0.08613113,0.04231332,0.27333473
2.01400700,0.56469916,0.32867007,0.01412484,0.00171467,0.09960091,0.01601331,0.08274644,0.04207225,0.26507824
2.02001001,0.55117675,0.34949332,0.01457365,0.00183390,0.09336323,0.01543024,0.08059916,0.04289837,0.26154326
2.02601301,0.54620975,0.37601545,0.01530096,0.00198886,0.08795349,0.01525614,0.07973469,0.04478396,0.26281337
2.03201601,0.55000446,0.40855572,0.01631635,0.00217988,0.08342159,0.01549334,0.08018672,0.04771782,0.26894065
2.03801901,0.56267979,0.44735296,0.01762706,0.00240674,0.07979903,0.01614511,0.08197590,0.05168450,0.27994073
2.04402201,0.58425708,0.49255028,0.01923745,0.00266861,0.07709840,0.01721530,0.08510852,0.05666301,0.29578727
2.05002501,0.61465010,0.54418033,0.02114851,0.00296407,0.07531335,0.01870772,0.08957512,0.06262545,0.31640588
2.05602801,0.65365550,0.60215204,0.02335726,0.00329100,0.07441898,0.02062538,0.09534911,0.06953541,0.34166792
2.06203102,0.70094457,0.66623918,0.02585622,0.00364657,0.07437269,0.02296960,0.10238556,0.07734635,0.37138459
2.06803402,0.75605658,0.73607171,0.02863296,0.00402721,0.07511541,0.02573892,0.11062009,0.08600010,0.40530158
2.07403702,0.81839458,0.81113037,0.03166968,0.00442867,0.07657332,0.02892809,0.11996816,0.09542548,0.44309487
2.08004002,0.88722407,0.89074523,0.03494294,0.00484597,0.07865982,0.03252691,0.13032460,0.10553739,0.48436794
2.08604302,0.96167520,0.97409873,0.03842355,0.00527350,0.08127792,0.03651920,0.14156376,0.11623619,0.52865091
2.09204602,1.04074885,1.06023343,0.04207656,0.00570510,0.08432287,0.04088186,0.15354008,0.12740771,0.57540186
2.09804902,1.12332697,1.14806496,0.04586155,0.00613414,0.08768499,0.04558405,0.16608939,0.13892379,0.62401058
2.10405203,1.20818731,1.23639989,0.04973300,0.00655369,0.09125272,0.05058660,0.17903075,0.15064353,0.67380500
2.11005503,1.29402249,1.32395843,0.05364097,0.00695665,0.09491567,0.05584175,0.19216909,0.16241510,0.72406027
2.11605803,1.37946321,1.40940159,0.05753195,0.00733591,0.09856763,0.06129316,0.20529837,0.17407827,0.77401045
2.12206103,1.46310510,1.49136187,0.06134986,0.00768457,0.10210958,0.06687623,0.21820552,0.18546746,0.82286261
2.12806403,1.54353851,1.56847677,0.06503727,0.00799610,0.10545235,0.07251890,0.23067470,0.19641528,0.86981295
2.13406703,1.61938043,1.63942398,0.06853676,0.00826453,0.10851904,0.07814273,0.24249214,0.20675648,0.91406460
