energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.65182591,2.60313265,0.01550602,0.29451283,0.61505300,0.02288723,1.24231527,1.11409172,0.36397842
-5.64582291,2.65368782,0.01521168,0.30080649,0.62487730,0.02454282,1.26877349,1.15832411,0.36680215
-5.63981991,2.70090239,0.01488543,0.30660353,0.63355787,0.02623054,1.29393512,1.20143432,0.36900014
-5.63381691,2.74468384,0.01453733,0.31188246,0.64106573,0.02793463,1.31772973,1.24302630,0.37063190
-5.62781391,2.78488437,0.01417767,0.31661880,0.64736002,0.02963736,1.34005446,1.28268704,0.37175204
-5.62181091,2.82130072,0.01381659,0.32078575,0.65238750,0.03131939,1.36077447,1.31999951,0.37240782
-5.61580790,2.85368068,0.01346371,0.32435554,0.65608370,0.03296024,1.37972659,1.35455806,0.37263768
-5.60980490,2.88173601,0.01312774,0.32730142,0.65837564,0.03453890,1.39672615,1.38598527,0.37247085
-5.60380190,2.90516103,0.01281628,0.32960019,0.65918576,0.03603442,1.41157653,1.41394953,0.37192783
-5.59779890,2.92365555,0.01253560,0.33123502,0.65843689,0.03742662,1.42408085,1.43818228,0.37102201
-5.59179590,2.93695069,0.01229052,0.33219845,0.65605794,0.03869679,1.43405507,1.45849383,0.36976191
-5.58579290,2.94483579,0.01208444,0.33249532,0.65198975,0.03982841,1.44134156,1.47478673,0.36815411
-5.57978989,2.94718420,0.01191935,0.33214531,0.64619085,0.04080774,1.44582232,1.48706558,0.36620655
-5.57378689,2.94397645,0.01179600,0.33118500,0.63864258,0.04162438,1.44743079,1.49544263,0.36393190
-5.56778389,2.93531853,0.01171408,0.32966908,0.62935332,0.04227174,1.44616151,1.50013834,0.36135073
-5.56178089,2.92145423,0.01167248,0.32767075,0.61836156,0.04274732,1.44207688,1.50147668,0.35849434
-5.55577789,2.90277007,0.01166958,0.32528094,0.60573743,0.04305285,1.43531042,1.49987502,0.35540692
-5.54977489,2.87979233,0.01170357,0.32260664,0.59158287,0.04319427,1.42606637,1.49582900,0.35214682
-5.54377189,2.85317600,0.01177271,0.31976798,0.57603020,0.04318155,1.41461529,1.48989271,0.34878696
-5.53776888,2.82368593,0.01187569,0.31689451,0.55923929,0.04302831,1.40128612,1.48265533,0.34541422
-5.53176588,2.79217102,0.01201182,0.31412056,0.54139347,0.04275138,1.38645477,1.47471505,0.34212771
-5.52576288,2.75953274,0.01218127,0.31158006,0.52269449,0.04237013,1.37053001,1.46665166,0.33903620
-5.51975988,2.72668948,0.01238519,0.30940097,0.50335668,0.04190576,1.35393725,1.45899922,0.33625465
-5.51375688,2.69453864,0.01262573,0.30769967,0.48360074,0.04138052,1.33710124,1.45222008,0.33389999
-5.50775388,2.66391837,0.01290606,0.30657547,0.46364742,0.04081694,1.32042828,1.44668178,0.33208649
-5.50175088,2.63557089,0.01323025,0.30610572,0.44371136,0.04023694,1.30428919,1.44263780,0.33092080
-5.49574787,2.61010939,0.01360301,0.30634155,0.42399540,0.03966113,1.28900359,1.44021353,0.33049694
-5.48974487,2.58799001,0.01402945,0.30730472,0.40468560,0.03910811,1.27482653,1.43939787,0.33089150
-5.48374187,2.56949041,0.01451476,0.30898545,0.38594694,0.03859385,1.26193786,1.44004124,0.33215923
-5.47773887,2.55469599,0.01506373,0.31134162,0.36792018,0.03813122,1.25043509,1.44186000,0.33432927
-5.47173587,2.54349427,0.01568041,0.31429926,0.35071952,0.03772967,1.24032979,1.44444715,0.33740219
-5.46573287,2.53557787,0.01636763,0.31775436,0.33443138,0.03739505,1.23154795,1.44728884,0.34134793
-5.45972986,2.53045580,0.01712658,0.32157585,0.31911416,0.03712957,1.22393401,1.44978596,0.34610486
-5.45372686,2.52747253,0.01795646,0.32560977,0.30479885,0.03693192,1.21725843,1.45127968,0.35157993
-5.44772386,2.52583397,0.01885417,0.32968434,0.29149050,0.03679755,1.21122851,1.45107989,0.35765000
-5.44172086,2.52463922,0.01981407,0.33361570,0.27917039,0.03671904,1.20550179,1.44849502,0.36416429
-5.43571786,2.52291650,0.02082793,0.33721417,0.26779876,0.03668659,1.19970152,1.44286206,0.37094789
-5.42971486,2.51966188,0.02188486,0.34029067,0.25731805,0.03668865,1.19343346,1.43357522,0.37780633
-5.42371186,2.51387903,0.02297153,0.34266310,0.24765638,0.03671248,1.18630326,1.42011202,0.38453084
-5.41770885,2.50461830,0.02407237,0.34416242,0.23873126,0.03674487,1.17793366,1.40205570,0.39090443
-5.41170585,2.49101357,0.02517002,0.34463814,0.23045340,0.03677279,1.16798084,1.37911291,0.39670831
-5.40570285,2.47231541,0.02624574,0.34396307,0.22273042,0.03678397,1.15614911,1.35112613,0.40172860
-5.39969985,2.44791920,0.02728008,0.34203726,0.21547041,0.03676751,1.14220348,1.31808028,0.40576299
-5.39369685,2.41738719,0.02825342,0.33879073,0.20858525,0.03671432,1.12597947,1.28010346,0.40862721
-5.38769385,2.38046385,0.02914671,0.33418530,0.20199351,0.03661748,1.10738994,1.23746199,0.41016092
-5.38169085,2.33708391,0.02994210,0.32821516,0.19562304,0.03647247,1.08642864,1.19055019,0.41023292
-5.37568784,2.28737313,0.03062353,0.32090645,0.18941294,0.03627728,1.06317036,1.13987552,0.40874549
-5.36968484,2.23164196,0.03117736,0.31231574,0.18331510,0.03603234,1.03776792,1.08603998,0.40563753
-5.36368184,2.17037261,0.03159275,0.30252764,0.17729513,0.03574038,1.01044613,1.02971884,0.40088657
-5.35767884,2.10420044,0.03186209,0.29165164,0.17133275,0.03540605,0.98149310,0.97163764,0.39450951
-5.35167584,2.03389049,0.03198112,0.27981827,0.16542173,0.03503560,0.95124942,0.91254867,0.38656202
-5.34567284,1.96031068,0.03194906,0.26717486,0.15956922,0.03463631,0.92009591,0.85320801,0.37713675
-5.33966983,1.88440275,0.03176853,0.25388103,0.15379476,0.03421601,0.88844032,0.79435399,0.36636032
-5.33366683,1.80715248,0.03144532,0.24010406,0.14812897,0.03378248,0.85670400,0.73668799,0.35438939
-5.32766383,1.72956046,0.03098809,0.22601435,0.14261187,0.03334290,0.82530887,0.68085823,0.34140586
-5.32166083,1.65261464,0.03040794,0.21178111,0.13729122,0.03290339,0.79466549,0.62744693,0.32761145
-5.31565783,1.57726587,0.02971793,0.19756842,0.13222064,0.03246853,0.76516275,0.57696123,0.31322204
-5.30965483,1.50440698,0.02893252,0.18353174,0.12745787,0.03204109,0.73715942,0.52982768,0.29846171
-5.30365183,1.43485638,0.02806704,0.16981495,0.12306304,0.03162181,0.71097798,0.48639034,0.28355706
-5.29764882,1.36934607,0.02713717,0.15654803,0.11909716,0.03120933,0.68690066,0.44691212,0.26873170
-5.29164582,1.30851429,0.02615841,0.14384531,0.11562068,0.03080030,0.66516778,0.41157868,0.25420130
-5.28564282,1.25290242,0.02514568,0.13180437,0.11269228,0.03038951,0.64597807,0.38050464,0.24016926
-5.27963982,1.20295553,0.02411297,0.12050543,0.11036783,0.02997029,0.62949056,0.35374117,0.22682300
-5.27363682,1.15902585,0.02307304,0.11001136,0.10869941,0.02953485,0.61582771,0.33128434,0.21433102
-5.26763382,1.12137823,0.02203725,0.10036809,0.10773442,0.02907484,0.60507914,0.31308381,0.20284068
-5.26163082,1.09019655,0.02101548,0.09160538,0.10751468,0.02858179,0.59730543,0.29905083,0.19247660
-5.25562781,1.06559021,0.02001608,0.08373787,0.10807549,0.02804773,0.59254141,0.28906557,0.18333969
-5.24962481,1.04759962,0.01904595,0.07676639,0.10944459,0.02746559,0.59079851,0.28298288,0.17550659
-5.24362181,1.03620023,0.01811059,0.07067929,0.11164090,0.02682974,0.59206581,0.28063664,0.16902955
-5.23761881,1.03130431,0.01721427,0.06545386,0.11467328,0.02613627,0.59630945,0.28184235,0.16393654
-5.23161581,1.03276053,0.01636015,0.06105770,0.11853900,0.02538332,0.60347051,0.28639810,0.16023159
-5.22561281,1.04035117,0.01555043,0.05745009,0.12322221,0.02457116,0.61346129,0.29408402,0.15789518
-5.21960980,1.05378751,0.01478647,0.05458311,0.12869245,0.02370228,0.62616045,0.30466069,0.15688484
-5.21360680,1.07270393,0.01406893,0.05240285,0.13490316,0.02278122,0.64140734,0.31786661,0.15713578
-5.20760380,1.09665163,0.01339789,0.05085031,0.14179060,0.02181446,0.65899618,0.33341553,0.15856166
-5.20160080,1.12509293,0.01277285,0.04986231,0.14927293,0.02081006,0.67867070,0.35099391,0.16105557
-5.19559780,1.15739737,0.01219283,0.04937235,0.15725005,0.01977733,0.70011995,0.37025910,0.16449131
-5.18959480,1.19284048,0.01165638,0.04931133,0.16560383,0.01872641,0.72297606,0.39083877,0.16872498
-5.18359180,1.23060646,0.01116161,0.04960835,0.17419931,0.01766786,0.74681438,0.41233181,0.17359702
-5.17758879,1.26979519,0.01070617,0.05019147,0.18288655,0.01661223,0.77115666,0.43431121,0.17893477
-5.17158579,1.30943438,0.01028728,0.05098858,0.19150338,0.01556966,0.79547739,0.45632894,0.18455555
-5.16558279,1.34849684,0.00990177,0.05192826,0.19987896,0.01454953,0.81921357,0.47792288,0.19027027
-5.15957979,1.38592257,0.00954610,0.05294080,0.20783805,0.01356023,0.84177758,0.49862568,0.19588752
-5.15357679,1.42064536,0.00921640,0.05395916,0.21520585,0.01260889,0.86257295,0.51797530,0.20121814
-5.14757379,1.45162261,0.00890860,0.05492014,0.22181329,0.01170130,0.88101226,0.53552679,0.20607998
-5.14157079,1.47786740,0.00861849,0.05576540,0.22750248,0.01084188,0.89653659,0.55086475,0.21030283
-5.13556778,1.49848119,0.00834183,0.05644260,0.23213212,0.01003368,0.90863545,0.56361602,0.21373331
-5.12956478,1.51268557,0.00807449,0.05690632,0.23558255,0.00927857,0.91686620,0.57346172,0.21623940
-5.12356178,1.51985152,0.00781259,0.05711906,0.23776028,0.00857731,0.92087210,0.58014826,0.21771455
-5.11755878,1.51952447,0.00755260,0.05705186,0.23860168,0.00792987,0.92039780,0.58349651,0.21808114
-5.11155578,1.51144392,0.00729149,0.05668492,0.23807566,0.00733560,0.91530165,0.58340875,0.21729294
-5.10555278,1.49555651,0.00702678,0.05600782,0.23618515,0.00679354,0.90556399,0.57987292,0.21533676
-5.09954977,1.47202176,0.00675667,0.05501963,0.23296744,0.00630268,0.89129100,0.57296390,0.21223294
-5.09354677,1.44121014,0.00648002,0.05372861,0.22849307,0.00586224,0.87271391,0.56284184,0.20803468
-5.08754377,1.40369364,0.00619644,0.05215176,0.22286364,0.00547184,0.85018366,0.54974742,0.20282643
-5.08154077,1.36022916,0.00590621,0.05031407,0.21620837,0.00513180,0.82416113,0.53399438,0.19672117
-5.07553777,1.31173571,0.00561027,0.04824759,0.20867971,0.00484323,0.79520363,0.51595968,0.18985686
-5.06953477,1.25926652,0.00531013,0.04599029,0.20044822,0.00460821,0.76394829,0.49607176,0.18239221
-5.06353177,1.20397749,0.00500776,0.04358482,0.19169689,0.00442985,0.73109311,0.47479742,0.17450191
-5.05752876,1.14709336,0.00470552,0.04107721,0.18261521,0.00431232,0.69737674,0.45262802,0.16637165
-5.05152576,1.08987339,0.00440599,0.03851552,0.17339329,0.00426083,0.66355785,0.43006566,0.15819303
-5.04552276,1.03357782,0.00411185,0.03594854,0.16421616,0.00428159,0.63039497,0.40760979,0.15015863
-5.03951976,0.97943653,0.00382580,0.03342455,0.15525868,0.00438168,0.59862770,0.38574498,0.14245743
-5.03351676,0.92862102,0.00355037,0.03099026,0.14668110,0.00456887,0.56895991,0.36493016,0.13527071
-5.02751376,0.88222055,0.00328789,0.02868978,0.13862539,0.00485145,0.54204542,0.34558972,0.12876853
-5.02151076,0.84122283,0.00304036,0.02656384,0.13121264,0.00523794,0.51847653,0.32810666,0.12310686
-5.01550775,0.80649959,0.00280941,0.02464914,0.12454135,0.00573686,0.49877549,0.31281780,0.11842545
-5.00950475,0.77879693,0.00259625,0.02297786,0.11868670,0.00635631,0.48338877,0.30001106,0.11484623
-5.00350175,0.75872987,0.00240166,0.02157734,0.11370076,0.00710373,0.47268405,0.28992460,0.11247239
-4.99749875,0.74678077,0.00222598,0.02046988,0.10961352,0.00798543,0.46694944,0.28274740,0.11138790
-4.99149575,0.74330068,0.00206916,0.01967260,0.10643452,0.00900626,0.46639442,0.27862124,0.11165741
-4.98549275,0.74851287,0.00193075,0.01919753,0.10415511,0.01016923,0.47115219,0.27764326,0.11332645
-4.97948974,0.76251772,0.00180999,0.01905157,0.10275103,0.01147516,0.48128273,0.27986911,0.11642173
-4.97348674,0.78529820,0.00170583,0.01923663,0.10218515,0.01292231,0.49677612,0.28531603,0.12095148
-4.96748374,0.81672527,0.00161704,0.01974978,0.10241028,0.01450618,0.51755586,0.29396560,0.12690575
-4.96148074,0.85656275,0.00154221,0.02058334,0.10337191,0.01621926,0.54348168,0.30576603,0.13425665
-4.95547774,0.90447141,0.00147985,0.02172503,0.10501060,0.01805096,0.57435187,0.32063357,0.14295841
-4.94947474,0.96001222,0.00142843,0.02315816,0.10726418,0.01998756,0.60990494,0.33845326,0.15294742
-4.94347174,1.02264878,0.00138642,0.02486176,0.11006947,0.02201234,0.64982081,0.35907884,0.16414211
-4.93746873,1.09174953,0.00135234,0.02681079,0.11336361,0.02410579,0.69372170,0.38233206,0.17644292
-4.93146573,1.16658987,0.00132478,0.02897638,0.11708494,0.02624595,0.74117294,0.40800161,0.18973236
-4.92546273,1.24635506,0.00130243,0.03132609,0.12117346,0.02840881,0.79168426,0.43584194,0.20387523
-4.91945973,1.33014427,0.00128410,0.03382429,0.12557096,0.03056892,0.84471171,0.46557228,0.21871926
-4.91345673,1.41697652,0.00126868,0.03643259,0.13022078,0.03269995,0.89966078,0.49687633,0.23409603
-4.90745373,1.50579892,0.00125522,0.03911031,0.13506740,0.03477540,0.95589090,0.52940275,0.24982249
-4.90145073,1.59549755,0.00124284,0.04181515,0.14005576,0.03676927,1.01272171,0.56276695,0.26570298
-4.89544772,1.68491121,0.00123080,0.04450383,0.14513066,0.03865675,1.06944108,0.59655428,0.28153181
-4.88944472,1.77284803,0.00121842,0.04713287,0.15023605,0.04041489,1.12531495,0.63032474,0.29709646
-4.88344172,1.85810458,0.00120515,0.04965942,0.15531446,0.04202314,1.17959898,0.66361935,0.31218117
-4.87743872,1.93948725,0.00119047,0.05204208,0.16030656,0.04346386,1.23155147,0.69596797,0.32657102
-4.87143572,2.01583494,0.00117399,0.05424180,0.16515096,0.04472267,1.28044741,0.72689836,0.34005629
-4.86543272,2.08604261,0.00115534,0.05622269,0.16978422,0.04578867,1.32559306,0.75594632,0.35243691
-4.85942971,2.14908453,0.00113425,0.05795286,0.17414116,0.04665450,1.36634049,0.78266634,0.36352689
-4.85342671,2.20403644,0.00111051,0.05940508,0.17815546,0.04731631,1.40210155,0.80664237,0.37315860
-4.84742371,2.25009559,0.00108396,0.06055743,0.18176046,0.04777355,1.43236060,0.82749828,0.38118657
-4.84142071,2.28659793,0.00105453,0.06139376,0.18489032,0.04802863,1.45668557,0.84490741,0.38749087
-4.83541771,2.31303163,0.00102221,0.06190400,0.18748128,0.04808659,1.47473679,0.85860083,0.39197974
-4.82941471,2.32904646,0.00098706,0.06208438,0.18947315,0.04795459,1.48627323,0.86837384,0.39459153
-4.82341171,2.33445867,0.00094922,0.06193738,0.19081091,0.04764145,1.49115603,0.87409053,0.39529581
-4.81740870,2.32925132,0.00090889,0.06147166,0.19144621,0.04715719,1.48934917,0.87568603,0.39409358
-4.81140570,2.31357007,0.00086634,0.06070172,0.19133905,0.04651256,1.48091729,0.87316651,0.39101678
-4.80540270,2.28771495,0.00082190,0.05964752,0.19045914,0.04571868,1.46602097,0.86660689,0.38612694
-4.79939970,2.25212848,0.00077598,0.05833399,0.18878720,0.04478674,1.44490966,0.85614653,0.37951321
-4.79339670,2.20738081,0.00072900,0.05679044,0.18631595,0.04372777,1.41791280,0.84198304,0.37128984
-4.78739370,2.15415283,0.00068146,0.05504997,0.18305091,0.04255257,1.38542945,0.82436465,0.36159322
-4.78139070,2.09321771,0.00063387,0.05314887,0.17901066,0.04127163,1.34791701,0.80358160,0.35057867
-4.77538769,2.02542203,0.00058679,0.05112598,0.17422696,0.03989525,1.30587955,0.77995681,0.33841705
-4.76938469,1.95166696,0.00054078,0.04902217,0.16874431,0.03843360,1.25985610,0.75383652,0.32529135
-4.76338169,1.87289027,0.00049642,0.04687982,0.16261923,0.03689697,1.21040945,0.72558113,0.31139344
-4.75737869,1.79004964,0.00045432,0.04474242,0.15591916,0.03529589,1.15811568,0.69555667,0.29692094
-4.75137569,1.70410769,0.00041511,0.04265415,0.14872102,0.03364138,1.10355472,0.66412717,0.28207432
-4.74537269,1.61601890,0.00037942,0.04065965,0.14110957,0.03194511,1.04730217,0.63164813,0.26705436
-4.73936968,1.52671856,0.00034795,0.03880369,0.13317548,0.03021953,0.98992225,0.59846128,0.25205983
-4.73336668,1.43711372,0.00032142,0.03713098,0.12501335,0.02847800,0.93196221,0.56489054,0.23728549
-4.72736368,1.34807593,0.00030063,0.03568595,0.11671968,0.02673482,0.87394777,0.53123920,0.22292027
-4.72136068,1.26043566,0.00028649,0.03451244,0.10839082,0.02500521,0.81637982,0.49778819,0.20914576
-4.71535768,1.17497802,0.00028000,0.03365340,0.10012107,0.02330526,0.75973197,0.46479530,0.19613472
-4.70935468,1.09243956,0.00028230,0.03315047,0.09200094,0.02165182,0.70444898,0.43249511,0.18404971
-4.70335168,1.01350577,0.00029474,0.03304341,0.08411562,0.02006232,0.65094579,0.40109946,0.17304181
-4.69734867,0.93880916,0.00031882,0.03336945,0.07654380,0.01855465,0.59960703,0.37079829,0.16324915
-4.69134567,0.86892746,0.00035629,0.03416248,0.06935668,0.01714689,0.55078688,0.34176054,0.15479556
-4.68534267,0.80438199,0.00040914,0.03545204,0.06261735,0.01585719,0.50480913,0.31413518,0.14778900
-4.67933967,0.74563586,0.00047960,0.03726223,0.05638051,0.01470351,0.46196734,0.28805203,0.14231994
-4.67333667,0.69309200,0.00057017,0.03961059,0.05069235,0.01370341,0.42252493,0.26362246,0.13845974
-4.66733367,0.64709104,0.00068356,0.04250676,0.04559081,0.01287393,0.38671527,0.24093989,0.13625891
-4.66133067,0.60790894,0.00082274,0.04595135,0.04110593,0.01223130,0.35474150,0.22008001,0.13574550
-4.65532766,0.57575442,0.00099082,0.04993470,0.03726039,0.01179080,0.32677621,0.20110093,0.13692359
-4.64932466,0.55076638,0.00119106,0.05443595,0.03407004,0.01156651,0.30296072,0.18404309,0.13977201
-4.64332166,0.53301127,0.00142674,0.05942224,0.03154460,0.01157109,0.28340415,0.16892918,0.14424335
-4.63731866,0.52248067,0.00170107,0.06484830,0.02968813,0.01181549,0.26818199,0.15576402,0.15026354
-4.63131566,0.51908913,0.00201710,0.07065641,0.02849952,0.01230868,0.25733442,0.14453452,0.15773184
-4.62531266,0.52267245,0.00237755,0.07677684,0.02797281,0.01305726,0.25086416,0.13520972,0.16652157
-4.61930965,0.53298666,0.00278469,0.08312879,0.02809734,0.01406511,0.24873409,0.12774105,0.17648158
-4.61330665,0.54970777,0.00324017,0.08962191,0.02885776,0.01533298,0.25086463,0.12206278,0.18743848
-4.60730365,0.57243264,0.00374483,0.09615837,0.03023381,0.01685805,0.25713105,0.11809270,0.19919970
-4.60130065,0.60068106,0.00429861,0.10263543,0.03220005,0.01863352,0.26736088,0.11573304,0.21155742
-4.59529765,0.63389926,0.00490032,0.10894854,0.03472539,0.02064821,0.28133167,0.11487172,0.22429321
-4.58929465,0.67146511,0.00554755,0.11499483,0.03777262,0.02288622,0.29876926,0.11538380,0.23718339
-4.58329165,0.71269512,0.00623658,0.12067684,0.04129798,0.02532668,0.31934699,0.11713327,0.25000499
-4.57728864,0.75685335,0.00696229,0.12590650,0.04525069,0.02794362,0.34268600,0.11997503,0.26254207
-4.57128564,0.80316225,0.00771813,0.13060904,0.04957277,0.03070597,0.36835694,0.12375720,0.27459230
-4.56528264,0.85081551,0.00849616,0.13472680,0.05419892,0.03357774,0.39588327,0.12832360,0.28597352
-4.55927964,0.89899267,0.00928715,0.13822267,0.05905679,0.03651840,0.42474644,0.13351644,0.29653008
-4.55327664,0.94687536,0.01008068,0.14108306,0.06406750,0.03948347,0.45439286,0.13917926,0.30613868
-4.54727364,0.99366476,0.01086535,0.14332023,0.06914648,0.04242525,0.48424279,0.14515984,0.31471349
-4.54127064,1.03859986,0.01162904,0.14497385,0.07420471,0.04529385,0.51370102,0.15131326,0.32221035
-4.53526763,1.08097591,0.01235918,0.14611156,0.07915026,0.04803825,0.54216900,0.15750494,0.32862970
-4.52926463,1.12016249,0.01304312,0.14682870,0.08389014,0.05060762,0.56905827,0.16361342,0.33401824
-4.52326163,1.15562034,0.01366844,0.14724686,0.08833240,0.05295264,0.59380453,0.16953310,0.33846900
-4.51725863,1.18691628,0.01422337,0.14751144,0.09238839,0.05502690,0.61588203,0.17517645,0.34211985
-4.51125563,1.21373544,0.01469710,0.14778817,0.09597511,0.05678827,0.63481752,0.18047586,0.34515026
-4.50525263,1.23589002,0.01508020,0.14825868,0.09901752,0.05820018,0.65020328,0.18538488,0.34777645
-4.49924962,1.25332401,0.01536485,0.14911516,0.10145075,0.05923278,0.66170863,0.18987877,0.35024487
