energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-5.81390695,2.05952935,0.69765961,0.14142299,0.00371444,0.35248442,2.53445004,0.76794001,0.00623530,0.57363352
-5.80790395,1.97912082,0.66912696,0.14172416,0.00347943,0.33617609,2.43215330,0.73511287,0.00601222,0.55567103
-5.80190095,1.90804685,0.64321091,0.14320674,0.00330224,0.32086043,2.33358130,0.70654697,0.00583052,0.54050514
-5.79589795,1.84742117,0.62017673,0.14589496,0.00318019,0.30679198,2.24030871,0.68271492,0.00569375,0.52833697
-5.78989495,1.79820500,0.60025984,0.14979743,0.00310995,0.29420999,2.15385042,0.66401110,0.00560450,0.51933160
-5.78389195,1.76119489,0.58366258,0.15490645,0.00308758,0.28333530,2.07563542,0.65074792,0.00556441,0.51361492
-5.77788894,1.73701347,0.57055117,0.16119764,0.00310867,0.27436744,2.00698110,0.64315376,0.00557414,0.51127112
-5.77188594,1.72610301,0.56105269,0.16862999,0.00316835,0.26748176,1.94906823,0.64137248,0.00563348,0.51234084
-5.76588294,1.72872139,0.55525247,0.17714622,0.00326142,0.26282663,1.90291702,0.64546415,0.00574142,0.51682021
-5.75987994,1.74494037,0.55319159,0.18667356,0.00338239,0.26052069,1.86936440,0.65540686,0.00589624,0.52466044
-5.75387694,1.77464585,0.55486483,0.19712491,0.00352558,0.26065012,1.84904318,0.67109934,0.00609566,0.53576843
-5.74787394,1.81754006,0.56021899,0.20840030,0.00368520,0.26326605,1.84236347,0.69236427,0.00633692,0.55000787
-5.74187094,1.87314534,0.56915179,0.22038869,0.00385544,0.26838213,1.84949684,0.71895210,0.00661696,0.56720124
-5.73586793,1.94080965,0.58151121,0.23296993,0.00403058,0.27597244,1.87036396,0.75054515,0.00693252,0.58713228
-5.72986493,2.01971353,0.59709560,0.24601700,0.00420506,0.28596981,1.90462611,0.78676220,0.00728022,0.60954905
-5.72386193,2.10887866,0.61565449,0.25939815,0.00437361,0.29826464,1.95168142,0.82716317,0.00765670,0.63416732
-5.71785893,2.20717797,0.63689012,0.27297915,0.00453131,0.31270455,2.01066616,0.87125424,0.00805864,0.66067438
-5.71185593,2.31334747,0.66045990,0.28662541,0.00467369,0.32909482,2.08046173,0.91849318,0.00848284,0.68873300
-5.70585293,2.42599974,0.68597975,0.30020389,0.00479681,0.34719984,2.15970770,0.96829505,0.00892620,0.71798551
-5.69984992,2.54363935,0.71302838,0.31358484,0.00489735,0.36674560,2.24682112,1.02003846,0.00938570,0.74805803
-5.69384692,2.66468032,0.74115259,0.32664321,0.00497263,0.38742338,2.34002227,1.07307215,0.00985842,0.77856477
-5.68784392,2.78746558,0.76987349,0.33925985,0.00502066,0.40889457,2.43736665,1.12672241,0.01034137,0.80911235
-5.68184092,2.91028874,0.79869384,0.35132236,0.00504018,0.43079653,2.53678281,1.18030095,0.01083150,0.83930437
-5.67583792,3.03141798,0.82710621,0.36272582,0.00503061,0.45274959,2.63611553,1.23311369,0.01132561,0.86874609
-5.66983492,3.14912214,0.85460216,0.37337326,0.00499209,0.47436480,2.73317339,1.28447020,0.01182021,0.89704943
-5.66383192,3.26169884,0.88068208,0.38317605,0.00492540,0.49525243,2.82577955,1.33369386,0.01231149,0.92383836
-5.65782891,3.36750427,0.90486578,0.39205437,0.00483192,0.51503087,2.91182459,1.38013280,0.01279527,0.94875469
-5.65182591,3.46498449,0.92670340,0.39993766,0.00471356,0.53333568,2.98931973,1.42317131,0.01326697,0.97146442
-5.64582291,3.55270747,0.94578665,0.40676526,0.00457269,0.54982855,3.05644881,1.46224170,0.01372163,0.99166449
-5.63981991,3.62939537,0.96175980,0.41248729,0.00441204,0.56420577,3.11161741,1.49683636,0.01415392,1.00909003
-5.63381691,3.69395635,0.97433045,0.41706581,0.00423462,0.57620603,3.15349735,1.52651974,0.01455832,1.02352189
-5.62781391,3.74551484,0.98327943,0.42047620,0.00404364,0.58561725,3.18106504,1.55093994,0.01492918,1.03479436
-5.62181091,3.78343956,0.98846963,0.42270881,0.00384241,0.59228218,3.19363226,1.56983953,0.01526093,1.04280277
-5.61580790,3.80736810,0.98985347,0.42377088,0.00363428,0.59610257,3.19086819,1.58306533,0.01554832,1.04751063
-5.60980490,3.81722720,0.98747850,0.42368845,0.00342257,0.59704188,3.17281191,1.59057664,0.01578660,1.04895610
-5.60380190,3.81324770,0.98149097,0.42250830,0.00321051,0.59512633,3.13987481,1.59245149,0.01597181,1.04725728
-5.59779890,3.79597316,0.97213713,0.42029977,0.00300121,0.59044436,3.09283278,1.58889076,0.01610102,1.04261597
-5.59179590,3.76626160,0.95976190,0.41715619,0.00279763,0.58314451,3.03280850,1.58021948,0.01617254,1.03531955
-5.58579290,3.72527949,0.94480504,0.41319587,0.00260257,0.57343182,2.96124435,1.56688536,0.01618616,1.02574056
-5.57978989,3.67448762,0.92779455,0.40856235,0.00241865,0.56156281,2.87986686,1.54945403,0.01614328,1.01433378
-5.57378689,3.61561872,0.90933744,0.40342394,0.00224832,0.54783941,2.79064383,1.52860100,0.01604704,1.00163050
-5.56778389,3.55064670,0.89010801,0.39797225,0.00209387,0.53260175,2.69573562,1.50510027,0.01590232,0.98822995
-5.56178089,3.48174790,0.87083381,0.39241976,0.00195747,0.51622029,2.59744193,1.47980962,0.01571576,0.97478778
-5.55577789,3.41125487,0.85227949,0.38699621,0.00184115,0.49908734,2.49814561,1.45365272,0.01549564,0.96200176
-5.54977489,3.34160365,0.83522900,0.38194407,0.00174681,0.48160827,2.40025525,1.42759854,0.01525164,0.95059495
-5.54377189,3.27527554,0.82046648,0.37751288,0.00167628,0.46419262,2.30614778,1.40263830,0.01499468,0.94129668
-5.53776888,3.21473492,0.80875634,0.37395279,0.00163126,0.44724524,2.21811262,1.37976067,0.01473649,0.93482178
-5.53176588,3.16236478,0.80082302,0.37150731,0.00161335,0.43115785,2.13829868,1.35992593,0.01448931,0.93184880
-5.52576288,3.12040180,0.79733093,0.37040568,0.00162403,0.41630092,2.06866528,1.34403973,0.01426546,0.93299779
-5.51975988,3.09087310,0.79886536,0.37085489,0.00166462,0.40301634,2.01093805,1.33292758,0.01407683,0.93880848
-5.51375688,3.07553681,0.80591458,0.37303198,0.00173623,0.39161088,1.96657073,1.32731078,0.01393452,0.94971970
-5.50775388,3.07582866,0.81885411,0.37707657,0.00183974,0.38235049,1.93671362,1.32778487,0.01384832,0.96605092
-5.50175088,3.09281666,0.83793342,0.38308436,0.00197571,0.37545589,1.92218934,1.33480137,0.01382633,0.98798663
-5.49574787,3.12716599,0.86326573,0.39110163,0.00214436,0.37109913,1.92347652,1.34865389,0.01387457,1.01556449
-5.48974487,3.17911552,0.89482132,0.40112121,0.00234545,0.36940159,1.94070166,1.36946901,0.01399673,1.04866783
-5.48374187,3.24846765,0.93242471,0.41308011,0.00257824,0.37043320,1.97363966,1.39720266,0.01419387,1.08702311
-5.47773887,3.33459204,0.97575597,0.42685909,0.00284142,0.37421303,2.02172301,1.43164232,0.01446436,1.13020262
-5.47173587,3.43644365,1.02435631,0.44228425,0.00313307,0.38071119,2.08405960,1.47241498,0.01480379,1.17763274
-5.46573287,3.55259489,1.07763780,0.45913069,0.00345061,0.38985194,2.15945878,1.51900082,0.01520508,1.22860753
-5.45972986,3.68128087,1.13489720,0.47712815,0.00379078,0.40151790,2.24646522,1.57075200,0.01565865,1.28230748
-5.45372686,3.82045614,1.19533339,0.49596859,0.00414964,0.41555526,2.34339966,1.62691591,0.01615267,1.33782274
-5.44772386,3.96786092,1.25806792,0.51531533,0.00452260,0.43177963,2.44840539,1.68666192,0.01667345,1.39418017
-5.44172086,4.12109411,1.32216798,0.53481346,0.00490447,0.44998242,2.55949915,1.74911032,0.01720587,1.45037313
-5.43571786,4.27768984,1.38667100,0.55410114,0.00528952,0.46993739,2.67462469,1.81336224,0.01773388,1.50539278
-5.42971486,4.43519455,1.45060997,0.57282122,0.00567165,0.49140710,2.79170731,1.87852915,0.01824105,1.55825982
-5.42371186,4.59124092,1.51303847,0.59063283,0.00604443,0.51414892,2.90870725,1.94376044,0.01871112,1.60805504
-5.41770885,4.74361553,1.57305452,0.60722223,0.00640133,0.53792044,3.02367018,2.00826789,0.01912855,1.65394762
-5.41170585,4.89031714,1.62982228,0.62231258,0.00673584,0.56248387,3.13477275,2.07134581,0.01947905,1.69521970
-5.40570285,5.02960319,1.68259081,0.63567216,0.00704170,0.58760941,3.24036150,2.13238601,0.01975006,1.73128634
-5.39969985,5.16002256,1.73070924,0.64712064,0.00731300,0.61307742,3.33898397,2.19088685,0.01993115,1.76170988
-5.39369685,5.28043339,1.77363781,0.65653313,0.00754444,0.63867927,3.42941069,2.24645630,0.02001431,1.78620809
-5.38769385,5.39000584,1.81095455,0.66384186,0.00773144,0.66421705,3.51064776,2.29880889,0.01999423,1.80465592
-5.38169085,5.48821017,1.84235757,0.66903559,0.00787029,0.68950223,3.58193975,2.34775713,0.01986835,1.81708084
-5.37568784,5.57479148,1.86766304,0.67215655,0.00795830,0.71435343,3.64276358,2.39319807,0.01963689,1.82365209
-5.36968484,5.64973341,1.88679940,0.67329542,0.00799382,0.73859363,3.69281415,2.43509611,0.01930276,1.82466462
-5.36368184,5.71321318,1.89979824,0.67258448,0.00797633,0.76204712,3.73198299,2.47346328,0.01887134,1.82051852
-5.35767884,5.76555124,1.90678256,0.67018941,0.00790645,0.78453653,3.76033186,2.50833834,0.01835021,1.81169529
-5.35167584,5.80715885,1.90795329,0.66630010,0.00778586,0.80588032,3.77806285,2.53976617,0.01774883,1.79873198
-5.34567284,5.83848673,1.90357481,0.66112113,0.00761731,0.82589098,3.78548708,2.56777879,0.01707806,1.78219484
-5.33966983,5.85997801,1.89396028,0.65486221,0.00740442,0.84437426,3.78299396,2.59237916,0.01634984,1.76265349
-5.33366683,5.87202806,1.87945750,0.64772921,0.00715164,0.86112960,3.77102258,2.61352890,0.01557665,1.74065723
-5.32766383,5.87495339,1.86043602,0.63991604,0.00686401,0.87595182,3.75003678,2.63114043,0.01477116,1.71671417
-5.32166083,5.86897093,1.83727579,0.63159789,0.00654707,0.88863423,3.72050500,2.64507414,0.01394580,1.69127437
-5.31565783,5.85418846,1.81035779,0.62292591,0.00620662,0.89897287,3.68288549,2.65514042,0.01311240,1.66471744
-5.30965483,5.83060613,1.78005678,0.61402362,0.00584859,0.90677180,3.63761722,2.66110652,0.01228190,1.63734485
-5.30365183,5.79812809,1.74673600,0.60498498,0.00547883,0.91184924,3.58511625,2.66270740,0.01146411,1.60937717
-5.29764882,5.75658312,1.71074395,0.59587418,0.00510299,0.91404405,3.52577692,2.65965995,0.01066752,1.58095590
-5.29164582,5.70575199,1.67241263,0.58672695,0.00472638,0.91322234,3.45997715,2.65167946,0.00989925,1.55214934
-5.28564282,5.64539962,1.63205722,0.57755316,0.00435381,0.90928379,3.38808668,2.63849730,0.00916492,1.52296207
-5.27963982,5.57530941,1.58997664,0.56834053,0.00398959,0.90216722,3.31047694,2.61987864,0.00846876,1.49334691
-5.27363682,5.49531737,1.54645467,0.55905909,0.00363739,0.89185517,3.22753157,2.59563906,0.00781360,1.46321878
-5.26763382,5.40534393,1.50176133,0.54966607,0.00330026,0.87837719,3.13965622,2.56565923,0.00720105,1.43246932
-5.26163082,5.30542126,1.45615412,0.54011099,0.00298061,0.86181154,3.04728681,2.52989670,0.00663155,1.40098150
-5.25562781,5.19571480,1.40987910,0.53034053,0.00268019,0.84228531,2.95089536,2.48839438,0.00610462,1.36864335
-5.24962481,5.07653780,1.36317149,0.52030307,0.00240020,0.81997287,2.85099303,2.44128520,0.00561899,1.33536020
-5.24362181,4.94835840,1.31625586,0.50995267,0.00214125,0.79509267,2.74813003,2.38879306,0.00517275,1.30106485
-5.23761881,4.81179913,1.26934594,0.49925220,0.00190350,0.76790262,2.64289245,2.33123000,0.00476357,1.26572530
-5.23161581,4.66762934,1.22264401,0.48817579,0.00168669,0.73869417,2.53589633,2.26899011,0.00438882,1.22934989
-5.22561281,4.51675133,1.17634020,0.47671038,0.00149019,0.70778543,2.42777934,2.20254060,0.00404574,1.19198978
-5.21960980,4.36018125,1.13061167,0.46485643,0.00131312,0.67551361,2.31919078,2.13241056,0.00373153,1.15373899
-5.21360680,4.19902611,1.08562184,0.45262785,0.00115439,0.64222711,2.21078040,2.05917833,0.00344348,1.11473206
-5.20760380,4.03445829,1.04151992,0.44005138,0.00101278,0.60827753,2.10318687,1.98345791,0.00317905,1.07513988
-5.20160080,3.86768888,0.99844061,0.42716529,0.00088697,0.57401199,1.99702646,1.90588525,0.00293596,1.03516401
-5.19559780,3.69994121,0.95650429,0.41401778,0.00077560,0.53976596,1.89288250,1.82710493,0.00271216,0.99502987
-5.18959480,3.53242558,0.91581741,0.40066510,0.00067734,0.50585678,1.79129610,1.74775766,0.00250597,0.95497936
-5.18359180,3.36631624,0.87647330,0.38716947,0.00059089,0.47257823,1.69275843,1.66846913,0.00231600,0.91526324
-5.17758879,3.20273101,0.83855317,0.37359713,0.00051499,0.44019595,1.59770477,1.58984021,0.00214125,0.87613366
-5.17158579,3.04271427,0.80212729,0.36001630,0.00044850,0.40894412,1.50651034,1.51243884,0.00198102,0.83783716
-5.16558279,2.88722320,0.76725612,0.34649543,0.00039034,0.37902307,1.41948793,1.43679341,0.00183497,0.80060831
-5.15957979,2.73711733,0.73399143,0.33310161,0.00033955,0.35059812,1.33688711,1.36338764,0.00170310,0.76466429
-5.15357679,2.59315126,0.70237719,0.31989915,0.00029525,0.32379924,1.25889489,1.29265685,0.00158570,0.73020029
-5.14757379,2.45597004,0.67245015,0.30694848,0.00025669,0.29872169,1.18563750,1.22498528,0.00148338,0.69738600
-5.14157079,2.32610705,0.64424014,0.29430525,0.00022318,0.27542739,1.11718319,1.16070439,0.00139704,0.66636291
-5.13556778,2.20398376,0.61777002,0.28201952,0.00019414,0.25394690,1.05354558,1.10009193,0.00132782,0.63724258
-5.12956478,2.08991117,0.59305529,0.27013529,0.00016908,0.23428195,0.99468762,1.04337150,0.00127714,0.61010569
-5.12356178,1.98409240,0.57010340,0.25869003,0.00014757,0.21640828,0.94052578,0.99071271,0.00124659,0.58500176
-5.11755878,1.88662644,0.54891301,0.24771434,0.00012926,0.20027873,0.89093453,0.94223167,0.00123801,0.56194953
-5.11155578,1.79751261,0.52947300,0.23723177,0.00011385,0.18582655,0.84575079,0.89799191,0.00125334,0.54093778
-5.10555278,1.71665586,0.51176165,0.22725864,0.00010112,0.17296863,0.80477862,0.85800567,0.00129466,0.52192673
-5.09954977,1.64387274,0.49574593,0.21780398,0.00009087,0.16160879,0.76779382,0.82223575,0.00136410,0.50484975
-5.09354677,1.57889815,0.48138104,0.20886956,0.00008296,0.15164090,0.73454863,0.79059781,0.00146380,0.48961547
-5.08754377,1.52139281,0.46861027,0.20045000,0.00007730,0.14295194,0.70477649,0.76296331,0.00159578,0.47611021
-5.08154077,1.47095149,0.45736529,0.19253303,0.00007381,0.13542471,0.67819671,0.73916307,0.00176194,0.46420079
-5.07553777,1.42711202,0.44756673,0.18509985,0.00007246,0.12894042,0.65451923,0.71899151,0.00196390,0.45373749
-5.06953477,1.38936500,0.43912524,0.17812567,0.00007324,0.12338097,0.63344920,0.70221142,0.00220292,0.44455745
-5.06353177,1.35716404,0.43194279,0.17158044,0.00007614,0.11863093,0.61469146,0.68855931,0.00247981,0.43648807
-5.05752876,1.32993637,0.42591420,0.16542960,0.00008119,0.11457923,0.59795477,0.67775117,0.00279477,0.42935071
-5.05152576,1.30709362,0.42092886,0.15963513,0.00008842,0.11112055,0.58295563,0.66948851,0.00314734,0.42296436
-5.04552276,1.28804246,0.41687247,0.15415661,0.00009785,0.10815640,0.56942176,0.66346437,0.00353629,0.41714933
-5.03951976,1.27219481,0.41362865,0.14895238,0.00010951,0.10559587,0.55709493,0.65936935,0.00395948,0.41173076
-5.03351676,1.25897741,0.41108051,0.14398071,0.00012342,0.10335613,0.54573332,0.65689727,0.00441388,0.40654197
-5.02751376,1.24784044,0.40911195,0.13920101,0.00013959,0.10136269,0.53511320,0.65575042,0.00489546,0.40142739
-5.02151076,1.23826510,0.40760876,0.13457493,0.00015798,0.09954935,0.52503007,0.65564428,0.00539925,0.39624515
-5.01550775,1.22976999,0.40645955,0.13006736,0.00017855,0.09785805,0.51529917,0.65631158,0.00591928,0.39086919
-5.00950475,1.22191628,0.40555640,0.12564725,0.00020122,0.09623851,0.50575560,0.65750575,0.00644876,0.38519080
-5.00350175,1.21431178,0.40479549,0.12128833,0.00022588,0.09464779,0.49625403,0.65900377,0.00698007,0.37911969
-4.99749875,1.20661400,0.40407770,0.11696955,0.00025237,0.09304980,0.48666827,0.66060848,0.00750499,0.37258451
-4.99149575,1.19853233,0.40330923,0.11267535,0.00028050,0.09141477,0.47689057,0.66215044,0.00801488,0.36553291
-4.98549275,1.18982964,0.40240244,0.10839573,0.00031004,0.08971878,0.46683115,0.66348951,0.00850083,0.35793119
-4.97948974,1.18032342,0.40127683,0.10412610,0.00034073,0.08794325,0.45641768,0.66451616,0.00895397,0.34976359
-4.97348674,1.16988655,0.39986037,0.09986703,0.00037226,0.08607462,0.44559504,0.66515266,0.00936570,0.34103134
-4.96748374,1.15844793,0.39809104,0.09562377,0.00040431,0.08410401,0.43432522,0.66535410,0.00972794,0.33175153
-4.96148074,1.14599287,0.39591857,0.09140576,0.00043655,0.08202696,0.42258748,0.66510937,0.01003342,0.32195581
-4.95547774,1.13256310,0.39330635,0.08722604,0.00046863,0.07984331,0.41037857,0.66444176,0.01027587,0.31168912
-4.94947474,1.11825643,0.39023327,0.08310055,0.00050022,0.07755697,0.39771294,0.66340934,0.01045028,0.30100832
-4.94347174,1.10322549,0.38669547,0.07904754,0.00053099,0.07517583,0.38462292,0.66210459,0.01055304,0.28998086
-4.93746873,1.08767560,0.38270766,0.07508687,0.00056063,0.07271157,0.37115861,0.66065340,0.01058207,0.27868341
-4.93146573,1.07186108,0.37830397,0.07123941,0.00058889,0.07017944,0.35738731,0.65921293,0.01053690,0.26720049
-4.92546273,1.05607999,0.37353799,0.06752641,0.00061553,0.06759790,0.34339252,0.65796817,0.01041869,0.25562308
-4.91945973,1.04066689,0.36848206,0.06396892,0.00064040,0.06498826,0.32927226,0.65712714,0.01023016,0.24404704
-4.91345673,1.02598344,0.36322551,0.06058728,0.00066337,0.06237408,0.31513678,0.65691446,0.00997552,0.23257153
-4.90745373,1.01240695,0.35787194,0.05740056,0.00068438,0.05978050,0.30110554,0.65756335,0.00966029,0.22129729
-4.90145073,1.00031697,0.35253546,0.05442612,0.00070342,0.05723351,0.28730362,0.65930625,0.00929113,0.21032469
-4.89544772,0.99008015,0.34733617,0.05167908,0.00072055,0.05475901,0.27385765,0.66236405,0.00887561,0.19975172
-4.88944472,0.98203401,0.34239479,0.04917194,0.00073583,0.05238196,0.26089134,0.66693461,0.00842194,0.18967190
-4.88344172,0.97647010,0.33782686,0.04691415,0.00074939,0.05012535,0.24852091,0.67318077,0.00793871,0.18017208
-4.87743872,0.97361753,0.33373681,0.04491177,0.00076136,0.04800934,0.23685060,0.68121856,0.00743464,0.17133028
-4.87143572,0.97362748,0.33021200,0.04316715,0.00077188,0.04605042,0.22596846,0.69110624,0.00691831,0.16321361
-4.86543272,0.97655977,0.32731736,0.04167868,0.00078110,0.04426065,0.21594269,0.70283477,0.00639790,0.15587638
-4.85942971,0.98237227,0.32509070,0.04044069,0.00078913,0.04264713,0.20681873,0.71632045,0.00588106,0.14935844
-4.85342671,0.99091389,0.32353916,0.03944333,0.00079607,0.04121166,0.19861723,0.73140018,0.00537464,0.14368387
-4.84742371,1.00192187,0.32263693,0.03867271,0.00080196,0.03995055,0.19133310,0.74782996,0.00488466,0.13886013
-4.84142071,1.01502367,0.32232454,0.03811100,0.00080680,0.03885479,0.18493559,0.76528688,0.00441614,0.13487757
-4.83541771,1.02974377,0.32250963,0.03773681,0.00081054,0.03791032,0.17936952,0.78337473,0.00397310,0.13170956
-4.82941471,1.04551526,0.32306951,0.03752558,0.00081310,0.03709862,0.17455755,0.80163324,0.00355855,0.12931304
-4.82341171,1.06169581,0.32385509,0.03745013,0.00081433,0.03639746,0.17040339,0.81955076,0.00317450,0.12762961
-4.81740870,1.07758767,0.32469624,0.03748136,0.00081405,0.03578177,0.16679573,0.83657969,0.00282206,0.12658710
-4.81140570,1.09246058,0.32540830,0.03758891,0.00081204,0.03522473,0.16361288,0.85215434,0.00250147,0.12610156
-4.80540270,1.10557682,0.32579934,0.03774202,0.00080808,0.03469880,0.16072764,0.86571026,0.00221228,0.12607958
-4.79939970,1.11621720,0.32567790,0.03791033,0.00080195,0.03417684,0.15801237,0.87670419,0.00195338,0.12642090
-4.79339670,1.12370682,0.32486077,0.03806472,0.00079341,0.03363321,0.15534399,0.88463375,0.00172321,0.12702119
-4.78739370,1.12743938,0.32318049,0.03817811,0.00078230,0.03304470,0.15260853,0.88905591,0.00151983,0.12777496
-4.78139070,1.12689905,0.32049217,0.03822623,0.00076844,0.03239141,0.14970535,0.88960343,0.00134103,0.12857845
-4.77538769,1.12167885,0.31667928,0.03818830,0.00075176,0.03165742,0.14655055,0.88599838,0.00118450,0.12933243
-4.76938469,1.11149479,0.31165828,0.03804763,0.00073221,0.03083133,0.14307971,0.87806239,0.00104785,0.12994490
-4.76338169,1.09619534,0.30538174,0.03779208,0.00070982,0.02990653,0.13924972,0.86572288,0.00092873,0.13033351
-4.75737869,1.07576583,0.29783994,0.03741449,0.00068470,0.02888131,0.13503990,0.84901541,0.00082491,0.13042780
-4.75137569,1.05032788,0.28906103,0.03691292,0.00065703,0.02775879,0.13045214,0.82808188,0.00073429,0.13017105
-4.74537269,1.02013405,0.27910952,0.03629079,0.00062704,0.02654665,0.12551045,0.80316496,0.00065498,0.12952190
-4.73936968,0.98555817,0.26808365,0.03555698,0.00059503,0.02525675,0.12025982,0.77459899,0.00058526,0.12845550
-4.73336668,0.94708212,0.25611144,0.03472579,0.00056136,0.02390457,0.11476456,0.74279816,0.00052367,0.12696447
-4.72736368,0.90527975,0.24334596,0.03381680,0.00052641,0.02250865,0.10910633,0.70824228,0.00046894,0.12505941
-4.72136068,0.86079880,0.22995996,0.03285480,0.00049059,0.02108991,0.10338196,0.67146120,0.00041999,0.12276905
-4.71535768,0.81434182,0.21614014,0.03186949,0.00045434,0.01967105,0.09770113,0.63301842,0.00037596,0.12014023
-4.70935468,0.76664698,0.20208140,0.03089528,0.00041807,0.01827589,0.09218419,0.59349476,0.00033614,0.11723736
-4.70335168,0.71846934,0.18798133,0.02997103,0.00038219,0.01692884,0.08696002,0.55347265,0.00029997,0.11414176
-4.69734867,0.67056349,0.17403504,0.02913968,0.00034709,0.01565432,0.08216422,0.51352167,0.00026702,0.11095058
-4.69134567,0.62366802,0.16043064,0.02844793,0.00031311,0.01447645,0.07793736,0.47418589,0.00023693,0.10777553
-4.68534267,0.57849198,0.14734546,0.02794583,0.00028055,0.01341862,0.07442364,0.43597308,0.00020945,0.10474125
-4.67933967,0.53570382,0.13494298,0.02768630,0.00024967,0.01250329,0.07176958,0.39934625,0.00018438,0.10198344
-4.67333667,0.49592246,0.12337061,0.02772455,0.00022067,0.01175184,0.07012292,0.36471737,0.00016155,0.09964673
-4.66733367,0.45971072,0.11275816,0.02811744,0.00019369,0.01118438,0.06963146,0.33244333,0.00014084,0.09788220
-4.66133067,0.42757054,0.10321710,0.02892263,0.00016883,0.01081975,0.07044191,0.30282383,0.00012212,0.09684463
-4.65532766,0.39993986,0.09484025,0.03019764,0.00014614,0.01067541,0.07269840,0.27610104,0.00010529,0.09668951
-4.64932466,0.37719070,0.08770204,0.03199871,0.00012562,0.01076740,0.07654078,0.25246076,0.00009025,0.09756971
-4.64332166,0.35962806,0.08185897,0.03437953,0.00010722,0.01111020,0.08210247,0.23203462,0.00007688,0.09963194
