energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-3.71285643,6.69116350,0.02723540,0.14024763,3.41836476,3.79176941,0.21322660,2.31586197
-3.70685343,6.74357257,0.02914295,0.13963413,3.42532513,3.80952832,0.21152739,2.34303374
-3.70085043,6.79753515,0.03110943,0.13859340,3.42614875,3.83257231,0.20942491,2.36795616
-3.69484742,6.85127198,0.03311418,0.13716044,3.42107435,3.85934443,0.20699005,2.39038503
-3.68884442,6.90306940,0.03513434,0.13537728,3.41045356,3.88829062,0.20429947,2.41011954
-3.68284142,6.95127992,0.03714510,0.13329083,3.39471272,3.91788038,0.20143163,2.42698798
-3.67683842,6.99431955,0.03912024,0.13095055,3.37431277,3.94662509,0.19846288,2.44083256
-3.67083542,7.03066462,0.04103263,0.12840621,3.34970957,3.97309525,0.19546377,2.45149479
-3.66483242,7.05885082,0.04285485,0.12570571,3.32131769,3.99593734,0.19249585,2.45880283
-3.65882941,7.07747677,0.04455987,0.12289324,3.28947986,4.01389104,0.18960913,2.46256205
-3.65282641,7.08521388,0.04612178,0.12000774,3.25444417,4.02580741,0.18684032,2.46254986
-3.64682341,7.08082363,0.04751651,0.11708182,3.21635045,4.03066813,0.18421202,2.45851533
-3.64082041,7.06318240,0.04872254,0.11414113,3.17522656,4.02760571,0.18173278,2.45018421
-3.63481741,7.03131342,0.04972161,0.11120418,3.13099473,4.01592413,0.17939815,2.43726888
-3.62881441,6.98442413,0.05049932,0.10828267,3.08348727,3.99511910,0.17719247,2.41948295
-3.62281141,6.92194703,0.05104568,0.10538223,3.03247046,3.96489686,0.17509146,2.39655962
-3.61680840,6.84358106,0.05135548,0.10250340,2.97767470,3.92519018,0.17306527,2.36827245
-3.61080540,6.74933050,0.05142858,0.09964298,2.91882892,3.87617028,0.17108185,2.33445731
-3.60480240,6.63953809,0.05127002,0.09679546,2.85569651,3.81825322,0.16911045,2.29503378
-3.59879940,6.51490917,0.05088993,0.09395448,2.78811053,3.75209964,0.16712495,2.25002467
-3.59279640,6.37652424,0.05030332,0.09111423,2.71600552,3.67860696,0.16510688,2.19957195
-3.58679340,6.22583762,0.04952966,0.08827074,2.63944401,3.59889327,0.16304786,2.14394799
-3.58079040,6.06466089,0.04859230,0.08542289,2.55863575,3.51427303,0.16095143,2.08356111
-3.57478739,5.89513066,0.04751776,0.08257311,2.47394858,3.42622474,0.15883397,2.01895474
-3.56878439,5.71966126,0.04633490,0.07972784,2.38591029,3.33635146,0.15672491,1.95080010
-3.56278139,5.54088368,0.04507398,0.07689761,2.29520137,3.24633552,0.15466597,1.87988245
-3.55677839,5.36157334,0.04376571,0.07409678,2.20263924,3.15788915,0.15270965,1.80708159
-3.55077539,5.18456983,0.04244025,0.07134309,2.10915510,3.07270303,0.15091705,1.73334751
-3.54477239,5.01269225,0.04112625,0.06865688,2.01576473,2.99239513,0.14935506,1.65967243
-3.53876938,4.84865440,0.03984996,0.06606027,1.92353530,2.91846211,0.14809317,1.58706061
-3.53276638,4.69498373,0.03863445,0.06357613,1.83355004,2.85223554,0.14720012,1.51649749
-3.52676338,4.55394815,0.03749896,0.06122714,1.74687270,2.79484506,0.14674044,1.44891977
-3.52076038,4.42749405,0.03645840,0.05903483,1.66451401,2.74719010,0.14677128,1.38518769
-3.51475738,4.31719832,0.03552308,0.05701879,1.58740144,2.70992148,0.14733944,1.32606092
-3.50875438,4.22423631,0.03469858,0.05519595,1.51635388,2.68343341,0.14847902,1.27217903
-3.50275138,4.14936660,0.03398582,0.05358017,1.45206205,2.66786615,0.15020963,1.22404725
-3.49674837,4.09293267,0.03338137,0.05218187,1.39507523,2.66311862,0.15253522,1.18202778
-3.49074537,4.05488027,0.03287785,0.05100800,1.34579423,2.66887003,0.15544372,1.14633690
-3.48474237,4.03478868,0.03246451,0.05006208,1.30447041,2.68460881,0.15890725,1.11704737
-3.47873937,4.03191326,0.03212796,0.04934442,1.27121004,2.70966696,0.16288312,1.09409568
-3.47273637,4.04523610,0.03185290,0.04885239,1.24598294,2.74325757,0.16731526,1.07729338
-3.46673337,4.07352145,0.03162296,0.04858082,1.22863441,2.78451336,0.17213615,1.06634141
-3.46073037,4.11537243,0.03142149,0.04852233,1.21889918,2.83252385,0.17726912,1.06084656
-3.45472736,4.16928589,0.03123233,0.04866766,1.21641624,2.88636937,0.18263072,1.06033899
-3.44872436,4.23370270,0.03104052,0.04900587,1.22074360,2.94515020,0.18813324,1.06428976
-3.44272136,4.30705117,0.03083294,0.04952457,1.23137202,3.00800967,0.19368712,1.07212773
-3.43671836,4.38778231,0.03059874,0.05020987,1.24773721,3.07415073,0.19920308,1.08325491
-3.43071536,4.47439620,0.03032973,0.05104642,1.26923018,3.14284563,0.20459413,1.09706007
-3.42471236,4.56545953,0.03002058,0.05201716,1.29520566,3.21343933,0.20977711,1.11293019
-3.41870935,4.65961515,0.02966892,0.05310323,1.32498894,3.28534731,0.21467394,1.13025977
-3.41270635,4.75558498,0.02927525,0.05428366,1.35788131,3.35804907,0.21921249,1.14845815
-3.40670335,4.85216785,0.02884278,0.05553523,1.39316491,3.43107851,0.22332714,1.16695510
-3.40070035,4.94823435,0.02837717,0.05683234,1.43010744,3.50401278,0.22695904,1.18520518
-3.39469735,5.04272044,0.02788616,0.05814695,1.46796744,3.57646091,0.23005618,1.20269111
-3.38869435,5.13462155,0.02737919,0.05944878,1.50600059,3.64805328,0.23257337,1.21892686
-3.38269135,5.22298855,0.02686696,0.06070554,1.54346748,3.71843292,0.23447206,1.23346056
-3.37668834,5.30692624,0.02636096,0.06188343,1.57964293,3.78724906,0.23572033,1.24587781
-3.37068534,5.38559490,0.02587307,0.06294782,1.61382698,3.85415313,0.23629278,1.25580527
-3.36468234,5.45821452,0.02541515,0.06386403,1.64535703,3.91879682,0.23617070,1.26291480
-3.35867934,5.52407105,0.02499862,0.06459829,1.67362086,3.98083181,0.23534218,1.26692787
-3.35267634,5.58252350,0.02463418,0.06511881,1.69806972,4.03991036,0.23380249,1.26762013
-3.34667334,5.63301085,0.02433148,0.06539678,1.71823073,4.09568588,0.23155444,1.26482560
-3.34067034,5.67505704,0.02409889,0.06540750,1.73371787,4.14781270,0.22860874,1.25844037
-3.33466733,5.70827324,0.02394327,0.06513130,1.74424053,4.19594443,0.22498441,1.24842510
-3.32866433,5.73235612,0.02386980,0.06455438,1.74960911,4.23973045,0.22070897,1.23480602
-3.32266133,5.74708199,0.02388182,0.06366948,1.74973710,4.27881057,0.21581850,1.21767426
-3.31665833,5.75229656,0.02398072,0.06247629,1.74463925,4.31280817,0.21035749,1.19718294
-3.31065533,5.74790105,0.02416581,0.06098162,1.73442585,4.34132259,0.20437827,1.17354234
-3.30465233,5.73383579,0.02443428,0.05919933,1.71929340,4.36392168,0.19794028,1.14701289
-3.29864932,5.71006275,0.02478110,0.05714999,1.69951202,4.38013601,0.19110892,1.11789644
-3.29264632,5.67654897,0.02519903,0.05486027,1.67541049,4.38945596,0.18395413,1.08652600
-3.28664332,5.63325266,0.02567863,0.05236222,1.64735969,4.39133305,0.17654880,1.05325460
-3.28064032,5.58011416,0.02620832,0.04969228,1.61575556,4.38518678,0.16896693,1.01844372
-3.27463732,5.51705302,0.02677451,0.04689024,1.58100254,4.37041764,0.16128177,0.98245200
-3.26863432,5.44397268,0.02736182,0.04399817,1.54349856,4.34642678,0.15356398,0.94562477
-3.26263132,5.36077317,0.02795329,0.04105929,1.50362245,4.31264210,0.14587991,0.90828498
-3.25662831,5.26737172,0.02853077,0.03811690,1.46172445,4.26855001,0.13829010,0.87072602
-3.25062531,5.16373067,0.02907530,0.03521350,1.41812032,4.21373160,0.13084809,0.83320673
-3.24462231,5.04989091,0.02956760,0.03238993,1.37308915,4.14790133,0.12359958,0.79594882
-3.23861931,4.92600905,0.02998860,0.02968473,1.32687498,4.07094617,0.11658203,0.75913668
-3.23261631,4.79239567,0.03032000,0.02713366,1.27969167,3.98296269,0.10982457,0.72291952
-3.22661331,4.64955196,0.03054482,0.02476947,1.23173064,3.88428961,0.10334847,0.68741551
-3.22061031,4.49820188,0.03064800,0.02262167,1.18317065,3.77553352,0.09716777,0.65271751
-3.21460730,4.33931729,0.03061689,0.02071668,1.13418869,3.65758561,0.09129039,0.61889996
-3.20860430,4.17413369,0.03044175,0.01907786,1.08497127,3.53162786,0.08571932,0.58602638
-3.20260130,4.00415479,0.03011604,0.01772584,1.03572490,3.39912753,0.08045397,0.55415690
-3.19659830,3.83114497,0.02963679,0.01667873,0.98668530,3.26181966,0.07549158,0.52335528
-3.19059530,3.65710897,0.02900462,0.01595248,0.93812422,3.12167764,0.07082856,0.49369509
-3.18459230,3.48425945,0.02822383,0.01556109,0.89035374,2.98087295,0.06646164,0.46526447
-3.17858929,3.31497334,0.02730224,0.01551687,0.84372746,2.84172542,0.06238890,0.43816939
-3.17258629,3.15173864,0.02625092,0.01583052,0.79863851,2.70664608,0.05861042,0.41253511
-3.16658329,2.99709409,0.02508383,0.01651120,0.75551454,2.57807489,0.05512877,0.38850586
-3.16058029,2.85356406,0.02381734,0.01756641,0.71480984,2.45841602,0.05194909,0.36624288
-3.15457729,2.72359167,0.02246968,0.01900180,0.67699509,2.34997328,0.04907891,0.34592085
-3.14857429,2.60947274,0.02106037,0.02082084,0.64254528,2.25488831,0.04652775,0.32772300
-3.14257129,2.51329360,0.01960956,0.02302445,0.61192642,2.17508393,0.04430643,0.31183537
-3.13656828,2.43687503,0.01813746,0.02561057,0.58558169,2.11221481,0.04242624,0.29844034
-3.13056528,2.38172465,0.01666375,0.02857359,0.56391785,2.06762713,0.04089805,0.28770999
-3.12456228,2.34899946,0.01520708,0.03190396,0.54729238,2.04232859,0.03973134,0.27979950
-3.11855928,2.33947989,0.01378462,0.03558775,0.53600222,2.03696954,0.03893329,0.27484116
-3.11255628,2.35355614,0.01241174,0.03960625,0.53027440,2.05183580,0.03850798,0.27293907
-3.10655328,2.39122715,0.01110174,0.04393585,0.53025916,2.08685295,0.03845580,0.27416498
-3.10055028,2.45211217,0.00986574,0.04854794,0.53602593,2.14160173,0.03877296,0.27855545
-3.09454727,2.53547434,0.00871262,0.05340906,0.54756223,2.21534391,0.03945144,0.28611044
-3.08854427,2.64025533,0.00764912,0.05848128,0.56477574,2.30705733,0.04047904,0.29679345
-3.08254127,2.76511992,0.00667995,0.06372276,0.58749952,2.41547898,0.04183983,0.31053335
-3.07653827,2.90850888,0.00580804,0.06908856,0.61550015,2.53915448,0.04351482,0.32722764
-3.07053527,3.06869844,0.00503479,0.07453166,0.64848862,2.67649236,0.04548294,0.34674727
-3.06453227,3.24386434,0.00436043,0.08000415,0.68613350,2.82582139,0.04772212,0.36894261
-3.05852926,3.43214837,0.00378434,0.08545858,0.72807598,2.98544905,0.05021064,0.39365053
-3.05252626,3.63172512,0.00330542,0.09084944,0.77394619,3.15371932,0.05292846,0.42070214
-3.04652326,3.84086664,0.00292245,0.09613469,0.82337997,3.32906787,0.05585858,0.44993088
-3.04052026,4.05800265,0.00263444,0.10127725,0.87603555,3.51007290,0.05898830,0.48118054
-3.03451726,4.28177396,0.00244090,0.10624643,0.93160913,3.69549971,0.06231034,0.51431284
-3.02851426,4.51107690,0.00234215,0.11101933,0.98984870,3.88433744,0.06582358,0.54921395
-3.02251126,4.74509662,0.00233953,0.11558185,1.05056519,4.07582640,0.06953360,0.58579976
-3.01650825,4.98332749,0.00243558,0.11992960,1.11364022,4.26947472,0.07345268,0.62401927
-3.01050525,5.22557901,0.00263413,0.12406839,1.17902991,4.46506308,0.07759944,0.66385590
-3.00450225,5.47196624,0.00294037,0.12801442,1.24676406,4.66263707,0.08199793,0.70532637
