energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
3.77888944,0.20704531,0.04325052,0.02760430,0.02531196,0.00062331,0.10303304,0.00667962,0.01103906,0.03956462
3.78489245,0.19661173,0.03774539,0.02694045,0.02243271,0.00068749,0.10244626,0.00698211,0.00957573,0.03944760
3.79089545,0.19352807,0.03297304,0.02750922,0.02062649,0.00078407,0.10642104,0.00762616,0.00838584,0.04074006
3.79689845,0.19798378,0.02892073,0.02934070,0.01983309,0.00091640,0.11514692,0.00863346,0.00745483,0.04355590
3.80290145,0.21026480,0.02557173,0.03248579,0.02001122,0.00108839,0.12888708,0.01003189,0.00676995,0.04802624
3.80890445,0.23075014,0.02290683,0.03701520,0.02113800,0.00130451,0.14797435,0.01185512,0.00632049,0.05429851
3.81490745,0.25990352,0.02090547,0.04301751,0.02320779,0.00156968,0.17280367,0.01414187,0.00609787,0.06253453
3.82091046,0.29825954,0.01954680,0.05059630,0.02623043,0.00188916,0.20382083,0.01693492,0.00609568,0.07290733
3.82691346,0.34640452,0.01881038,0.05986623,0.03022888,0.00226842,0.24150732,0.02027975,0.00630954,0.08559673
3.83291646,0.40495188,0.01867657,0.07094831,0.03523645,0.00271295,0.28636145,0.02422289,0.00673694,0.10078349
3.83891946,0.47451235,0.01912662,0.08396417,0.04129357,0.00322805,0.33887592,0.02881000,0.00737690,0.11864227
3.84492246,0.55565951,0.02014246,0.09902961,0.04844421,0.00381856,0.39951220,0.03408357,0.00822962,0.13933332
3.85092546,0.64889141,0.02170617,0.11624741,0.05673209,0.00448868,0.46867216,0.04008049,0.00929605,0.16299308
3.85692846,0.75458944,0.02379916,0.13569978,0.06619672,0.00524156,0.54666803,0.04682942,0.01057745,0.18972415
3.86293147,0.87297577,0.02640127,0.15744059,0.07686946,0.00607913,0.63369140,0.05434805,0.01207484,0.21958474
3.86893447,1.00407115,0.02948959,0.18148760,0.08876968,0.00700171,0.72978268,0.06264037,0.01378861,0.25257810
3.87493747,1.14765497,0.03303735,0.20781523,0.10190121,0.00800781,0.83480234,0.07169417,0.01571801,0.28864259
3.88094047,1.30322980,0.03701279,0.23634816,0.11624929,0.00909383,0.94840551,0.08147871,0.01786079,0.32764268
3.88694347,1.46999246,0.04137806,0.26695602,0.13177807,0.01025388,1.07002146,0.09194285,0.02021293,0.36936163
3.89294647,1.64681396,0.04608849,0.29944981,0.14842897,0.01147968,1.19883958,0.10301377,0.02276841,0.41349636
3.89894947,1.83223023,0.05109196,0.33358017,0.16611993,0.01276044,1.33380323,0.11459631,0.02551918,0.45965510
3.90495248,2.02444527,0.05632868,0.36903795,0.18474561,0.01408294,1.47361267,0.12657312,0.02845522,0.50735810
3.91095548,2.22134791,0.06173135,0.40545717,0.20417878,0.01543161,1.61673791,0.13880574,0.03156474,0.55604193
3.91695848,2.42054292,0.06722574,0.44242058,0.22427271,0.01678880,1.76144187,0.15113655,0.03483450,0.60506750
3.92296148,2.61939617,0.07273164,0.47946767,0.24486465,0.01813509,1.90581384,0.16339162,0.03825028,0.65373165
3.92896448,2.81509311,0.07816429,0.51610516,0.26578009,0.01944972,2.04781240,0.17538455,0.04179737,0.70128243
3.93496748,3.00470889,0.08343614,0.55181940,0.28683785,0.02071110,2.18531685,0.18692097,0.04546114,0.74693740
3.94097049,3.18528770,0.08845893,0.58609050,0.30785557,0.02189739,2.31618514,0.19780379,0.04922761,0.78990449
3.94697349,3.35392828,0.09314598,0.61840743,0.32865531,0.02298714,2.43831625,0.20783880,0.05308394,0.82940475
3.95297649,3.50787204,0.09741468,0.64828360,0.34906905,0.02395993,2.54971423,0.21684060,0.05701886,0.86469591
3.95897949,3.64458971,0.10118886,0.67527204,0.36894365,0.02479702,2.64855114,0.22463848,0.06102290,0.89509589
3.96498249,3.76186268,0.10440122,0.69897960,0.38814495,0.02548199,2.73322600,0.23108195,0.06508848,0.92000514
3.97098549,3.85785491,0.10699545,0.71907936,0.40656079,0.02600126,2.80241669,0.23604584,0.06920971,0.93892683
3.97698849,3.93117190,0.10892804,0.73532070,0.42410263,0.02634459,2.85512240,0.23943458,0.07338203,0.95148390
3.98299150,3.98090378,0.11016970,0.74753636,0.44070569,0.02650539,2.89069444,0.24118543,0.07760156,0.95743215
3.98899450,4.00665025,0.11070634,0.75564641,0.45632760,0.02648102,2.90885375,0.24127070,0.08186425,0.95666868
