energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.17758879,0.88963604,0.09022781,0.00489523,0.27154178,0.35750920,0.03059320,0.39165397
-5.17158579,0.90018595,0.09065218,0.00480471,0.26515852,0.36435397,0.03244225,0.39366826
-5.16558279,0.90929814,0.09098973,0.00470254,0.25805019,0.37038536,0.03426257,0.39509991
-5.15957979,0.91659683,0.09121972,0.00458871,0.25023765,0.37539828,0.03602473,0.39580409
-5.15357679,0.92172914,0.09131974,0.00446342,0.24175326,0.37921065,0.03769917,0.39564594
-5.14757379,0.92437187,0.09126611,0.00432704,0.23264093,0.38166648,0.03925667,0.39450359
-5.14157079,0.92423851,0.09103452,0.00418013,0.22295585,0.38263843,0.04066899,0.39227107
-5.13556778,0.92108593,0.09060079,0.00402344,0.21276385,0.38202976,0.04190942,0.38886101
-5.12956478,0.91472059,0.08994183,0.00385791,0.20214043,0.37977571,0.04295348,0.38420701
-5.12356178,0.90500387,0.08903664,0.00368460,0.19116943,0.37584404,0.04377953,0.37826558
-5.11755878,0.89185630,0.08786728,0.00350476,0.17994135,0.37023500,0.04436936,0.37101742
-5.11155578,0.87526048,0.08641988,0.00331972,0.16855133,0.36298043,0.04470873,0.36246827
-5.10555278,0.85526235,0.08468540,0.00313093,0.15709705,0.35414231,0.04478784,0.35264893
-5.09954977,0.83197098,0.08266034,0.00293986,0.14567639,0.34381050,0.04460162,0.34161475
-5.09354677,0.80555658,0.08034721,0.00274804,0.13438513,0.33210009,0.04415002,0.32944438
-5.08754377,0.77624686,0.07775477,0.00255698,0.12331478,0.31914807,0.04343799,0.31623793
-5.08154077,0.74432180,0.07489803,0.00236813,0.11255052,0.30510971,0.04247543,0.30211454
-5.07553777,0.71010709,0.07179800,0.00218288,0.10216944,0.29015466,0.04127696,0.28720950
-5.06953477,0.67396624,0.06848126,0.00200253,0.09223919,0.27446276,0.03986148,0.27167096
-5.06353177,0.63629185,0.06497927,0.00182826,0.08281692,0.25821990,0.03825171,0.25565637
-5.05752876,0.59749622,0.06132756,0.00166108,0.07394873,0.24161387,0.03647349,0.23932875
-5.05152576,0.55800170,0.05756472,0.00150190,0.06566950,0.22483040,0.03455508,0.22285300
-5.04552276,0.51823109,0.05373139,0.00135145,0.05800317,0.20804940,0.03252638,0.20639226
-5.03951976,0.47859840,0.04986921,0.00121030,0.05096338,0.19144170,0.03041812,0.19010452
-5.03351676,0.43950050,0.04601972,0.00107888,0.04455448,0.17516608,0.02826102,0.17413963
-5.02751376,0.40130961,0.04222342,0.00095750,0.03877283,0.15936697,0.02608511,0.15863665
-5.02151076,0.36436727,0.03851889,0.00084634,0.03360832,0.14417258,0.02391892,0.14372188
-5.01550775,0.32897965,0.03494210,0.00074547,0.02904607,0.12969377,0.02178898,0.12950735
-5.00950475,0.29541454,0.03152583,0.00065490,0.02506822,0.11602342,0.01971927,0.11609003
-5.00350175,0.26389999,0.02829935,0.00057458,0.02165584,0.10323646,0.01773084,0.10355161
-4.99749875,0.23462459,0.02528827,0.00050443,0.01879075,0.09139045,0.01584164,0.09195898
-4.99149575,0.20773924,0.02251458,0.00044440,0.01645737,0.08052671,0.01406632,0.08136520
-4.98549275,0.18336047,0.01999691,0.00039445,0.01464446,0.07067184,0.01241632,0.07181103
-4.97948974,0.16157475,0.01775089,0.00035460,0.01334671,0.06183964,0.01089996,0.06332688
-4.97348674,0.14244385,0.01578969,0.00032497,0.01256619,0.05403332,0.00952266,0.05593504
-4.96748374,0.12601075,0.01412461,0.00030577,0.01231361,0.04724783,0.00828728,0.04965217
-4.96148074,0.11230586,0.01276578,0.00029737,0.01260932,0.04147227,0.00719441,0.04449174
-4.95547774,0.10135312,0.01172281,0.00030027,0.01348400,0.03669222,0.00624281,0.04046654
-4.94947474,0.09317578,0.01100542,0.00031513,0.01497909,0.03289197,0.00542981,0.03759084
-4.94347174,0.08780135,0.01062401,0.00034278,0.01714677,0.03005641,0.00475165,0.03588231
-4.93746873,0.08526559,0.01059006,0.00038420,0.02004955,0.02817263,0.00420391,0.03536346
-4.93146573,0.08561512,0.01091639,0.00044053,0.02375935,0.02723110,0.00378178,0.03606242
-4.92546273,0.08890855,0.01161726,0.00051304,0.02835607,0.02722629,0.00348036,0.03801317
-4.91945973,0.09521586,0.01270819,0.00060311,0.03392560,0.02815687,0.00329483,0.04125497
-4.91345673,0.10461602,0.01420559,0.00071215,0.04055725,0.03002530,0.00322064,0.04583105
-4.90745373,0.11719281,0.01612613,0.00084161,0.04834050,0.03283688,0.00325349,0.05178648
-4.90145073,0.13302888,0.01848593,0.00099287,0.05736137,0.03659833,0.00338941,0.05916537
-4.89544772,0.15219824,0.02129943,0.00116718,0.06769808,0.04131585,0.00362464,0.06800729
-4.88944472,0.17475746,0.02457824,0.00136559,0.07941647,0.04699282,0.00395554,0.07834325
-4.88344172,0.20073587,0.02832975,0.00158887,0.09256505,0.05362727,0.00437838,0.09019114
-4.87743872,0.23012527,0.03255572,0.00183741,0.10717002,0.06120907,0.00488921,0.10355105
-4.87143572,0.26286958,0.03725085,0.00211116,0.12323033,0.06971728,0.00548357,0.11840058
-4.86543272,0.29885514,0.04240150,0.00240952,0.14071317,0.07911747,0.00615634,0.13469035
-4.85942971,0.33790211,0.04798452,0.00273129,0.15955002,0.08935951,0.00690150,0.15234011
-4.85342671,0.37975770,0.05396634,0.00307463,0.17963364,0.10037576,0.00771201,0.17123566
-4.84742371,0.42409185,0.06030246,0.00343701,0.20081615,0.11207992,0.00857961,0.19122682
-4.84142071,0.47049573,0.06693730,0.00381520,0.22290854,0.12436672,0.00949487,0.21212672
-4.83541771,0.51848373,0.07380457,0.00420531,0.24568175,0.13711242,0.01044708,0.23371263
-4.82941471,0.56749903,0.08082813,0.00460280,0.26886947,0.15017639,0.01142444,0.25572844
-4.82341171,0.61692299,0.08792342,0.00500260,0.29217273,0.16340357,0.01241419,0.27788878
-4.81740870,0.66608829,0.09499936,0.00539919,0.31526624,0.17662808,0.01340283,0.29988497
-4.81140570,0.71429548,0.10196081,0.00578672,0.33780636,0.18967753,0.01437652,0.32139241
-4.80540270,0.76083253,0.10871137,0.00615921,0.35944053,0.20237826,0.01532142,0.34207937
-4.79939970,0.80499667,0.11515654,0.00651071,0.37981776,0.21456098,0.01622417,0.36161693
-4.79339670,0.84611763,0.12120708,0.00683545,0.39859992,0.22606690,0.01707238,0.37968946
-4.78739370,0.88358130,0.12678233,0.00712809,0.41547321,0.23675370,0.01785510,0.39600542
-4.78139070,0.91685267,0.13181352,0.00738386,0.43015942,0.24650143,0.01856334,0.41030792
-4.77538769,0.94549703,0.13624671,0.00759876,0.44242649,0.25521767,0.01919053,0.42238450
-4.76938469,0.96919816,0.14004535,0.00776969,0.45209775,0.26284185,0.01973293,0.43207566
-4.76338169,0.98777271,0.14319222,0.00789456,0.45905947,0.26934853,0.02018990,0.43928176
-4.75737869,1.00117972,0.14569072,0.00797239,0.46326625,0.27474914,0.02056421,0.44396777
-4.75137569,1.00952484,0.14756530,0.00800336,0.46474406,0.27909227,0.02086208,0.44616571
-4.74537269,1.01305878,0.14886114,0.00798876,0.46359062,0.28246239,0.02109318,0.44597459
-4.73936968,1.01216990,0.14964291,0.00793097,0.45997317,0.28497690,0.02127048,0.44355764
-4.73336668,1.00737123,0.14999277,0.00783334,0.45412356,0.28678161,0.02140999,0.43913718
-4.72736368,0.99928233,0.15000764,0.00770009,0.44633101,0.28804500,0.02153026,0.43298704
-4.72136068,0.98860684,0.14979583,0.00753612,0.43693275,0.28895127,0.02165192,0.42542300
-4.71535768,0.97610659,0.14947323,0.00734683,0.42630297,0.28969259,0.02179703,0.41679168
