energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.65632816,4.60551964,0.01770199,0.17877035,0.58006485,3.59312767,0.11755235,0.30273187,0.65893132,0.00000000
-2.65032516,4.61556538,0.01742166,0.17538404,0.56608942,3.58896850,0.11240628,0.31488554,0.64551181,0.00000000
-2.64432216,4.61903573,0.01707288,0.17145782,0.55103938,3.57943291,0.10704645,0.32685634,0.63140372,0.00000000
-2.63831916,4.61595692,0.01666309,0.16706003,0.53518264,3.56477261,0.10154750,0.33846184,0.61678288,0.00000000
-2.63231616,4.60640690,0.01620036,0.16226403,0.51879951,3.54529653,0.09598337,0.34951633,0.60182640,0.00000000
-2.62631316,4.59049419,0.01569309,0.15714576,0.50217321,3.52134420,0.09042515,0.35983577,0.58670600,0.00000000
-2.62031016,4.56834038,0.01514979,0.15178145,0.48558073,3.49326124,0.08493921,0.36924321,0.57158186,0.00000000
-2.61430715,4.54006758,0.01457886,0.14624574,0.46928422,3.46137835,0.07958559,0.37757446,0.55659751,0.00000000
-2.60830415,4.50579135,0.01398848,0.14061016,0.45352360,3.42599478,0.07441691,0.38468379,0.54187572,0.00000000
-2.60230115,4.46561954,0.01338649,0.13494207,0.43851038,3.38736728,0.06947761,0.39044943,0.52751579,0.00000000
-2.59629815,4.41965683,0.01278034,0.12930395,0.42442320,3.34570467,0.06480360,0.39477847,0.51359225,0.00000000
-2.59029515,4.36801440,0.01217717,0.12375319,0.41140505,3.30116815,0.06042226,0.39761115,0.50015491,0.00000000
-2.58429215,4.31082371,0.01158384,0.11834213,0.39956221,3.25387699,0.05635287,0.39892407,0.48723027,0.00000000
-2.57828914,4.24825325,0.01100704,0.11311837,0.38896496,3.20391897,0.05260723,0.39873218,0.47482422,0.00000000
-2.57228614,4.18052680,0.01045343,0.10812531,0.37964978,3.15136464,0.04919062,0.39708952,0.46292564,0.00000000
-2.56628314,4.10794177,0.00992981,0.10340271,0.37162294,3.09628433,0.04610289,0.39408837,0.45151085,0.00000000
-2.56028014,4.03088625,0.00944327,0.09898720,0.36486514,3.03876683,0.04333974,0.38985707,0.44054864,0.00000000
-2.55427714,3.94985337,0.00900136,0.09491277,0.35933691,2.97893853,0.04089400,0.38455628,0.43000550,0.00000000
-2.54827414,3.86545212,0.00861224,0.09121102,0.35498449,2.91698177,0.03875700,0.37837404,0.41985086,0.00000000
-2.54227114,3.77841367,0.00828475,0.08791127,0.35174573,2.85315169,0.03691982,0.37151962,0.41006207,0.00000000
-2.53626813,3.68959278,0.00802853,0.08504036,0.34955587,2.78779026,0.03537451,0.36421658,0.40062893,0.00000000
-2.53026513,3.59996412,0.00785406,0.08262234,0.34835275,2.72133722,0.03411512,0.35669522,0.39155740,0.00000000
-2.52426213,3.51061361,0.00777260,0.08067785,0.34808127,2.65433703,0.03313858,0.34918478,0.38287257,0.00000000
-2.51825913,3.42272517,0.00779612,0.07922346,0.34869691,2.58744186,0.03244541,0.34190582,0.37462048,0.00000000
-2.51225613,3.33756342,0.00793720,0.07827091,0.35016812,2.52141015,0.03204012,0.33506293,0.36686892,0.00000000
-2.50625313,3.25645316,0.00820877,0.07782632,0.35247756,2.45710108,0.03193145,0.32883833,0.35970704,0.00000000
-2.50025013,3.18075646,0.00862389,0.07788957,0.35562201,2.39546497,0.03213233,0.32338653,0.35324377,0.00000000
-2.49424712,3.11184825,0.00919541,0.07845374,0.35961128,2.33753005,0.03265961,0.31883018,0.34760512,0.00000000
-2.48824412,3.05109136,0.00993555,0.07950490,0.36446583,2.28438610,0.03353353,0.31525751,0.34293046,0.00000000
-2.48224112,2.99981184,0.01085551,0.08102215,0.37021365,2.23716539,0.03477703,0.31272129,0.33936781,0.00000000
-2.47623812,2.95927538,0.01196500,0.08297793,0.37688619,2.19702170,0.03641483,0.31123932,0.33706843,0.00000000
-2.47023512,2.93066535,0.01327168,0.08533877,0.38451396,2.16510791,0.03847238,0.31079651,0.33618074,0.00000000
-2.46423212,2.91506311,0.01478073,0.08806637,0.39312166,2.14255299,0.04097468,0.31134824,0.33684400,0.00000000
-2.45822911,2.91343076,0.01649430,0.09111888,0.40272342,2.13043886,0.04394508,0.31282492,0.33918180,0.00000000
-2.45222611,2.92659667,0.01841103,0.09445258,0.41331818,2.12977782,0.04740399,0.31513744,0.34329574,0.00000000
-2.44622311,2.95524367,0.02052565,0.09802360,0.42488560,2.14149109,0.05136772,0.31818310,0.34925956,0.00000000
-2.44022011,2.99989993,0.02282866,0.10178981,0.43738264,2.16638885,0.05584731,0.32185184,0.35711387,0.00000000
-2.43421711,3.06093215,0.02530600,0.10571268,0.45074102,2.20515222,0.06084759,0.32603227,0.36686196,0.00000000
-2.42821411,3.13854090,0.02793902,0.10975895,0.46486570,2.25831745,0.06636637,0.33061722,0.37846655,0.00000000
-2.42221111,3.23275763,0.03070442,0.11390220,0.47963455,2.32626241,0.07239388,0.33550855,0.39184801,0.00000000
-2.41620810,3.34344303,0.03357448,0.11812396,0.49489916,2.40919566,0.07891242,0.34062085,0.40688394,0.00000000
-2.41020510,3.47028638,0.03651731,0.12241455,0.51048681,2.50714794,0.08589636,0.34588396,0.42341020,0.00000000
-2.40420210,3.61280547,0.03949741,0.12677333,0.52620362,2.61996607,0.09331228,0.35124409,0.44122355,0.00000000
-2.39819910,3.77034696,0.04247629,0.13120857,0.54183865,2.74730916,0.10111952,0.35666362,0.46008551,0.00000000
