energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
1.99599800,3.57561622,2.23821400,0.24266979,0.15816010,0.92468318,2.05331097,0.05265241
2.00200100,3.69025314,2.33526582,0.25177250,0.16226328,0.96482176,2.07127710,0.05571840
2.00800400,3.81703212,2.43913893,0.26139777,0.16800629,1.01310911,2.08816531,0.05892894
2.01400700,3.95538794,2.54922865,0.27146941,0.17537214,1.06943995,2.10404034,0.06225842
2.02001001,4.10446220,2.66470483,0.28189423,0.18431971,1.13358532,2.11893275,0.06567627
2.02601301,4.26309585,2.78451287,0.29256250,0.19478270,1.20518634,2.13283281,0.06914718
2.03201601,4.42983149,2.90738379,0.30334907,0.20666902,1.28375052,2.14568649,0.07263161
2.03801901,4.60292620,3.03185352,0.31411520,0.21986084,1.36865133,2.15739385,0.07608636
2.04402201,4.78037492,3.15629117,0.32471106,0.23421524,1.45913105,2.16780982,0.07946547
2.05002501,4.95994428,3.27893554,0.33497876,0.24956552,1.55430735,2.17674730,0.08272116
2.05602801,5.13921594,3.39793871,0.34475602,0.26572332,1.65318351,2.18398258,0.08580498
2.06203102,5.31563842,3.51141533,0.35388015,0.28248123,1.75466207,2.18926271,0.08866905
2.06803402,5.48658567,3.61749560,0.36219236,0.29961623,1.85756185,2.19231484,0.09126731
2.07403702,5.64942053,3.71438009,0.36954211,0.31689349,1.96063772,2.19285691,0.09355683
2.08004002,5.80156078,3.80039395,0.37579153,0.33407076,2.06260271,2.19060950,0.09549907
2.08604302,5.94054546,3.87403847,0.38081946,0.35090292,2.16215174,2.18530844,0.09706103
2.09204602,6.06409903,3.93403770,0.38452518,0.36714687,2.25798633,2.17671749,0.09821625
2.09804902,6.17019093,3.97937818,0.38683161,0.38256629,2.34883950,2.16464091,0.09894571
2.10405203,6.25708836,4.00934003,0.38768773,0.39693640,2.43350019,2.14893511,0.09923836
2.11005503,6.32340032,4.02351814,0.38707028,0.41004842,2.51083644,2.12951910,0.09909158
2.11605803,6.36811135,4.02183244,0.38498456,0.42171357,2.57981674,2.10638307,0.09851121
2.12206103,6.39060369,4.00452694,0.38146429,0.43176672,2.63952897,2.07959481,0.09751145
2.12806403,6.39066737,3.97215764,0.37657062,0.44006925,2.68919661,2.04930350,0.09611435
2.13406703,6.36849786,3.92556979,0.37039016,0.44651142,2.72819164,2.01574057,0.09434920
2.14007004,6.32468174,3.86586568,0.36303230,0.45101394,2.75604422,1.97921755,0.09225156
2.14607304,6.26017125,3.79436448,0.35462580,0.45352883,2.77244883,1.94012072,0.08986222
2.15207604,6.17624881,3.71255584,0.34531482,0.45403955,2.77726694,1.89890288,0.08722591
2.15807904,6.07448335,3.62204950,0.33525460,0.45256050,2.77052633,1.85607215,0.08439003
2.16408204,5.95668031,3.52452293,0.32460684,0.44913582,2.75241721,1.81217858,0.08140327
2.17008504,5.82482731,3.42166956,0.31353517,0.44383760,2.72328528,1.76779873,0.07831425
2.17608804,5.68103781,3.31514942,0.30220066,0.43676369,2.68362216,1.72351910,0.07517027
2.18209105,5.52749492,3.20654450,0.29075774,0.42803495,2.63405342,1.67991891,0.07201619
2.18809405,5.36639724,3.09732027,0.27935050,0.41779233,2.57532448,1.63755314,0.06889338
2.19409705,5.19990871,2.98879493,0.26810964,0.40619360,2.50828489,1.59693646,0.06583898
2.20010005,5.03011396,2.88211708,0.25715008,0.39341000,2.43387118,1.55852874,0.06288526
2.20610305,4.85898022,2.77825240,0.24656932,0.37962283,2.35308884,1.52272284,0.06005932
2.21210605,4.68832670,2.67797935,0.23644652,0.36502010,2.26699362,1.48983504,0.05738289
2.21810905,4.51980180,2.58189324,0.22684234,0.34979323,2.17667270,1.46009866,0.05487248
2.22411206,4.35486813,2.49041810,0.21779949,0.33413400,2.08322594,1.43366078,0.05253961
2.23011506,4.19479496,2.40382480,0.20934382,0.31823170,1.98774769,1.41058236,0.05039124
2.23611806,4.04065756,2.32225426,0.20148599,0.30227052,1.89130951,1.39084143,0.04843040
2.24212106,3.89334243,2.24574384,0.19422346,0.28642730,1.79494399,1.37433915,0.04665681
2.24812406,3.75355738,2.17425537,0.18754278,0.27086960,1.69963013,1.36090822,0.04506764
2.25412706,3.62184533,2.10770295,0.18142196,0.25575403,1.60628045,1.35032334,0.04365821
2.26013007,3.49860060,2.04597915,0.17583289,0.24122497,1.51572996,1.34231289,0.04242275
2.26613307,3.38408661,1.98897800,0.17074364,0.22741356,1.42872736,1.33657151,0.04135504
2.27213607,3.27845393,1.93661381,0.16612051,0.21443698,1.34592830,1.33277284,0.04044896
2.27813907,3.18175778,1.88883498,0.16192984,0.20239797,1.26789096,1.33058201,0.03969899
2.28414207,3.09397438,1.84563237,0.15813951,0.19138455,1.19507380,1.32966738,0.03910052
2.29014507,3.01501553,1.80704206,0.15472006,0.18146992,1.12783544,1.32971122,0.03865008
2.29614807,2.94474127,1.77314290,0.15164542,0.17271257,1.06643659,1.33041904,0.03834538
2.30215108,2.88297030,1.74404924,0.14889339,0.16515641,1.01104378,1.33152736,0.03818529
2.30815408,2.82948848,1.71989975,0.14644568,0.15883109,0.96173476,1.33280990,0.03816966
2.31415708,2.78405528,1.70084333,0.14428781,0.15375236,0.91850531,1.33408200,0.03829901
2.32016008,2.74640871,1.68702320,0.14240869,0.14992253,0.88127727,1.33520353,0.03857422
2.32616308,2.71626886,1.67856039,0.14080010,0.14733104,0.84990740,1.33608004,0.03899612
2.33216608,2.69334047,1.67553779,0.13945607,0.14595511,0.82419705,1.33666245,0.03956498
2.33816908,2.67731487,1.67798590,0.13837214,0.14576047,0.80390207,1.33694530,0.04028013
2.34417209,2.66787152,1.68587105,0.13754471,0.14670227,0.78874306,1.33696350,0.04113949
2.35017509,2.66467937,1.69908707,0.13697032,0.14872608,0.77841540,1.33678792,0.04213916
