energy_ev,total_up,Ag_p_up,Ag_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.86793397,1.38208673,0.31048819,0.94073650,0.15038967,0.09950617,0.00735303,0.02962758,0.04255499,0.16361837
-5.86193097,1.35951769,0.30845376,0.93786439,0.14015279,0.09443775,0.00716738,0.02873399,0.04184337,0.15719051
-5.85592796,1.34220754,0.30785976,0.93808413,0.13103784,0.08988996,0.00703038,0.02804272,0.04123507,0.15141865
-5.84992496,1.32947206,0.30847739,0.94079486,0.12306475,0.08584425,0.00694069,0.02754082,0.04071277,0.14626460
-5.84392196,1.32061327,0.31006838,0.94539808,0.11624355,0.08227805,0.00689677,0.02721409,0.04025896,0.14168679
-5.83791896,1.31494337,0.31239370,0.95131547,0.11057637,0.07916625,0.00689703,0.02704778,0.03985641,0.13764192
-5.83191596,1.31180761,0.31522178,0.95800617,0.10605917,0.07648247,0.00693997,0.02702730,0.03948889,0.13408656
-5.82591296,1.31060546,0.31833621,0.96498272,0.10268317,0.07420037,0.00702429,0.02713881,0.03914166,0.13097860
-5.81990995,1.31080878,0.32154231,0.97182496,0.10043580,0.07229461,0.00714900,0.02736969,0.03880201,0.12827853
-5.81390695,1.31197647,0.32467256,0.97819116,0.09930126,0.07074179,0.00731343,0.02770890,0.03845973,0.12595043
-5.80790395,1.31376449,0.32759039,0.98382580,0.09926053,0.06952097,0.00751731,0.02814720,0.03810743,0.12396273
-5.80190095,1.31593096,0.33019244,0.98856352,0.10029100,0.06861407,0.00776067,0.02867717,0.03774078,0.12228854
-5.79589795,1.31833595,0.33240902,0.99232898,0.10236562,0.06800593,0.00804382,0.02929318,0.03735857,0.12090568
-5.78989495,1.32093587,0.33420295,0.99513252,0.10545183,0.06768412,0.00836725,0.02999116,0.03696267,0.11979633
-5.78389195,1.32377301,0.33556676,0.99706186,0.10951015,0.06763853,0.00873145,0.03076828,0.03655781,0.11894624
-5.77788894,1.32696044,0.33651858,0.99827023,0.11449276,0.06786078,0.00913684,0.03162252,0.03615121,0.11834382
-5.77188594,1.33066359,0.33709685,0.99896156,0.12034211,0.06834342,0.00958353,0.03255227,0.03575212,0.11797884
-5.76588294,1.33507932,0.33735440,0.99937365,0.12698974,0.06907913,0.01007120,0.03355582,0.03537124,0.11784109
-5.75987994,1.34041390,0.33735198,0.99976009,0.13435539,0.07005976,0.01059890,0.03463094,0.03502002,0.11791895
-5.75387694,1.34686131,0.33715199,1.00037227,0.14234667,0.07127561,0.01116499,0.03577452,0.03471000,0.11819809
-5.74787394,1.35458323,0.33681253,1.00144228,0.15085924,0.07271459,0.01176697,0.03698224,0.03445211,0.11866028
-5.74187094,1.36369186,0.33638220,1.00316790,0.15977777,0.07436175,0.01240146,0.03824845,0.03425600,0.11928252
-5.73586793,1.37423695,0.33589609,1.00570040,0.16897749,0.07619894,0.01306419,0.03956612,0.03412943,0.12003658
-5.72986493,1.38619756,0.33537291,1.00913600,0.17832657,0.07820467,0.01375001,0.04092699,0.03407785,0.12088882
-5.72386193,1.39947923,0.33481369,1.01351129,0.18768905,0.08035435,0.01445303,0.04232179,0.03410398,0.12180063
-5.71785893,1.41391667,0.33420189,1.01880284,0.19692843,0.08262071,0.01516672,0.04374063,0.03420767,0.12272919
-5.71185593,1.42928162,0.33350492,1.02493099,0.20591155,0.08497449,0.01588413,0.04517353,0.03438581,0.12362869
-5.70585293,1.44529537,0.33267690,1.03176724,0.21451280,0.08738532,0.01659808,0.04661088,0.03463249,0.12445193
-5.69984992,1.46164504,0.33166247,1.03914492,0.22261826,0.08982271,0.01730142,0.04804410,0.03493922,0.12515212
-5.69384692,1.47800231,0.33040128,1.04687209,0.23012964,0.09225716,0.01798723,0.04946609,0.03529532,0.12568488
-5.68784392,1.49404348,0.32883282,1.05474583,0.23696776,0.09466122,0.01864908,0.05087177,0.03568845,0.12601024
-5.68184092,1.50946934,0.32690135,1.06256701,0.24307541,0.09701049,0.01928125,0.05225838,0.03610510,0.12609456
-5.67583792,1.52402355,0.32456041,1.07015446,0.24841928,0.09928443,0.01987885,0.05362573,0.03653128,0.12591221
-5.66983492,1.53750836,0.32177678,1.07735759,0.25299097,0.10146702,0.02043797,0.05497622,0.03695302,0.12544694
-5.66383192,1.54979672,0.31853348,1.08406697,0.25680697,0.10354708,0.02095574,0.05631469,0.03735703,0.12469287
-5.65782891,1.56084006,0.31483179,1.09022190,0.25990748,0.10551838,0.02143030,0.05764810,0.03773115,0.12365492
-5.65182591,1.57067137,0.31069207,1.09581504,0.26235425,0.10737941,0.02186078,0.05898501,0.03806485,0.12234891
-5.64582291,1.57940362,0.30615345,1.10089371,0.26422751,0.10913289,0.02224716,0.06033496,0.03834949,0.12080097
-5.63981991,1.58722393,0.30127244,1.10555812,0.26562209,0.11078507,0.02259012,0.06170772,0.03857862,0.11904667
-5.63381691,1.59438385,0.29612059,1.10995683,0.26664304,0.11234482,0.02289084,0.06311248,0.03874804,0.11712968
-5.62781391,1.60118690,0.29078148,1.11427999,0.26740087,0.11382260,0.02315078,0.06455710,0.03885586,0.11510011
-5.62181091,1.60797410,0.28534716,1.11875086,0.26800682,0.11522940,0.02337149,0.06604733,0.03890238,0.11301270
-5.61580790,1.61510873,0.27991449,1.12361641,0.26856821,0.11657576,0.02355437,0.06758617,0.03888995,0.11092486
-5.60980490,1.62296117,0.27458143,1.12913765,0.26918422,0.11787077,0.02370052,0.06917341,0.03882271,0.10889475
-5.60380190,1.63189495,0.26944368,1.13558019,0.26994238,0.11912136,0.02381063,0.07080529,0.03870635,0.10697943
-5.59779890,1.64225453,0.26459184,1.14320571,0.27091561,0.12033171,0.02388483,0.07247442,0.03854780,0.10523324
-5.59179590,1.65435548,0.26010916,1.15226459,0.27216029,0.12150295,0.02392272,0.07416985,0.03835492,0.10370643
-5.58579290,1.66847729,0.25607008,1.16298992,0.27371514,0.12263309,0.02392342,0.07587741,0.03813622,0.10244404
-5.57978989,1.68485880,0.25253949,1.17559303,0.27560095,0.12371713,0.02388558,0.07758015,0.03790055,0.10148520
-5.57378689,1.70369610,0.24957277,1.19026035,0.27782116,0.12474747,0.02380758,0.07925899,0.03765691,0.10086270
-5.56778389,1.72514250,0.24721641,1.20715139,0.28036316,0.12571440,0.02368770,0.08089347,0.03741415,0.10060286
-5.56178089,1.74930992,0.24550926,1.22639765,0.28320018,0.12660678,0.02352428,0.08246257,0.03718087,0.10072573
-5.55577789,1.77627136,0.24448396,1.24810198,0.28629357,0.12741270,0.02331596,0.08394550,0.03696516,0.10124551
-5.54977489,1.80606360,0.24416879,1.27233809,0.28959539,0.12812020,0.02306188,0.08532253,0.03677457,0.10217109
-5.54377189,1.83868970,0.24458929,1.29914999,0.29305124,0.12871793,0.02276183,0.08657571,0.03661590,0.10350678
-5.53776888,1.87412098,0.24576998,1.32855104,0.29660293,0.12919571,0.02241646,0.08768954,0.03649518,0.10525306
-5.53176588,1.91229797,0.24773558,1.36052256,0.30019121,0.12954496,0.02202735,0.08865148,0.03641751,0.10740736
-5.52576288,1.95313046,0.25051200,1.39501194,0.30375825,0.12975903,0.02159710,0.08945234,0.03638702,0.10996476
-5.51975988,1.99649651,0.25412678,1.43193036,0.30724986,0.12983332,0.02112929,0.09008654,0.03640680,0.11291865
-5.51375688,2.04224078,0.25860907,1.47115040,0.31061751,0.12976533,0.02062853,0.09055223,0.03647883,0.11626126
-5.50775388,2.09017232,0.26398903,1.51250365,0.31381992,0.12955459,0.02010029,0.09085129,0.03660397,0.11998400
-5.50175088,2.14006233,0.27029687,1.55577874,0.31682448,0.12920242,0.01955083,0.09098924,0.03678189,0.12407773
-5.49574787,2.19164226,0.27756128,1.60072007,0.31960815,0.12871175,0.01898697,0.09097499,0.03701112,0.12853277
-5.48974487,2.24460257,0.28580764,1.64702745,0.32215824,0.12808681,0.01841598,0.09082061,0.03728906,0.13333880
-5.48374187,2.29859255,0.29505588,1.69435706,0.32447271,0.12733286,0.01784530,0.09054098,0.03761209,0.13848459
-5.47773887,2.35322138,0.30531810,1.74232361,0.32656018,0.12645599,0.01728237,0.09015339,0.03797562,0.14395753
-5.47173587,2.40806057,0.31659618,1.79050396,0.32843966,0.12546283,0.01673441,0.08967714,0.03837427,0.14974309
-5.46573287,2.46264786,0.32887934,1.83844217,0.33013984,0.12436049,0.01620820,0.08913306,0.03880201,0.15582412
-5.45972986,2.51649235,0.34214180,1.88565564,0.33169812,0.12315638,0.01570991,0.08854311,0.03925237,0.16218014
-5.45372686,2.56908090,0.35634072,1.93164247,0.33315937,0.12185822,0.01524498,0.08792984,0.03971866,0.16878655
-5.44772386,2.61988547,0.37141441,1.97588958,0.33457431,0.12047401,0.01481791,0.08731595,0.04019412,0.17561391
-5.44172086,2.66837123,0.38728101,2.01788146,0.33599776,0.11901207,0.01443227,0.08672380,0.04067219,0.18262731
-5.43571786,2.71400523,0.40383775,2.05710925,0.33748672,0.11748110,0.01409053,0.08617496,0.04114668,0.18978587
-5.42971486,2.75626545,0.42096081,2.09307993,0.33909837,0.11589024,0.01379412,0.08568977,0.04161191,0.19704249
-5.42371186,2.79465007,0.43850600,2.12532555,0.34088817,0.11424917,0.01354340,0.08528700,0.04206285,0.20434387
-5.41770885,2.82868694,0.45631020,2.15341210,0.34290805,0.11256817,0.01333771,0.08498347,0.04249525,0.21163087
-5.41170585,2.85794305,0.47419372,2.17694821,0.34520493,0.11085822,0.01317547,0.08479387,0.04290563,0.21883924
-5.40570285,2.88203409,0.49196353,2.19559333,0.34781952,0.10913101,0.01305426,0.08473059,0.04329131,0.22590070
-5.39969985,2.90063388,0.50941733,2.20906547,0.35078564,0.10739906,0.01297097,0.08480366,0.04365039,0.23274453
-5.39369685,2.91348368,0.52634840,2.21714834,0.35412996,0.10567576,0.01292197,0.08502084,0.04398167,0.23929932
-5.38769385,2.92040111,0.54255106,2.21969776,0.35787214,0.10397539,0.01290328,0.08538777,0.04428455,0.24549519
-5.38169085,2.92128834,0.55782658,2.21664722,0.36202554,0.10231315,0.01291076,0.08590818,0.04455890,0.25126609
-5.37568784,2.91613938,0.57198924,2.20801235,0.36659813,0.10070515,0.01294026,0.08658423,0.04480496,0.25655220
-5.36968484,2.90504574,0.58487234,2.19389405,0.37159368,0.09916839,0.01298785,0.08741682,0.04502315,0.26130230
-5.36368184,2.88820012,0.59633382,2.17447992,0.37701298,0.09772059,0.01304996,0.08840592,0.04521399,0.26547594
-5.35767884,2.86589752,0.60626108,2.15004379,0.38285495,0.09638009,0.01312349,0.08955081,0.04537791,0.26904522
-5.35167584,2.83853318,0.61457486,2.12094295,0.38911745,0.09516551,0.01320595,0.09085033,0.04551520,0.27199610
-5.34567284,2.80659704,0.62123183,2.08761287,0.39579763,0.09409539,0.01329548,0.09230291,0.04562583,0.27432914
-5.33966983,2.77066424,0.62622565,2.05055929,0.40289176,0.09318773,0.01339092,0.09390648,0.04570944,0.27605949
-5.33366683,2.73138177,0.62958648,2.01034753,0.41039428,0.09245935,0.01349169,0.09565825,0.04576522,0.27721623
-5.32766383,2.68945119,0.63137878,1.96758931,0.41829633,0.09192521,0.01359782,0.09755429,0.04579189,0.27784087
-5.32166083,2.64560805,0.63169755,1.92292718,0.42658354,0.09159761,0.01370972,0.09958897,0.04578766,0.27798530
-5.31565783,2.60059854,0.63066322,1.87701721,0.43523337,0.09148539,0.01382809,0.10175430,0.04575024,0.27770903
-5.30965483,2.55515447,0.62841529,1.83051048,0.44421208,0.09159307,0.01395371,0.10403915,0.04567685,0.27707614
-5.30365183,2.50996768,0.62510531,1.78403418,0.45347171,0.09192005,0.01408726,0.10642852,0.04556424,0.27615188
-5.29764882,2.46566530,0.62088939,1.73817317,0.46294718,0.09245997,0.01422910,0.10890284,0.04540876,0.27499928
-5.29164582,2.42278716,0.61592083,1.69345314,0.47255394,0.09320019,0.01437911,0.11143736,0.04520645,0.27367594
-5.28564282,2.38176696,0.61034331,1.65032594,0.48218637,0.09412146,0.01453652,0.11400183,0.04495310,0.27223118
-5.27963982,2.34291825,0.60428499,1.60915838,0.49171735,0.09519794,0.01469980,0.11656037,0.04464442,0.27070389
-5.27363682,2.30642638,0.59785402,1.57022477,0.50099899,0.09639746,0.01486661,0.11907168,0.04427615,0.26912099
-5.26763382,2.27234719,0.59113560,1.53370408,0.50986485,0.09768216,0.01503379,0.12148964,0.04384426,0.26749690
-5.26163082,2.24061262,0.58419088,1.49968174,0.51813364,0.09900938,0.01519743,0.12376418,0.04334511,0.26583381
-5.25562781,2.21104333,0.57705772,1.46815612,0.52561428,0.10033298,0.01535297,0.12584264,0.04277563,0.26412299
-5.24962481,2.18336768,0.56975323,1.43904945,0.53211226,0.10160478,0.01549539,0.12767129,0.04213356,0.26234686
-5.24362181,2.15724613,0.56227787,1.41222248,0.53743699,0.10277634,0.01561940,0.12919725,0.04141761,0.26048181
-5.23761881,2.13229970,0.55462091,1.38749211,0.54140980,0.10380079,0.01571974,0.13037045,0.04062766,0.25850154
-5.23161581,2.10814082,0.54676668,1.36465083,0.54387218,0.10463469,0.01579141,0.13114573,0.03976493,0.25638074
-5.22561281,2.08440481,0.53870133,1.34348690,0.54469382,0.10523989,0.01582995,0.13148492,0.03883206,0.25409879
-5.21960980,2.06077992,0.53041953,1.32380403,0.54377996,0.10558516,0.01583167,0.13135869,0.03783327,0.25164329
-5.21360680,2.03703423,0.52193059,1.30543912,0.54107767,0.10564759,0.01579389,0.13074823,0.03677431,0.24901311
-5.20760380,2.01303751,0.51326362,1.28827731,0.53658050,0.10541365,0.01571510,0.12964649,0.03566249,0.24622081
-5.20160080,1.98877685,0.50447139,1.27226298,0.53033144,0.10487986,0.01559504,0.12805904,0.03450656,0.24329418
-5.19559780,1.96436490,0.49563250,1.25740644,0.52242367,0.10405297,0.01543479,0.12600442,0.03331656,0.24027680
-5.18959480,1.94004030,0.48685177,1.24378560,0.51299920,0.10294971,0.01523668,0.12351393,0.03210361,0.23722761
-5.18359180,1.91616011,0.47825881,1.23154267,0.50224540,0.10159608,0.01500424,0.12063092,0.03087967,0.23421936
-5.17758879,1.89318486,0.47000482,1.22087626,0.49038940,0.10002625,0.01474201,0.11740961,0.02965717,0.23133622
-5.17158579,1.87165700,0.46225785,1.21202924,0.47769080,0.09828101,0.01445534,0.11391338,0.02844872,0.22867044
-5.16558279,1.85217426,0.45519679,1.20527335,0.46443290,0.09640609,0.01415013,0.11021280,0.02726675,0.22631850
-5.15957979,1.83535939,0.44900447,1.20089157,0.45091298,0.09445021,0.01383257,0.10638326,0.02612314,0.22437675
-5.15357679,1.82182823,0.44386032,1.19915939,0.43743203,0.09246302,0.01350883,0.10250259,0.02502890,0.22293696
-5.14757379,1.81215801,0.43993298,1.20032627,0.42428441,0.09049323,0.01318485,0.09864846,0.02399388,0.22208197
-5.14157079,1.80685784,0.43737338,1.20459847,0.41174800,0.08858671,0.01286604,0.09489599,0.02302651,0.22188166
-5.13556778,1.80634289,0.43630858,1.21212429,0.40007521,0.08678491,0.01255708,0.09131542,0.02213363,0.22238956
-5.12956478,1.81091393,0.43683678,1.22298276,0.38948524,0.08512359,0.01226182,0.08797012,0.02132039,0.22364021
-5.12356178,1.82074306,0.43902369,1.23717635,0.38015799,0.08363187,0.01198315,0.08491484,0.02059021,0.22564743
-5.11755878,1.83586652,0.44290050,1.25462806,0.37222957,0.08233166,0.01172295,0.08219445,0.01994482,0.22840360
-5.11155578,1.85618451,0.44846340,1.27518315,0.36578986,0.08123754,0.01148219,0.07984297,0.01938440,0.23187998
-5.10555278,1.88146801,0.45567468,1.29861517,0.36088178,0.08035697,0.01126093,0.07788312,0.01890773,0.23602798
-5.09954977,1.91137188,0.46446527,1.32463589,0.35750247,0.07969084,0.01105855,0.07632623,0.01851247,0.24078133
-5.09354677,1.94545320,0.47473847,1.35290849,0.35560600,0.07923433,0.01087384,0.07517254,0.01819539,0.24605902
-5.08754377,1.98319375,0.48637473,1.38306306,0.35510746,0.07897797,0.01070529,0.07441184,0.01795266,0.25176888
-5.08154077,2.02402505,0.49923701,1.41471351,0.35588818,0.07890883,0.01055126,0.07402440,0.01778019,0.25781141
-5.07553777,2.06735470,0.51317659,1.44747488,0.35780173,0.07901181,0.01041023,0.07398209,0.01767385,0.26408391
-5.06953477,2.11259226,0.52803890,1.48098000,0.36068034,0.07927086,0.01028103,0.07424969,0.01762976,0.27048454
-5.06353177,2.15917361,0.54366911,1.51489464,0.36434163,0.07967017,0.01016304,0.07478634,0.01764450,0.27691610
-5.05752876,2.20658245,0.55991725,1.54893037,0.36859508,0.08019516,0.01005634,0.07554692,0.01771524,0.28328953
-5.05152576,2.25436790,0.57664265,1.58285441,0.37324832,0.08083338,0.00996188,0.07648357,0.01783988,0.28952668
-5.04552276,2.30215768,0.59371752,1.61649617,0.37811276,0.08157508,0.00988155,0.07754707,0.01801705,0.29556262
-5.03951976,2.34966631,0.61102946,1.64975011,0.38300867,0.08241360,0.00981826,0.07868815,0.01824613,0.30134705
-5.03351676,2.39669813,0.62848305,1.68257498,0.38776931,0.08334552,0.00977589,0.07985873,0.01852716,0.30684505
-5.02751376,2.44314524,0.64600024,1.71498943,0.39224438,0.08437058,0.00975928,0.08101301,0.01886075,0.31203704
-5.02151076,2.48898071,0.66351975,1.74706437,0.39630250,0.08549130,0.00977411,0.08210838,0.01924785,0.31691795
-5.01550775,2.53424730,0.68099542,1.77891243,0.39983284,0.08671256,0.00982678,0.08310626,0.01968966,0.32149583
-5.00950475,2.57904254,0.69839359,1.81067503,0.40274590,0.08804085,0.00992418,0.08397268,0.02018733,0.32578976
-5.00350175,2.62350075,0.71568969,1.84250772,0.40497359,0.08948352,0.01007348,0.08467878,0.02074178,0.32982735
-4.99749875,2.66777278,0.73286414,1.87456421,0.40646851,0.09104788,0.01028188,0.08520107,0.02135349,0.33364186
-4.99149575,2.71200440,0.74989771,1.90698007,0.40720267,0.09274022,0.01055632,0.08552158,0.02202223,0.33726904
-4.98549275,2.75631430,0.76676658,1.93985654,0.40716564,0.09456489,0.01090314,0.08562782,0.02274691,0.34074392
-4.97948974,2.80077256,0.78343724,1.97324524,0.40636229,0.09652335,0.01132779,0.08551260,0.02352535,0.34409761
-4.97348674,2.84538053,0.79986170,2.00713450,0.40481021,0.09861328,0.01183452,0.08517373,0.02435412,0.34735424
-4.96748374,2.89005329,0.81597292,2.04143800,0.40253696,0.10082780,0.01242603,0.08461355,0.02522846,0.35052824
-4.96148074,2.93460546,0.83168117,2.07598620,0.39957717,0.10315485,0.01310324,0.08383840,0.02614208,0.35362202
-4.95547774,2.97874128,0.84687123,2.11052141,0.39596977,0.10557670,0.01386500,0.08285800,0.02708723,0.35662423
-4.94947474,3.02204991,0.86140095,2.14469676,0.39175535,0.10806969,0.01470794,0.08168481,0.02805458,0.35950862
-4.94347174,3.06400648,0.87510133,2.17807962,0.38697385,0.11060421,0.01562633,0.08033331,0.02903331,0.36223372
-4.93746873,3.10397953,0.88777823,2.21015960,0.38166265,0.11314495,0.01661203,0.07881939,0.03001123,0.36474322
-4.93146573,3.14124493,0.89921603,2.24036134,0.37585518,0.11565140,0.01765455,0.07715967,0.03097488,0.36696726
-4.92546273,3.17500646,0.90918299,2.26806184,0.36958009,0.11807871,0.01874122,0.07537106,0.03190982,0.36882453
-4.91945973,3.20442253,0.91743854,2.29261196,0.36286112,0.12037871,0.01985740,0.07347024,0.03280085,0.37022507
-4.91345673,3.22863837,0.92374204,2.31336158,0.35571753,0.12250137,0.02098686,0.07147341,0.03363243,0.37107393
-4.90745373,3.24682275,0.92786294,2.32968753,0.34816520,0.12439630,0.02211224,0.06939608,0.03438904,0.37127525
-4.90145073,3.25820762,0.92959179,2.34102310,0.34021823,0.12601465,0.02321560,0.06725304,0.03505568,0.37073685
-4.89544772,3.26212918,0.92875166,2.34688804,0.33189107,0.12731092,0.02427897,0.06505842,0.03561834,0.36937503
-4.88944472,3.25806824,0.92520947,2.34691754,0.32320089,0.12824500,0.02528507,0.06282587,0.03606451,0.36711933
-4.88344172,3.24568802,0.91888645,2.34088866,0.31417015,0.12878406,0.02621798,0.06056885,0.03638375,0.36391711
-4.87743872,3.22486711,0.90976738,2.32874288,0.30482913,0.12890439,0.02706376,0.05830093,0.03656813,0.35973763
-4.87143572,3.19572571,0.89790777,2.31060317,0.29521830,0.12859293,0.02781114,0.05603619,0.03661272,0.35457546
-4.86543272,3.15864323,0.88343870,2.28678457,0.28539027,0.12784862,0.02845201,0.05378950,0.03651594,0.34845296
-4.85942971,3.11426591,0.86656865,2.25779713,0.27541128,0.12668326,0.02898191,0.05157687,0.03627986,0.34142173
-4.85342671,3.06350338,0.84758232,2.22434063,0.26536198,0.12512200,0.02940036,0.04941565,0.03591040,0.33356290
-4.84742371,3.00751356,0.82683611,2.18729092,0.25533747,0.12320326,0.02971096,0.04732470,0.03541733,0.32498606
-4.84142071,2.94767612,0.80475027,2.14767785,0.24544659,0.12097820,0.02992148,0.04532437,0.03481421,0.31582709
-4.83541771,2.88555499,0.78179814,2.10665549,0.23581032,0.11850964,0.03004360,0.04343645,0.03411815,0.30624467
-4.82941471,2.82285126,0.75849255,2.06546567,0.22655953,0.11587047,0.03009262,0.04168391,0.03334940,0.29641582
-4.82341171,2.76134815,0.73537015,2.02539608,0.21783191,0.11314162,0.03008692,0.04009060,0.03253088,0.28653044
-4.81740870,2.70285029,0.71297408,1.98773473,0.20976848,0.11040967,0.03004731,0.03868081,0.03168754,0.27678525
-4.81140570,2.64911987,0.69183586,1.95372267,0.20250962,0.10776412,0.02999624,0.03747874,0.03084563,0.26737727
-4.80540270,2.60181244,0.67245721,1.92450703,0.19619092,0.10529452,0.02995699,0.03650799,0.03003193,0.25849720
-4.79939970,2.56241514,0.65529255,1.90109642,0.19093896,0.10308749,0.02995269,0.03579096,0.02927294,0.25032285
-4.79339670,2.53219024,0.64073305,1.88432084,0.18686731,0.10122378,0.03000549,0.03534832,0.02859405,0.24301312
-4.78739370,2.51212642,0.62909278,1.87479785,0.18407281,0.09977555,0.03013563,0.03519845,0.02801873,0.23670257
-4.78139070,2.50290017,0.62059775,1.87290652,0.18263245,0.09880383,0.03036065,0.03535702,0.02756786,0.23149700
-4.77538769,2.50484893,0.61537817,1.87877057,0.18260084,0.09835646,0.03069473,0.03583667,0.02725908,0.22747003
-4.76938469,2.51795715,0.61346433,1.89225122,0.18400841,0.09846643,0.03114815,0.03664670,0.02710626,0.22466097
-4.76338169,2.54185609,0.61478625,1.91295035,0.18686059,0.09915074,0.03172692,0.03779298,0.02711917,0.22307409
-4.75737869,2.57583699,0.61917715,1.94022355,0.19113762,0.10040992,0.03243258,0.03927793,0.02730322,0.22267906
-4.75137569,2.61887721,0.62638048,1.97320268,0.19679539,0.10222803,0.03326224,0.04110062,0.02765944,0.22341282
-4.74537269,2.66967792,0.63606026,2.01082664,0.20376695,0.10457337,0.03420878,0.04325693,0.02818453,0.22518261
-4.73936968,2.72671155,0.64781429,2.05187913,0.21196469,0.10739963,0.03526120,0.04573980,0.02887112,0.22787002
-4.73336668,2.78827680,0.66118948,2.09503151,0.22128315,0.11064764,0.03640515,0.04853955,0.02970814,0.23133592
-4.72736368,2.85255860,0.67569890,2.13888881,0.23160209,0.11424749,0.03762360,0.05164414,0.03068128,0.23542606
-4.72136068,2.91769045,0.69083949,2.18203688,0.24278991,0.11812100,0.03889753,0.05503943,0.03177357,0.23997691
-4.71535768,2.98181607,0.70611000,2.22308866,0.25470700,0.12218441,0.04020676,0.05870944,0.03296595,0.24482178
-4.70935468,3.04314809,0.72102813,2.26072751,0.26720902,0.12635112,0.04153069,0.06263638,0.03423795,0.24979667
-4.70335168,3.10002103,0.73514642,2.29374594,0.28014989,0.13053452,0.04284905,0.06680076,0.03556828,0.25474577
-4.69734867,3.15093677,0.74806606,2.32107831,0.29338429,0.13465056,0.04414259,0.07118123,0.03693542,0.25952633
-4.69134567,3.19460077,0.75944834,2.34182646,0.30676972,0.13862013,0.04539364,0.07575435,0.03831819,0.26401269
-4.68534267,3.22994820,0.76902312,2.35527750,0.32016797,0.14237111,0.04658656,0.08049432,0.03969614,0.26809945
-4.67933967,3.25615927,0.77659431,2.36091362,0.33344600,0.14583997,0.04770800,0.08537256,0.04104996,0.27170351
-4.67333667,3.27266419,0.78204211,2.35841418,0.34647631,0.14897294,0.04874707,0.09035725,0.04236172,0.27476504
-4.66733367,3.27913820,0.78532223,2.34765044,0.35913689,0.15172666,0.04969533,0.09541297,0.04361507,0.27724750
-4.66133067,3.27548796,0.78646217,2.32867413,0.37131086,0.15406840,0.05054667,0.10050031,0.04479530,0.27913653
-4.65532766,3.26183087,0.78555499,2.30170074,0.38288598,0.15597579,0.05129700,0.10557571,0.04588935,0.28043814
-4.64932466,3.23846905,0.78275101,2.26708915,0.39375423,0.15743619,0.05194398,0.11059142,0.04688584,0.28117613
-4.64332166,3.20586015,0.77824792,2.22531880,0.40381159,0.15844572,0.05248658,0.11549574,0.04777495,0.28138899
