energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
1.25762881,2.43007895,0.04224170,0.93677468,0.21504425,1.01124595,0.09865587,0.00000000,0.11215125,0.30197241
1.26363182,2.31016894,0.04415384,0.88067088,0.21555357,0.96282241,0.09427078,0.00000000,0.10475152,0.28722933
1.26963482,2.20176986,0.04679235,0.82643869,0.21904805,0.92014487,0.09002677,0.00000000,0.09744019,0.27332910
1.27563782,2.10578572,0.05015700,0.77456718,0.22551907,0.88351131,0.08598274,0.00000000,0.09029316,0.26042157
1.28164082,2.02288913,0.05423518,0.72548278,0.23491190,0.85311862,0.08219209,0.00000000,0.08337884,0.24863434
1.28764382,1.95349989,0.05900094,0.67954112,0.24712255,0.82905424,0.07870142,0.00000000,0.07675721,0.23806942
1.29364682,1.89776820,0.06441418,0.63702036,0.26199531,0.81128946,0.07554946,0.00000000,0.07047909,0.22880047
1.29964982,1.85556379,0.07042015,0.59811653,0.27932128,0.79967518,0.07276627,0.00000000,0.06458585,0.22087088
1.30565283,1.82647200,0.07694932,0.56294085,0.29883818,0.79394050,0.07037284,0.00000000,0.05910925,0.21429260
1.31165583,1.80979793,0.08391774,0.53151944,0.32023166,0.79369484,0.06838094,0.00000000,0.05407170,0.20904613
1.31765883,1.80457930,0.09122784,0.50379534,0.34313844,0.79843371,0.06679355,0.00000000,0.04948676,0.20508145
1.32366183,1.80960846,0.09876985,0.47963287,0.36715133,0.80754870,0.06560560,0.00000000,0.04535987,0.20232019
1.32966483,1.82346363,0.10642378,0.45882441,0.39182638,0.82034139,0.06480516,0.00000000,0.04168937,0.20065883
1.33566783,1.84454879,0.11406194,0.44109918,0.41669191,0.83604128,0.06437502,0.00000000,0.03846764,0.19997299
1.34167084,1.87114145,0.12155199,0.42613394,0.44125946,0.85382727,0.06429467,0.00000000,0.03568245,0.20012267
1.34767384,1.90144692,0.12876048,0.41356519,0.46503633,0.87285205,0.06454251,0.00000000,0.03331834,0.20095817
1.35367684,1.93365734,0.13555664,0.40300243,0.48753926,0.89226875,0.06509827,0.00000000,0.03135812,0.20232667
1.35967984,1.96601316,0.14181647,0.39404210,0.50830897,0.91125873,0.06594553,0.00000000,0.02978430,0.20407896
1.36568284,1.99686506,0.14742677,0.38628157,0.52692476,0.92905949,0.06707424,0.00000000,0.02858047,0.20607629
1.37168584,2.02473329,0.15228918,0.37933274,0.54301874,0.94499158,0.06848309,0.00000000,0.02773254,0.20819685
1.37768884,2.04836225,0.15632373,0.37283484,0.55628897,0.95848323,0.07018161,0.00000000,0.02722989,0.21034167
1.38369185,2.06676771,0.15947210,0.36646574,0.56651093,0.96909156,0.07219186,0.00000000,0.02706612,0.21243961
1.38969485,2.07927437,0.16170007,0.35995164,0.57354676,0.97651951,0.07454967,0.00000000,0.02723974,0.21445123
1.39569785,2.08554224,0.16299933,0.35307469,0.57735178,0.98062743,0.07730525,0.00000000,0.02775438,0.21637122
1.40170085,2.08558020,0.16338832,0.34567832,0.57797802,0.98143881,0.08052306,0.00000000,0.02861875,0.21822940
1.40770385,2.07974632,0.16291224,0.33767029,0.57557444,0.97913990,0.08428106,0.00000000,0.02984629,0.22009004
1.41370685,2.06873458,0.16164204,0.32902328,0.57038388,0.97407301,0.08866911,0.00000000,0.03145437,0.22204954
1.41970985,2.05354883,0.15967254,0.31977332,0.56273691,0.96672380,0.09378666,0.00000000,0.03346329,0.22423259
1.42571286,2.03546489,0.15711973,0.31001616,0.55304274,0.95770328,0.09973976,0.00000000,0.03589489,0.22678686
1.43171586,2.01598278,0.15411737,0.29990183,0.54177767,0.94772502,0.10663747,0.00000000,0.03877092,0.22987651
1.43771886,1.99677127,0.15081308,0.28962787,0.52947166,0.93757897,0.11458776,0.00000000,0.04211130,0.23367477
1.44372186,1.97960717,0.14736395,0.27943142,0.51669362,0.92810282,0.12369316,0.00000000,0.04593214,0.23835589
1.44972486,1.96631246,0.14393214,0.26958077,0.50403600,0.92015246,0.13404624,0.00000000,0.05024385,0.24408697
1.45572786,1.95869184,0.14068036,0.26036659,0.49209954,0.91457268,0.14572514,0.00000000,0.05504926,0.25101984
1.46173087,1.95847356,0.13776768,0.25209329,0.48147860,0.91216959,0.15878946,0.00000000,0.06034190,0.25928358
1.46773387,1.96725605,0.13534557,0.24507072,0.47274784,0.91368580,0.17327656,0.00000000,0.06610460,0.26897801
1.47373687,1.98646235,0.13355463,0.23960662,0.46645053,0.91977944,0.18919867,0.00000000,0.07230839,0.28016835
1.47973987,2.01730398,0.13252176,0.23599969,0.46308898,0.93100781,0.20654073,0.00000000,0.07891192,0.29288145
1.48574287,2.06075514,0.13235807,0.23453368,0.46311711,0.94781597,0.22525936,0.00000000,0.08586132,0.30710383
1.49174587,2.11753781,0.13315750,0.23547227,0.46693532,0.97053068,0.24528285,0.00000000,0.09309072,0.32278140
1.49774887,2.18811713,0.13499598,0.23905476,0.47488749,0.99935941,0.26651222,0.00000000,0.10052324,0.33982114
1.50375188,2.27270659,0.13793128,0.24549253,0.48725986,1.03439404,0.28882347,0.00000000,0.10807265,0.35809445
1.50975488,2.37128125,0.14200328,0.25496594,0.50428142,1.07561863,0.31207072,0.00000000,0.11564551,0.37744212
1.51575788,2.48359743,0.14723456,0.26762171,0.52612536,1.12292034,0.33609021,0.00000000,0.12314377,0.39768056
1.52176088,2.60921671,0.15363129,0.28357044,0.55291118,1.17610244,0.36070487,0.00000000,0.13046778,0.41860896
1.52776388,2.74753199,0.16118418,0.30288430,0.58470685,1.23489842,0.38572935,0.00000000,0.13751947,0.44001701
1.53376688,2.89779343,0.16986930,0.32559469,0.62153061,1.29898601,0.41097503,0.00000000,0.14420564,0.46169277
1.53976988,3.05913239,0.17964890,0.35168980,0.66335210,1.36800008,0.43625489,0.00000000,0.15044120,0.48343018
1.54577289,3.23058160,0.19047189,0.38111228,0.71009241,1.44154363,0.46138793,0.00000000,0.15615214,0.50503586
1.55177589,3.41109040,0.20227407,0.41375693,0.76162299,1.51919606,0.48620280,0.00000000,0.16127813,0.52633486
1.55777889,3.59953453,0.21497814,0.44946869,0.81776330,1.60051838,0.51054061,0.00000000,0.16577459,0.54717496
1.56378189,3.79472020,0.22849340,0.48804108,0.87827748,1.68505520,0.53425664,0.00000000,0.16961408,0.56742942
1.56978489,3.99538316,0.24271540,0.52921537,0.94287015,1.77233362,0.55722098,0.00000000,0.17278701,0.58699804
1.57578789,4.20018372,0.25752541,0.57268083,1.01118185,1.86185935,0.57931804,0.00000000,0.17530154,0.60580652
1.58179090,4.40769926,0.27279006,0.61807612,1.08278453,1.95311091,0.60044517,0.00000000,0.17718271,0.62380420
1.58779390,4.61641612,0.28836120,0.66499234,1.15717772,2.04553250,0.62051036,0.00000000,0.17847079,0.64096052
1.59379690,4.82472285,0.30407609,0.71297765,1.23378595,2.13852670,0.63942944,0.00000000,0.17921901,0.65726028
1.59979990,5.03090683,0.31975816,0.76154376,1.31195799,2.23144804,0.65712290,0.00000000,0.17949075,0.67269830
1.60580290,5.23315619,0.33521826,0.81017420,1.39096839,2.32359823,0.67351274,0.00000000,0.17935624,0.68727367
1.61180590,5.42956849,0.35025679,0.85833428,1.47002186,2.41422431,0.68851961,0.00000000,0.17888915,0.70098421
1.61780890,5.61816739,0.36466634,0.90548259,1.54826066,2.50252016,0.70206045,0.00000000,0.17816301,0.71382132
1.62381191,5.79692757,0.37823521,0.95108364,1.62477523,2.58763206,0.71404698,0.00000000,0.17724787,0.72576576
1.62981491,5.96380808,0.39075143,0.99462132,1.69861794,2.66866858,0.72438513,0.00000000,0.17620713,0.73678458
1.63581791,6.11679315,0.40200742,1.03561249,1.76881986,2.74471463,0.73297559,0.00000000,0.17509495,0.74682942
1.64182091,6.25393922,0.41180492,1.07362048,1.83440999,2.81484950,0.73971535,0.00000000,0.17395419,0.75583629
1.64782391,6.37342609,0.41996016,1.10826748,1.89443661,2.87816811,0.74450047,0.00000000,0.17281497,0.76372688
1.65382691,6.47361012,0.42630896,1.13924565,1.94798979,2.93380477,0.74722960,0.00000000,0.17169404,0.77041126
1.65982991,6.55307654,0.43071156,1.16632607,1.99422452,2.98095822,0.74780832,0.00000000,0.17059484,0.77579180
1.66583292,6.61068836,0.43305698,1.18936524,2.03238340,3.01891694,0.74615393,0.00000000,0.16950824,0.77976814
1.67183592,6.64562903,0.43326669,1.20830869,2.06181804,3.04708318,0.74220046,0.00000000,0.16841398,0.78224265
1.67783892,6.65743648,0.43129743,1.22319135,2.08200848,3.06499476,0.73590353,0.00000000,0.16728261,0.78312633
1.68384192,6.64602638,0.42714296,1.23413467,2.09257946,3.07234327,0.72724486,0.00000000,0.16607780,0.78234445
1.68984492,6.61170313,0.42083484,1.24134045,2.09331325,3.06898765,0.71623608,0.00000000,0.16475899,0.77984177
1.69584792,6.55515759,0.41244198,1.24508157,2.08415824,3.05496244,0.70292167,0.00000000,0.16328415,0.77558694
1.70185093,6.47745133,0.40206914,1.24568995,2.06523293,3.03048017,0.68738076,0.00000000,0.16161245,0.76957572
1.70785393,6.37998789,0.38985436,1.24354227,2.03682532,2.99592758,0.66972778,0.00000000,0.15970679,0.76183296
1.71385693,6.26447214,0.37596544,1.23904406,1.99938749,2.95185580,0.65011187,0.00000000,0.15753608,0.75241308
1.71985993,6.13285977,0.36059571,1.23261283,1.95352583,2.89896505,0.62871502,0.00000000,0.15507707,0.74139911
1.72586293,5.98729900,0.34395909,1.22466113,1.89998716,2.83808433,0.60574913,0.00000000,0.15231575,0.72890033
1.73186593,5.83006755,0.32628481,1.21558028,1.83964149,2.77014735,0.58145203,0.00000000,0.14924825,0.71504875
1.73786893,5.66350780,0.30781190,1.20572570,1.77346216,2.69616576,0.55608279,0.00000000,0.14588127,0.69999454
1.74387194,5.48996340,0.28878367,1.19540449,1.70250414,2.61720105,0.52991640,0.00000000,0.14223198,0.68390085
1.74987494,5.31172032,0.26944244,1.18486608,1.62788149,2.53433656,0.50323824,0.00000000,0.13832759,0.66693836
1.75587794,5.13095521,0.25002450,1.17429637,1.55074489,2.44865093,0.47633848,0.00000000,0.13420448,0.64927983
1.76188094,4.94969353,0.23075573,1.16381586,1.47226014,2.36119438,0.44950669,0.00000000,0.12990713,0.63109515
1.76788394,4.76977916,0.21184775,1.15348186,1.39358841,2.27296878,0.42302698,0.00000000,0.12548686,0.61254706
1.77388694,4.59285663,0.19349478,1.14329470,1.31586886,2.18491250,0.39717369,0.00000000,0.12100049,0.59378798
1.77988994,4.42036643,0.17587125,1.13320786,1.24020412,2.09789039,0.37220790,0.00000000,0.11650907,0.57495801
1.78589295,4.25355283,0.15913014,1.12314123,1.16764896,2.01268926,0.34837480,0.00000000,0.11207656,0.55618420
1.79189595,4.09348307,0.14340212,1.11299702,1.09920205,1.93001850,0.32590191,0.00000000,0.10776873,0.53758115
1.79789895,3.94107587,0.12879521,1.10267734,1.03580065,1.85051551,0.30499813,0.00000000,0.10365225,0.51925283
1.80390195,3.79713689,0.11539518,1.09210244,0.97831796,1.77475480,0.28585349,0.00000000,0.09979378,0.50129537
1.80990495,3.66239792,0.10326631,1.08122850,0.92756230,1.70326002,0.26863950,0.00000000,0.09625938,0.48380053
1.81590795,3.53755667,0.09245265,1.07006387,0.88427761,1.63651723,0.25350984,0.00000000,0.09311389,0.46685970
1.82191096,3.42331383,0.08297943,1.05868271,0.84914435,1.57498838,0.24060121,0.00000000,0.09042048,0.45056778
1.82791396,3.32040416,0.07485467,1.04723504,0.82277997,1.51912332,0.23003417,0.00000000,0.08824004,0.43502682
1.83391696,3.22961891,0.06807086,1.03595244,0.80573820,1.46936925,0.22191365,0.00000000,0.08663068,0.42034892
1.83991996,3.15181728,0.06260651,1.02514883,0.79850652,1.42617639,0.21632906,0.00000000,0.08564700,0.40665813
1.84592296,3.08792539,0.05842766,1.01521609,0.80150118,1.38999909,0.21335377,0.00000000,0.08533921,0.39409111
1.85192596,3.03892210,0.05548913,1.00661441,0.81505964,1.36129195,0.21304403,0.00000000,0.08575213,0.38279641
1.85792896,3.00581192,0.05373566,0.99985775,0.83943036,1.34050060,0.21543711,0.00000000,0.08692390,0.37293223
1.86393197,2.98958593,0.05310272,0.99549499,0.87476018,1.32804779,0.22054892,0.00000000,0.08888461,0.36466282
1.86993497,2.99117290,0.05351725,0.99408745,0.92107984,1.32431499,0.22837108,0.00000000,0.09165477,0.35815355
1.87593797,3.01138301,0.05489817,0.99618406,0.97828848,1.32962083,0.23886781,0.00000000,0.09524372,0.35356492
1.88194097,3.05084770,0.05715686,1.00229513,1.04613814,1.34419750,0.25197274,0.00000000,0.09964811,0.35104588
1.88794397,3.10995895,0.06019760,1.01286620,1.12421934,1.36816654,0.26758596,0.00000000,0.10485045,0.35072664
1.89394697,3.18881224,0.06391813,1.02825319,1.21194918,1.40151571,0.28557176,0.00000000,0.11081804,0.35271162
1.89994997,3.28715651,0.06821026,1.04870010,1.30856308,1.44407845,0.30575718,0.00000000,0.11750207,0.35707267
1.90595298,3.40435494,0.07296087,1.07432051,1.41311144,1.49551748,0.32793178,0.00000000,0.12483741,0.36384316
1.91195598,3.53935943,0.07805303,1.10508372,1.52446216,1.55531387,0.35184889,0.00000000,0.13274274,0.37301325
1.91795898,3.69070108,0.08336759,1.14080647,1.64130989,1.62276268,0.37722839,0.00000000,0.14112142,0.38452652
1.92396198,3.85649826,0.08878502,1.18115054,1.76219239,1.69697587,0.40376122,0.00000000,0.14986298,0.39827841
1.92996498,4.03448282,0.09418764,1.22562655,1.88551398,1.77689295,0.43111561,0.00000000,0.15884525,0.41411641
1.93596798,4.22204419,0.09946217,1.27360394,2.00957600,1.86129921,0.45894480,0.00000000,0.16793707,0.43184219
