energy_ev,total_up,N_s_up,N_p_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-5.08754377,0.84457064,0.00053112,0.13814660,1.02219363,0.27530312,0.00592224,0.29561414
-5.08154077,0.75587626,0.00045597,0.12117361,0.90943945,0.25013373,0.00523737,0.26443848
-5.07553777,0.67311468,0.00038870,0.10568452,0.80500855,0.22610941,0.00460854,0.23537271
-5.06953477,0.59643019,0.00032902,0.09166866,0.70900525,0.20333723,0.00403544,0.20846034
-5.06353177,0.52586464,0.00027654,0.07909215,0.62139626,0.18189976,0.00351697,0.18370920
-5.05752876,0.46137074,0.00023080,0.06790257,0.54203253,0.16185585,0.00305140,0.16109618
-5.05152576,0.40282573,0.00019128,0.05803351,0.47067110,0.14324169,0.00263652,0.14057204
-5.04552276,0.35004483,0.00015741,0.04940892,0.40699645,0.12607215,0.00226976,0.12206603
-5.03951976,0.30279425,0.00012863,0.04194714,0.35064077,0.11034240,0.00194837,0.10549042
-5.03351676,0.26080353,0.00010438,0.03556454,0.30120275,0.09602983,0.00166948,0.09074470
-5.02751376,0.22377698,0.00008412,0.03017866,0.25826456,0.08309602,0.00143024,0.07771948
-5.02151076,0.19140407,0.00006733,0.02571091,0.22140697,0.07148904,0.00122792,0.06629998
-5.01550775,0.16336879,0.00005354,0.02208872,0.19022230,0.06114569,0.00105994,0.05636917
-5.00950475,0.13935780,0.00004232,0.01924730,0.16432537,0.05199385,0.00092398,0.04781050
-5.00350175,0.11906742,0.00003328,0.01713083,0.14336234,0.04395485,0.00081798,0.04051018
-4.99749875,0.10220943,0.00002608,0.01569332,0.12701746,0.03694568,0.00074020,0.03435919
-4.99149575,0.08851571,0.00002043,0.01489898,0.11501786,0.03088118,0.00068923,0.02925473
-4.98549275,0.07774172,0.00001608,0.01472231,0.10713647,0.02567595,0.00066400,0.02510146
-4.97948974,0.06966894,0.00001285,0.01514779,0.10319303,0.02124618,0.00066374,0.02181232
-4.97348674,0.06410617,0.00001059,0.01616929,0.10305350,0.01751120,0.00068802,0.01930905
-4.96748374,0.06089003,0.00000920,0.01778926,0.10662779,0.01439479,0.00073666,0.01752243
-4.96148074,0.05988447,0.00000864,0.02001760,0.11386609,0.01182636,0.00080973,0.01639228
-4.95547774,0.06097956,0.00000889,0.02287039,0.12475395,0.00974180,0.00090750,0.01586722
-4.94947474,0.06408972,0.00001003,0.02636840,0.13930621,0.00808424,0.00103034,0.01590434
-4.94347174,0.06915140,0.00001218,0.03053555,0.15756011,0.00680461,0.00117872,0.01646868
-4.93746873,0.07612046,0.00001552,0.03539713,0.17956784,0.00586211,0.00135309,0.01753269
-4.93146573,0.08496942,0.00002034,0.04097815,0.20538880,0.00522455,0.00155382,0.01907570
-4.92546273,0.09568477,0.00002700,0.04730156,0.23508185,0.00486869,0.00178115,0.02108341
-4.91945973,0.10826445,0.00003599,0.05438663,0.26869804,0.00478059,0.00203510,0.02354750
-4.91345673,0.12271575,0.00004792,0.06224742,0.30627398,0.00495588,0.00231540,0.02646538
-4.90745373,0.13905376,0.00006357,0.07089143,0.34782648,0.00540018,0.00262143,0.02984014
-4.90145073,0.15730051,0.00008388,0.08031857,0.39334837,0.00612954,0.00295220,0.03368075
-4.89544772,0.17748490,0.00011000,0.09052040,0.44280623,0.00717083,0.00330628,0.03800243
-4.88944472,0.19964343,0.00014331,0.10147968,0.49613983,0.00856236,0.00368182,0.04282732
-4.88344172,0.22382179,0.00018544,0.11317043,0.55326364,0.01035428,0.00407653,0.04818537
-4.87743872,0.25007716,0.00023833,0.12555828,0.61407018,0.01260912,0.00448771,0.05411539
-4.87143572,0.27848111,0.00030418,0.13860127,0.67843528,0.01540212,0.00491231,0.06066619
-4.86543272,0.30912288,0.00038554,0.15225101,0.74622470,0.01882141,0.00534698,0.06789783
-4.85942971,0.34211268,0.00048527,0.16645415,0.81730190,0.02296793,0.00578818,0.07588275
-4.85342671,0.37758480,0.00060656,0.18115402,0.89153626,0.02795503,0.00623227,0.08470663
-4.84742371,0.41569987,0.00075292,0.19629250,0.96881112,0.03390751,0.00667566,0.09446904
-4.84142071,0.45664611,0.00092813,0.21181180,1.04903088,0.04096028,0.00711495,0.10528348
-4.83541771,0.50063893,0.00113622,0.22765615,1.13212641,0.04925619,0.00754706,0.11727682
-4.82941471,0.54791851,0.00138138,0.24377326,1.21805794,0.05894335,0.00796939,0.13058803
-4.82341171,0.59874510,0.00166789,0.26011531,1.30681482,0.07017158,0.00837998,0.14536590
-4.81740870,0.65339161,0.00200001,0.27663952,1.39841149,0.08308815,0.00877761,0.16176591
-4.81140570,0.71213351,0.00238186,0.29330805,1.49287940,0.09783287,0.00916199,0.17994606
-4.80540270,0.77523602,0.00281727,0.31008730,1.59025472,0.11453243,0.00953377,0.20006169
-4.79939970,0.84293875,0.00330961,0.32694649,1.69056190,0.13329436,0.00989467,0.22225950
-4.79339670,0.91543832,0.00386163,0.34385562,1.79379378,0.15420060,0.01024747,0.24667071
-4.78739370,0.99286946,0.00447530,0.36078286,1.89988875,0.17730111,0.01059604,0.27340380
-4.78139070,1.07528547,0.00515159,0.37769156,2.00870635,0.20260753,0.01094525,0.30253695
-4.77538769,1.16263899,0.00589036,0.39453689,2.12000244,0.23008758,0.01130091,0.33411054
-4.76938469,1.25476410,0.00669017,0.41126257,2.23340560,0.25966018,0.01166966,0.36812017
-4.76338169,1.35136107,0.00754816,0.42779768,2.34839644,0.29119190,0.01205874,0.40451047
-4.75737869,1.45198465,0.00846001,0.44405406,2.46429149,0.32449485,0.01247583,0.44317023
-4.75137569,1.55603726,0.00941982,0.45992424,2.58023326,0.35932653,0.01292886,0.48392904
-4.74537269,1.66276780,0.01042019,0.47528051,2.69518796,0.39539162,0.01342567,0.52655605
-4.73936968,1.77127680,0.01145224,0.48997490,2.80795171,0.43234598,0.01397385,0.57076070
-4.73336668,1.88052838,0.01250570,0.50384061,2.91716623,0.46980291,0.01458044,0.61619600
-4.72736368,1.98936901,0.01356915,0.51669461,3.02134379,0.50734146,0.01525169,0.66246408
-4.72136068,2.09655270,0.01463020,0.52834165,3.11890126,0.54451672,0.01599282,0.70912402
-4.71535768,2.20077196,0.01567573,0.53857939,3.20820218,0.58087162,0.01680786,0.75570184
-4.70935468,2.30069341,0.01669228,0.54720466,3.28760534,0.61595002,0.01769943,0.80170216
-4.70335168,2.39499655,0.01766632,0.55402039,3.35551795,0.64931022,0.01866864,0.84662114
-4.69734867,2.48241417,0.01858461,0.55884306,3.41045086,0.68053871,0.01971500,0.88996017
-4.69134567,2.56177231,0.01943459,0.56151019,3.45107348,0.70926312,0.02083636,0.93123972
-4.68534267,2.63202809,0.02020467,0.56188757,3.47626543,0.73516406,0.02202891,0.97001267
-4.67933967,2.69230346,0.02088458,0.55987578,3.48516251,0.75798511,0.02328722,1.00587650
-4.67333667,2.74191315,0.02146561,0.55541567,3.47719446,0.77754045,0.02460431,1.03848389
-4.66733367,2.78038563,0.02194088,0.54849248,3.45211261,0.79371980,0.02597172,1.06755115
-4.66133067,2.80747577,0.02230542,0.53913835,3.41000584,0.80649044,0.02737969,1.09286410
-4.65532766,2.82316899,0.02255637,0.52743316,3.35130413,0.81589607,0.02881725,1.11428132
-4.64932466,2.82767658,0.02269292,0.51350342,3.27676941,0.82205283,0.03027242,1.13173462
-4.64332166,2.82142265,0.02271635,0.49751956,3.18747421,0.82514246,0.03173237,1.14522680
-4.63731866,2.80502366,0.02262991,0.47969146,3.08476927,0.82540321,0.03318361,1.15482709
-4.63131566,2.77926182,0.02243864,0.46026273,2.97024183,0.82311892,0.03461217,1.16066444
-4.62531266,2.74505372,0.02214928,0.43950373,2.84566665,0.81860692,0.03600385,1.16291938
-4.61930965,2.70341634,0.02176993,0.41770401,2.71295229,0.81220535,0.03734440,1.16181485
-4.61330665,2.65543191,0.02130993,0.39516425,2.57408520,0.80426071,0.03861978,1.15760653
-4.60730365,2.60221380,0.02077953,0.37218829,2.43107420,0.79511612,0.03981639,1.15057343
-4.60130065,2.54487474,0.02018965,0.34907551,2.28589776,0.78510100,0.04092140,1.14100902
-4.59529765,2.48449906,0.01955169,0.32611381,2.14045622,0.77452251,0.04192295,1.12921346
-4.58929465,2.42211977,0.01887726,0.30357367,1.99653059,0.76365912,0.04281053,1.11548714
-4.58329165,2.35870119,0.01817804,0.28170319,1.85574922,0.75275646,0.04357525,1.10012578
-4.57728864,2.29512739,0.01746555,0.26072444,1.71956294,0.74202545,0.04421014,1.08341703
-4.57128564,2.23219606,0.01675105,0.24083100,1.58922902,0.73164250,0.04471044,1.06563854
-4.56528264,2.17061744,0.01604541,0.22218676,1.46580342,0.72175162,0.04507386,1.04705724
-4.55927964,2.11101732,0.01535903,0.20492574,1.35014079,0.71246789,0.04530083,1.02792950
-4.55327664,2.05394299,0.01470177,0.18915287,1.24290111,0.70388195,0.04539458,1.00850187
-4.54727364,1.99987096,0.01408288,0.17494547,1.14456154,0.69606492,0.04536125,0.98901189
-4.54127064,1.94921521,0.01351093,0.16235524,1.05543219,0.68907325,0.04520989,0.96968876
-4.53526763,1.90233482,0.01299383,0.15141051,0.97567434,0.68295312,0.04495228,0.95075327
-4.52926463,1.85953995,0.01253870,0.14211854,0.90531946,0.67774388,0.04460274,0.93241702
-4.52326163,1.82109547,0.01215189,0.13446775,0.84428818,0.67348036,0.04417775,0.91488053
-4.51725863,1.78722175,0.01183885,0.12842965,0.79240771,0.67019379,0.04369550,0.89833030
-4.51125563,1.75809256,0.01160412,0.12396049,0.74942729,0.66791133,0.04317535,0.88293493
-4.50525263,1.73383015,0.01145119,0.12100247,0.71503092,0.66665432,0.04263717,0.86884037
-4.49924962,1.71449813,0.01138247,0.11948460,0.68884725,0.66643537,0.04210067,0.85616464
-4.49324662,1.70009276,0.01139914,0.11932327,0.67045661,0.66725470,0.04158468,0.84499246
-4.48724362,1.69053369,0.01150113,0.12042255,0.65939550,0.66909600,0.04110642,0.83537004
-4.48124062,1.68565513,0.01168694,0.12267443,0.65515900,0.67192230,0.04068088,0.82730066
-4.47523762,1.68519849,0.01195369,0.12595906,0.65720167,0.67567227,0.04032014,0.82074132
-4.46923462,1.68880764,0.01229695,0.13014518,0.66493771,0.68025726,0.04003295,0.81560091
-4.46323162,1.69602752,0.01271081,0.13509088,0.67774110,0.68555961,0.03982429,0.81174015
-4.45722861,1.70630694,0.01318786,0.14064476,0.69494636,0.69143237,0.03969519,0.80897358
-4.45122561,1.71900583,0.01371926,0.14664755,0.71585068,0.69770068,0.03964268,0.80707367
-4.44522261,1.73340733,0.01429484,0.15293435,0.73971785,0.70416488,0.03965989,0.80577691
-4.43921961,1.74873429,0.01490323,0.15933732,0.76578432,0.71060527,0.03973635,0.80479188
-4.43321661,1.76416993,0.01553212,0.16568889,0.79326770,0.71678845,0.03985844,0.80380892
-4.42721361,1.77888172,0.01616845,0.17182537,0.82137752,0.72247493,0.04000998,0.80251097
-4.42121061,1.79204765,0.01679875,0.17759073,0.84932813,0.72742759,0.04017294,0.80058524
-4.41520760,1.80288358,0.01740944,0.18284058,0.87635333,0.73142075,0.04032821,0.79773503
-4.40920460,1.81067036,0.01798721,0.18744595,0.90172220,0.73424918,0.04045644,0.79369124
-4.40320160,1.81477954,0.01851937,0.19129680,0.92475532,0.73573676,0.04053887,0.78822293
-4.39719860,1.81469605,0.01899422,0.19430504,0.94484086,0.73574414,0.04055812,0.78114652
-4.39119560,1.81003700,0.01940139,0.19640689,0.96144948,0.73417510,0.04049890,0.77233303
-4.38519260,1.80056531,0.01973218,0.19756441,0.97414742,0.73098119,0.04034866,0.76171310
-4.37918959,1.78619759,0.01997981,0.19776614,0.98260706,0.72616439,0.04009802,0.74927950
-4.37318659,1.76700568,0.02013960,0.19702678,0.98661416,0.71977753,0.03974113,0.73508703
-4.36718359,1.74321184,0.02020915,0.19538587,0.98607163,0.71192260,0.03927579,0.71924972
-4.36118059,1.71517767,0.02018836,0.19290559,0.98099924,0.70274678,0.03870344,0.70193563
-4.35517759,1.68338729,0.02007938,0.18966770,0.97152940,0.69243648,0.03802902,0.68335935
-4.34917459,1.64842569,0.01988651,0.18576983,0.95789910,0.68120971,0.03726055,0.66377272
-4.34317159,1.61095314,0.01961597,0.18132130,0.94043826,0.66930698,0.03640876,0.64345406
-4.33716858,1.57167707,0.01927565,0.17643856,0.91955513,0.65698136,0.03548646,0.62269664
-4.33116558,1.53132257,0.01887472,0.17124068,0.89571935,0.64448797,0.03450793,0.60179673
-4.32516258,1.49060312,0.01842331,0.16584482,0.86944336,0.63207361,0.03348829,0.58104194
-4.31915958,1.45019268,0.01793201,0.16036214,0.84126317,0.61996677,0.03244278,0.56070031
-4.31315658,1.41070050,0.01741153,0.15489419,0.81171916,0.60836869,0.03138617,0.54101064
-4.30715358,1.37264964,0.01687228,0.14952986,0.78133790,0.59744563,0.03033217,0.52217441
