energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
0.61530765,3.49276170,0.41977795,0.18411449,0.01761716,1.39496810,1.05874539,0.17729178,0.02862482,1.55148585
0.62131066,3.35956116,0.41487656,0.17073517,0.01576395,1.36850168,1.03604643,0.17135030,0.02820582,1.47320609
0.62731366,3.22551170,0.41017268,0.15754637,0.01401191,1.34100523,1.01289131,0.16537804,0.02765420,1.39471955
0.63331666,3.09205023,0.40565922,0.14469293,0.01237194,1.31276863,0.98952065,0.15943249,0.02697450,1.31689206
0.63931966,2.96040504,0.40130571,0.13230046,0.01085153,1.28402421,0.96612285,0.15356106,0.02617345,1.24048589
0.64532266,2.83158115,0.39706042,0.12047370,0.00945499,1.25494398,0.94283186,0.14780079,0.02525987,1.16614976
0.65132566,2.70635450,0.39285316,0.10929572,0.00818375,1.22563942,0.91972719,0.14217838,0.02424446,1.09441333
0.65732866,2.58527477,0.38859856,0.09882785,0.00703669,1.19616384,0.89683615,0.13671064,0.02313961,1.02568593
0.66333167,2.46867599,0.38419980,0.08911036,0.00601055,1.16651708,0.87413815,0.13140520,0.02195911,0.96025936
0.66933467,2.35669392,0.37955258,0.08016369,0.00510026,1.13665219,0.85157069,0.12626154,0.02071779,0.89831417
0.67533767,2.24928911,0.37454933,0.07199025,0.00429938,1.10648394,0.82903692,0.12127220,0.01943118,0.83992892
0.68134067,2.14627439,0.36908345,0.06457654,0.00360046,1.07589858,0.80641431,0.11642418,0.01811512,0.78509194
0.68734367,2.04734534,0.36305349,0.05789559,0.00299539,1.04476452,0.78356407,0.11170036,0.01678537,0.73371478
0.69334667,1.95211244,0.35636724,0.05190952,0.00247566,1.01294355,0.76034100,0.10708107,0.01545724,0.68564677
0.69934967,1.86013348,0.34894541,0.04657213,0.00203271,0.98030188,0.73660316,0.10254553,0.01414524,0.64068999
0.70535268,1.77094491,0.34072503,0.04183140,0.00165809,0.94672085,0.71222123,0.09807326,0.01286276,0.59861417
0.71135568,1.68409095,0.33166221,0.03763194,0.00134366,0.91210660,0.68708695,0.09364537,0.01162180,0.55917078
0.71735868,1.59914944,0.32173433,0.03391709,0.00108173,0.87639834,0.66112030,0.08924565,0.01043279,0.52210595
0.72336168,1.51575354,0.31094148,0.03063078,0.00086517,0.83957502,0.63427529,0.08486148,0.00930442,0.48717181
0.72936468,1.43360865,0.29930710,0.02771915,0.00068744,0.80165983,0.60654400,0.08048445,0.00824358,0.45413593
0.73536768,1.35250419,0.28687781,0.02513174,0.00054265,0.76272264,0.57795863,0.07611085,0.00725535,0.42278874
0.74137069,1.27232007,0.27372236,0.02282245,0.00042556,0.72288011,0.54859184,0.07174174,0.00634301,0.39294880
0.74737369,1.19302802,0.25992984,0.02075006,0.00033155,0.68229360,0.51855501,0.06738292,0.00550819,0.36446590
0.75337669,1.11468801,0.24560708,0.01887864,0.00025661,0.64116495,0.48799485,0.06304457,0.00475096,0.33722227
0.75937969,1.03744040,0.23087551,0.01717752,0.00019732,0.59973048,0.45708846,0.05874078,0.00407002,0.31113188
0.76538269,0.96149455,0.21586743,0.01562116,0.00015073,0.55825346,0.42603713,0.05448882,0.00346290,0.28613828
0.77138569,0.88711467,0.20072206,0.01418881,0.00011438,0.51701544,0.39505926,0.05030834,0.00292615,0.26221117
0.77738869,0.81460385,0.18558132,0.01286405,0.00008623,0.47630703,0.36438266,0.04622053,0.00245559,0.23934202
