energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-0.66933467,2.41116936,0.00028629,0.02907219,0.18116407,0.00000000,0.18128365,0.66582716,0.96318277,1.71179599
-0.66333167,2.45656558,0.00028693,0.03001217,0.19262939,0.00000000,0.19013478,0.67703778,0.97340458,1.73921083
-0.65732866,2.50544442,0.00029159,0.03101629,0.20469479,0.00000000,0.19920797,0.68977712,0.98460449,1.76793035
-0.65132566,2.55694572,0.00030037,0.03206683,0.21720612,0.00000000,0.20839686,0.70375186,0.99653195,1.79748154
-0.64532266,2.61010908,0.00031352,0.03314470,0.22999175,0.00000000,0.21758574,0.71862881,1.00890627,1.82733804
-0.63931966,2.66389264,0.00033144,0.03422966,0.24286504,0.00000000,0.22665090,0.73404302,1.02142209,1.85692983
-0.63331666,2.71719621,0.00035475,0.03530054,0.25562774,0.00000000,0.23546255,0.74960743,1.03375620,1.88565559
-0.62731366,2.76888870,0.00038429,0.03633557,0.26807434,0.00000000,0.24388730,0.76492367,1.04557553,1.91289754
-0.62131066,2.81783905,0.00042115,0.03731284,0.27999721,0.00000000,0.25179113,0.77959397,1.05654608,1.93803848
-0.61530765,2.86294998,0.00046675,0.03821073,0.29119238,0.00000000,0.25904287,0.79323364,1.06634271,1.96048045
-0.60930465,2.90319327,0.00052279,0.03900851,0.30146577,0.00000000,0.26551794,0.80548396,1.07465936,1.97966456
-0.60330165,2.93764553,0.00059138,0.03968690,0.31063962,0.00000000,0.27110228,0.81602476,1.08121941,1.99509104
-0.59729865,2.96552271,0.00067499,0.04022871,0.31855877,0.00000000,0.27569633,0.82458639,1.08578572,2.00633888
-0.59129565,2.98621188,0.00077652,0.04061943,0.32509656,0.00000000,0.27921882,0.83096042,1.08816998,2.01308392
-0.58529265,2.99929868,0.00089930,0.04084777,0.33016011,0.00000000,0.28161012,0.83500858,1.08824079,2.01511464
-0.57928964,3.00458872,0.00104707,0.04090621,0.33369452,0.00000000,0.28283519,0.83666946,1.08593019,2.01234462
-0.57328664,3.00212178,0.00122398,0.04079141,0.33568596,0.00000000,0.28288565,0.83596254,1.08123806,2.00482090
-0.56728364,2.99217753,0.00143459,0.04050444,0.33616330,0.00000000,0.28178105,0.83298927,1.07423423,1.99272760
-0.56128064,2.97527210,0.00168371,0.04005103,0.33519821,0.00000000,0.27956920,0.82793095,1.06505800,1.97638440
-0.55527764,2.95214519,0.00197644,0.03944148,0.33290366,0.00000000,0.27632538,0.82104336,1.05391490,1.95623956
-0.54927464,2.92373792,0.00231796,0.03869059,0.32943078,0.00000000,0.27215064,0.81264834,1.04107095,1.93285769
-0.54327164,2.89116204,0.00271343,0.03781727,0.32496430,0.00000000,0.26716897,0.80312252,1.02684435,1.90690258
-0.53726863,2.85566168,0.00316781,0.03684414,0.31971651,0.00000000,0.26152369,0.79288356,1.01159507,1.87911572
-0.53126563,2.81856908,0.00368567,0.03579685,0.31392022,0.00000000,0.25537304,0.78237459,0.99571274,1.85029142
-0.52526263,2.78125638,0.00427098,0.03470345,0.30782075,0.00000000,0.24888519,0.77204744,0.97960329,1.82124956
-0.51925963,2.74508541,0.00492686,0.03359349,0.30166747,0.00000000,0.24223297,0.76234534,0.96367506,1.79280717
-0.51325663,2.71135769,0.00565537,0.03249723,0.29570513,0.00000000,0.23558842,0.75368595,0.94832485,1.76575006
-0.50725363,2.68126699,0.00645723,0.03144469,0.29016537,0.00000000,0.22911742,0.74644538,0.93392455,1.74080582
-0.50125063,2.65585639,0.00733165,0.03046478,0.28525871,0.00000000,0.22297472,0.74094404,0.92080898,1.71861915
-0.49524762,2.63598166,0.00827608,0.02958445,0.28116740,0.00000000,0.21729947,0.73743481,0.90926521,1.69973073
-0.48924462,2.62228239,0.00928607,0.02882787,0.27803936,0.00000000,0.21221141,0.73609410,0.89952392,1.68456014
