energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
1.41370685,1.13355037,0.03558816,0.07829821,0.77747563,0.79414613,0.02530218,0.17264503,0.10587839,0.00115294
1.41970985,1.13693628,0.03581359,0.08277256,0.78795792,0.78345567,0.02627773,0.17458813,0.10587757,0.00117331
1.42571286,1.14345956,0.03599442,0.08706363,0.80196733,0.77606460,0.02713480,0.17713676,0.10627647,0.00119369
1.43171586,1.15350469,0.03612971,0.09112939,0.81981828,0.77245201,0.02785969,0.18033815,0.10711652,0.00121414
1.43771886,1.16736991,0.03621839,0.09493322,0.84173600,0.77300849,0.02844113,0.18422442,0.10842611,0.00123474
1.44372186,1.18526057,0.03625946,0.09844458,0.86784870,0.77802826,0.02887066,0.18881154,0.11021969,0.00125556
1.44972486,1.20728401,0.03625205,0.10163949,0.89818150,0.78770330,0.02914283,0.19409876,0.11249725,0.00127674
1.45572786,1.23344582,0.03619560,0.10450064,0.93265215,0.80211929,0.02925543,0.20006816,0.11524411,0.00129837
1.46173087,1.26364731,0.03608985,0.10701731,0.97106871,0.82125330,0.02920940,0.20668459,0.11843104,0.00132060
1.46773387,1.29768436,0.03593488,0.10918494,1.01312922,0.84497333,0.02900886,0.21389583,0.12201469,0.00134355
1.47373687,1.33524768,0.03573106,0.11100445,1.05842371,0.87303947,0.02866079,0.22163307,0.12593841,0.00136732
1.47973987,1.37592471,0.03547900,0.11248134,1.10643854,0.90510707,0.02817482,0.22981156,0.13013338,0.00139199
1.48574287,1.41920358,0.03517947,0.11362473,1.15656350,0.94073180,0.02756278,0.23833169,0.13452012,0.00141758
1.49174587,1.46447928,0.03483327,0.11444618,1.20810148,0.97937689,0.02683829,0.24708029,0.13901032,0.00144409
1.49774887,1.51106250,0.03444119,0.11495861,1.26028114,1.02042257,0.02601631,0.25593239,0.14350902,0.00147143
1.50375188,1.55819135,0.03400390,0.11517527,1.31227225,1.06317781,0.02511261,0.26475326,0.14791709,0.00149943
1.50975488,1.60504595,0.03352198,0.11510878,1.36320367,1.10689444,0.02414335,0.27340093,0.15213389,0.00152787
1.51575788,1.65076612,0.03299589,0.11477043,1.41218374,1.15078332,0.02312465,0.28172900,0.15606024,0.00155642
1.52176088,1.69447165,0.03242605,0.11416971,1.45832237,1.19403261,0.02207222,0.28958985,0.15960141,0.00158471
