energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.32766383,1.19582318,0.03594743,0.02123724,0.58425739,0.03199770,0.09561666,0.19547329,0.77691453,0.39072754
5.33366683,1.18329772,0.03537439,0.02152015,0.57850418,0.03157593,0.09571913,0.19292749,0.76978436,0.38584297
5.33966983,1.16700846,0.03456502,0.02184999,0.56948754,0.03110423,0.09563737,0.19018050,0.76071916,0.38007226
5.34567284,1.14730159,0.03353626,0.02222035,0.55742417,0.03059224,0.09538163,0.18728262,0.74993580,0.37351812
5.35167584,1.12455023,0.03230925,0.02262288,0.54258268,0.03004868,0.09496131,0.18427663,0.73765025,0.36628453
5.35767884,1.09913759,0.03090858,0.02304729,0.52527333,0.02948091,0.09438394,0.18119557,0.72406730,0.35847159
5.36368184,1.07144144,0.02936148,0.02348143,0.50583669,0.02889469,0.09365455,0.17806110,0.70937195,0.35017105
5.36968484,1.04182067,0.02769693,0.02391147,0.48463211,0.02829393,0.09277519,0.17488281,0.69372287,0.34146284
5.37568784,1.01060468,0.02594475,0.02432228,0.46202623,0.02768070,0.09174481,0.17165817,0.67724824,0.33241279
5.38169085,0.97808586,0.02413473,0.02469786,0.43838222,0.02705525,0.09055942,0.16837348,0.66004410,0.32307146
5.38769385,0.94451544,0.02229580,0.02502182,0.41405008,0.02641623,0.08921252,0.16500534,0.64217518,0.31347434
5.39369685,0.91010253,0.02045527,0.02527800,0.38935842,0.02576094,0.08769581,0.16152286,0.62367790,0.30364299
5.39969985,0.87501622,0.01863826,0.02545105,0.36460787,0.02508575,0.08600008,0.15789025,0.60456540,0.29358725
5.40570285,0.83939019,0.01686714,0.02552704,0.34006631,0.02438645,0.08411623,0.15406973,0.58483396,0.28330815
5.41170585,0.80332931,0.01516121,0.02549401,0.31596588,0.02365871,0.08203635,0.15002444,0.56447032,0.27280131
5.41770885,0.76691751,0.01353647,0.02534249,0.29250170,0.02289853,0.07975478,0.14572137,0.54345944,0.26206052
5.42371186,0.73022625,0.01200555,0.02506586,0.26983218,0.02210262,0.07726911,0.14113391,0.52179198,0.25108133
5.42971486,0.69332284,0.01057772,0.02466066,0.24808059,0.02126873,0.07458092,0.13624405,0.49947115,0.23986433
5.43571786,0.65627811,0.00925908,0.02412674,0.22733771,0.02039594,0.07169646,0.13104401,0.47651830,0.22841781
5.44172086,0.61917268,0.00805274,0.02346726,0.20766525,0.01948484,0.06862694,0.12553728,0.45297717,0.21675992
5.44772386,0.58210169,0.00695921,0.02268860,0.18909961,0.01853761,0.06538864,0.11973902,0.42891629,0.20491984
5.45372686,0.54517757,0.00597666,0.02180010,0.17165598,0.01755800,0.06200270,0.11367581,0.40442969,0.19293832
5.45972986,0.50853085,0.00510138,0.02081369,0.15533227,0.01655126,0.05849467,0.10738481,0.37963580,0.18086719
5.46573287,0.47230908,0.00432811,0.01974347,0.14011285,0.01552393,0.05489381,0.10091238,0.35467475,0.16876826
5.47173587,0.43667398,0.00365045,0.01860519,0.12597185,0.01448365,0.05123227,0.09431236,0.32970433,0.15671153
5.47773887,0.40179725,0.00306122,0.01741565,0.11287607,0.01343880,0.04754403,0.08764393,0.30489484,0.14477281
