energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-5.33366683,0.00342677,0.00045573,0.00258088,0.00002449,0.00000017,0.00002214,0.00033459
-5.32766383,0.00444310,0.00057840,0.00337197,0.00003296,0.00000022,0.00002877,0.00040953
-5.32166083,0.00584839,0.00075190,0.00445745,0.00004418,0.00000029,0.00003787,0.00052131
-5.31565783,0.00773604,0.00098746,0.00591005,0.00005890,0.00000039,0.00005003,0.00067686
-5.30965483,0.01022513,0.00129962,0.00782195,0.00007804,0.00000052,0.00006598,0.00088560
-5.30365183,0.01346383,0.00170664,0.01030745,0.00010269,0.00000069,0.00008665,0.00115957
-5.29764882,0.01763299,0.00223092,0.01350586,0.00013421,0.00000091,0.00011317,0.00151374
-5.29164582,0.02295001,0.00289942,0.01758449,0.00017418,0.00000119,0.00014687,0.00196628
-5.28564282,0.02967259,0.00374412,0.02274154,0.00022445,0.00000155,0.00018933,0.00253882
-5.27963982,0.03810207,0.00480240,0.02920883,0.00028719,0.00000200,0.00024239,0.00325674
-5.27363682,0.04858632,0.00611738,0.03725394,0.00036487,0.00000257,0.00030817,0.00414936
-5.26763382,0.06152153,0.00773808,0.04718167,0.00046028,0.00000328,0.00038904,0.00525007
-5.26163082,0.07735265,0.00971948,0.05933450,0.00057651,0.00000415,0.00048768,0.00659634
-5.25562781,0.09657217,0.01212229,0.07409157,0.00071697,0.00000522,0.00060701,0.00822962
-5.24962481,0.11971659,0.01501254,0.09186608,0.00088534,0.00000652,0.00075023,0.01019502
-5.24362181,0.14736038,0.01846073,0.11310068,0.00108549,0.00000808,0.00092068,0.01254075
-5.23761881,0.18010693,0.02254072,0.13826057,0.00132145,0.00000994,0.00112189,0.01531738
-5.23161581,0.21857637,0.02732817,0.16782412,0.00159729,0.00001214,0.00135743,0.01857676
-5.22561281,0.26338982,0.03289856,0.20227082,0.00191704,0.00001473,0.00163082,0.02237070
-5.21960980,0.31515038,0.03932485,0.24206668,0.00228448,0.00001774,0.00194545,0.02674936
-5.21360680,0.37442069,0.04667467,0.28764696,0.00270306,0.00002122,0.00230442,0.03175935
-5.20760380,0.44169772,0.05500720,0.33939675,0.00317567,0.00002519,0.00271037,0.03744160
-5.20160080,0.51738510,0.06436981,0.39762970,0.00370448,0.00002970,0.00316536,0.04382903
-5.19559780,0.60176411,0.07479447,0.46256559,0.00429074,0.00003476,0.00367068,0.05094416
