energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-5.87993997,5.02646258,0.84830134,0.70737480,0.00907560,0.70758770,1.59766724,2.21366923,0.01498845,1.49965631
-5.87393697,5.07396389,0.86488046,0.72053016,0.00888826,0.69948578,1.60703401,2.23345656,0.01525355,1.52706758
-5.86793397,5.10831556,0.87954621,0.73158880,0.00865104,0.68920154,1.61209675,2.24776959,0.01545290,1.55085882
-5.86193097,5.12847487,0.89199680,0.74029620,0.00836874,0.67687031,1.61264720,2.25618461,0.01558025,1.57040397
-5.85592796,5.13355509,0.90194601,0.74643376,0.00804683,0.66264779,1.60852460,2.25833425,0.01563069,1.58513212
-5.84992496,5.12285237,0.90913205,0.74982589,0.00769133,0.64670508,1.59961988,2.25391794,0.01560083,1.59454563
-5.84392196,5.09587204,0.91332673,0.75034632,0.00730853,0.62922426,1.58588013,2.24271277,0.01548891,1.59823709
-5.83791896,5.05235286,0.91434442,0.74792290,0.00690489,0.61039461,1.56731311,2.22458422,0.01529488,1.59590428
-5.83191596,4.99228807,0.91205057,0.74254106,0.00648682,0.59040951,1.54399148,2.19949605,0.01502041,1.58736256
-5.82591296,4.91594156,0.90636904,0.73424541,0.00606050,0.56946405,1.51605630,2.16751882,0.01466889,1.57255384
-5.81990995,4.82385780,0.89728802,0.72313949,0.00563176,0.54775321,1.48371937,2.12883621,0.01424524,1.55155193
-5.81390695,4.71686415,0.88486406,0.70938372,0.00520597,0.52547052,1.44726398,2.08374853,0.01375583,1.52456349
-5.80790395,4.59606463,0.86922373,0.69319128,0.00478790,0.50280700,1.40704353,2.03267283,0.01320827,1.49192480
-5.80190095,4.46282448,0.85056284,0.67482234,0.00438173,0.47995023,1.36347785,1.97613925,0.01261111,1.45409391
-5.79589795,4.31874535,0.82914303,0.65457664,0.00399095,0.45708340,1.31704692,1.91478335,0.01197365,1.41163874
-5.78989495,4.16563141,0.80528566,0.63278476,0.00361836,0.43438412,1.26828194,1.84933443,0.01130561,1.36522122
-5.78389195,4.00544741,0.77936332,0.60979838,0.00326613,0.41202305,1.21775400,1.78060002,0.01061687,1.31557820
-5.77788894,3.84026976,0.75178908,0.58597997,0.00293577,0.39016209,1.16606048,1.70944716,0.00991717,1.26349987
-5.77188594,3.67223270,0.72300409,0.56169222,0.00262822,0.36895241,1.11380980,1.63678083,0.00921588,1.20980648
-5.76588294,3.50347145,0.69346391,0.53728773,0.00234391,0.34853206,1.06160515,1.56352064,0.00852175,1.15532431
-5.75987994,3.33606475,0.66362425,0.51309927,0.00208279,0.32902358,1.01002767,1.49057654,0.00784274,1.10086191
-5.75387694,3.17197913,0.63392674,0.48943113,0.00184445,0.31053155,0.95962027,1.41882458,0.00718585,1.04718745
-5.74787394,3.01301727,0.60478539,0.46655161,0.00162815,0.29314029,0.91087238,1.34908378,0.00655703,0.99500816
-5.74187094,2.86077252,0.57657436,0.44468722,0.00143292,0.27691194,0.86420687,1.28209495,0.00596111,0.94495243
-5.73586793,2.71659146,0.54961748,0.42401850,0.00125762,0.26188506,0.81996929,1.21850242,0.00540179,0.89755539
-5.72986493,2.58154584,0.52418019,0.40467771,0.00110096,0.24807381,0.77842041,1.15883934,0.00488168,0.85324823
-5.72386193,2.45641488,0.50046388,0.38674832,0.00096162,0.23546798,0.73973199,1.10351703,0.00440233,0.81235154
-5.71785893,2.34167840,0.47860316,0.37026620,0.00083822,0.22403378,0.70398631,1.05281876,0.00396438,0.77507277
-5.71185593,2.23752066,0.45866585,0.35522243,0.00072941,0.21371548,0.67117914,1.00689808,0.00356763,0.74150762
-5.70585293,2.14384434,0.44065575,0.34156753,0.00063389,0.20443791,0.64122616,0.96578161,0.00321120,0.71164513
-5.69984992,2.06029381,0.42451781,0.32921672,0.00055039,0.19610958,0.61397233,0.92937596,0.00289371,0.68537608
-5.69384692,1.98628625,0.41014557,0.31805610,0.00047775,0.18862650,0.58920374,0.89747854,0.00261339,0.66250406
-5.68784392,1.92104916,0.39739028,0.30794936,0.00041490,0.18187636,0.56666131,0.86979147,0.00236825,0.64275885
-5.68184092,1.86366231,0.38607127,0.29874471,0.00036083,0.17574298,0.54605563,0.84593813,0.00215624,0.62581123
-5.67583792,1.81310254,0.37598710,0.29028180,0.00031469,0.17011082,0.52708227,0.82548155,0.00197536,0.61128879
-5.66983492,1.76828933,0.36692688,0.28239837,0.00027570,0.16486931,0.50943677,0.80794389,0.00182383,0.59879205
-5.66383192,1.72812954,0.35868132,0.27493636,0.00024318,0.15991688,0.49282873,0.79282627,0.00170009,0.58791029
-5.65782891,1.69155959,0.35105305,0.26774735,0.00021657,0.15516444,0.47699432,0.77962824,0.00160298,0.57823664
-5.65182591,1.65758376,0.34386567,0.26069718,0.00019541,0.15053823,0.46170682,0.76786623,0.00153172,0.56938190
-5.64582291,1.62530732,0.33697135,0.25366964,0.00017932,0.14598193,0.44678478,0.75709029,0.00148599,0.56098681
-5.63981991,1.59396363,0.33025666,0.24656920,0.00016801,0.14145789,0.43209752,0.74689873,0.00146588,0.55273229
-5.63381691,1.56293442,0.32364640,0.23932278,0.00016129,0.13694757,0.41756797,0.73695006,0.00147192,0.54434770
-5.62781391,1.53176307,0.31710543,0.23188048,0.00015901,0.13245112,0.40317271,0.72697211,0.00150499,0.53561671
-5.62181091,1.50016049,0.31063842,0.22421554,0.00016111,0.12798606,0.38893955,0.71676786,0.00156632,0.52638082
-5.61580790,1.46800395,0.30428775,0.21632335,0.00016756,0.12358542,0.37494269,0.70621815,0.00165732,0.51654060
-5.60980490,1.43532906,0.29812946,0.20821978,0.00017840,0.11929507,0.36129588,0.69528099,0.00177955,0.50605462
-5.60380190,1.40231558,0.29226779,0.19993889,0.00019368,0.11517067,0.34814400,0.68398787,0.00193457,0.49493619
-5.59779890,1.36926787,0.28682836,0.19153016,0.00021346,0.11127424,0.33565335,0.67243710,0.00212384,0.48324828
-5.59179590,1.33659081,0.28195038,0.18305526,0.00023780,0.10767049,0.32400132,0.66078461,0.00234852,0.47109670
-5.58579290,1.30476241,0.27777830,0.17458475,0.00026676,0.10442314,0.31336569,0.64923270,0.00260942,0.45862195
-5.57978989,1.27430433,0.27445320,0.16619448,0.00030036,0.10159133,0.30391415,0.63801714,0.00290681,0.44599008
-5.57378689,1.24575143,0.27210436,0.15796216,0.00033858,0.09922622,0.29579450,0.62739337,0.00324030,0.43338290
-5.56778389,1.21962192,0.27084135,0.14996401,0.00038134,0.09736804,0.28912575,0.61762227,0.00360874,0.42098811
-5.56178089,1.19638909,0.27074694,0.14227170,0.00042850,0.09604359,0.28399071,0.60895626,0.00401010,0.40898955
-5.55577789,1.17645610,0.27187135,0.13494958,0.00047984,0.09526429,0.28043015,0.60162639,0.00444145,0.39755807
-5.54977489,1.16013470,0.27422776,0.12805246,0.00053506,0.09502493,0.27843882,0.59583090,0.00489887,0.38684354
-5.54377189,1.14762890,0.27778965,0.12162381,0.00059377,0.09530312,0.27796357,0.59172583,0.00537747,0.37696804
-5.53776888,1.13902422,0.28248982,0.11569452,0.00065552,0.09605945,0.27890339,0.58941813,0.00587145,0.36802073
-5.53176588,1.13428295,0.28822134,0.11028231,0.00071977,0.09723832,0.28111166,0.58896151,0.00637411,0.36005453
-5.52576288,1.13324550,0.29484029,0.10539166,0.00078590,0.09876955,0.28440028,0.59035513,0.00687805,0.35308464
-5.51975988,1.13563772,0.30217015,0.10101428,0.00085326,0.10057052,0.28854551,0.59354516,0.00737524,0.34708899
-5.51375688,1.14108371,0.31000781,0.09713012,0.00092116,0.10254891,0.29329549,0.59842907,0.00785729,0.34201051
-5.50775388,1.14912324,0.31813076,0.09370882,0.00098888,0.10460578,0.29837885,0.60486218,0.00831562,0.33776102
-5.50175088,1.15923298,0.32630517,0.09071151,0.00105572,0.10663901,0.30351421,0.61266612,0.00874170,0.33422652
-5.49574787,1.17085014,0.33429454,0.08809286,0.00112101,0.10854689,0.30842011,0.62163857,0.00912732,0.33127348
-5.48974487,1.18339736,0.34186845,0.08580327,0.00118412,0.11023169,0.31282499,0.63156371,0.00946486,0.32875587
-5.48374187,1.19630737,0.34881101,0.08379112,0.00124450,0.11160307,0.31647672,0.64222262,0.00974749,0.32652239
-5.47773887,1.20904615,0.35492859,0.08200493,0.00130167,0.11258123,0.31915138,0.65340303,0.00996942,0.32442362
-5.47173587,1.22113335,0.36005649,0.08039539,0.00135529,0.11309963,0.32066078,0.66490782,0.01012610,0.32231865
-5.46573287,1.23215891,0.36406424,0.07891704,0.00140511,0.11310718,0.32085856,0.67656175,0.01021434,0.32008085
-5.45972986,1.24179507,0.36685927,0.07752975,0.00145101,0.11256978,0.31964453,0.68821610,0.01023246,0.31760253
-5.45372686,1.24980335,0.36838880,0.07619971,0.00149299,0.11147119,0.31696706,0.69975098,0.01018031,0.31479827
-5.44772386,1.25603618,0.36863993,0.07490007,0.00153115,0.10981323,0.31282360,0.71107518,0.01005927,0.31160690
-5.44172086,1.26043343,0.36763800,0.07361118,0.00156571,0.10761521,0.30725915,0.72212385,0.00987220,0.30799189
-5.43571786,1.26301422,0.36544324,0.07232039,0.00159696,0.10491274,0.30036296,0.73285413,0.00962332,0.30394054
-5.42971486,1.26386473,0.36214611,0.07102155,0.00162528,0.10175594,0.29226358,0.74323921,0.00931807,0.29946183
-5.42371186,1.26312298,0.35786146,0.06971423,0.00165106,0.09820714,0.28312254,0.75326125,0.00896289,0.29458328
-5.41770885,1.26096157,0.35272192,0.06840258,0.00167472,0.09433818,0.27312697,0.76290388,0.00856502,0.28934714
-5.41170585,1.25756957,0.34687098,0.06709424,0.00169666,0.09022745,0.26248152,0.77214469,0.00813222,0.28380598
-5.40570285,1.25313475,0.34045590,0.06579901,0.00171726,0.08595683,0.25140003,0.78094833,0.00767258,0.27801826
-5.39969985,1.24782711,0.33362107,0.06452758,0.00173682,0.08160864,0.24009716,0.78926081,0.00719420,0.27204390
-5.39369685,1.24178472,0.32650193,0.06329035,0.00175557,0.07726265,0.22878056,0.79700530,0.00670502,0.26594030
-5.38769385,1.23510255,0.31921982,0.06209637,0.00177365,0.07299348,0.21764363,0.80407972,0.00621256,0.25975892
-5.38169085,1.22782479,0.31187795,0.06095245,0.00179109,0.06886820,0.20685938,0.81035639,0.00572379,0.25354260
-5.37568784,1.21994100,0.30455853,0.05986248,0.00180779,0.06494448,0.19657546,0.81568360,0.00524494,0.24732370
-5.36968484,1.21138593,0.29732125,0.05882702,0.00182356,0.06126915,0.18691044,0.81988909,0.00478140,0.24112311
-5.36368184,1.20204301,0.29020294,0.05784312,0.00183810,0.05787731,0.17795162,0.82278520,0.00433769,0.23495018
-5.35767884,1.19175099,0.28321841,0.05690431,0.00185102,0.05479189,0.16975410,0.82417532,0.00391739,0.22880329
-5.35167584,1.18031311,0.27636232,0.05600093,0.00186185,0.05202379,0.16234129,0.82386129,0.00352315,0.22267119
-5.34567284,1.16750834,0.26961189,0.05512049,0.00187004,0.04957241,0.15570656,0.82165131,0.00315675,0.21653479
-5.33966983,1.15310377,0.26293019,0.05424830,0.00187502,0.04742658,0.14981596,0.81736794,0.00281917,0.21036940
-5.33366683,1.13686755,0.25626991,0.05336815,0.00187621,0.04556590,0.14461190,0.81085571,0.00251063,0.20414701
-5.32766383,1.11858165,0.24957732,0.05246306,0.00187304,0.04396224,0.14001734,0.80198812,0.00223072,0.19783878
-5.32166083,1.09805380,0.24279610,0.05151603,0.00186496,0.04258148,0.13594050,0.79067355,0.00197852,0.19141726
-5.31565783,1.07512809,0.23587118,0.05051087,0.00185148,0.04138531,0.13227981,0.77685993,0.00175266,0.18485857
-5.30965483,1.04969387,0.22875204,0.04943286,0.00183220,0.04033308,0.12892875,0.76053803,0.00155149,0.17814406
-5.30365183,1.02169259,0.22139564,0.04826942,0.00180681,0.03938356,0.12578059,0.74174324,0.00137312,0.17126177
-5.29764882,0.99112234,0.21376879,0.04701061,0.00177511,0.03849660,0.12273272,0.72055584,0.00121556,0.16420733
-5.29164582,0.95804025,0.20584985,0.04564960,0.00173703,0.03763459,0.11969046,0.69709984,0.00107676,0.15698458
-5.28564282,0.92256251,0.19762987,0.04418294,0.00169262,0.03676372,0.11657026,0.67154048,0.00095470,0.14960563
-5.27963982,0.88486236,0.18911303,0.04261074,0.00164206,0.03585497,0.11330219,0.64408052,0.00084744,0.14209068
-5.27363682,0.84516607,0.18031656,0.04093669,0.00158567,0.03488485,0.10983173,0.61495554,0.00075316,0.13446741
-5.26763382,0.80374737,0.17127004,0.03916797,0.00152388,0.03383580,0.10612072,0.58442848,0.00067019,0.12677018
-5.26163082,0.76092039,0.16201432,0.03731510,0.00145723,0.03269644,0.10214773,0.55278349,0.00059701,0.11903900
-5.25562781,0.71703170,0.15259999,0.03539162,0.00138637,0.03146143,0.09790761,0.52031953,0.00053227,0.11131834
-5.24962481,0.67245153,0.14308557,0.03341376,0.00131203,0.03013121,0.09341057,0.48734373,0.00047480,0.10365592
-5.24362181,0.62756476,0.13353548,0.03140001,0.00123497,0.02871150,0.08868067,0.45416487,0.00042360,0.09610147
-5.23761881,0.58276186,0.12401799,0.02937074,0.00115603,0.02721262,0.08375400,0.42108708,0.00037780,0.08870556
-5.23161581,0.53843020,0.11460300,0.02734775,0.00107604,0.02564879,0.07867658,0.38840399,0.00033669,0.08151849
-5.22561281,0.49494596,0.10536005,0.02535384,0.00099584,0.02403730,0.07350206,0.35639345,0.00029966,0.07458940
-5.21960980,0.45266693,0.09635632,0.02341252,0.00091623,0.02239765,0.06828947,0.32531302,0.00026623,0.06796551
-5.21360680,0.41192650,0.08765500,0.02154763,0.00083799,0.02075076,0.06310101,0.29539627,0.00023600,0.06169155
-5.20760380,0.37302882,0.07931379,0.01978318,0.00076182,0.01911820,0.05800003,0.26684996,0.00020863,0.05580948
-5.20160080,0.33624540,0.07138376,0.01814320,0.00068834,0.01752152,0.05304925,0.23985224,0.00018385,0.05035832
-5.19559780,0.30181317,0.06390850,0.01665167,0.00061811,0.01598167,0.04830933,0.21455170,0.00016144,0.04537431
-5.18959480,0.26993386,0.05692369,0.01533255,0.00055157,0.01451858,0.04383772,0.19106742,0.00014120,0.04089119
-5.18359180,0.24077475,0.05045684,0.01420992,0.00048909,0.01315082,0.03968795,0.16948989,0.00012298,0.03694065
-5.17758879,0.21447062,0.04452749,0.01330810,0.00043093,0.01189544,0.03590923,0.14988258,0.00010662,0.03355296
-5.17158579,0.19112661,0.03914758,0.01265188,0.00037723,0.01076787,0.03254636,0.13228422,0.00009199,0.03075763
-5.16558279,0.17082189,0.03432206,0.01226675,0.00032808,0.00978197,0.02963998,0.11671156,0.00007897,0.02858414
-5.15957979,0.15361371,0.03004974,0.01217905,0.00028347,0.00895015,0.02722701,0.10316238,0.00006744,0.02706262
-5.15357679,0.13954174,0.02632417,0.01241611,0.00024332,0.00828359,0.02534123,0.09161868,0.00005728,0.02622445
-5.14757379,0.12863222,0.02313469,0.01300638,0.00020746,0.00779241,0.02401402,0.08204985,0.00004838,0.02610277
-5.14157079,0.12090172,0.02046742,0.01397929,0.00017571,0.00748597,0.02327501,0.07441560,0.00004063,0.02673271
-5.13556778,0.11636033,0.01830624,0.01536512,0.00014782,0.00737306,0.02315279,0.06866857,0.00003394,0.02815141
-5.12956478,0.11501397,0.01663367,0.01719459,0.00012352,0.00746214,0.02367539,0.06475657,0.00002819,0.03039779
-5.12356178,0.11686564,0.01543170,0.01949838,0.00010251,0.00776145,0.02487062,0.06262413,0.00002329,0.03351190
-5.11755878,0.12191571,0.01468237,0.02230637,0.00008450,0.00827910,0.02676622,0.06221367,0.00001916,0.03753406
-5.11155578,0.13016097,0.01436828,0.02564675,0.00006917,0.00902311,0.02938966,0.06346590,0.00001570,0.04250357
-5.10555278,0.14159265,0.01447281,0.02954498,0.00005624,0.01000124,0.03276776,0.06631983,0.00001285,0.04845715
-5.09954977,0.15619346,0.01498032,0.03402257,0.00004541,0.01122089,0.03692591,0.07071221,0.00001052,0.05542703
-5.09354677,0.17393389,0.01587602,0.03909581,0.00003641,0.01268878,0.04188714,0.07657663,0.00000867,0.06343897
-5.08754377,0.19476791,0.01714577,0.04477438,0.00002899,0.01441063,0.04767086,0.08384242,0.00000725,0.07250992
-5.08154077,0.21862839,0.01877575,0.05106008,0.00002293,0.01639074,0.05429143,0.09243342,0.00000621,0.08264579
-5.07553777,0.24542266,0.02075201,0.05794550,0.00001800,0.01863151,0.06175657,0.10226688,0.00000554,0.09383911
-5.06953477,0.27502834,0.02305995,0.06541293,0.00001404,0.02113298,0.07006572,0.11325263,0.00000520,0.10606697
-5.06353177,0.30728999,0.02568375,0.07343344,0.00001087,0.02389231,0.07920833,0.12529259,0.00000520,0.11928910
-5.05752876,0.34201666,0.02860586,0.08196620,0.00000836,0.02690328,0.08916231,0.13828092,0.00000554,0.13344633
-5.05152576,0.37898090,0.03180646,0.09095821,0.00000639,0.03015589,0.09989260,0.15210477,0.00000625,0.14845960
-5.04552276,0.41791914,0.03526304,0.10034431,0.00000485,0.03363595,0.11134996,0.16664578,0.00000736,0.16422944
-5.03951976,0.45853383,0.03895006,0.11004771,0.00000367,0.03732484,0.12347019,0.18178231,0.00000891,0.18063614
-5.03351676,0.50049728,0.04283873,0.11998083,0.00000276,0.04119939,0.13617366,0.19739231,0.00001096,0.19754065
-5.02751376,0.54345726,0.04689704,0.13004672,0.00000207,0.04523181,0.14936545,0.21335694,0.00001359,0.21478615
-5.02151076,0.58704414,0.05108980,0.14014075,0.00000157,0.04938993,0.16293591,0.22956452,0.00001689,0.23220042
-5.01550775,0.63087947,0.05537903,0.15015279,0.00000120,0.05363751,0.17676192,0.24591478,0.00002095,0.24959891
-5.00950475,0.67458563,0.05972441,0.15996964,0.00000095,0.05793477,0.19070868,0.26232328,0.00002588,0.26678848
-5.00350175,0.71779621,0.06408400,0.16947779,0.00000080,0.06223910,0.20463216,0.27872539,0.00003182,0.28357174
-4.99749875,0.76016672,0.06841508,0.17856625,0.00000073,0.06650595,0.21838208,0.29508001,0.00003888,0.29975181
-4.99149575,0.80138503,0.07267510,0.18712952,0.00000075,0.07068989,0.23180546,0.31137238,0.00004722,0.31513745
-4.98549275,0.84118126,0.07682286,0.19507047,0.00000084,0.07474578,0.24475056,0.32761587,0.00005696,0.32954836
-4.97948974,0.87933642,0.08081960,0.20230316,0.00000101,0.07863004,0.25707117,0.34385267,0.00006825,0.34282045
-4.97348674,0.91568949,0.08463029,0.20875528,0.00000129,0.08230199,0.26863106,0.36015290,0.00008124,0.35481091
-4.96748374,0.95014249,0.08822477,0.21437034,0.00000169,0.08572522,0.27930845,0.37661235,0.00009604,0.36540287
-4.96148074,0.98266323,0.09157889,0.21910942,0.00000223,0.08886886,0.28900040,0.39334864,0.00011277,0.37450952
-4.95547774,1.01328553,0.09467548,0.22295234,0.00000295,0.09170879,0.29762670,0.41049598,0.00013153,0.38207744
-4.94947474,1.04210683,0.09750519,0.22589832,0.00000390,0.09422868,0.30513341,0.42819860,0.00015240,0.38808896
-4.94347174,1.06928311,0.10006708,0.22796603,0.00000514,0.09642081,0.31149557,0.44660316,0.00017541,0.39256356
-4.93746873,1.09502146,0.10236895,0.22919297,0.00000673,0.09828664,0.31671907,0.46585043,0.00020060,0.39555799
-4.93146573,1.11957038,0.10442736,0.22963438,0.00000875,0.09983706,0.32084150,0.48606666,0.00022793,0.39716531
-4.92546273,1.14320835,0.10626735,0.22936139,0.00001130,0.10109230,0.32393195,0.50735498,0.00025736,0.39751260
-4.91945973,1.16623100,0.10792185,0.22845881,0.00001450,0.10208149,0.32608958,0.52978747,0.00028881,0.39675750
-4.91345673,1.18893765,0.10943076,0.22702241,0.00001847,0.10284192,0.32744104,0.55339809,0.00032215,0.39508372
-4.90745373,1.21161759,0.11083970,0.22515591,0.00002335,0.10341783,0.32813679,0.57817711,0.00035723,0.39269545
-4.90145073,1.23453690,0.11219860,0.22296763,0.00002933,0.10385906,0.32834641,0.60406727,0.00039387,0.38981112
-4.89544772,1.25792627,0.11355997,0.22056716,0.00003657,0.10421930,0.32825302,0.63096198,0.00043189,0.38665647
-4.88944472,1.28197047,0.11497707,0.21806191,0.00004527,0.10455421,0.32804702,0.65870575,0.00047106,0.38345736
-4.88344172,1.30679979,0.11650203,0.21555391,0.00005564,0.10491937,0.32791947,0.68709677,0.00051117,0.38043251
-4.87743872,1.33248383,0.11818385,0.21313672,0.00006789,0.10536825,0.32805520,0.71589177,0.00055201,0.37778638
-4.87143572,1.35902796,0.12006657,0.21089277,0.00008226,0.10595010,0.32862607,0.74481272,0.00059339,0.37570259
-4.86543272,1.38637226,0.12218749,0.20889111,0.00009896,0.10670809,0.32978458,0.77355521,0.00063510,0.37433804
-4.85942971,1.41439306,0.12457559,0.20718569,0.00011819,0.10767750,0.33165810,0.80179801,0.00067700,0.37381791
-4.85342671,1.44290677,0.12725022,0.20581411,0.00014016,0.10888428,0.33434393,0.82921326,0.00071894,0.37423175
-4.84742371,1.47167572,0.13022001,0.20479707,0.00016503,0.11034392,0.33790537,0.85547690,0.00076081,0.37563088
-4.84142071,1.50041551,0.13348220,0.20413827,0.00019293,0.11206061,0.34236904,0.88027861,0.00080254,0.37802696
-4.83541771,1.52880352,0.13702217,0.20382496,0.00022394,0.11402687,0.34772338,0.90333091,0.00084406,0.38139190
-4.82941471,1.55648799,0.14081346,0.20382899,0.00025809,0.11622358,0.35391848,0.92437683,0.00088533,0.38565911
-4.82341171,1.58309732,0.14481804,0.20410826,0.00029535,0.11862033,0.36086721,0.94319592,0.00092631,0.39072579
-4.81740870,1.60824912,0.14898691,0.20460868,0.00033559,0.12117629,0.36844753,0.95960832,0.00096695,0.39645640
-4.81140570,1.63155879,0.15326107,0.20526636,0.00037862,0.12384126,0.37650596,0.97347680,0.00100719,0.40268701
-4.80540270,1.65264732,0.15757271,0.20601000,0.00042416,0.12655716,0.38486193,0.98470687,0.00104695,0.40923027
-4.79939970,1.67114832,0.16184670,0.20676356,0.00047185,0.12925966,0.39331305,0.99324512,0.00108610,0.41588109
-4.79339670,1.68671425,0.16600224,0.20744885,0.00052124,0.13188010,0.40164086,0.99907612,0.00112446,0.42242252
-4.78739370,1.69902199,0.16995474,0.20798823,0.00057178,0.13434740,0.40961704,1.00221826,0.00116181,0.42863187
-4.78139070,1.70777783,0.17361782,0.20830715,0.00062288,0.13659015,0.41700987,1.00271897,0.00119785,0.43428677
-4.77538769,1.71272224,0.17690535,0.20833656,0.00067387,0.13853864,0.42359064,1.00064990,0.00123223,0.43917118
-4.76938469,1.71363452,0.17973366,0.20801520,0.00072405,0.14012681,0.42913998,0.99610225,0.00126456,0.44308094
-4.76338169,1.71033743,0.18202362,0.20729156,0.00077269,0.14129412,0.43345377,0.98918294,0.00129441,0.44582905
-4.75737869,1.70270203,0.18370276,0.20612561,0.00081904,0.14198725,0.43634865,0.98001157,0.00132129,0.44725036
-4.75137569,1.69065260,0.18470726,0.20449023,0.00086239,0.14216156,0.43766691,0.96871860,0.00134473,0.44720568
-4.74537269,1.67417156,0.18498380,0.20237221,0.00090206,0.14178233,0.43728061,0.95544454,0.00136426,0.44558527
-4.73936968,1.65330416,0.18449123,0.19977303,0.00093743,0.14082574,0.43509494,0.94034015,0.00137945,0.44231147
-4.73336668,1.62816251,0.18320191,0.19670912,0.00096796,0.13927953,0.43105062,0.92356745,0.00138990,0.43734074
-4.72736368,1.59892869,0.18110285,0.19321175,0.00099322,0.13714334,0.42512546,0.90530107,0.00139532,0.43066468
-4.72136068,1.56585640,0.17819641,0.18932656,0.00101288,0.13442878,0.41733478,0.88572972,0.00139549,0.42231031
-4.71535768,1.52927068,0.17450070,0.18511256,0.00102674,0.13115911,0.40773098,0.86505714,0.00139033,0.41233946
-4.70935468,1.48956543,0.17004952,0.18064082,0.00103474,0.12736868,0.39640205,0.84350247,0.00137988,0.40084724
-4.70335168,1.44719831,0.16489195,0.17599268,0.00103691,0.12310205,0.38346916,0.82129932,0.00136432,0.38795967
-4.69734867,1.40268302,0.15909149,0.17125766,0.00103345,0.11841282,0.36908341,0.79869363,0.00134396,0.37383048
-4.69134567,1.35657884,0.15272484,0.16653094,0.00102464,0.11336226,0.35342176,0.77594001,0.00131927,0.35863721
-4.68534267,1.30947782,0.14588041,0.16191070,0.00101087,0.10801774,0.33668238,0.75329670,0.00129085,0.34257656
-4.67933967,1.26198980,0.13865648,0.15749523,0.00099261,0.10245105,0.31907949,0.73101922,0.00125944,0.32585931
-4.67333667,1.21472607,0.13115918,0.15337990,0.00097038,0.09673657,0.30083780,0.70935312,0.00122587,0.30870486
-4.66733367,1.16828219,0.12350037,0.14965423,0.00094477,0.09094950,0.28218697,0.68852612,0.00119112,0.29133547
-4.66133067,1.12322091,0.11579547,0.14639900,0.00091634,0.08516403,0.26335599,0.66874023,0.00115620,0.27397066
-4.65532766,1.08005600,0.10816124,0.14368369,0.00088568,0.07945173,0.24456786,0.65016439,0.00112224,0.25682169
-4.64932466,1.03923778,0.10071377,0.14156418,0.00085336,0.07387997,0.22603470,0.63292802,0.00109039,0.24008650
-4.64332166,1.00114127,0.09356659,0.14008099,0.00081987,0.06851063,0.20795342,0.61711613,0.00106185,0.22394513
