energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.50175088,5.03497152,0.02954786,0.86332981,0.15569036,2.24992978,2.07166818,0.06320982,2.00848818
-5.49574787,4.93480298,0.03031592,0.84312803,0.15102348,2.19632268,2.03046186,0.06180144,1.97324371
-5.48974487,4.81092208,0.03091137,0.81879109,0.14589002,2.13239569,1.97939784,0.06008547,1.92856108
-5.48374187,4.66525789,0.03132246,0.79066689,0.14035740,2.05912115,1.91931443,0.05808462,1.87519973
-5.47773887,4.50019550,0.03154136,0.75916964,0.13449924,1.97766078,1.85124656,0.05582667,1.81411879
-5.47173587,4.31853368,0.03156450,0.72477112,0.12839481,1.88934294,1.77640768,0.05334376,1.74646252
-5.46573287,4.12343166,0.03139292,0.68799001,0.12212834,1.79563546,1.69616695,0.05067166,1.67354103
-5.45972986,3.91834656,0.03103231,0.64938002,0.11578822,1.69811508,1.61202257,0.04784876,1.59680691
-5.45372686,3.70696399,0.03049299,0.60951702,0.10946612,1.59843445,1.52557239,0.04491520,1.51782869
-5.44772386,3.49312387,0.02978971,0.56898572,0.10325590,1.49828806,1.43848249,0.04191180,1.43826185
-5.44172086,3.28074434,0.02894128,0.52836649,0.09725252,1.39937797,1.35245514,0.03887910,1.35981830
-5.43571786,3.07374586,0.02797009,0.48822265,0.09155075,1.30338064,1.26919690,0.03585645,1.28423529
-5.42971486,2.87597781,0.02690150,0.44908885,0.08624382,1.21191580,1.19038773,0.03288111,1.21324441
-5.42371186,2.69114940,0.02576312,0.41146072,0.08142197,1.12651792,1.11765202,0.02998751,1.14854138
-5.41770885,2.52276624,0.02458407,0.37578622,0.07717098,1.04861103,1.05253182,0.02720670,1.09175715
-5.41170585,2.37407349,0.02339415,0.34245878,0.07357062,0.97948710,0.99646277,0.02456577,1.04443054
-5.40570285,2.24800619,0.02222300,0.31181243,0.07069313,0.92028805,0.95075274,0.02208766,1.00798275
-5.39969985,2.14714660,0.02109938,0.28411877,0.06860163,0.87199134,0.91656325,0.01979091,0.98369368
-5.39369685,2.07368860,0.02005033,0.25958578,0.06734866,0.83539879,0.89489335,0.01768969,0.97268011
-5.38769385,2.02940834,0.01910053,0.23835838,0.06697472,0.81112839,0.88656595,0.01579389,0.97587559
-5.38169085,2.01564085,0.01827170,0.22052034,0.06750696,0.79960853,0.89221605,0.01410935,0.99401207
-5.37568784,2.03326192,0.01758207,0.20609753,0.06895802,0.80107439,0.91228098,0.01263817,1.02760323
-5.36968484,2.08267489,0.01704600,0.19506206,0.07132499,0.81556617,0.94699229,0.01137909,1.07692960
-5.36368184,2.16380219,0.01667369,0.18733725,0.07458875,0.84292879,0.99636939,0.01032790,1.14202590
-5.35767884,2.27608172,0.01647098,0.18280310,0.07871348,0.88281327,1.06021514,0.00947789,1.22267073
-5.35167584,2.41846858,0.01643931,0.18130208,0.08364656,0.93467964,1.13811362,0.00882025,1.31837947
-5.34567284,2.58944266,0.01657578,0.18264519,0.08931893,0.99780168,1.22943062,0.00834456,1.42840085
-5.33966983,2.78702328,0.01687326,0.18661804,0.09564575,1.07127389,1.33331737,0.00803909,1.55171813
-5.33366683,3.00879157,0.01732067,0.19298691,0.10252767,1.15402106,1.44871818,0.00789122,1.68705559
-5.32766383,3.25192200,0.01790329,0.20150477,0.10985244,1.24481091,1.57438254,0.00788770,1.83289110
-5.32166083,3.51322351,0.01860318,0.21191715,0.11749706,1.34227018,1.70888233,0.00801496,1.98747546
-5.31565783,3.78919124,0.01939964,0.22396774,0.12533034,1.44490457,1.85063442,0.00825927,2.14885885
-5.30965483,4.07606878,0.02026979,0.23740386,0.13321579,1.55112266,1.99792896,0.00860692,2.31492467
-5.30365183,4.36992063,0.02118909,0.25198145,0.14101486,1.65926380,2.14896328,0.00904441,2.48343048
-5.29764882,4.66671410,0.02213199,0.26746969,0.14859028,1.76762973,2.30188084,0.00955847,2.65205558
-5.29164582,4.96240885,0.02307255,0.28365504,0.15580954,1.87451955,2.45481483,0.01013619,2.81845440
-5.28564282,5.25305209,0.02398506,0.30034461,0.16254825,1.97826708,2.60593500,0.01076507,2.98031421
-5.27963982,5.53487652,0.02484466,0.31736865,0.16869327,2.07727990,2.75349667,0.01143303,3.13541566
-5.27363682,5.80439796,0.02562796,0.33458218,0.17414558,2.17007873,2.89589004,0.01212851,3.28169419
-5.26763382,6.05850892,0.02631353,0.35186541,0.17882258,2.25533586,3.03168809,0.01284042,3.41730003
-5.26163082,6.29456460,0.02688242,0.36912320,0.18265988,2.33191133,3.15969102,0.01355825,3.54065462
-5.25562781,6.51045747,0.02731858,0.38628321,0.18561244,2.39888526,3.27896523,0.01427202,3.65050100
-5.24962481,6.70467703,0.02760918,0.40329294,0.18765503,2.45558509,3.38887487,0.01497239,3.74594602
-5.24362181,6.87635168,0.02774484,0.42011577,0.18878198,2.50160637,3.48910420,0.01565067,3.82649219
-5.23761881,7.02527013,0.02771978,0.43672606,0.18900632,2.53682610,3.57966912,0.01629885,3.89205748
-5.23161581,7.15188071,0.02753186,0.45310366,0.18835827,2.56140776,3.66091690,0.01690968,3.94298171
-5.22561281,7.25726762,0.02718251,0.46922797,0.18688334,2.57579757,3.73351320,0.01747669,3.98001858
-5.21960980,7.34310413,0.02667656,0.48507206,0.18463995,2.58071170,3.79841624,0.01799431,4.00431307
-5.21360680,7.41158382,0.02602201,0.50059707,0.18169696,2.57711475,3.85683845,0.01845786,4.01736440
-5.20760380,7.46533186,0.02522969,0.51574731,0.17813103,2.56618997,3.91019649,0.01886366,4.02097546
-5.20160080,7.50729912,0.02431288,0.53044639,0.17402407,2.54930219,3.96005104,0.01920909,4.01719014
-5.19559780,7.54064309,0.02328688,0.54459478,0.16946096,2.52795462,4.00803856,0.01949264,4.00822060
-5.18959480,7.56859978,0.02216852,0.55806880,0.16452751,2.50374123,4.05579718,0.01971395,3.99636707
-5.18359180,7.59435193,0.02097569,0.57072151,0.15930882,2.47829632,4.10488997,0.01987385,3.98393302
-5.17758879,7.62089851,0.01972686,0.58238525,0.15388814,2.45324325,4.15672846,0.01997441,3.97313919
-5.17158579,7.65093129,0.01844065,0.59287600,0.14834618,2.43014445,4.21249993,0.02001893,3.96603982
-5.16558279,7.68672365,0.01713540,0.60199925,0.14276081,2.41045465,4.27310187,0.02001190,3.96444466
-5.15957979,7.73003670,0.01582878,0.60955724,0.13720725,2.39547931,4.33908669,0.01995902,3.96985024
-5.15357679,7.78204718,0.01453754,0.61535709,0.13175853,2.38633996,4.41061980,0.01986706,3.98338354
-5.14757379,7.84330079,0.01327726,0.61921957,0.12648618,2.38394799,4.48745356,0.01974382,4.00576074
-5.14157079,7.91369350,0.01206217,0.62098785,0.12146115,2.38898803,4.56891888,0.01959801,4.03726339
-5.13556778,7.99248255,0.01090511,0.62053597,0.11675465,2.40191161,4.65393581,0.01943906,4.07773325
-5.12956478,8.07832705,0.00981752,0.61777647,0.11243896,2.42294135,4.74104338,0.01927700,4.12658659
-5.12356178,8.16935727,0.00880954,0.61266673,0.10858814,2.45208559,4.82844817,0.01912228,4.18284764
-5.11755878,8.26326995,0.00789014,0.60521383,0.10527844,2.48916245,4.91409013,0.01898555,4.24520007
-5.11155578,8.35744597,0.00706733,0.59547752,0.10258846,2.53383242,4.99572328,0.01887749,4.31205439
-5.10555278,8.44908514,0.00634847,0.58357127,0.10059898,2.58563754,5.07100801,0.01880865,4.38162843
-5.09954977,8.53535239,0.00574051,0.56966123,0.09939248,2.64404530,5.13761119,0.01878923,4.45203721
-5.09354677,8.61352841,0.00525042,0.55396335,0.09905235,2.70849492,5.19330955,0.01882899,4.52138808
-5.08754377,8.68115787,0.00488546,0.53673855,0.09966176,2.77844341,5.23609154,0.01893706,4.58787658
-5.08154077,8.73618769,0.00465358,0.51828643,0.10130238,2.85340912,5.26425290,0.01912193,4.64987829
-5.07553777,8.77708872,0.00456375,0.49893765,0.10405279,2.93301003,5.27648112,0.01939130,4.70603219
-5.06953477,8.80295442,0.00462625,0.47904539,0.10798682,3.01699487,5.27192469,0.01975213,4.75531122
-5.06353177,8.81357125,0.00485292,0.45897628,0.11317172,3.10526489,5.25024339,0.02021056,4.79707644
-5.05752876,8.80945677,0.00525737,0.43910104,0.11966637,3.19788511,5.21163699,0.02077201,4.83111199
-5.05152576,8.79186310,0.00585505,0.41978531,0.12751937,3.29508394,5.15685067,0.02144110,4.85763886
-5.04552276,8.76274468,0.00666324,0.40138088,0.13676725,3.39724093,5.08715660,0.02222178,4.87730672
-5.03951976,8.72469161,0.00770095,0.38421755,0.14743266,3.50486299,5.00431241,0.02311730,4.89116412
-5.03351676,8.68083083,0.00898864,0.36859599,0.15952269,3.61854995,4.91049821,0.02413020,4.90060828
-5.02751376,8.63469982,0.01054785,0.35478140,0.17302724,3.73895091,4.80823523,0.02526232,4.90731709
-5.02151076,8.59009804,0.01240064,0.34299852,0.18791752,3.86671352,4.70028978,0.02651471,4.91316651
-5.01550775,8.55092308,0.01456889,0.33342752,0.20414467,4.00242840,4.58956691,0.02788754,4.92013739
-5.00950475,8.52099892,0.01707352,0.32620125,0.22163856,4.14657161,4.47899891,0.02937994,4.93021631
-5.00350175,8.50390402,0.01993346,0.32140343,0.24030676,4.29944792,4.37143360,0.03098984,4.94529510
-4.99749875,8.50280725,0.02316466,0.31906803,0.26003376,4.46113776,4.26952749,0.03271373,4.96707394
-4.99149575,8.52031875,0.02677889,0.31917952,0.28068051,4.63145076,4.17564846,0.03454641,4.99697242
-4.98549275,8.55836264,0.03078261,0.32167418,0.30208430,4.80988824,4.09179209,0.03648078,5.03605283
-4.97948974,8.61807685,0.03517577,0.32644219,0.32405912,4.99561688,4.01951486,0.03850757,5.08495890
-4.97348674,8.69974444,0.03995069,0.33333057,0.34639652,5.18745524,3.95988676,0.04061517,5.14387272
-4.96748374,8.80275909,0.04509108,0.34214687,0.36886708,5.38387417,3.91346453,0.04278943,5.21249149
-4.96148074,8.92562579,0.05057122,0.35266353,0.39122259,5.58301156,3.88028613,0.04501360,5.29002483
-4.95547774,9.06599660,0.05635535,0.36462290,0.41319888,5.78270138,3.85988567,0.04726834,5.37521248
-4.94947474,9.22073917,0.06239736,0.37774276,0.43451948,5.98051594,3.85132736,0.04953182,5.46636119
-4.94347174,9.38603501,0.06864086,0.39172239,0.45490001,6.17382028,3.85325638,0.05177990,5.56139892
-4.93746873,9.55750294,0.07501956,0.40624893,0.47405324,6.35983634,3.86396349,0.05398651,5.65794361
-4.93146573,9.73034235,0.08145810,0.42100405,0.49169485,6.53571488,3.88146037,0.05612407,5.75338347
-4.92546273,9.89949023,0.08787321,0.43567069,0.50754963,6.69861203,3.90356201,0.05816404,5.84496507
-4.91945973,10.05978567,0.09417534,0.44993982,0.52135809,6.84576789,3.92797249,0.06007752,5.92988566
-4.91345673,10.20613532,0.10027062,0.46351693,0.53288312,6.97458383,3.95237078,0.06183600,6.00538580
-4.90745373,10.33367372,0.10606306,0.47612823,0.54191664,7.08269579,3.97449315,0.06341204,6.06883888
-4.90145073,10.43791261,0.11145710,0.48752624,0.54828582,7.16804074,3.99220937,0.06478005,6.11783404
-4.89544772,10.51487427,0.11636019,0.49749471,0.55185878,7.22891398,4.00359032,0.06591700,6.15024980
-4.88944472,10.56120474,0.12068551,0.50585272,0.55254929,7.26401523,4.00696503,0.06680309,6.16431592
-4.88344172,10.57426359,0.12435453,0.51245778,0.55032047,7.27248218,4.00096580,0.06742234,6.15866193
-4.87743872,10.55218814,0.12729949,0.51720793,0.54518715,7.25391054,3.98456067,0.06776306,6.13235097
-4.87143572,10.49393108,0.12946556,0.52004266,0.53721670,7.20836028,3.95707284,0.06781821,6.08489873
-4.86543272,10.39927138,0.13081263,0.52094289,0.52652837,7.13634843,3.91818739,0.06758563,6.01627740
-4.85942971,10.26879944,0.13131665,0.51992964,0.51329099,7.03882910,3.86794575,0.06706806,5.92690543
-4.85342671,10.10387832,0.13097048,0.51706194,0.49771913,6.91716192,3.80672907,0.06627309,5.81762427
-4.84742371,9.90658342,0.12978418,0.51243361,0.48006779,6.77307062,3.73523157,0.06521291,5.68966349
-4.84142071,9.67962395,0.12778471,0.50616938,0.46062586,6.60859350,3.65442551,0.06390397,5.54459637
-4.83541771,9.42624944,0.12501514,0.49842035,0.43970848,6.42602777,3.56551927,0.06236646,5.38428780
-4.82941471,9.15014524,0.12153336,0.48935890,0.41764874,6.22786992,3.46991036,0.06062379,5.21083671
-4.82341171,8.85532079,0.11741026,0.47917342,0.39478891,6.01675397,3.36913485,0.05870194,5.02651519
-4.81740870,8.54599452,0.11272769,0.46806273,0.37147151,5.79538969,3.26481531,0.05662876,4.83370640
-4.81140570,8.22647898,0.10757605,0.45623067,0.34803078,5.56650244,3.15860850,0.05443331,4.63484316
-4.80540270,7.90106975,0.10205178,0.44388072,0.32478454,5.33277600,3.05215463,0.05214515,4.43234893
-4.79939970,7.57394101,0.09625483,0.43121105,0.30202706,5.09679998,2.94702957,0.04979366,4.22858297
-4.79339670,7.24905056,0.09028611,0.41840988,0.28002289,4.86102244,2.84470126,0.04740746,4.02579055
-4.78739370,6.93005652,0.08424519,0.40565144,0.25900209,4.62770889,2.74649151,0.04501382,3.82605967
-4.78139070,6.62024744,0.07822818,0.39309249,0.23915681,4.39890793,2.65354408,0.04263819,3.63128476
-4.77538769,6.32248709,0.07232591,0.38086956,0.22063937,4.17642414,2.56679993,0.04030377,3.44313802
