energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.84992496,1.42238508,-1.41896245,0.57357219,-0.55637218,0.46119354,-0.42646954,0.27740254,-0.31178980,0.00000000,-0.00000000,0.00251001,-0.00345991,0.40220143,-0.37428737,0.01304323,-0.01451770,0.36073742,-0.37180717
-5.84392196,1.42361585,-1.38314781,0.56805062,-0.54419016,0.47052186,-0.42255649,0.26696121,-0.29511277,0.00000000,-0.00000000,0.00231974,-0.00317919,0.41000988,-0.37229528,0.01324459,-0.01413881,0.35578310,-0.35809555
-5.83791896,1.43179916,-1.35633848,0.56361143,-0.53462401,0.48174673,-0.42153791,0.25802833,-0.27972271,0.00000000,-0.00000000,0.00216603,-0.00292574,0.41901294,-0.37288727,0.01367760,-0.01394430,0.35306860,-0.34646985
-5.83191596,1.44624805,-1.33877729,0.55997441,-0.52757903,0.49453539,-0.42341080,0.25059387,-0.26579588,0.00000000,-0.00000000,0.00205045,-0.00270331,0.42885763,-0.37595263,0.01435329,-0.01395473,0.35258142,-0.33714043
-5.82591296,1.46611690,-1.33047979,0.55683364,-0.52288547,0.50850808,-0.42810116,0.24460572,-0.25346620,0.00000000,-0.00000000,0.00197413,-0.00251505,0.43916644,-0.38131430,0.01527924,-0.01418805,0.35425296,-0.33026836
-5.81990995,1.49042727,-1.33123374,0.55387022,-0.52030488,0.52324764,-0.43546359,0.23997263,-0.24282304,0.00000000,-0.00000000,0.00193783,-0.00236359,0.44954876,-0.38873316,0.01645922,-0.01465913,0.35796030,-0.32596068
-5.81390695,1.51809717,-1.34060505,0.55076507,-0.51953888,0.53831036,-0.44528300,0.23656842,-0.23391025,0.00000000,-0.00000000,0.00194200,-0.00225101,0.45961251,-0.39791420,0.01789286,-0.01537939,0.36352972,-0.32426702
-5.80790395,1.54797263,-1.35794977,0.54721130,-0.52024002,0.55323777,-0.45727845,0.23423707,-0.22672633,0.00000000,-0.00000000,0.00198683,-0.00217894,0.46897562,-0.40851460,0.01957541,-0.01635639,0.37074170,-0.32517755
-5.80190095,1.57886083,-1.38243184,0.54292557,-0.52202424,0.56756897,-0.47110906,0.23279876,-0.22122579,0.00000000,-0.00000000,0.00207231,-0.00214857,0.47727684,-0.42015334,0.02149743,-0.01759347,0.37933743,-0.32862243
-5.79589795,1.60956364,-1.41304586,0.53765803,-0.52448437,0.58085310,-0.48638169,0.23205657,-0.21732174,0.00000000,-0.00000000,0.00219830,-0.00216071,0.48418566,-0.43242187,0.02364472,-0.01908942,0.38902668,-0.33447289
