energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-3.83291646,3.26608840,0.00773348,0.15824164,1.46695322,0.59382232,0.01398220,1.94753546,0.62987592,0.05272652
-3.82691346,3.36392773,0.00845231,0.16367537,1.50299221,0.60473451,0.01534530,2.00902505,0.65184164,0.05446997
-3.82091046,3.45820406,0.00932329,0.16882647,1.53460554,0.61546137,0.01677698,2.06820001,0.67231714,0.05631249
-3.81490745,3.54802827,0.01035707,0.17364200,1.56142903,0.62591590,0.01827140,2.12449415,0.69113985,0.05824348
-3.80890445,3.63284229,0.01156568,0.17808316,1.58325354,0.63609101,0.01982259,2.17753148,0.70820857,0.06025810
-3.80290145,3.71245981,0.01296243,0.18212724,1.60003520,0.64606848,0.02142474,2.22715102,0.72348929,0.06235801
-3.79689845,3.78709502,0.01456183,0.18576908,1.61189979,0.65602526,0.02307238,2.27342476,0.73701899,0.06455181
-3.79089545,3.85737806,0.01637946,0.18902201,1.61914105,0.66623680,0.02476072,2.31666780,0.74890713,0.06685535
-3.78489245,3.92435625,0.01843167,0.19191811,1.62221311,0.67707743,0.02648575,2.35744024,0.75933457,0.06929161
-3.77888944,3.98948068,0.02073523,0.19450796,1.62171713,0.68901743,0.02824453,2.39654035,0.76855022,0.07189040
-3.77288644,4.05457805,0.02330696,0.19685967,1.61838268,0.70261708,0.03003521,2.43498902,0.77686507,0.07468767
-3.76688344,4.12180833,0.02616315,0.19905733,1.61304457,0.71851748,0.03185716,2.47400569,0.78464415,0.07772450
-3.76088044,4.19360916,0.02931909,0.20119889,1.60661580,0.73742860,0.03371096,2.51497632,0.79229624,0.08104590
-3.75487744,4.27262850,0.03278837,0.20339350,1.60005771,0.76011454,0.03559830,2.55941423,0.80026200,0.08469922
-3.74887444,4.36164744,0.03658230,0.20575849,1.59434837,0.78737653,0.03752181,2.60891495,0.80900059,0.08873246
-3.74287144,4.46349556,0.04070925,0.20841588,1.59045023,0.82003393,0.03948492,2.66510650,0.81897548,0.09319229
-3.73686843,4.58096174,0.04517409,0.21148878,1.58927843,0.85890385,0.04149149,2.72959683,0.83063976,0.09812215
-3.73086543,4.71670318,0.04997755,0.21509765,1.59167066,0.90477989,0.04354557,2.80392015,0.84442159,0.10356016
-3.72486243,4.87315627,0.05511584,0.21935662,1.59835992,0.95841049,0.04565098,2.88948419,0.86071032,0.10953722
-3.71885943,5.05245222,0.06058022,0.22436992,1.60995110,1.02047777,0.04781097,2.98752052,0.87984376,0.11607521
-3.71285643,5.25634087,0.06635679,0.23022868,1.62690224,1.09157726,0.05002781,3.09903955,0.90209711,0.12318541
-3.70685343,5.48612542,0.07242640,0.23700811,1.64951124,1.17219933,0.05230241,3.22479229,0.92767404,0.13086727
-3.70085043,5.74261063,0.07876464,0.24476521,1.67790844,1.26271275,0.05463403,3.36524029,0.95670017,0.13910751
-3.69484742,6.02606639,0.08534212,0.25353709,1.71205531,1.36335100,0.05701987,3.52053473,0.98921925,0.14787964
-3.68884442,6.33620778,0.09212471,0.26333983,1.75174918,1.47420167,0.05945492,3.69050568,1.02519211,0.15714389
-3.68284142,6.67219208,0.09907409,0.27416814,1.79663375,1.59519917,0.06193167,3.87466149,1.06449830,0.16684770
-3.67683842,7.03263235,0.10614822,0.28599549,1.84621465,1.72612093,0.06444001,4.07219817,1.10694039,0.17692649
-3.67083542,7.41562630,0.11330207,0.29877496,1.89987939,1.86658697,0.06696718,4.28201797,1.15225048,0.18730493
-3.66483242,7.81879857,0.12048824,0.31244050,1.95692047,2.01606266,0.06949772,4.50275585,1.20009861,0.19789853
-3.65882941,8.23935375,0.12765771,0.32690867,2.01656062,2.17386435,0.07201362,4.73281226,1.25010250,0.20861550
-3.65282641,8.67413722,0.13476055,0.34208055,2.07797884,2.33916727,0.07449446,4.97039039,1.30183820,0.21935880
-3.64682341,9.11970050,0.14174658,0.35784398,2.14033591,2.51101528,0.07691762,5.21353576,1.35485085,0.23002828
-3.64082041,9.57236778,0.14856601,0.37407576,2.20279835,2.68833182,0.07925863,5.46017610,1.40866530,0.24052287
-3.63481741,10.02830053,0.15517000,0.39064377,2.26455958,2.86993141,0.08149154,5.70815976,1.46279576,0.25074264
-3.62881441,10.48355761,0.16151116,0.40740903,2.32485760,3.05453137,0.08358939,5.95529078,1.51675434,0.26059075
-3.62281141,10.93414869,0.16754399,0.42422750,2.38298844,3.24076310,0.08552473,6.19935954,1.57005802,0.26997515
-3.61680840,11.37607976,0.17322521,0.44095160,2.43831525,3.42718295,0.08727019,6.43816823,1.62223390,0.27881003
-3.61080540,11.80539015,0.17851410,0.45743157,2.49027282,3.61228240,0.08879909,6.66955071,1.67282282,0.28701697
-3.60480240,12.21818156,0.18337273,0.47351649,2.53836808,3.79449780,0.09008615,6.89138722,1.72138127,0.29452579
-3.59879940,12.61064006,0.18776620,0.48905524,2.58217681,3.97222007,0.09110810,7.10161466,1.76748202,0.30127504
-3.59279640,12.97905318,0.19166287,0.50389721,2.62133757,4.14380459,0.09184439,7.29823352,1.81071368,0.30721231
-3.58679340,13.31982408,0.19503452,0.51789313,2.65554367,4.30758231,0.09227784,7.47931317,1.85067971,0.31229421
-3.58079040,13.62948581,0.19785660,0.53089588,2.68453412,4.46187240,0.09239524,7.64299701,1.88699725,0.31648622
-3.57478739,13.90471802,0.20010842,0.54276148,2.70808468,4.60499729,0.09218786,7.78750919,1.91929633,0.31976237
