energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-1.73186593,3.18458685,0.20527964,0.26728468,0.01960923,0.11275116,0.28292689,2.37236950,0.05824761,0.14241612
-1.72586293,3.12491678,0.20726043,0.26643855,0.02077520,0.11012648,0.27521079,2.32274604,0.05792893,0.13749827
-1.71985993,3.06570470,0.21041178,0.26605114,0.02211245,0.10792734,0.26793306,2.27206919,0.05752198,0.13265019
-1.71385693,3.00795319,0.21471642,0.26617075,0.02359834,0.10619539,0.26118296,2.22108508,0.05706198,0.12796008
-1.70785393,2.95263677,0.22012897,0.26683907,0.02520713,0.10496309,0.25503846,2.17053987,0.05658530,0.12351590
-1.70185093,2.90067752,0.22657723,0.26808946,0.02691036,0.10425344,0.24956485,2.12116085,0.05612824,0.11940378
-1.69584792,2.85292241,0.23396431,0.26994550,0.02867736,0.10407997,0.24481392,2.07363844,0.05572589,0.11570632
-1.68984492,2.81012316,0.24217166,0.27241979,0.03047588,0.10444688,0.24082355,2.02860967,0.05541100,0.11250111
-1.68384192,2.77291872,0.25106260,0.27551320,0.03227276,0.10534937,0.23761780,1.98664346,0.05521300,0.10985913
-1.67783892,2.74182107,0.26048654,0.27921436,0.03403472,0.10677399,0.23520743,1.94822795,0.05515714,0.10784335
-1.67183592,2.71720401,0.27028344,0.28349964,0.03572919,0.10869926,0.23359072,1.91375998,0.05526374,0.10650738
-1.66583292,2.69929536,0.28028852,0.28833345,0.03732516,0.11109619,0.23275467,1.88353690,0.05554769,0.10589423
-1.65982991,2.68817223,0.29033687,0.29366879,0.03879406,0.11392897,0.23267629,1.85775063,0.05601805,0.10603524
-1.65382691,2.68375928,0.30026795,0.29944813,0.04011056,0.11715565,0.23332407,1.83648397,0.05667781,0.10694916
-1.64782391,2.68582987,0.30992968,0.30560445,0.04125334,0.12072882,0.23465941,1.81970917,0.05752390,0.10864141
-1.64182091,2.69400996,0.31918201,0.31206246,0.04220574,0.12459633,0.23663801,1.80728858,0.05854723,0.11110357
-1.63581791,2.70778463,0.32789994,0.31873989,0.04295630,0.12870198,0.23921107,1.79897757,0.05973301,0.11431310
-1.62981491,2.72650730,0.33597588,0.32554889,0.04349915,0.13298627,0.24232633,1.79442947,0.06106111,0.11823331
-1.62381191,2.74941160,0.34332128,0.33239754,0.04383426,0.13738714,0.24592888,1.79320282,0.06250660,0.12281371
-1.61780890,2.77562614,0.34986771,0.33919140,0.04396748,0.14184088,0.24996172,1.79477075,0.06404037,0.12799061
-1.61180590,2.80419209,0.35556735,0.34583519,0.04391047,0.14628298,0.25436612,1.79853261,0.06562988,0.13368808
-1.60580290,2.83408376,0.36039300,0.35223466,0.04368041,0.15064926,0.25908180,1.80382785,0.06724006,0.13981934
-1.59979990,2.86423215,0.36433776,0.35829857,0.04329965,0.15487706,0.26404703,1.80995204,0.06883422,0.14628842
-1.59379690,2.89355120,0.36741449,0.36394087,0.04279510,0.15890652,0.26919863,1.81617483,0.07037509,0.15299223
-1.58779390,2.92096653,0.36965510,0.36908313,0.04219765,0.16268213,0.27447203,1.82175966,0.07182592,0.15982292
