energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
0.73536768,1.39382749,0.32721241,0.00000000,1.17370932,0.92496821,0.05568233,0.15112109
0.74137069,1.44081387,0.32723785,0.00000000,1.20026800,0.96024844,0.05432665,0.15465404
0.74737369,1.49202730,0.32724226,0.00000000,1.22986389,0.99845927,0.05287594,0.15875789
0.75337669,1.54831940,0.32749591,0.00000000,1.26338625,1.04008586,0.05139754,0.16359187
0.75937969,1.61045087,0.32826785,0.00000000,1.30164683,1.08554566,0.04996164,0.16930716
0.76538269,1.67905392,0.32981669,0.00000000,1.34534054,1.13516557,0.04863938,0.17604063
0.77138569,1.75459832,0.33238185,0.00000000,1.39500922,1.18916169,0.04750093,0.18390877
0.77738869,1.83736223,0.33617555,0.00000000,1.45101005,1.24762246,0.04661363,0.19300198
0.78339170,1.92740913,0.34137590,0.00000000,1.51348995,1.31049597,0.04604015,0.20337953
0.78939470,2.02457188,0.34812116,0.00000000,1.58236740,1.37758202,0.04583680,0.21506539
0.79539770,2.12844442,0.35650547,0.00000000,1.65732219,1.44852916,0.04605193,0.22804502
0.80140070,2.23838165,0.36657597,0.00000000,1.73779403,1.52283700,0.04672464,0.24226345
0.80740370,2.35350740,0.37833148,0.00000000,1.82298990,1.59986368,0.04788359,0.25762460
0.81340670,2.47273033,0.39172262,0.00000000,1.91190020,1.67883819,0.04954613,0.27399194
0.81940970,2.59476717,0.40665330,0.00000000,2.00332297,1.75887722,0.05171772,0.29119062
0.82541271,2.71817261,0.42298354,0.00000000,2.09589552,1.83900595,0.05439158,0.30901087
0.83141571,2.84137472,0.44053342,0.00000000,2.18813214,1.91818196,0.05754872,0.32721267
0.83741871,2.96271490,0.45908794,0.00000000,2.27846672,1.99532175,0.06115825,0.34553154
0.84342171,3.08049103,0.47840277,0.00000000,2.36529855,2.06932877,0.06517802,0.36368529
0.84942471,3.19300253,0.49821062,0.00000000,2.44703989,2.13912233,0.06955557,0.38138150
0.85542771,3.29859589,0.51822799,0.00000000,2.52216344,2.20366631,0.07422940,0.39832544
0.86143072,3.39570940,0.53816234,0.00000000,2.58924820,2.26199709,0.07913053,0.41422823
0.86743372,3.48291572,0.55771924,0.00000000,2.64702214,2.31324969,0.08418423,0.42881494
0.87343672,3.55896105,0.57660954,0.00000000,2.69440032,2.35668141,0.08931205,0.44183240
0.87943972,3.62279980,0.59455635,0.00000000,2.73051729,2.39169246,0.09443391,0.45305630
0.88544272,3.67362362,0.61130157,0.00000000,2.75475263,2.41784271,0.09947030,0.46229758
0.89144572,3.71088403,0.62661201,0.00000000,2.76674923,2.43486433,0.10434448,0.46940770
