energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
1.43771886,1.95042694,0.85056384,0.05804897,0.00612275,0.08754206,0.21097952,1.03887579,0.02803563,0.85083264
1.44372186,1.94915807,0.87036930,0.05760382,0.00651183,0.08995085,0.20597887,1.03344303,0.02899257,0.84603272
1.44972486,1.94612605,0.88811255,0.05714916,0.00687757,0.09224397,0.20089114,1.02707794,0.02992418,0.84053349
1.45572786,1.94119673,0.90331385,0.05668246,0.00721293,0.09435179,0.19574306,1.01984012,0.03078916,0.83442104
1.46173087,1.93418694,0.91552690,0.05619999,0.00751126,0.09621065,0.19055673,1.01174726,0.03155049,0.82773814
1.46773387,1.92487410,0.92435411,0.05569723,0.00776644,0.09776461,0.18535064,1.00277707,0.03217619,0.82048630
1.47373687,1.91301077,0.92946177,0.05516937,0.00797314,0.09896700,0.18014124,0.99287237,0.03263984,0.81263062
1.47973987,1.89834325,0.93059434,0.05461193,0.00812697,0.09978202,0.17494486,0.98194910,0.03292105,0.80410690
1.48574287,1.88063294,0.92758711,0.05402153,0.00822458,0.10018601,0.16977991,0.96990662,0.03300575,0.79483055
1.49174587,1.85967914,0.92037645,0.05339657,0.00826385,0.10016859,0.16466916,0.95663955,0.03288638,0.78470678
1.49774887,1.83534179,0.90900719,0.05273796,0.00824393,0.09973343,0.15964190,0.94205046,0.03256177,0.77364116
1.50375188,1.80756261,0.89363646,0.05204975,0.00816524,0.09889862,0.15473586,0.92606254,0.03203704,0.76155024
1.50975488,1.77638332,0.87453377,0.05133960,0.00802951,0.09769672,0.14999873,0.90863143,0.03132317,0.74837121
1.51575788,1.74195969,0.85207726,0.05061914,0.00783969,0.09617431,0.14548912,0.88975545,0.03043646,0.73407040
1.52176088,1.70457045,0.82674600,0.04990409,0.00759986,0.09439111,0.14127696,0.86948370,0.02939793,0.71864982
1.52776388,1.66462047,0.79910878,0.04921421,0.00731511,0.09241868,0.13744315,0.84792144,0.02823250,0.70215169
1.53376688,1.62263777,0.76980974,0.04857297,0.00699136,0.09033872,0.13407854,0.82523244,0.02696812,0.68466053
1.53976988,1.57926445,0.73955126,0.04800703,0.00663519,0.08824101,0.13128225,0.80163822,0.02563488,0.66630283
1.54577289,1.53524185,0.70907498,0.04754557,0.00625367,0.08622105,0.12915924,0.77741413,0.02426406,0.64724447
1.55177589,1.49139042,0.67914149,0.04721931,0.00585414,0.08437742,0.12781747,0.75288251,0.02288720,0.62768585
1.55777889,1.44858540,0.65050949,0.04705952,0.00544408,0.08280905,0.12736438,0.72840329,0.02153522,0.60785526
1.56378189,1.40772916,0.62391515,0.04709687,0.00503090,0.08161235,0.12790318,0.70436241,0.02023756,0.58800076
1.56978489,1.36972153,0.60005234,0.04736020,0.00462184,0.08087838,0.12952886,0.68115876,0.01902153,0.56838106
1.57578789,1.33542931,0.57955443,0.04787536,0.00422388,0.08069014,0.13232407,0.65919018,0.01791161,0.54925582
1.58179090,1.30565639,0.56297800,0.04866402,0.00384366,0.08111994,0.13635524,0.63883919,0.01692895,0.53087594
1.58779390,1.28111567,0.55078920,0.04974265,0.00348746,0.08222718,0.14166876,0.62045915,0.01609104,0.51347428
1.59379690,1.26240392,0.54335285,0.05112162,0.00316126,0.08405630,0.14828774,0.60436141,0.01541142,0.49725719
1.59979990,1.24998084,0.54092468,0.05280450,0.00287075,0.08663532,0.15620925,0.59080407,0.01489956,0.48239730
1.60580290,1.24415294,0.54364690,0.05478761,0.00262147,0.08997471,0.16540233,0.57998285,0.01456089,0.46902778
1.61180590,1.24506324,0.55154704,0.05705980,0.00241890,0.09406689,0.17580676,0.57202444,0.01439691,0.45723840
1.61780890,1.25268698,0.56454025,0.05960258,0.00226864,0.09888625,0.18733295,0.56698261,0.01440540,0.44707340
1.62381191,1.26683388,0.58243483,0.06239044,0.00217659,0.10438974,0.19986272,0.56483725,0.01458083,0.43853131
1.62981491,1.28715662,0.60494095,0.06539159,0.00214906,0.11051816,0.21325125,0.56549647,0.01491472,0.43156663
1.63581791,1.31316562,0.63168229,0.06856882,0.00219301,0.11719792,0.22733008,0.56880153,0.01539618,0.42609324
1.64182091,1.34424937,0.66221025,0.07188076,0.00231615,0.12434338,0.24191121,0.57453463,0.01601248,0.42198939
1.64782391,1.37969965,0.69602042,0.07528319,0.00252710,0.13185976,0.25679209,0.58242898,0.01674968,0.41910398
1.65382691,1.41874071,0.73257075,0.07873061,0.00283542,0.13964627,0.27176141,0.59218102,0.01759330,0.41726382
1.65982991,1.46056116,0.77130095,0.08217778,0.00325171,0.14759969,0.28660560,0.60346411,0.01852899,0.41628158
1.66583292,1.50434740,0.81165233,0.08558142,0.00378753,0.15561801,0.30111550,0.61594318,0.01954324,0.41596401
1.67183592,1.54931695,0.85308754,0.08890166,0.00445533,0.16360407,0.31509331,0.62928971,0.02062400,0.41612009
1.67783892,1.59475040,0.89510925,0.09210354,0.00526824,0.17146908,0.32835914,0.64319643,0.02176135,0.41656883
1.68384192,1.64002037,0.93727720,0.09515812,0.00623984,0.17913578,0.34075714,0.65739091,0.02294799,0.41714616
1.68984492,1.68461609,0.97922265,0.09804349,0.00738378,0.18654113,0.35216070,0.67164759,0.02417975,0.41771096
1.69584792,1.72816239,1.02065965,0.10074528,0.00871336,0.19363839,0.36247652,0.68579753,0.02545586,0.41814958
1.70185093,1.77043196,1.06139241,0.10325698,0.01024101,0.20039838,0.37164733,0.69973533,0.02677920,0.41837906
1.70785393,1.81135007,1.10131832,0.10557971,0.01197769,0.20681002,0.37965302,0.71342291,0.02815630,0.41834855
1.71385693,1.85099143,1.14042631,0.10772172,0.01393227,0.21287983,0.38651008,0.72688967,0.02959721,0.41803919
1.71985993,1.88956889,1.17879034,0.10969751,0.01611082,0.21863060,0.39226935,0.74022908,0.03111518,0.41746226
1.72586293,1.92741449,1.21655832,0.11152651,0.01851594,0.22409923,0.39701222,0.75359164,0.03272612,0.41665587
1.73186593,1.96495332,1.25393662,0.11323168,0.02114606,0.22933367,0.40084520,0.76717430,0.03444799,0.41568018
1.73786893,2.00267152,1.29117089,0.11483772,0.02399484,0.23438931,0.40389346,0.78120693,0.03629987,0.41461158
1.74387194,2.04107959,1.32852399,0.11636934,0.02705060,0.23932483,0.40629328,0.79593625,0.03830104,0.41353601
1.74987494,2.08067297,1.36625199,0.11784938,0.03029589,0.24419772,0.40818410,0.81160792,0.04046986,0.41254180
1.75587794,2.12189153,1.40457949,0.11929707,0.03370725,0.24905982,0.40970039,0.82844770,0.04282260,0.41171236
1.76188094,2.16508031,1.44367542,0.12072651,0.03725508,0.25395295,0.41096385,0.84664251,0.04537229,0.41111914
1.76788394,2.21045328,1.48363065,0.12214528,0.04090375,0.25890493,0.41207629,0.86632244,0.04812753,0.41081526
1.77388694,2.25806230,1.52443864,0.12355354,0.04461196,0.26392629,0.41311364,0.88754459,0.05109143,0.41082999
1.77988994,2.30777283,1.56598016,0.12494335,0.04833330,0.26900764,0.41412142,0.91027972,0.05426063,0.41116459
1.78589295,2.35924814,1.60801322,0.12629855,0.05201709,0.27411812,0.41511178,0.93440250,0.05762458,0.41178955
1.79189595,2.41194277,1.65016867,0.12759498,0.05560934,0.27920485,0.41606240,0.95968601,0.06116494,0.41264351
