energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-5.68784392,4.10212112,0.80857771,0.21136502,0.00277811,1.16137488,0.07651330,1.33278190,1.27003200,0.96303634
-5.68184092,3.77955213,0.76994872,0.19404223,0.00246051,1.05532518,0.07094022,1.24675907,1.15243988,0.87144895
-5.67583792,3.47358735,0.73093846,0.17741052,0.00216883,0.95700094,0.06555975,1.16267582,1.04331914,0.78620223
-5.66983492,3.18459581,0.69171238,0.16153901,0.00190276,0.86626919,0.06038951,1.08086782,0.94254837,0.70729512
-5.66383192,2.91267108,0.65243564,0.14648148,0.00166167,0.78289053,0.05544312,1.00161980,0.84989071,0.63462789
-5.65782891,2.65767705,0.61327417,0.13227715,0.00144462,0.70654188,0.05073070,0.92517035,0.76501751,0.56801912
-5.65182591,2.41929350,0.57439528,0.11895176,0.00125042,0.63683860,0.04625943,0.85171694,0.68753135,0.50722259
-5.64582291,2.19705955,0.53596751,0.10651878,0.00107772,0.57335534,0.04203399,0.78142077,0.61698766,0.45194355
-5.63981991,1.99041354,0.49815982,0.09498073,0.00092503,0.51564484,0.03805704,0.71441117,0.55291439,0.40185385
-5.63381691,1.79872838,0.46114014,0.08433057,0.00079081,0.46325440,0.03432955,0.65078949,0.49482923,0.35660558
-5.62781391,1.62134174,0.42507328,0.07455308,0.00067348,0.41573981,0.03085111,0.59063230,0.44225437,0.31584298
-5.62181091,1.45758089,0.39011847,0.06562632,0.00057149,0.37267651,0.02762026,0.53399401,0.39472842,0.27921247
-5.61580790,1.30678238,0.35642663,0.05752292,0.00048333,0.33366815,0.02463464,0.48090899,0.35181576,0.24637079
-5.60980490,1.16830704,0.32413758,0.05021153,0.00040757,0.29835266,0.02189127,0.43139345,0.31311341,0.21699132
-5.60380190,1.04155095,0.29337742,0.04365805,0.00034290,0.26640610,0.01938674,0.38544707,0.27825574,0.19076881
-5.59779890,0.92595333,0.26425617,0.03782697,0.00028811,0.23754474,0.01711739,0.34305478,0.24691724,0.16742254
-5.59179590,0.82100213,0.23686605,0.03268266,0.00024212,0.21152556,0.01507964,0.30418876,0.21881391,0.14669832
-5.58579290,0.72623821,0.21128020,0.02819058,0.00020400,0.18814574,0.01327015,0.26881090,0.19370353,0.12836956
-5.57978989,0.64125914,0.18755231,0.02431861,0.00017297,0.16724150,0.01168623,0.23687572,0.17138524,0.11223757
-5.57378689,0.56572305,0.16571685,0.02103829,0.00014840,0.14868652,0.01032616,0.20833403,0.15169881,0.09813146
-5.56778389,0.49935330,0.14579017,0.01832610,0.00012982,0.13239050,0.00918953,0.18313706,0.13452389,0.08590769
-5.56178089,0.44194408,0.12777227,0.01616472,0.00011695,0.11829779,0.00827771,0.16124128,0.11977946,0.07544963
-5.55577789,0.39336736,0.11164919,0.01454432,0.00010964,0.10638652,0.00759422,0.14261361,0.10742369,0.06666710
-5.54977489,0.35358081,0.09739595,0.01346376,0.00010797,0.09666817,0.00714516,0.12723701,0.09745428,0.05949610
-5.54377189,0.32263662,0.08497989,0.01293181,0.00011218,0.08918756,0.00693957,0.11511614,0.08990917,0.05389856
-5.53776888,0.30069056,0.07436416,0.01296817,0.00012271,0.08402336,0.00698974,0.10628284,0.08486780,0.04986241
-5.53176588,0.28801078,0.06551135,0.01360452,0.00014023,0.08128866,0.00731145,0.10080127,0.08245243,0.04740157
-5.52576288,0.28498537,0.05838698,0.01488518,0.00016559,0.08113172,0.00792409,0.09877227,0.08282946,0.04655598
-5.51975988,0.29212790,0.05296273,0.01686774,0.00019990,0.08373637,0.00885061,0.10033667,0.08621053,0.04739156
-5.51375688,0.31007994,0.04921916,0.01962324,0.00024448,0.08932190,0.01011732,0.10567726,0.09285282,0.04999976
-5.50775388,0.33960947,0.04714798,0.02323603,0.00030086,0.09814208,0.01175353,0.11501911,0.10305840,0.05449677
-5.50175088,0.38160437,0.04675353,0.02780319,0.00037081,0.11048296,0.01379089,0.12862791,0.11717210,0.06102203
-5.49574787,0.43706011,0.04805342,0.03343343,0.00045629,0.12665924,0.01626262,0.14680612,0.13557765,0.06973607
-5.48974487,0.50706085,0.05107837,0.04024550,0.00055945,0.14700886,0.01920241,0.16988682,0.15869172,0.08081742
-5.48374187,0.59275373,0.05587100,0.04836589,0.00068258,0.17188573,0.02264317,0.19822508,0.18695554,0.09445849
-5.47773887,0.69531600,0.06248376,0.05792601,0.00082808,0.20165044,0.02661557,0.23218694,0.22082407,0.11086053
-5.47173587,0.81591532,0.07097584,0.06905869,0.00099839,0.23665894,0.03114642,0.27213602,0.26075260,0.13022735
-5.46573287,0.95566375,0.08140920,0.08189417,0.00119591,0.27724942,0.03625696,0.31841814,0.30718087,0.15275825
-5.45972986,1.11556664,0.09384390,0.09655550,0.00142295,0.32372756,0.04196108,0.37134430,0.36051507,0.17863990
-5.45372686,1.29646759,0.10833269,0.11315359,0.00168162,0.37635062,0.04826364,0.43117243,0.42110804,0.20803765
-5.44772386,1.49899178,0.12491527,0.13178202,0.00197374,0.43531084,0.05515884,0.49808879,0.48923837,0.24108639
-5.44172086,1.72348948,0.14361223,0.15251169,0.00230072,0.50071883,0.06262885,0.57218960,0.56508917,0.27788127
-5.43571786,1.96998270,0.16441917,0.17538571,0.00266345,0.57258774,0.07064278,0.65346382,0.64872741,0.31846870
-5.42971486,2.23811744,0.18730106,0.20041455,0.00306223,0.65081888,0.07915596,0.74177800,0.74008485,0.36283810
-5.42371186,2.52712443,0.21218736,0.22757185,0.00349665,0.73518984,0.08810981,0.83686407,0.83894171,0.41091459
-5.41770885,2.83579100,0.23896800,0.25679107,0.00396553,0.82534568,0.09743218,0.93831090,0.94491411,0.46255339
-5.41170585,3.16244641,0.26749068,0.28796317,0.00446682,0.92079418,0.10703828,1.04556034,1.05744640,0.51753599
-5.40570285,3.50496257,0.29755961,0.32093558,0.00499761,1.02090551,0.11683220,1.15790841,1.17580913,0.57556865
-5.39969985,3.86077149,0.32893601,0.35551250,0.00555412,1.12491699,0.12670898,1.27451184,1.29910356,0.63628334
-5.39369685,4.22689976,0.36134027,0.39145678,0.00613167,1.23194307,0.13655724,1.39440008,1.42627296,0.69924143
-5.38769385,4.60002003,0.39445610,0.42849310,0.00672482,1.34099047,0.14626213,1.51649262,1.55612092,0.76393993
-5.38169085,4.97651794,0.42793635,0.46631276,0.00732740,1.45097825,0.15570866,1.63962107,1.68733626,0.82982049
-5.37568784,5.35257254,0.46141047,0.50457956,0.00793267,1.56076230,0.16478511,1.76255523,1.81852418,0.89628064
-5.36968484,5.72424716,0.49449330,0.54293681,0.00853343,1.66916328,0.17338649,1.88403198,1.94824235,0.96268709
-5.36368184,6.08758707,0.52679486,0.58101509,0.00912228,1.77499716,0.18141768,2.00278591,2.07504077,1.02839058
-5.35767884,6.43871978,0.55793070,0.61844037,0.00969171,1.87710697,0.18879639,2.11758020,2.19750378,1.09274168
-5.35167584,6.77395357,0.58753231,0.65484226,0.01023440,1.97439458,0.19545539,2.22723625,2.31429239,1.15510697
-5.34567284,7.08986980,0.61525719,0.68986194,0.01074335,2.06585105,0.20134422,2.33066079,2.42418499,1.21488490
-5.33966983,7.38340497,0.64079793,0.72315940,0.01121209,2.15058429,0.20643013,2.42686912,2.52611467,1.27152076
-5.33366683,7.65191876,0.66389003,0.75441984,0.01163488,2.22784277,0.21069812,2.51500345,2.61920124,1.32452002
-5.32766383,7.89324543,0.68431792,0.78335874,0.01200681,2.29703429,0.21415028,2.59434568,2.70277658,1.37345970
-5.32166083,8.10572668,0.70191903,0.80972572,0.01232393,2.35773914,0.21680422,2.66432414,2.77640206,1.41799719
-5.31565783,8.28822508,0.71658567,0.83330694,0.01258335,2.40971698,0.21869097,2.72451436,2.83987722,1.45787634
-5.30965483,8.44011870,0.72826474,0.85392607,0.01278320,2.45290754,0.21985219,2.77463422,2.89323952,1.49293058
-5.30365183,8.56127809,0.73695531,0.87144411,0.01292269,2.48742507,0.22033705,2.81453429,2.93675518,1.52308320
-5.29764882,8.65202829,0.74270435,0.88575809,0.01300202,2.51354731,0.22019896,2.84418431,2.97090186,1.54834480
-5.29164582,8.71309880,0.74560103,0.89679889,0.01302232,2.53169944,0.21949228,2.86365705,2.99634415,1.56880822
-5.28564282,8.74556547,0.74576981,0.90452871,0.01298551,2.54243418,0.21826924,2.87311111,3.01390326,1.58464134
-5.27963982,8.75078811,0.74336304,0.90893821,0.01289420,2.54640917,0.21657730,2.87277379,3.02452262,1.59607818
-5.27363682,8.73034784,0.73855344,0.91004377,0.01275154,2.54436257,0.21445705,2.86292551,3.02923115,1.60340874
-5.26763382,8.68598792,0.73152701,0.90788516,0.01256108,2.53708846,0.21194079,2.84388687,3.02910598,1.60696822
-5.26163082,8.61956090,0.72247677,0.90252368,0.01232663,2.52541281,0.20905187,2.81600905,3.02523649,1.60712587
-5.25562781,8.53298482,0.71159776,0.89404102,0.01205213,2.51017124,0.20580479,2.77966823,3.01869113,1.60427427
-5.24962481,8.42820963,0.69908348,0.88253879,0.01174156,2.49218924,0.20220601,2.73526404,3.01048849,1.59881906
-5.24362181,8.30719460,0.68512392,0.86813878,0.01139887,2.47226557,0.19825541,2.68322191,3.00157348,1.59116972
-5.23761881,8.17189630,0.66990525,0.85098364,0.01102790,2.45115909,0.19394829,2.62399859,2.99279938,1.58173156
-5.23161581,8.02426598,0.65361097,0.83123802,0.01063233,2.42957919,0.18927771,2.55809028,2.98491605,1.57089897
-5.22561281,7.86625465,0.63642422,0.80908972,0.01021574,2.40817979,0.18423703,2.48604193,2.97856418,1.55905017
-5.21960980,7.69982324,0.61853114,0.78475074,0.00978155,2.38755646,0.17882243,2.40845695,2.97427523,1.54654327
-5.21360680,7.52695545,0.60012464,0.75845782,0.00933306,2.36824639,0.17303530,2.32600571,2.97247636,1.53371374
-5.20760380,7.34967046,0.58140824,0.73047239,0.00887350,2.35073046,0.16688424,2.23943207,2.97349952,1.52087292
-5.20160080,7.17003281,0.56259965,0.70107951,0.00840601,2.33543683,0.16038665,2.14955666,2.97759355,1.50830766
-5.19559780,6.99015733,0.54393340,0.67058594,0.00793374,2.32274536,0.15356971,2.05727633,2.98493815,1.49628054
-5.18959480,6.81220703,0.52566252,0.63931693,0.00745980,2.31299201,0.14647077,1.96355923,2.99565860,1.48503068
-5.18359180,6.63838295,0.50805863,0.60761206,0.00698733,2.30647283,0.13913712,1.86943534,3.00983998,1.47477472
-5.17758879,6.47090493,0.49141062,0.57581997,0.00651944,2.30344662,0.13162512,1.77598254,3.02753983,1.46570773
-5.17158579,6.31198368,0.47602146,0.54429231,0.00605923,2.30413610,0.12399880,1.68430873,3.04879841,1.45800384
-5.16558279,6.16378433,0.46220357,0.51337700,0.00560977,2.30872701,0.11632807,1.59553055,3.07364553,1.45181632
-5.15957979,6.02838292,0.45027256,0.48341114,0.00517403,2.31736509,0.10868647,1.51074970,3.10210372,1.44727692
-5.15357679,5.90771736,0.44053980,0.45471391,0.00475483,2.33015089,0.10114887,1.43102786,3.13418721,1.44449439
-5.14757379,5.80353485,0.43330406,0.42757963,0.00435483,2.34713252,0.09378898,1.35736118,3.16989665,1.44355211
-5.14157079,5.71733825,0.42884259,0.40227139,0.00397644,2.36829675,0.08667697,1.29065573,3.20921002,1.44450476
-5.13556778,5.65033373,0.42740214,0.37901552,0.00362175,2.39355889,0.07987731,1.23170474,3.25206999,1.44737433
-5.12956478,5.60338250,0.42919035,0.35799708,0.00329254,2.42275214,0.07344679,1.18116881,3.29836864,1.45214550
-5.12356178,5.57695891,0.43436787,0.33935660,0.00299020,2.45561720,0.06743296,1.13955974,3.34793050,1.45876070
-5.11755878,5.57111750,0.44304182,0.32318823,0.00271570,2.49179291,0.06187301,1.10722892,3.40049522,1.46711536
-5.11155578,5.58547099,0.45526075,0.30953919,0.00246960,2.53080896,0.05679302,1.08436044,3.45570103,1.47705353
-5.10555278,5.61918095,0.47101160,0.29841083,0.00225202,2.57208144,0.05220770,1.07096943,3.51307054,1.48836455
-5.09954977,5.67096248,0.49021871,0.28976087,0.00206268,2.61491206,0.04812052,1.06690555,3.57200032,1.50078107
-5.09354677,5.73910360,0.51274511,0.28350701,0.00190090,2.65849180,0.04452429,1.07186154,3.63175532,1.51397892
-5.08754377,5.82149947,0.53839605,0.27953159,0.00176563,2.70190940,0.04140203,1.08538630,3.69146942,1.52757916
-5.08154077,5.91570088,0.56692465,0.27768706,0.00165554,2.74416493,0.03872811,1.10690223,3.75015279,1.54115262
-5.07553777,6.01897593,0.59803949,0.27780215,0.00156898,2.78418852,0.03646968,1.13572579,3.80670639,1.55422694
-5.06953477,6.12838278,0.63141374,0.27968840,0.00150412,2.82086380,0.03458811,1.17109066,3.85994372,1.56629627
-5.06353177,6.24085126,0.66669546,0.28314672,0.00145898,2.85305548,0.03304065,1.21217250,3.90861924,1.57683322
-5.05752876,6.35327009,0.70351855,0.28797390,0.00143146,2.87964011,0.03178196,1.25811410,3.95146247,1.58530291
-5.05152576,6.46257633,0.74151372,0.29396867,0.00141944,2.89953891,0.03076569,1.30805017,3.98721658,1.59117851
-5.04552276,6.56584346,0.78031901,0.30093708,0.00142080,2.91175124,0.02994591,1.36113049,4.01467947,1.59395756
-5.03951976,6.66036416,0.81958917,0.30869717,0.00143347,2.91538716,0.02927840,1.41654050,4.03274559,1.59317859
-5.03351676,6.74372423,0.85900349,0.31708258,0.00145551,2.90969780,0.02872177,1.47351857,4.04044626,1.58843689
-5.02751376,6.81386450,0.89827151,0.32594513,0.00148508,2.89410174,0.02823837,1.53136920,4.03698633,1.57939897
-5.02151076,6.86912777,0.93713642,0.33515635,0.00152052,2.86820640,0.02779501,1.58947162,4.02177525,1.56581481
-5.01550775,6.90828904,0.97537585,0.34460784,0.00156037,2.83182311,0.02736348,1.64728371,3.99445074,1.54752727
-5.00950475,6.93056778,1.01280016,0.35421065,0.00160332,2.78497525,0.02692078,1.70434114,3.95489376,1.52447824
-5.00350175,6.93562222,1.04924833,0.36389385,0.00164829,2.72789898,0.02644928,1.76025219,3.90323397,1.49671106
-4.99749875,6.92352654,1.08458179,0.37360224,0.00169440,2.66103644,0.02593656,1.81468876,3.83984523,1.46436937
-4.99149575,6.89473276,1.11867682,0.38329381,0.00174094,2.58502193,0.02537523,1.86737466,3.76533158,1.42769208
-4.98549275,6.85002018,1.15141600,0.39293680,0.00178739,2.50066154,0.02476251,1.91807194,3.68050437,1.38700520
-4.97948974,6.79043578,1.18267962,0.40250699,0.00183340,2.40890747,0.02409980,1.96656688,3.58635196,1.34271058
-4.97348674,6.71722949,1.21233771,0.41198529,0.00187880,2.31082812,0.02339214,2.01265676,3.48400365,1.29527246
-4.96748374,6.63178867,1.24024367,0.42135598,0.00192352,2.20757553,0.02264763,2.05613870,3.37468990,1.24520245
-4.96148074,6.53557570,1.26622989,0.43060586,0.00196767,2.10035152,0.02187692,2.09680195,3.25970106,1.19304367
-4.95547774,6.43007277,1.29010632,0.43972455,0.00201149,1.99037417,0.02109261,2.13442453,3.14034672,1.13935494
-4.94947474,6.31673695,1.31166215,0.44870588,0.00205534,1.87884601,0.02030883,2.16877501,3.01791778,1.08469565
-4.94347174,6.19696815,1.33067084,0.45755073,0.00209974,1.76692512,0.01954076,2.19961969,2.89365308,1.02961205
-4.93746873,6.07209126,1.34689849,0.46627097,0.00214537,1.65570018,0.01880441,2.22673543,2.76871208,0.97462543
-4.93146573,5.94335316,1.36011517,0.47489462,0.00219308,1.54617018,0.01811630,2.24992738,2.64415444,0.92022262
-4.92546273,5.81193367,1.37010872,0.48347181,0.00224394,1.43922934,0.01749334,2.26905094,2.52092722,0.86684898
-4.91945973,5.67896901,1.37670011,0.49208138,0.00229925,1.33565716,0.01695285,2.28403674,2.39985961,0.81490397
-4.91345673,5.54558484,1.37975953,0.50083760,0.00236057,1.23611377,0.01651250,2.29491684,2.28166484,0.76473918
-4.90745373,5.41293584,1.37922205,0.50989655,0.00242976,1.14113990,0.01619050,2.30185065,2.16694829,0.71665858
-4.90145073,5.28224768,1.37510179,0.51946183,0.00250897,1.05116113,0.01600564,2.30514839,2.05622081,0.67092067
-4.89544772,5.15485747,1.36750343,0.52978874,0.00260074,0.96649552,0.01597753,2.30529039,1.94991564,0.62774201
-4.88944472,5.03224857,1.35663020,0.54118682,0.00270791,0.88736394,0.01612665,2.30294026,1.84840754,0.58730182
-4.88344172,4.91607599,1.34278740,0.55401998,0.00283367,0.81390211,0.01647454,2.29895039,1.75203241,0.54974695
-4.87743872,4.80817934,1.32638109,0.56870396,0.00298154,0.74617359,0.01704377,2.29435878,1.66110597,0.51519698
-4.87143572,4.71058079,1.30791145,0.58570095,0.00315531,0.68418295,0.01785789,2.29037615,1.57594028,0.48374893
-4.86543272,4.62546681,1.28796103,0.60551097,0.00335901,0.62788840,0.01894128,2.28836330,1.49685678,0.45548120
-4.85942971,4.55515310,1.26717811,0.62866029,0.00359680,0.57721334,0.02031885,2.28979898,1.42419527,0.43045664
-4.85342671,4.50203354,1.24625594,0.65568687,0.00387290,0.53205642,0.02201564,2.29623907,1.35831823,0.40872452
-4.84742371,4.46851475,1.22590858,0.68712327,0.00419148,0.49229980,0.02405619,2.30926838,1.29961040,0.39032128
-4.84142071,4.45693900,1.20684473,0.72347738,0.00455651,0.45781557,0.02646389,2.33044709,1.24847372,0.37527026
-4.83541771,4.46949867,1.18974050,0.76521183,0.00497167,0.42847018,0.02926015,2.36125366,1.20531809,0.36358048
-4.82941471,4.50814650,1.17521278,0.81272264,0.00544015,0.40412710,0.03246345,2.40302690,1.17054861,0.35524449
-4.82341171,4.57450565,1.16379424,0.86631798,0.00596454,0.38464784,0.03608838,2.45690961,1.14455019,0.35023585
-4.81740870,4.66978423,1.15591146,0.92619807,0.00654671,0.36989153,0.04014453,2.52379625,1.12767031,0.34850620
-4.81140570,4.79469845,1.15186702,0.99243703,0.00718764,0.35971347,0.04463549,2.60428714,1.12020121,0.34998237
-4.80540270,4.94940831,1.15182665,1.06496751,0.00788736,0.35396290,0.04955776,2.69865125,1.12236218,0.35456373
-4.79939970,5.13346936,1.15581192,1.14356909,0.00864483,0.35248023,0.05489986,2.80679933,1.13428321,0.36212009
-4.79339670,5.34580298,1.16369875,1.22786088,0.00945792,0.35509418,0.06064147,2.92826872,1.15599059,0.37249026
-4.78739370,5.58468717,1.17522193,1.31729910,0.01032334,0.36161900,0.06675279,3.06222067,1.18739532,0.38548156
-4.78139070,5.84776868,1.18998512,1.41117982,0.01123672,0.37185202,0.07319406,3.20745039,1.22828485,0.40087027
-4.77538769,6.13209656,1.20747608,1.50864702,0.01219259,0.38557180,0.07991541,3.36240965,1.27831847,0.41840317
-4.76938469,6.43417607,1.22708608,1.60870605,0.01318453,0.40253693,0.08685693,3.52524110,1.33702666,0.43780019
-4.76338169,6.75004140,1.24813273,1.71024199,0.01420523,0.42248567,0.09394907,3.69382309,1.40381429,0.45875808
-4.75737869,7.07534445,1.26988512,1.81204258,0.01524669,0.44513650,0.10111340,3.86582336,1.47796772,0.48095496
-4.75137569,7.40545674,1.29159009,1.91282490,0.01630037,0.47018948,0.10826364,4.03875957,1.55866533,0.50405582
-4.74537269,7.73558077,1.31249853,2.01126513,0.01735742,0.49732853,0.11530711,4.21006456,1.64499111,0.52771851
-4.73936968,8.06086684,1.33189064,2.10603020,0.01840882,0.52622450,0.12214641,4.37715390,1.73595085,0.55160032
-4.73336668,8.37653143,1.34909914,2.19581046,0.01944567,0.55653886,0.12868142,4.53749349,1.83049015,0.57536468
-4.72736368,8.67797283,1.36352969,2.27935216,0.02045932,0.58792798,0.13481149,4.68866471,1.92751374,0.59868793
-4.72136068,8.96088043,1.37467771,2.35548862,0.02144162,0.62004771,0.14043789,4.82842516,2.02590522,0.62126583
-4.71535768,9.22133380,1.38214129,2.42316916,0.02238504,0.65255823,0.14546621,4.95476288,2.12454669,0.64281953
-4.70935468,9.45588855,1.38562972,2.48148469,0.02328284,0.68512873,0.14980892,5.06594240,2.22233737,0.66310096
-4.70335168,9.66164646,1.38496780,2.52968920,0.02412914,0.71744199,0.15338775,5.16054148,2.31821089,0.68189716
-4.69734867,9.83630768,1.38009572,2.56721645,0.02491898,0.74919844,0.15613598,5.23747731,2.41115053,0.69903371
-4.69134567,9.97820393,1.37106504,2.59369139,0.02564837,0.78011977,0.15800044,5.29602185,2.50020210,0.71437677
-4.68534267,10.08631216,1.35803097,2.60893602,0.02631422,0.80995175,0.15894315,5.33580613,2.58448427,0.72783399
-4.67933967,10.16024870,1.34124152,2.61296955,0.02691430,0.83846627,0.15894261,5.35681366,2.66319626,0.73935394
-4.67333667,10.20024500,1.32102403,2.60600310,0.02744712,0.86546270,0.15799456,5.35936374,2.73562296,0.74892435
-4.66733367,10.20710651,1.29776988,2.58842913,0.02791182,0.89076832,0.15611227,5.34408557,2.80113776,0.75656906
-4.66133067,10.18215681,1.27191784,2.56080620,0.02830802,0.91423818,0.15332627,5.31188440,2.85920338,0.76234392
-4.65532766,10.12716974,1.24393682,2.52383967,0.02863562,0.93575435,0.14968355,5.26390137,2.90937125,0.76633180
-4.64932466,10.04429245,1.21430878,2.47835903,0.02889472,0.95522475,0.14524627,5.20146857,2.95127990,0.76863688
-4.64332166,9.93596280,1.18351216,2.42529290,0.02908539,0.97258182,0.14009000,5.12606118,2.98465289,0.76937869
