energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-5.45972986,0.94249025,0.09222975,0.41700860,0.01190924,0.07790871,0.04890183,0.03880615,0.45085472
-5.45372686,0.94829034,0.10409030,0.41630032,0.01159028,0.07795128,0.05030116,0.03771823,0.45692437
-5.44772386,0.95672093,0.11903744,0.41583250,0.01125055,0.07807128,0.05196706,0.03648764,0.46498538
-5.44172086,0.96858782,0.13723728,0.41589466,0.01090012,0.07833974,0.05396901,0.03512834,0.47546905
-5.43571786,0.98480314,0.15887115,0.41682430,0.01055022,0.07883917,0.05637707,0.03365984,0.48885378
-5.42971486,1.00634653,0.18412669,0.41899115,0.01021286,0.07966091,0.05925933,0.03210616,0.50564498
-5.42371186,1.03422361,0.21318826,0.42278031,0.00990044,0.08090227,0.06267931,0.03049460,0.52635381
-5.41770885,1.06942347,0.24622677,0.42857508,0.00962539,0.08266340,0.06669323,0.02885457,0.55147524
-5.41170585,1.11287655,0.28338948,0.43673995,0.00939976,0.08504420,0.07134745,0.02721634,0.58146651
-5.40570285,1.16541453,0.32478992,0.44760457,0.00923493,0.08814118,0.07667607,0.02561003,0.61672659
-5.39969985,1.22773360,0.37049849,0.46144918,0.00914127,0.09204443,0.08269876,0.02406455,0.65757746
-5.39369685,1.30036238,0.42053384,0.47849208,0.00912794,0.09683473,0.08941897,0.02260672,0.70424783
-5.38769385,1.38363561,0.47485573,0.49887950,0.00920263,0.10258096,0.09682264,0.02126061,0.75686006
-5.38169085,1.47767449,0.53335929,0.52267840,0.00937141,0.10933773,0.10487738,0.02004692,0.81542045
-5.37568784,1.58237417,0.59587126,0.54987213,0.00963864,0.11714337,0.11353222,0.01898264,0.87981359
-5.36968484,1.69739874,0.66214824,0.58035931,0.01000686,0.12601824,0.12271797,0.01808080,0.94980062
-5.36368184,1.82218384,0.73187708,0.61395565,0.01047681,0.13596344,0.13234823,0.01735037,1.02502165
-5.35767884,1.95594640,0.80467747,0.65039879,0.01104741,0.14695988,0.14232092,0.01679634,1.10500211
-5.35167584,2.09770121,0.88010662,0.68935559,0.01171582,0.15896780,0.15252042,0.01641985,1.18916265
-5.34567284,2.24628328,0.95766596,0.73043183,0.01247752,0.17192663,0.16282021,0.01621846,1.27683232
-5.33966983,2.40037535,1.03680946,0.77318357,0.01332643,0.18575533,0.17308582,0.01618646,1.36726437
-5.33366683,2.55853913,1.11695347,0.81712983,0.01425503,0.20035312,0.18317821,0.01631524,1.45965398
-5.32766383,2.71924926,1.19748754,0.86176606,0.01525452,0.21560070,0.19295721,0.01659371,1.55315734
-5.32166083,2.88092878,1.27778591,0.90657780,0.01631501,0.23136181,0.20228511,0.01700868,1.64691132
-5.31565783,3.04198487,1.35721935,0.95105410,0.01742575,0.24748544,0.21103012,0.01754533,1.74005299
-5.30965483,3.20084378,1.43516684,0.99470015,0.01857529,0.26380829,0.21906972,0.01818760,1.83173834
-5.30365183,3.35598401,1.51102678,1.03704886,0.01975177,0.28015788,0.22629366,0.01891863,1.92115973
-5.29764882,3.50596694,1.58422751,1.07767101,0.02094315,0.29635597,0.23260659,0.01972109,2.00756144
-5.29164582,3.64946425,1.65423674,1.11618372,0.02213747,0.31222245,0.23793029,0.02057767,2.09025309
-5.28564282,3.78528161,1.72056991,1.15225721,0.02332313,0.32757958,0.24220536,0.02147134,2.16862059
-5.27963982,3.91237851,1.78279713,1.18561979,0.02448916,0.34225645,0.24539241,0.02238577,2.24213461
-5.27363682,4.02988395,1.84054880,1.21606102,0.02562549,0.35609367,0.24747275,0.02330566,2.31035644
-5.26763382,4.13710810,1.89351987,1.24343342,0.02672317,0.36894800,0.24844851,0.02421702,2.37294148
-5.26163082,4.23355001,1.94147268,1.26765256,0.02777466,0.38069699,0.24834242,0.02510754,2.42964036
-5.25562781,4.31890151,1.98423857,1.28869605,0.02877400,0.39124315,0.24719705,0.02596682,2.48029814
-5.24962481,4.39304771,2.02171828,1.30660149,0.02971699,0.40051782,0.24507377,0.02678664,2.52485173
-5.24362181,4.45606417,2.05388118,1.32146368,0.03060136,0.40848430,0.24205142,0.02756123,2.56332589
-5.23761881,4.50821122,2.08076360,1.33343124,0.03142681,0.41514013,0.23822467,0.02828740,2.59582814
-5.23161581,4.54992560,2.10246622,1.34270295,0.03219508,0.42051851,0.23370234,0.02896474,2.62254288
-5.22561281,4.58180972,2.11915063,1.34952383,0.03290991,0.42468850,0.22860543,0.02959566,2.64372498
-5.21960980,4.60461881,2.13103538,1.35418118,0.03357700,0.42775410,0.22306517,0.03018549,2.65969307
-5.21360680,4.61924611,2.13839122,1.35700060,0.03420387,0.42985212,0.21722095,0.03074236,2.67082276
-5.20760380,4.62670640,2.14153609,1.35834186,0.03479966,0.43114879,0.21121824,0.03127719,2.67753989
-5.20160080,4.62811782,2.14082949,1.35859487,0.03537495,0.43183524,0.20520636,0.03180342,2.68031381
-5.19559780,4.62468225,2.13666663,1.35817527,0.03594143,0.43212192,0.19933630,0.03233680,2.67965079
-5.18959480,4.61766422,2.12947219,1.35751980,0.03651163,0.43223215,0.19375845,0.03289498,2.67608736
-5.18359180,4.60836842,2.11969382,1.35708111,0.03709853,0.43239498,0.18862017,0.03349714,2.67018347
-5.17758879,4.59811568,2.10779532,1.35732180,0.03771523,0.43283755,0.18406342,0.03416344,2.66251532
-5.17158579,4.58821758,2.09424951,1.35870763,0.03837447,0.43377731,0.18022214,0.03491442,2.65366754
-5.16558279,4.57994962,2.07953083,1.36169955,0.03908827,0.43541423,0.17721968,0.03577038,2.64422448
-5.15957979,4.57452292,2.06410751,1.36674455,0.03986745,0.43792341,0.17516610,0.03675061,2.63476043
-5.15357679,4.57305483,2.04843346,1.37426521,0.04072122,0.44144823,0.17415545,0.03787268,2.62582857
-5.14757379,4.57653853,2.03293980,1.38464798,0.04165671,0.44609436,0.17426306,0.03915166,2.61794849
-5.14157079,4.58581225,2.01802624,1.39823043,0.04267858,0.45192486,0.17554298,0.04059931,2.61159251
-5.13556778,4.60152872,2.00405236,1.41528763,0.04378861,0.45895646,0.17802556,0.04222334,2.60717079
-5.12956478,4.62412594,1.99132901,1.43601817,0.04498535,0.46715734,0.18171532,0.04402671,2.60501577
-5.12356178,4.65380018,1.98011028,1.46053044,0.04626383,0.47644630,0.18658926,0.04600702,2.60536648
-5.11755878,4.69048285,1.97058626,1.48882973,0.04761536,0.48669362,0.19259564,0.04815599,2.60835343
-5.11155578,4.73382268,1.96287717,1.52080702,0.04902740,0.49772345,0.19965351,0.05045914,2.61398498
-5.10555278,4.78317465,1.95702925,1.55623043,0.05048353,0.50931776,0.20765291,0.05289558,2.62213626
-5.09954977,4.83759759,1.95301291,1.59473990,0.05196360,0.52122178,0.21645597,0.05543810,2.63254160
-5.09354677,4.89586145,1.95072361,1.63584622,0.05344401,0.53315079,0.22589898,0.05805341,2.64479149
-5.08754377,4.95646563,1.94998569,1.67893485,0.05489806,0.54479803,0.23579536,0.06070267,2.65833493
-5.08154077,5.01766892,1.95055949,1.72327519,0.05629653,0.55584358,0.24593965,0.06334224,2.67248780
-5.07553777,5.07753115,1.95215162,1.76803542,0.05760843,0.56596388,0.25611236,0.06592466,2.68644766
-5.06953477,5.13396614,1.95442825,1.81230301,0.05880175,0.57484160,0.26608566,0.06839990,2.69931494
-5.06353177,5.18480459,1.95703102,1.85511034,0.05984448,0.58217556,0.27562968,0.07071669,2.71012017
-5.05752876,5.22786509,1.95959481,1.89546496,0.06070557,0.58769028,0.28451927,0.07282411,2.71785639
-5.05152576,5.26103071,1.96176662,1.93238324,0.06135604,0.59114496,0.29254099,0.07467312,2.72151559
-5.04552276,5.28232805,1.96322450,1.96492619,0.06177001,0.59234137,0.29949996,0.07621823,2.72012776
