energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Li_s_up,Li_s_down,S_s_up,S_s_down,S_p_up,S_p_down
4.85342671,1.39908183,-0.75604689,0.04179382,-0.02765818,0.08044997,-0.04546881,0.35530129,-0.16038900,0.01997130,-0.04199210,1.17820235,-0.29199322,0.03524672,-0.01840889,0.22726205,-0.06899369
4.85942971,1.37350352,-0.76219465,0.04212128,-0.02695055,0.07933495,-0.04541980,0.35055898,-0.16281228,0.01972241,-0.04237489,1.16028440,-0.30416601,0.03379886,-0.01863669,0.22236834,-0.07108852
4.86543272,1.34665902,-0.76731269,0.04233057,-0.02614781,0.07806823,-0.04520472,0.34547999,-0.16517391,0.01944678,-0.04261125,1.14085833,-0.31764526,0.03242066,-0.01889261,0.21723002,-0.07322188
4.87143572,1.31819700,-0.77200114,0.04240082,-0.02527741,0.07664006,-0.04485362,0.33992774,-0.16760022,0.01913840,-0.04272202,1.11963500,-0.33275867,0.03110027,-0.01919761,0.21182160,-0.07545151
4.87743872,1.28777613,-0.77691547,0.04231342,-0.02436862,0.07504073,-0.04440158,0.33377423,-0.17022627,0.01879152,-0.04273277,1.09633869,-0.34983899,0.02982541,-0.01957341,0.20611576,-0.07784233
4.88344172,1.25508651,-0.78274640,0.04205279,-0.02345163,0.07326163,-0.04388787,0.32690622,-0.17319110,0.01840109,-0.04267319,1.07072431,-0.36921313,0.02858391,-0.02004180,0.20008640,-0.08046485
4.88944472,1.21986961,-0.79019771,0.04160714,-0.02255669,0.07129631,-0.04335480,0.31923064,-0.17663273,0.01796299,-0.04257613,1.04259356,-0.39119060,0.02736442,-0.02062395,0.19371146,-0.08339322
4.89544772,1.18193564,-0.79996284,0.04096895,-0.02171325,0.06914136,-0.04284657,0.31067918,-0.18068284,0.01747431,-0.04247668,1.01180892,-0.41605154,0.02615681,-0.02133967,0.18697567,-0.08670309
4.90145073,1.14117746,-0.81270086,0.04013542,-0.02094910,0.06679728,-0.04240789,0.30121167,-0.18546153,0.01693355,-0.04241096,0.97830484,-0.44403492,0.02495269,-0.02220676,0.17987279,-0.09046906
4.90745373,1.09758031,-0.82901282,0.03910860,-0.02028967,0.06426897,-0.04208266,0.29081827,-0.19107217,0.01634076,-0.04241501,0.94209539,-0.47532712,0.02374570,-0.02324036,0.17240734,-0.09476213
4.91345673,1.05122683,-0.84941913,0.03789540,-0.01975730,0.06156611,-0.04191254,0.27952024,-0.19759671,0.01569756,-0.04252349,0.90327804,-0.51005134,0.02253168,-0.02445233,0.16459573,-0.09964694
4.91945973,1.00229740,-0.87433877,0.03650737,-0.01937071,0.05870324,-0.04193558,0.26736938,-0.20509151,0.01500717,-0.04276852,0.86203339,-0.54825835,0.02130882,-0.02585074,0.15646663,-0.10517907
4.92546273,0.95106559,-0.90407106,0.03496034,-0.01914450,0.05569954,-0.04218492,0.25444613,-0.21358394,0.01427428,-0.04317848,0.81862089,-0.58991875,0.02007756,-0.02743945,0.14806072,-0.11140234
4.93146573,0.89788944,-0.93878061,0.03327380,-0.01908886,0.05257844,-0.04268757,0.24085653,-0.22306976,0.01350492,-0.04377697,0.77337097,-0.63491710,0.01884053,-0.02921778,0.13942976,-0.11834632
4.93746873,0.84319891,-0.97848601,0.03147029,-0.01920935,0.04936696,-0.04346342,0.22672823,-0.23351158,0.01270625,-0.04458185,0.72667394,-0.68304829,0.01760230,-0.03118031,0.13063501,-0.12602410
4.94347174,0.78748054,-1.02305263,0.02957455,-0.01950679,0.04609491,-0.04452432,0.21220571,-0.24483836,0.01188628,-0.04560445,0.67896652,-0.73401620,0.01636909,-0.03331674,0.12174531,-0.13443032
4.94947474,0.73126007,-1.07218987,0.02761276,-0.01997734,0.04279396,-0.04587348,0.19744512,-0.25694596,0.01105361,-0.04684905,0.63071661,-0.78743481,0.01514847,-0.03561197,0.11283466,-0.14353970
4.95547774,0.67508408,-1.12545307,0.02561162,-0.02061263,0.03949665,-0.04750510,0.18260889,-0.26969884,0.01021713,-0.04831246,0.58240728,-0.84283199,0.01394899,-0.03804623,0.10397973,-0.15330606
4.96148074,0.61950170,-1.18225008,0.02359762,-0.02140005,0.03623538,-0.04940419,0.16786046,-0.28293285,0.00938573,-0.04998392,0.53452078,-0.89965569,0.01277984,-0.04059533,0.09525722,-0.16366183
4.96748374,0.56504723,-1.24185242,0.02159617,-0.02232315,0.03304146,-0.05154682,0.15335936,-0.29645894,0.00856801,-0.05184524,0.48752331,-0.95728281,0.01165050,-0.04323104,0.08674140,-0.17451830
4.97348674,0.51222455,-1.30341083,0.01963102,-0.02336206,0.02994427,-0.05390050,0.13925684,-0.31006789,0.00777206,-0.05387110,0.44185131,-1.01503027,0.01057048,-0.04592160,0.07850178,-0.18576644
4.97948974,0.46149388,-1.36597486,0.01772368,-0.02449409,0.02697050,-0.05642500,0.12569233,-0.32353561,0.00700523,-0.05602970,0.39789981,-1.07216849,0.00954908,-0.04863231,0.07060116,-0.19727846
4.98549275,0.41326151,-1.42851612,0.01589296,-0.02569439,0.02414359,-0.05907331,0.11279064,-0.33662928,0.00627396,-0.05828360,0.35601322,-1.12793662,0.00859518,-0.05132615,0.06309401,-0.20891009
4.99149575,0.36787258,-1.48995446,0.01415472,-0.02693658,0.02148334,-0.06179296,0.10066020,-0.34911367,0.00558371,-0.06059068,0.31647880,-1.18155956,0.00771719,-0.05396459,0.05602538,-0.22050347
4.99749875,0.32560719,-1.54918663,0.01252170,-0.02819355,0.01900569,-0.06452749,0.08939214,-0.36075783,0.00493883,-0.06290543,0.27952291,-1.23226622,0.00692297,-0.05650836,0.04943015,-0.23189076
5.00350175,0.28667953,-1.60511641,0.01100352,-0.02943820,0.01672267,-0.06721816,0.07906035,-0.37134179,0.00434262,-0.06518025,0.24530988,-1.27930865,0.00621989,-0.05891832,0.04333286,-0.24289827
5.00950475,0.25123987,-1.65668561,0.00960675,-0.03064425,0.01464255,-0.06980574,0.06972226,-0.38066298,0.00379729,-0.06736693,0.21394342,-1.32198153,0.00561491,-0.06115635,0.03774787,-0.25335107
5.01550775,0.21937900,-1.70290485,0.00833513,-0.03178700,0.01277004,-0.07223238,0.06142036,-0.38854241,0.00330407,-0.06941816,0.18547006,-1.35964158,0.00511471,-0.06318621,0.03267991,-0.26307795
5.02151076,0.19113459,-1.74288324,0.00718986,-0.03284410,0.01110674,-0.07444353,0.05418416,-0.39483014,0.00286331,-0.07128905,0.15988438,-1.39172623,0.00472585,-0.06497445,0.02812493,-0.27191655
5.02751376,0.16649891,-1.77585601,0.00616994,-0.03379623,0.00965150,-0.07638973,0.04803262,-0.39941010,0.00247454,-0.07293863,0.13713552,-1.41777104,0.00445494,-0.06649124,0.02407122,-0.27971851
5.03351676,0.14542737,-1.80120907,0.00527256,-0.03462772,0.00840097,-0.07802832,0.04297659,-0.40220394,0.00213669,-0.07433123,0.11713446,-1.43742510,0.00430884,-0.06771113,0.02050059,-0.28635447
5.03951976,0.12784728,-1.81849967,0.00449352,-0.03532710,0.00735009,-0.07932495,0.03902141,-0.40317385,0.00184816,-0.07543771,0.09976179,-1.45046400,0.00429474,-0.06861380,0.01738970,-0.29171860
5.04552276,0.11366626,-1.82747220,0.00382760,-0.03588749,0.00649257,-0.08025477,0.03616920,-0.40232426,0.00160697,-0.07623650,0.08487532,-1.45679968,0.00442033,-0.06918460,0.01471138,-0.29573265
5.05152576,0.10277999,-1.82806856,0.00326902,-0.03630689,0.00582133,-0.08080338,0.03442090,-0.39970227,0.00141091,-0.07671440,0.07231747,-1.45648654,0.00469377,-0.06941502,0.01243587,-0.29834913
5.05752876,0.09507871,-1.82043238,0.00281171,-0.03658826,0.00532890,-0.08096731,0.03377788,-0.39539683,0.00125762,-0.07686712,0.06192182,-1.44972357,0.00512370,-0.06930305,0.01053198,-0.29955359
5.06353177,0.09045234,-1.80490680,0.00244973,-0.03673953,0.00500774,-0.08075425,0.03424295,-0.38953670,0.00114469,-0.07669945,0.05351894,-1.43685192,0.00571909,-0.06885322,0.00896808,-0.29936575
5.06953477,0.08879390,-1.78202566,0.00217744,-0.03677331,0.00485038,-0.08018269,0.03582079,-0.38228708,0.00106973,-0.07622514,0.04694111,-1.41834797,0.00648901,-0.06807663,0.00771297,-0.29783947
5.07553777,0.09000134,-1.75249806,0.00198979,-0.03670655,0.00484962,-0.07928129,0.03851779,-0.37384518,0.00103042,-0.07546646,0.04202599,-1.39481159,0.00744234,-0.06699071,0.00673652,-0.29506143
5.08154077,0.09397745,-1.71718683,0.00188244,-0.03655997,0.00499850,-0.07808781,0.04234112,-0.36443468,0.00102455,-0.07445342,0.03861913,-1.36695004,0.00858735,-0.06561873,0.00601013,-0.29114856
5.08754377,0.10062839,-1.67708127,0.00185186,-0.03635734,0.00529024,-0.07664764,0.04729736,-0.35429941,0.00104999,-0.07322263,0.03657557,-1.33555762,0.00993119,-0.06398928,0.00550710,-0.28624426
5.09354677,0.10986056,-1.63326519,0.00189536,-0.03612466,0.00571812,-0.07501208,0.05339039,-0.34369618,0.00110469,-0.07181602,0.03576032,-1.30149176,0.01147935,-0.06213539,0.00520270,-0.28051354
