energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-2.01400700,2.08947613,0.09243307,0.65168699,0.00050304,0.01894681,0.18848040,1.43775978,0.00543554,0.09024335
-2.00800400,2.08247349,0.09239915,0.63697051,0.00048021,0.01824698,0.19736459,1.43978721,0.00530848,0.09132757
-2.00200100,2.08311633,0.09252400,0.62225686,0.00046120,0.01772078,0.20652480,1.44924582,0.00520425,0.09278310
-1.99599800,2.09204209,0.09283436,0.60767749,0.00044631,0.01736218,0.21592155,1.46667319,0.00512858,0.09461904
-1.98999500,2.10984884,0.09335673,0.59338223,0.00043574,0.01716291,0.22551320,1.49255646,0.00508715,0.09684187
-1.98399200,2.13707829,0.09411636,0.57953642,0.00042963,0.01711287,0.23525519,1.52731770,0.00508534,0.09945522
-1.97798899,2.17419877,0.09513638,0.56631685,0.00042803,0.01720058,0.24509939,1.57130008,0.00512818,0.10245947
-1.97198599,2.22158874,0.09643699,0.55390655,0.00043094,0.01741363,0.25499362,1.62475545,0.00522006,0.10585159
-1.96598299,2.27952170,0.09803489,0.54248911,0.00043827,0.01773912,0.26488135,1.68783348,0.00536469,0.10962481
-1.95997999,2.34815288,0.09994291,0.53224261,0.00044989,0.01816403,0.27470161,1.76057283,0.00556490,0.11376849
-1.95397699,2.42750854,0.10216973,0.52333380,0.00046564,0.01867564,0.28438922,1.84289444,0.00582254,0.11826792
-1.94797399,2.51747810,0.10471995,0.51591270,0.00048527,0.01926187,0.29387522,1.93459722,0.00613838,0.12310428
-1.94197099,2.61780968,0.10759424,0.51010815,0.00050854,0.01991165,0.30308772,2.03535616,0.00651206,0.12825459
-1.93596798,2.72810910,0.11078972,0.50602438,0.00053516,0.02061518,0.31195291,2.14472295,0.00694204,0.13369182
-1.92996498,2.84784266,0.11430043,0.50373889,0.00056484,0.02136423,0.32039649,2.26212918,0.00742559,0.13938506
-1.92396198,2.97634346,0.11811792,0.50330166,0.00059727,0.02215234,0.32834525,2.38689200,0.00795882,0.14529977
-1.91795898,3.11282142,0.12223192,0.50473569,0.00063215,0.02297496,0.33572901,2.51822221,0.00853677,0.15139818
-1.91195598,3.25637636,0.12663099,0.50803875,0.00066919,0.02382964,0.34248265,2.65523469,0.00915347,0.15763978
-1.90595298,3.40601416,0.13130316,0.51318617,0.00070816,0.02471598,0.34854833,2.79696104,0.00980211,0.16398187
-1.89994997,3.56066527,0.13623651,0.52013436,0.00074883,0.02563569,0.35387770,2.94236413,0.01047515,0.17038026
-1.89394697,3.71920508,0.14141968,0.52882484,0.00079106,0.02659245,0.35843416,3.09035445,0.01116460,0.17679000
-1.88794397,3.88047553,0.14684219,0.53918843,0.00083476,0.02759176,0.36219489,3.23980780,0.01186214,0.18316614
-1.88194097,4.04330731,0.15249464,0.55114924,0.00087992,0.02864071,0.36515271,3.38958409,0.01255942,0.18946458
-1.87593797,4.20654169,0.15836882,0.56462820,0.00092665,0.02974766,0.36731757,3.53854660,0.01324823,0.19564286
-1.86993497,4.36905149,0.16445748,0.57954593,0.00097513,0.03092185,0.36871756,3.68558136,0.01392080,0.20166087
-1.86393197,4.52976022,0.17075413,0.59582454,0.00102565,0.03217299,0.36939942,3.82961596,0.01456997,0.20748159
-1.85792896,4.68765867,0.17725248,0.61338853,0.00107862,0.03351076,0.36942834,3.96963708,0.01518939,0.21307160
-1.85192596,4.84181837,0.18394588,0.63216444,0.00113454,0.03494431,0.36888712,4.10470636,0.01577373,0.21840153
-1.84592296,4.99140124,0.19082653,0.65207945,0.00119398,0.03648172,0.36787453,4.23397358,0.01631878,0.22344625
-1.83991996,5.13566497,0.19788460,0.67305895,0.00125761,0.03812944,0.36650290,4.35668695,0.01682154,0.22818499
-1.83391696,5.27396394,0.20510732,0.69502328,0.00132612,0.03989184,0.36489503,4.47219970,0.01728026,0.23260116
-1.82791396,5.40574549,0.21247797,0.71788382,0.00140024,0.04177062,0.36318026,4.57997285,0.01769443,0.23668200
-1.82191096,5.53054180,0.21997492,0.74153873,0.00148065,0.04376449,0.36149018,4.67957380,0.01806474,0.24041803
-1.81590795,5.64795761,0.22757069,0.76586867,0.00156798,0.04586872,0.35995365,4.77067081,0.01839289,0.24380239
-1.80990495,5.75765462,0.23523110,0.79073271,0.00166274,0.04807493,0.35869170,4.85302374,0.01868152,0.24683000
-1.80390195,5.85933324,0.24291462,0.81596492,0.00176527,0.05037088,0.35781230,4.92647127,0.01893396,0.24949662
-1.79789895,5.95271294,0.25057187,0.84137170,0.00187572,0.05274043,0.35740525,4.99091563,0.01915401,0.25179795
-1.79189595,6.03751242,0.25814540,0.86673031,0.00199399,0.05516360,0.35753754,5.04630548,0.01934569,0.25372870
-1.78589295,6.11343086,0.26556973,0.89178873,0.00211969,0.05761680,0.35824922,5.09261827,0.01951301,0.25528178
-1.77988994,6.18013190,0.27277177,0.91626694,0.00225209,0.06007310,0.35955024,5.12984308,0.01965968,0.25644764
-1.77388694,6.23723144,0.27967158,0.93985985,0.00239015,0.06250275,0.36141829,5.15796535,0.01978893,0.25721379
-1.76788394,6.28429076,0.28618348,0.96224169,0.00253250,0.06487373,0.36379788,5.17695451,0.01990329,0.25756463
-1.76188094,6.32081577,0.29221758,0.98307204,0.00267741,0.06715243,0.36660073,5.18675571,0.02000440,0.25748152
-1.75587794,6.34626317,0.29768169,1.00200312,0.00282288,0.06930449,0.36970769,5.18728643,0.02009295,0.25694317
-1.74987494,6.36005379,0.30248349,1.01868832,0.00296661,0.07129562,0.37297189,5.17843851,0.02016859,0.25592639
-1.74387194,6.36159307,0.30653306,1.03279161,0.00310613,0.07309254,0.37622336,5.16008578,0.02022995,0.25440705
-1.73786893,6.35029798,0.30974557,1.04399752,0.00323882,0.07466392,0.37927477,5.13209722,0.02027466,0.25236141
-1.73186593,6.32562930,0.31204411,1.05202139,0.00336201,0.07598131,0.38192811,5.09435493,0.02029952,0.24976755
-1.72586293,6.28712797,0.31336253,1.05661941,0.00347304,0.07702006,0.38398219,5.04677601,0.02030063,0.24660707
-1.71985993,6.23445344,0.31364820,1.05759812,0.00356941,0.07776015,0.38524044,4.98933711,0.02027362,0.24286674
-1.71385693,6.16742213,0.31286458,1.05482294,0.00364881,0.07818691,0.38551882,4.92210009,0.02021386,0.23854021
-1.70785393,6.08604357,0.31099334,1.04822538,0.00370924,0.07829163,0.38465343,4.84523706,0.02011678,0.23362955
-1.70185093,5.99055227,0.30803624,1.03780857,0.00374911,0.07807204,0.38250752,4.75905316,0.01997807,0.22814668
-1.69584792,5.88143294,0.30401627,1.02365084,0.00376724,0.07753257,0.37897755,4.66400532,0.01979401,0.22211442
-1.68984492,5.75943759,0.29897826,1.00590718,0.00376296,0.07668441,0.37399800,4.56071572,0.01956170,0.21556723
-1.68384192,5.62559290,0.29298883,0.98480834,0.00373615,0.07554550,0.36754482,4.44997861,0.01927927,0.20855161
-1.67783892,5.48119715,0.28613557,0.96065770,0.00368722,0.07414012,0.35963726,4.33275989,0.01894607,0.20112597
-1.67183592,5.32780642,0.27852558,0.93382576,0.00361712,0.07249852,0.35033808,4.21018909,0.01856281,0.19336013
-1.66583292,5.16721025,0.27028324,0.90474260,0.00352728,0.07065619,0.33975213,4.08354386,0.01813163,0.18533434
-1.65982991,5.00139784,0.26154749,0.87388837,0.00341964,0.06865308,0.32802339,3.95422762,0.01765614,0.17713794
-1.65382691,4.83251601,0.25246853,0.84178228,0.00329651,0.06653270,0.31533065,3.82374133,0.01714139,0.16886767
-1.64782391,4.66282083,0.24320412,0.80897029,0.00316051,0.06434106,0.30188197,3.69365078,0.01659375,0.16062565
-1.64182091,4.49462493,0.23391565,0.77601207,0.00301452,0.06212561,0.28790836,3.56555083,0.01602085,0.15251722
-1.63581791,4.33024285,0.22476406,0.74346757,0.00286157,0.05993413,0.27365671,3.44102834,0.01543133,0.14464858
-1.62981491,4.17193648,0.21590580,0.71188377,0.00270474,0.05781362,0.25938254,3.32162532,0.01483470,0.13712451
