energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
3.71285643,0.51771837,-0.51771836,0.32066746,-0.32066745,0.00000000,-0.00000000,0.20408807,-0.20408807,0.12197040,-0.12197040,0.00854885,-0.00854884,0.12495899,-0.12495899
3.71885943,0.51165890,-0.51165889,0.31527875,-0.31527874,0.00000000,-0.00000000,0.20418780,-0.20418780,0.11997922,-0.11997922,0.00798010,-0.00798010,0.12292226,-0.12292226
3.72486243,0.50874850,-0.50874850,0.30991758,-0.30991758,0.00000000,-0.00000000,0.20676444,-0.20676444,0.11888802,-0.11888802,0.00745771,-0.00745771,0.12257367,-0.12257367
3.73086543,0.50955886,-0.50955886,0.30481763,-0.30481763,0.00000000,-0.00000000,0.21213527,-0.21213528,0.11883219,-0.11883219,0.00698894,-0.00698894,0.12409443,-0.12409444
3.73686843,0.51465300,-0.51465301,0.30022683,-0.30022683,0.00000000,-0.00000000,0.22060488,-0.22060488,0.11994148,-0.11994149,0.00658033,-0.00658033,0.12765003,-0.12765003
3.74287144,0.52457050,-0.52457051,0.29640093,-0.29640093,0.00000000,-0.00000000,0.23245708,-0.23245709,0.12233656,-0.12233656,0.00623772,-0.00623772,0.13338590,-0.13338590
3.74887444,0.53981157,-0.53981159,0.29359649,-0.29359649,0.00000000,-0.00000000,0.24794612,-0.24794613,0.12612530,-0.12612530,0.00596621,-0.00596621,0.14142303,-0.14142303
3.75487744,0.56082018,-0.56082020,0.29206343,-0.29206343,0.00000000,-0.00000000,0.26728714,-0.26728715,0.13139901,-0.13139902,0.00577012,-0.00577012,0.15185339,-0.15185339
3.76088044,0.58796664,-0.58796666,0.29203761,-0.29203761,0.00000000,-0.00000000,0.29064628,-0.29064630,0.13822853,-0.13822854,0.00565299,-0.00565299,0.16473529,-0.16473530
3.76688344,0.62153028,-0.62153031,0.29373349,-0.29373350,0.00000000,-0.00000000,0.31813045,-0.31813047,0.14666045,-0.14666046,0.00561760,-0.00561760,0.18008880,-0.18008881
3.77288644,0.66168280,-0.66168283,0.29733741,-0.29733742,0.00000000,-0.00000000,0.34977733,-0.34977736,0.15671349,-0.15671349,0.00566589,-0.00566589,0.19789136,-0.19789137
