energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-5.81390695,3.16277180,0.67937410,1.71810083,0.00836591,0.23132754,0.15667956,0.01370263,1.41223398
-5.80790395,3.13112421,0.66838999,1.69716002,0.00839473,0.23085066,0.15041302,0.01437594,1.39987274
-5.80190095,3.10756571,0.65858407,1.67975946,0.00856441,0.23160633,0.14433617,0.01520630,1.39083051
-5.79589795,3.09373939,0.65021078,1.66686784,0.00887856,0.23372333,0.13850678,0.01620409,1.38577288
-5.78989495,3.09105439,0.64348258,1.65933996,0.00933929,0.23729841,0.13298266,0.01737710,1.38526684
-5.78389195,3.10063903,0.63856336,1.65789102,0.00994699,0.24239155,0.12781848,0.01872995,1.38976322
-5.77788894,3.12329961,0.63556297,1.66307367,0.01070007,0.24902185,0.12306274,0.02026369,1.39958146
-5.77188594,3.15948599,0.63453313,1.67525855,0.01159474,0.25716461,0.11875510,0.02197530,1.41489706
-5.76588294,3.20926526,0.63546470,1.69461866,0.01262482,0.26674936,0.11492407,0.02385737,1.43573200
-5.75987994,3.27230435,0.63828659,1.72111828,0.01378158,0.27765932,0.11158531,0.02589782,1.46194846
-5.75387694,3.34786269,0.64286622,1.75450682,0.01505361,0.28973226,0.10874045,0.02807979,1.49324619
-5.74787394,3.43479558,0.64901165,1.79431800,0.01642680,0.30276286,0.10637659,0.03038162,1.52916366
-5.74187094,3.53156876,0.65647540,1.83987467,0.01788441,0.31650651,0.10446649,0.03277702,1.56908340
-5.73586793,3.63628455,0.66495991,1.89029949,0.01940716,0.33068472,0.10296929,0.03523538,1.61224142
-5.72986493,3.74671942,0.67412461,1.94453149,0.02097352,0.34499181,0.10183196,0.03772226,1.65774114
-5.72386193,3.86037256,0.68359439,2.00134835,0.02255999,0.35910278,0.10099118,0.04020002,1.70457142
-5.71785893,3.97452456,0.69296943,2.05939418,0.02414160,0.37268219,0.10037564,0.04262866,1.75162868
-5.71185593,4.08630491,0.70183606,2.11721207,0.02569238,0.38539370,0.09990875,0.04496672,1.79774279
-5.70585293,4.19276661,0.70977832,2.17328089,0.02718602,0.39690995,0.09951146,0.04717232,1.84170600
-5.69984992,4.29096571,0.71639006,2.22605516,0.02859652,0.40692237,0.09910519,0.04920427,1.88230434
-5.69384692,4.37804339,0.72128697,2.27400689,0.02989894,0.41515066,0.09861470,0.05102322,1.91835056
-5.68784392,4.45130772,0.72411835,2.31566820,0.03107009,0.42135144,0.09797079,0.05259280,1.94871755
-5.68184092,4.50831237,0.72457796,2.34967305,0.03208929,0.42532577,0.09711269,0.05388063,1.97237113
-5.67583792,4.54692936,0.72241385,2.37479687,0.03293905,0.42692531,0.09599011,0.05485938,1.98840097
-5.66983492,4.56541297,0.71743646,2.38999237,0.03360567,0.42605671,0.09456480,0.05550754,1.99604854
-5.66383192,4.56245246,0.70952490,2.39442046,0.03407978,0.42268421,0.09281161,0.05581011,1.99473086
-5.65782891,4.53721142,0.69863106,2.38747482,0.03435669,0.41683028,0.09071906,0.05575903,1.98405911
-5.65182591,4.48935218,0.68478134,2.36879927,0.03443668,0.40857431,0.08828932,0.05535344,1.96385129
-5.64582291,4.41904420,0.66807597,2.33829727,0.03432506,0.39804940,0.08553773,0.05459966,1.93413829
-5.63981991,4.32695626,0.64868589,2.29613311,0.03403210,0.38543747,0.08249177,0.05351095,1.89516314
-5.63381691,4.21423260,0.62684736,2.24272481,0.03357276,0.37096285,0.07918972,0.05210705,1.84737334
-5.62781391,4.08245426,0.60285440,2.17872900,0.03296630,0.35488469,0.07567890,0.05041354,1.79140667
-5.62181091,3.93358695,0.57704953,2.10501854,0.03223568,0.33748848,0.07201369,0.04846101,1.72807083
-5.61580790,3.76991792,0.54981301,2.02265371,0.03140689,0.31907705,0.06825338,0.04628409,1.65831803
-5.60980490,3.59398414,0.52155105,1.93284826,0.03050811,0.29996145,0.06445994,0.04392037,1.58321527
-5.60380190,3.40849490,0.49268350,1.83693171,0.02956882,0.28045198,0.06069580,0.04140935,1.50391172
-5.59779890,3.21625164,0.46363140,1.73630932,0.02861884,0.26084970,0.05702171,0.03879127,1.42160433
-5.59179590,3.02006813,0.43480490,1.63242147,0.02768738,0.24143881,0.05349479,0.03610607,1.33750318
-5.58579290,2.82269391,0.40659186,1.52670376,0.02680211,0.22247996,0.05016676,0.03339238,1.25279766
-5.57978989,2.62674349,0.37934770,1.42054934,0.02598820,0.20420480,0.04708249,0.03068662,1.16862483
-5.57378689,2.43463362,0.35338661,1.31527478,0.02526759,0.18681179,0.04427876,0.02802224,1.08604096
-5.56778389,2.24853044,0.32897444,1.21209036,0.02465822,0.17046335,0.04178347,0.02542913,1.00599717
-5.56178089,2.07030778,0.30632348,1.11207573,0.02417351,0.15528439,0.03961505,0.02293315,0.92931978
-5.55577789,1.90151737,0.28558920,1.01616133,0.02382191,0.14136205,0.03778229,0.02055586,0.85669582
-5.54977489,1.74337130,0.26686890,0.92511595,0.02360673,0.12874662,0.03628441,0.01831439,0.78866402
-5.54377189,1.59673632,0.25020227,0.83954027,0.02352601,0.11745356,0.03511149,0.01622149,0.72561107
-5.53776888,1.46213961,0.23557379,0.75986621,0.02357268,0.10746633,0.03424515,0.01428566,0.66777302
-5.53176588,1.33978463,0.22291673,0.68636166,0.02373486,0.09873993,0.03365939,0.01251143,0.61524155
-5.52576288,1.22957593,0.21211848,0.61913984,0.02399634,0.09120499,0.03332174,0.01089974,0.56797419
-5.51975988,1.13115132,0.20302709,0.55817268,0.02433716,0.08477217,0.03319446,0.00944837,0.52580826
-5.51375688,1.04391958,0.19545871,0.50330720,0.02473440,0.07933676,0.03323594,0.00815237,0.48847741
-5.50775388,0.96710202,0.18920549,0.45428415,0.02516298,0.07478324,0.03340206,0.00700460,0.45563011
-5.50175088,0.89977610,0.18404383,0.41075802,0.02559658,0.07098975,0.03364769,0.00599619,0.42684938
-5.49574787,0.84091944,0.17974265,0.37231742,0.02600861,0.06783231,0.03392805,0.00511703,0.40167272
-5.48974487,0.78945261,0.17607125,0.33850529,0.02637310,0.06518860,0.03420008,0.00435620,0.37961176
-5.48374187,0.74427937,0.17280675,0.30883806,0.02666561,0.06294140,0.03442370,0.00370239,0.36017079
-5.47773887,0.70432323,0.16974071,0.28282333,0.02686408,0.06098144,0.03456285,0.00314421,0.34286373
-5.47173587,0.66855926,0.16668476,0.25997553,0.02694951,0.05920973,0.03458647,0.00267052,0.32722896
-5.46573287,0.63604064,0.16347526,0.23982926,0.02690658,0.05753939,0.03446914,0.00227065,0.31284177
-5.45972986,0.60591950,0.15997659,0.22195020,0.02672407,0.05589677,0.03419168,0.00193459,0.29932414
-5.45372686,0.57746178,0.15608345,0.20594334,0.02639511,0.05422218,0.03374134,0.00165311,0.28635175
-5.44772386,0.55005635,0.15172167,0.19145870,0.02591733,0.05246995,0.03311190,0.00141783,0.27365832
-5.44172086,0.52321852,0.14684810,0.17819467,0.02529276,0.05060818,0.03230346,0.00122130,0.26103723
-5.43571786,0.49658856,0.14144921,0.16589907,0.02452759,0.04861790,0.03132215,0.00105697,0.24834081
-5.42971486,0.46992579,0.13553891,0.15436826,0.02363185,0.04649204,0.03017952,0.00091918,0.23547749
-5.42371186,0.44309896,0.12915549,0.14344465,0.02261888,0.04423401,0.02889189,0.00080311,0.22240716
-5.41770885,0.41607383,0.12235801,0.13301290,0.02150477,0.04185619,0.02747960,0.00070471,0.20913519
-5.41170585,0.38889872,0.11522235,0.12299513,0.02030770,0.03937818,0.02596611,0.00062065,0.19570544
-5.40570285,0.36168896,0.10783693,0.11334557,0.01904730,0.03682515,0.02437719,0.00054819,0.18219278
-5.39969985,0.33461097,0.10029864,0.10404486,0.01774393,0.03422607,0.02274003,0.00048517,0.16869539
-5.39369685,0.30786673,0.09270881,0.09509444,0.01641808,0.03161218,0.02108250,0.00042987,0.15532729
-5.38769385,0.28167933,0.08516957,0.08651106,0.01508975,0.02901550,0.01943240,0.00038096,0.14221135
-5.38169085,0.25628001,0.07778073,0.07832188,0.01377796,0.02646757,0.01781690,0.00033742,0.12947310
-5.37568784,0.23189709,0.07063714,0.07055999,0.01250033,0.02399839,0.01626208,0.00029850,0.11723543
-5.36968484,0.20874712,0.06382676,0.06326080,0.01127273,0.02163563,0.01479259,0.00026361,0.10561438
-5.36368184,0.18702817,0.05742927,0.05645905,0.01010912,0.01940402,0.01343150,0.00023236,0.09471603
-5.35767884,0.16691539,0.05151539,0.05018662,0.00902138,0.01732503,0.01220025,0.00020444,0.08463446
-5.35167584,0.14855864,0.04614666,0.04447105,0.00801934,0.01541669,0.01111869,0.00017963,0.07545074
-5.34567284,0.13208194,0.04137582,0.03933468,0.00711087,0.01369366,0.01020530,0.00015777,0.06723281
-5.33966983,0.11758438,0.03724745,0.03479436,0.00630194,0.01216743,0.00947738,0.00013874,0.06003611
-5.33366683,0.10514231,0.03379900,0.03086162,0.00559689,0.01084661,0.00895130,0.00012245,0.05390472
-5.32766383,0.09481217,0.03106188,0.02754312,0.00499862,0.00973728,0.00864284,0.00010881,0.04887292
-5.32166083,0.08663379,0.02906259,0.02484136,0.00450883,0.00884348,0.00856730,0.00009776,0.04496685
-5.31565783,0.08063365,0.02782383,0.02275541,0.00412827,0.00816754,0.00873978,0.00008924,0.04220613
-5.30965483,0.07682787,0.02736529,0.02128171,0.00385692,0.00771047,0.00917513,0.00008319,0.04060537
-5.30365183,0.07522447,0.02770425,0.02041467,0.00369421,0.00747231,0.00988797,0.00007957,0.04017516
-5.29764882,0.07582491,0.02885573,0.02014715,0.00363911,0.00745228,0.01089242,0.00007833,0.04092277
-5.29164582,0.07862457,0.03083238,0.02047069,0.00369027,0.00764894,0.01220174,0.00007941,0.04285216
-5.28564282,0.08361217,0.03364376,0.02137547,0.00384598,0.00806014,0.01382784,0.00008278,0.04596352
-5.27963982,0.09076819,0.03729541,0.02285005,0.00410420,0.00868299,0.01578061,0.00008838,0.05025218
-5.27363682,0.10006219,0.04178743,0.02488077,0.00446243,0.00951360,0.01806710,0.00009616,0.05570702
-5.26763382,0.11144950,0.04711281,0.02745103,0.00491764,0.01054679,0.02069065,0.00010607,0.06230846
-5.26163082,0.12486717,0.05325559,0.03054038,0.00546606,0.01177578,0.02364998,0.00011802,0.07002613
-5.25562781,0.14022974,0.06018894,0.03412344,0.00610303,0.01319177,0.02693820,0.00013193,0.07881647
-5.24962481,0.15742496,0.06787327,0.03816898,0.00682284,0.01478358,0.03054199,0.00014771,0.08862024
-5.24362181,0.17630998,0.07625460,0.04263890,0.00761851,0.01653727,0.03444074,0.00016524,0.09936040
-5.23761881,0.19670820,0.08526327,0.04748747,0.00848166,0.01843590,0.03860601,0.00018438,0.11094037
-5.23161581,0.21840733,0.09481313,0.05266087,0.00940246,0.02045932,0.04300117,0.00020498,0.12324292
-5.22561281,0.24115878,0.10480142,0.05809695,0.01036950,0.02258416,0.04758128,0.00022688,0.13612986
-5.21960980,0.26467879,0.11510938,0.06372548,0.01136986,0.02478391,0.05229337,0.00024991,0.14944275
-5.21360680,0.28865141,0.12560364,0.06946882,0.01238922,0.02702925,0.05707708,0.00027389,0.16300456
-5.20760380,0.31273347,0.13613858,0.07524308,0.01341199,0.02928853,0.06186561,0.00029868,0.17662259
-5.20160080,0.33656156,0.14655943,0.08095978,0.01442161,0.03152844,0.06658714,0.00032417,0.19009235
-5.19559780,0.35976088,0.15670634,0.08652789,0.01540086,0.03371491,0.07116650,0.00035027,0.20320263
-5.18959480,0.38195573,0.16641902,0.09185642,0.01633226,0.03581408,0.07552722,0.00037701,0.21574146
-5.18359180,0.40278145,0.17554212,0.09685721,0.01719854,0.03779354,0.07959377,0.00040449,0.22750278
-5.17758879,0.42189721,0.18393088,0.10144805,0.01798310,0.03962353,0.08329397,0.00043296,0.23829373
-5.17158579,0.43899938,0.19145714,0.10555592,0.01867051,0.04127828,0.08656142,0.00046282,0.24794216
-5.16558279,0.45383478,0.19801515,0.10912021,0.01924704,0.04273733,0.08933799,0.00049467,0.25630404
-5.15957979,0.46621333,0.20352725,0.11209585,0.01970107,0.04398676,0.09157602,0.00052934,0.26327061
-5.15357679,0.47601960,0.20794893,0.11445618,0.02002354,0.04502037,0.09324032,0.00056792,0.26877481
-5.14757379,0.48322260,0.21127314,0.11619544,0.02020825,0.04584063,0.09430987,0.00061180,0.27279669
-5.14157079,0.48788348,0.21353371,0.11733083,0.02025217,0.04645948,0.09477895,0.00066267,0.27536768
-5.13556778,0.49016067,0.21480754,0.11790396,0.02015553,0.04689884,0.09465788,0.00072257,0.27657336
-5.12956478,0.49031225,0.21521552,0.11798173,0.01992187,0.04719082,0.09397314,0.00079390,0.27655459
-5.12356178,0.48869528,0.21492217,0.11765650,0.01955802,0.04737768,0.09276696,0.00087938,0.27550696
-5.11755878,0.48576212,0.21413378,0.11704566,0.01907385,0.04751140,0.09109629,0.00098210,0.27367845
-5.11155578,0.48205379,0.21309522,0.11629052,0.01848205,0.04765294,0.08903132,0.00110546,0.27136544
-5.10555278,0.47819045,0.21208545,0.11555457,0.01779775,0.04787121,0.08665344,0.00125314,0.26890700
-5.09954977,0.47485938,0.21141177,0.11502126,0.01703806,0.04824174,0.08405285,0.00142903,0.26667775
-5.09354677,0.47280077,0.21140310,0.11489126,0.01622161,0.04884503,0.08132584,0.00163720,0.26507947
-5.08754377,0.47279163,0.21240232,0.11537937,0.01536804,0.04976474,0.07857183,0.00188177,0.26453160
-5.08154077,0.47562846,0.21475802,0.11671108,0.01449745,0.05108568,0.07589036,0.00216680,0.26546103
-5.07553777,0.48210900,0.21881576,0.11911898,0.01362986,0.05289162,0.07337804,0.00249620,0.26829134
-5.06953477,0.49301361,0.22490922,0.12283902,0.01278473,0.05526312,0.07112559,0.00287357,0.27343192
-5.06353177,0.50908677,0.23335137,0.12810665,0.01198053,0.05827524,0.06921518,0.00330204,0.28126707
-5.05752876,0.53101918,0.24442594,0.13515305,0.01123424,0.06199542,0.06771796,0.00378418,0.29214565
-5.05152576,0.55943079,0.25837951,0.14420127,0.01056107,0.06648138,0.06669205,0.00432177,0.30637123
-5.04552276,0.59485529,0.27541424,0.15546255,0.00997413,0.07177928,0.06618090,0.00491574,0.32419328
-5.03951976,0.63772633,0.29568172,0.16913261,0.00948420,0.07792207,0.06621220,0.00556597,0.34579949
-5.03351676,0.68836574,0.31927786,0.18538805,0.00909958,0.08492813,0.06679725,0.00627123,0.37130949
-5.02751376,0.74697404,0.34623911,0.20438277,0.00882596,0.09280033,0.06793091,0.00702910,0.40077003
-5.02151076,0.81362338,0.37654008,0.22624448,0.00866638,0.10152538,0.06959204,0.00783590,0.43415199
-5.01550775,0.88825300,0.41009265,0.25107118,0.00862124,0.11107364,0.07174443,0.00868670,0.47134904
-5.00950475,0.97066726,0.44674644,0.27892770,0.00868836,0.12139931,0.07433830,0.00957535,0.51217815
-5.00350175,1.06053615,0.48629090,0.30984225,0.00886308,0.13244109,0.07731208,0.01049456,0.55638195
-4.99749875,1.15739825,0.52845851,0.34380298,0.00913841,0.14412309,0.08059467,0.01143603,0.60363275
-4.99149575,1.26066590,0.57292938,0.38075471,0.00950522,0.15635622,0.08410789,0.01239060,0.65353813
-4.98549275,1.36963233,0.61933675,0.42059574,0.00995249,0.16903981,0.08776919,0.01334846,0.70564804
-4.97948974,1.48348065,0.66727328,0.46317498,0.01046756,0.18206339,0.09149440,0.01429935,0.75946297
-4.97348674,1.60129419,0.71629798,0.50828947,0.01103644,0.19530873,0.09520050,0.01523283,0.81444306
-4.96748374,1.72206813,0.76594334,0.55568248,0.01164419,0.20865183,0.09880828,0.01613851,0.87001782
-4.96148074,1.84472200,0.81572259,0.60504240,0.01227524,0.22196496,0.10224480,0.01700633,0.92559618
-4.95547774,1.96811293,0.86513680,0.65600255,0.01291380,0.23511864,0.10544549,0.01782676,0.98057654
-4.94947474,2.09104952,0.91368166,0.70814230,0.01354427,0.24798339,0.10835599,0.01859105,1.03435653
-4.94347174,2.21230612,0.96085388,0.76098949,0.01415164,0.26043143,0.11093342,0.01929141,1.08634243
-4.93746873,2.33063753,1.00615700,0.81402458,0.01472190,0.27233808,0.11314723,0.01992113,1.13595778
-4.93146573,2.44479426,1.04910683,0.86668643,0.01524238,0.28358302,0.11497956,0.02047471,1.18265138
-4.92546273,2.55353820,1.08923643,0.91838005,0.01570210,0.29405138,0.11642505,0.02094794,1.22590444
-4.91945973,2.65565891,1.12610076,0.96848605,0.01609209,0.30363468,0.11749018,0.02133787,1.26523688
-4.91345673,2.74999056,1.15928115,1.01637201,0.01640558,0.31223168,0.11819219,0.02164283,1.30021294
-4.90745373,2.83542945,1.18838984,1.06140523,0.01663814,0.31974922,0.11855767,0.02186235,1.33044612
-4.90145073,2.91095206,1.21307444,1.10296688,0.01678778,0.32610308,0.11862079,0.02199710,1.35560351
-4.89544772,2.97563353,1.23302276,1.14046690,0.01685493,0.33121889,0.11842139,0.02204875,1.37540965
-4.88944472,3.02866598,1.24796782,1.17335928,0.01684231,0.33503316,0.11800302,0.02201988,1.38965001
-4.88344172,3.06937656,1.25769301,1.20115715,0.01675479,0.33749441,0.11741093,0.02191384,1.39817404
-4.87743872,3.09724442,1.26203744,1.22344695,0.01659910,0.33856442,0.11669018,0.02173464,1.40089782
-4.87143572,3.11191601,1.26090121,1.23990123,0.01638351,0.33821954,0.11588398,0.02148684,1.39780633
-4.86543272,3.11321802,1.25425029,1.25028933,0.01611748,0.33645196,0.11503224,0.02117545,1.38895505
-4.85942971,3.10116726,1.24212082,1.25448560,0.01581125,0.33327095,0.11417050,0.02080582,1.37447094
-4.85342671,3.07597676,1.22462250,1.25247448,0.01547544,0.32870396,0.11332911,0.02038362,1.35455243
-4.84742371,3.03805760,1.20194057,1.24435249,0.01512062,0.32279738,0.11253286,0.01991473,1.32946849
-4.84142071,2.98801607,1.17433637,1.23032665,0.01475699,0.31561698,0.11180089,0.01940525,1.29955637
-4.83541771,2.92664593,1.14214591,1.21070972,0.01439401,0.30724796,0.11114700,0.01886145,1.26521813
-4.82941471,2.85491592,1.10577659,1.18591219,0.01404016,0.29779440,0.11058019,0.01828974,1.22691567
-4.82341171,2.77395271,1.06570178,1.15643150,0.01370270,0.28737824,0.11010545,0.01769667,1.18516454
-4.81740870,2.68501989,1.02245348,1.12283910,0.01338761,0.27613768,0.10972474,0.01708890,1.14052631
-4.81140570,2.58949368,0.97661309,1.08576577,0.01309949,0.26422511,0.10943804,0.01647318,1.09359997
-4.80540270,2.48883626,0.92880068,1.04588592,0.01284163,0.25180442,0.10924450,0.01585631,1.04501235
-4.79939970,2.38456774,0.87966308,1.00390167,0.01261609,0.23904813,0.10914343,0.01524515,0.99540793
-4.79339670,2.27823771,0.82986122,0.96052722,0.01242387,0.22613406,0.10913532,0.01464654,0.94543841
-4.78739370,2.17139743,0.78005718,0.91647416,0.01226510,0.21324190,0.10922258,0.01406726,0.89575231
-4.78139070,2.06557347,0.73090145,0.87243822,0.01213928,0.20054979,0.10941011,0.01351398,0.84698492
-4.77538769,1.96224365,0.68302096,0.82908779,0.01204551,0.18823088,0.10970560,0.01299319,0.79974891
-4.76938469,1.86281572,0.63700803,0.78705448,0.01198271,0.17645020,0.11011954,0.01251115,0.75462590
-4.76338169,1.76860923,0.59341094,0.74692577,0.01194984,0.16536177,0.11066491,0.01207378,0.71215905
-4.75737869,1.68084061,0.55272605,0.70923970,0.01194604,0.15510619,0.11135656,0.01168663,0.67284697
-4.75137569,1.60061163,0.51539186,0.67448144,0.01197076,0.14580856,0.11221038,0.01135475,0.63713873
-4.74537269,1.52890077,0.48178490,0.64308149,0.01202382,0.13757703,0.11324217,0.01108264,0.60543030
-4.73936968,1.46655731,0.45221757,0.61541516,0.01210534,0.13050173,0.11446634,0.01087415,0.57806199
-4.73336668,1.41429779,0.42693762,0.59180302,0.01221577,0.12465431,0.11589457,0.01073244,0.55531703
-4.72736368,1.37270410,0.40612927,0.57251187,0.01235566,0.12008781,0.11753428,0.01065986,0.53742101
-4.72136068,1.34222312,0.38991556,0.55775609,0.01252556,0.11683701,0.11938739,0.01065791,0.52454195
-4.71535768,1.32316716,0.37836170,0.54769879,0.01272579,0.11491910,0.12144898,0.01072717,0.51679107
-4.70935468,1.31571507,0.37147914,0.54245287,0.01295622,0.11433462,0.12370638,0.01086730,0.51422371
-4.70335168,1.31991359,0.36923000,0.54208153,0.01321605,0.11506856,0.12613843,0.01107693,0.51684065
-4.69734867,1.33567894,0.37153157,0.54659843,0.01350358,0.11709161,0.12871520,0.01135373,0.52458932
-4.69134567,1.36279829,0.37826068,0.55596721,0.01381611,0.12036139,0.13139803,0.01169434,0.53736516
-4.68534267,1.40093136,0.38925755,0.57010068,0.01414973,0.12482369,0.13414010,0.01209447,0.55501270
-4.67933967,1.44961195,0.40432916,0.58885961,0.01449933,0.13041360,0.13688733,0.01254886,0.57732663
-4.67333667,1.50824966,0.42325181,0.61205131,0.01485856,0.13705650,0.13957971,0.01305140,0.60405257
-4.66733367,1.57613187,0.44577292,0.63942826,0.01521992,0.14466886,0.14215299,0.01359519,0.63488786
-4.66133067,1.65242611,0.47161200,0.67068684,0.01557492,0.15315890,0.14454058,0.01417259,0.66948210
-4.65532766,1.73618315,0.50046095,0.70546650,0.01591428,0.16242694,0.14667566,0.01477539,0.70743783
-4.64932466,1.82634091,0.53198369,0.74334958,0.01622821,0.17236575,0.14849336,0.01539489,0.74831122
-4.64332166,1.92172965,0.56581539,0.78386190,0.01650671,0.18286063,0.14993285,0.01602200,0.79161315
-4.63731866,2.02107852,0.60156156,0.82647443,0.01673992,0.19378948,0.15093935,0.01664738,0.83681068
-4.63131566,2.12302403,0.63879724,0.87060627,0.01691850,0.20502282,0.15146588,0.01726159,0.88332927
-4.62531266,2.22612061,0.67706668,0.91562900,0.01703392,0.21642398,0.15147470,0.01785515,0.93055587
-4.61930965,2.32885376,0.71588381,0.96087269,0.01707881,0.22784936,0.15093837,0.01841874,0.97784315
-4.61330665,2.42965591,0.75473380,1.00563355,0.01704727,0.23914903,0.14984041,0.01894325,1.02451517
-4.60730365,2.52692536,0.79307611,1.04918342,0.01693503,0.25016764,0.14817559,0.01941995,1.06987443
-4.60130065,2.61904840,0.83034921,1.09078091,0.01673968,0.26074577,0.14594976,0.01984058,1.11321075
-4.59529765,2.70442447,0.86597711,1.12968422,0.01646071,0.27072179,0.14317932,0.02019748,1.15381168
-4.58929465,2.78149430,0.89937779,1.16516545,0.01609955,0.27993409,0.13989047,0.02048370,1.19097465
-4.58329165,2.84877043,0.92997346,1.19652589,0.01565951,0.28822398,0.13611809,0.02069313,1.22402053
-4.57728864,2.90486954,0.95720246,1.22311220,0.01514565,0.29543886,0.13190457,0.02082061,1.25230833
-4.57128564,2.94854570,0.98053239,1.24433276,0.01456458,0.30143582,0.12729844,0.02086206,1.27525065
-4.56528264,2.97872330,0.99947412,1.25967363,0.01392427,0.30608541,0.12235310,0.02081456,1.29232938
-4.55927964,2.99452857,1.01359607,1.26871366,0.01323372,0.30927555,0.11712552,0.02067647,1.30311095
-4.55327664,2.99531820,1.02253809,1.27113785,0.01250272,0.31091522,0.11167509,0.02044753,1.30726054
-4.54727364,2.98070364,1.02602430,1.26674856,0.01174150,0.31093793,0.10606261,0.02012891,1.30455452
-4.54127064,2.95056994,1.02387418,1.25547384,0.01096044,0.30930470,0.10034949,0.01972326,1.29489045
-4.53526763,2.90508767,1.01601135,1.23737241,0.01016979,0.30600629,0.09459712,0.01923476,1.27829409
-4.52926463,2.84471727,1.00246937,1.21263497,0.00937942,0.30106467,0.08886648,0.01866904,1.25492291
-4.52326163,2.77020505,0.98339429,1.18158159,0.00859858,0.29453358,0.08321791,0.01803321,1.22506566
-4.51725863,2.68257064,0.95904359,1.14465520,0.00783573,0.28649799,0.07771112,0.01733574,1.18913805
-4.51125563,2.58308615,0.92978141,1.10241123,0.00709836,0.27707264,0.07240527,0.01658633,1.14767436
-4.50525263,2.47324749,0.89607035,1.05550390,0.00639297,0.26639947,0.06735924,0.01579576,1.10131538
-4.49924962,2.35473897,0.85845990,1.00466951,0.00572495,0.25464425,0.06263190,0.01497576,1.05079291
-4.49324662,2.22939239,0.81757217,0.95070749,0.00509862,0.24199239,0.05828257,0.01413870,0.99691161
