energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-4.40920460,6.64223289,0.02943452,2.39195516,0.06003259,0.93126425,12.22287228,2.94909157
-4.40320160,6.59805983,0.02909429,2.37464339,0.05985282,0.92936135,12.12813900,2.92715772
-4.39719860,6.51771926,0.02863401,2.34163005,0.05947664,0.92489705,11.95724552,2.88844232
-4.39119560,6.40402072,0.02806534,2.29368138,0.05894812,0.91850867,11.71422365,2.83416227
-4.38519260,6.26063245,0.02740349,2.23187363,0.05831884,0.91093436,11.40467839,2.76594033
-4.37918959,6.09196150,0.02666652,2.15755665,0.05764637,0.90298669,11.03558886,2.68575826
-4.37318659,5.90300990,0.02587461,2.07230892,0.05699261,0.89552269,10.61506540,2.59589925
-4.36718359,5.69921290,0.02504920,1.97788609,0.05642196,0.88941189,10.15207399,2.49888209
-4.36118059,5.48626633,0.02421217,1.87616526,0.05599937,0.88550318,9.65614019,2.39738986
-4.35517759,5.26994999,0.02338493,1.76908755,0.05578849,0.88459225,9.13704557,2.29419590
-4.34917459,5.05595420,0.02258765,1.65860128,0.05584974,0.88739060,8.60452906,2.19208987
-4.34317159,4.84971592,0.02183852,1.54660808,0.05623865,0.89449762,8.06800525,2.09380635
-4.33716858,4.65627037,0.02115310,1.43491382,0.05700434,0.90637674,7.53630989,2.00195831
-4.33116558,4.48012273,0.02054382,1.32518616,0.05818824,0.92333674,7.01748128,1.91897707
-4.32516258,4.32514374,0.02001962,1.21891981,0.05982314,0.94551896,6.51858391,1.84706019
-4.31915958,4.19449140,0.01958575,1.11741043,0.06193254,0.97289095,6.04557844,1.78812807
-4.31315658,4.09055986,0.01924369,1.02173729,0.06453029,1.00524685,5.60323951,1.74378967
-4.30715358,4.01495532,0.01899130,0.93275478,0.06762066,1.04221453,5.19512104,1.71531729
