energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,W_p_up,W_d_up
4.04302151,4.78130923,0.32796111,0.71841762,1.08517406,0.30378954,0.24936543,0.72373448,1.96336769,2.31244561
4.04902451,4.81498180,0.33317443,0.71486372,1.09005029,0.30474117,0.25104665,0.73316633,1.98179426,2.33521244
4.05502751,4.82609310,0.33643300,0.70866753,1.08971809,0.30417869,0.25152235,0.73889019,1.99182056,2.34697000
4.06103052,4.81459426,0.33770947,0.69995793,1.08416188,0.30210993,0.25077384,0.74079343,1.99327437,2.34760875
4.06703352,4.78080101,0.33701605,0.68889029,1.07345137,0.29856890,0.24880155,0.73882524,1.98610911,2.33720477
4.07303652,4.72537446,0.33440312,0.67564072,1.05773866,0.29361432,0.24562514,0.73299790,1.97040199,2.31601085
4.07903952,4.64929343,0.32995660,0.66040041,1.03725332,0.28732749,0.24128312,0.72338640,1.94634972,2.28444315
4.08504252,4.55381981,0.32379414,0.64337036,1.01229549,0.27980965,0.23583196,0.71012655,1.91426198,2.24306431
4.09104552,4.44045831,0.31606035,0.62475646,0.98322746,0.27117882,0.22934475,0.69341147,1.87455281,2.19256376
4.09704852,4.31091245,0.30692144,0.60476534,0.95046380,0.26156635,0.22190948,0.67348673,1.82773030,2.13373592
4.10305153,4.16703853,0.29655944,0.58360085,0.91446066,0.25111330,0.21362692,0.65064417,1.77438475,2.06745750
4.10905453,4.01079919,0.28516626,0.56146144,0.87570443,0.23996679,0.20460823,0.62521465,1.71517575,1.99466453
4.11505753,3.84421837,0.27293798,0.53853820,0.83470025,0.22827640,0.19497237,0.59756006,1.65081857,1.91632999
4.12106053,3.66933890,0.26006950,0.51501373,0.79196079,0.21619087,0.18484339,0.56806464,1.58207008,1.83344284
4.12706353,3.48818400,0.24674979,0.49106164,0.74799557,0.20385509,0.17434764,0.53712614,1.50971471,1.74698885
4.13306653,3.30272351,0.23315794,0.46684658,0.70330117,0.19140749,0.16361117,0.50514698,1.43455069,1.65793378
4.13906953,3.11484538,0.21946002,0.44252466,0.65835259,0.17897785,0.15275714,0.47252563,1.35737694,1.56720917
4.14507254,2.92633268,0.20580683,0.41824424,0.61359594,0.16668570,0.14190353,0.43964861,1.27898080,1.47570069
4.15107554,2.73884611,0.19233255,0.39414669,0.56944249,0.15463912,0.13116106,0.40688323,1.20012678,1.38423921
4.15707854,2.55391156,0.17915420,0.37036726,0.52626426,0.14293397,0.12063153,0.37457126,1.12154665,1.29359431
4.16308154,2.37291242,0.16637174,0.34703576,0.48439098,0.13165365,0.11040643,0.34302370,1.04393068,1.20446995
4.16908454,2.19708573,0.15406886,0.32427698,0.44410844,0.12086911,0.10056593,0.31251675,0.96792040,1.11750206
4.17508754,2.02752161,0.14231408,0.30221088,0.40565800,0.11063923,0.09117828,0.28328894,0.89410253,1.03325765
4.18109055,1.86516515,0.13116221,0.28095234,0.36923719,0.10101134,0.08229951,0.25553948,0.82300440,0.95223500
4.18709355,1.71081993,0.12065586,0.26061060,0.33500118,0.09202202,0.07397349,0.22942774,0.75509044,0.87486473
4.19309655,1.56515261,0.11082698,0.24128830,0.30306487,0.08369780,0.06623225,0.20507379,0.69075984,0.80151130
4.19909955,1.42869801,0.10169836,0.22308025,0.27350547,0.07605609,0.05909655,0.18255983,0.63034528,0.73247480
4.20510255,1.30186422,0.09328478,0.20607190,0.24636543,0.06910589,0.05257665,0.16193243,0.57411243,0.66799274
4.21110555,1.18493745,0.08559407,0.19033764,0.22165540,0.06284860,0.04667323,0.14320531,0.52226034,0.60824181
4.21710855,1.07808657,0.07862781,0.17593904,0.19935739,0.05727864,0.04137837,0.12636261,0.47492247,0.55333957
4.22311156,0.98136726,0.07238182,0.16292304,0.17942762,0.05238405,0.03667662,0.11136246,0.43216827,0.50334603
4.22911456,0.89472587,0.06684645,0.15132033,0.16179947,0.04814695,0.03254610,0.09814065,0.39400533,0.45826517
4.23511756,0.81800326,0.06200655,0.14114390,0.14638605,0.04454392,0.02895948,0.08661430,0.36038206,0.41804659
4.24112056,0.75093884,0.05784151,0.13238784,0.13308276,0.04154638,0.02588504,0.07668547,0.33119071,0.38258737
4.24712356,0.69317508,0.05432512,0.12502662,0.12176952,0.03912087,0.02328759,0.06824453,0.30627104,0.35173428
4.25312656,0.64426282,0.05142544,0.11901480,0.11231301,0.03722937,0.02112933,0.06117333,0.28541426,0.32528641
4.25912956,0.60366770,0.04910479,0.11428718,0.10456873,0.03582959,0.01937065,0.05534804,0.26836764,0.30299851
