energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
3.50275138,1.89776371,1.57618075,0.07963951,1.07066117,0.00005995,0.07356810,0.44938656
3.50875438,1.88720255,1.58000710,0.07906595,1.05371361,0.00005992,0.07186284,0.44474174
3.51475738,1.87086959,1.57914202,0.07818656,1.03371605,0.00005967,0.06987546,0.43879916
3.52076038,1.84935217,1.57380175,0.07702821,1.01096685,0.00005922,0.06765880,0.43176833
3.52676338,1.82330988,1.56426788,0.07562293,0.98580119,0.00005858,0.06526925,0.42386819
3.53276638,1.79345385,1.55087819,0.07400685,0.95858142,0.00005778,0.06276508,0.41532072
3.53876938,1.76052535,1.53401634,0.07221910,0.92968669,0.00005684,0.06020473,0.40634499
3.54477239,1.72527438,1.51410047,0.07030049,0.89950262,0.00005578,0.05764517,0.39715178
3.55077539,1.68843892,1.49157128,0.06829235,0.86841099,0.00005463,0.05514037,0.38793916
3.55677839,1.65072565,1.46687975,0.06623520,0.83678010,0.00005341,0.05273998,0.37888877
3.56278139,1.61279259,1.44047487,0.06416759,0.80495591,0.00005215,0.05048816,0.37016315
3.56878439,1.57523414,1.41279183,0.06212503,0.77325440,0.00005087,0.04842275,0.36190395
3.57478739,1.53856900,1.38424096,0.06013906,0.74195530,0.00004959,0.04657457,0.35423087
3.58079040,1.50323115,1.35519780,0.05823645,0.71129739,0.00004833,0.04496709,0.34724148
3.58679340,1.46956408,1.32599470,0.05643868,0.68147550,0.00004710,0.04361634,0.34101149
3.59279640,1.43781815,1.29691415,0.05476158,0.65263925,0.00004593,0.04253098,0.33559550
3.59879940,1.40815124,1.26818412,0.05321525,0.62489355,0.00004481,0.04171270,0.33102811
3.60480240,1.38063217,1.23997572,0.05180409,0.59830061,0.00004375,0.04115669,0.32732503
3.61080540,1.35524682,1.21240296,0.05052718,0.57288358,0.00004276,0.04085234,0.32448434
3.61680840,1.33190645,1.18552491,0.04937875,0.54863133,0.00004183,0.04078392,0.32248757
3.62281141,1.31045776,1.15934991,0.04834878,0.52550428,0.00004096,0.04093147,0.32130075
3.62881441,1.29069427,1.13384170,0.04742387,0.50344090,0.00004015,0.04127159,0.32087518
3.63481741,1.27236846,1.10892714,0.04658797,0.48236459,0.00003938,0.04177823,0.32114818
3.64082041,1.25520415,1.08450503,0.04582338,0.46219066,0.00003864,0.04242349,0.32204366
3.64682341,1.23890872,1.06045564,0.04511153,0.44283292,0.00003793,0.04317832,0.32347272
3.65282641,1.22318467,1.03665046,0.04443393,0.42420990,0.00003724,0.04401312,0.32533434
3.65882941,1.20774023,1.01296156,0.04377289,0.40625007,0.00003656,0.04489833,0.32751623
3.66483242,1.19229862,0.98927019,0.04311219,0.38889621,0.00003587,0.04580489,0.32989598
3.67083542,1.17660594,0.96547414,0.04243767,0.37210857,0.00003518,0.04670463,0.33234264
3.67683842,1.16043744,0.94149364,0.04173759,0.35586679,0.00003448,0.04757062,0.33471873
3.68284142,1.14360216,0.91727538,0.04100297,0.34017060,0.00003376,0.04837745,0.33688269
3.68884442,1.12594610,0.89279479,0.04022764,0.32503941,0.00003304,0.04910156,0.33869191
3.69484742,1.10735392,0.86805637,0.03940829,0.31051066,0.00003231,0.04972145,0.34000610
3.70085043,1.08774935,0.84309238,0.03854432,0.29663741,0.00003157,0.05021794,0.34069111
3.70685343,1.06709458,0.81795998,0.03763760,0.28348504,0.00003085,0.05057448,0.34062283
3.71285643,1.04538881,0.79273725,0.03669218,0.27112756,0.00003014,0.05077737,0.33969131
3.71885943,1.02266609,0.76751836,0.03571392,0.25964349,0.00002946,0.05081606,0.33780462
3.72486243,0.99899280,0.74240833,0.03471009,0.24911173,0.00002883,0.05068342,0.33489246
3.73086543,0.97446482,0.71751783,0.03368895,0.23960756,0.00002825,0.05037599,0.33090922
3.73686843,0.94920453,0.69295821,0.03265939,0.23119890,0.00002773,0.04989415,0.32583637
3.74287144,0.92335795,0.66883731,0.03163057,0.22394318,0.00002730,0.04924234,0.31968404
3.74887444,0.89709176,0.64525615,0.03061156,0.21788474,0.00002695,0.04842905,0.31249162
3.75487744,0.87059057,0.62230665,0.02961114,0.21305298,0.00002671,0.04746683,0.30432734
3.76088044,0.84405433,0.60007059,0.02863755,0.20946136,0.00002657,0.04637216,0.29528693
3.76688344,0.81769588,0.57861973,0.02769841,0.20710717,0.00002654,0.04516515,0.28549125
3.77288644,0.79173864,0.55801703,0.02680063,0.20597215,0.00002663,0.04386916,0.27508306
3.77888944,0.76641454,0.53831880,0.02595036,0.20602388,0.00002684,0.04251026,0.26422310
3.78489245,0.74196202,0.51957765,0.02515312,0.20721786,0.00002716,0.04111664,0.25308561
3.79089545,0.71862417,0.50184594,0.02441384,0.20950017,0.00002761,0.03971778,0.24185349
3.79689845,0.69664702,0.48517949,0.02373698,0.21281068,0.00002818,0.03834373,0.23071334
3.80290145,0.67627775,0.46964121,0.02312671,0.21708639,0.00002886,0.03702417,0.21985057
3.80890445,0.65776306,0.45530458,0.02258702,0.22226505,0.00002967,0.03578754,0.20944473
3.81490745,0.64134738,0.44225637,0.02212194,0.22828861,0.00003059,0.03466016,0.19966530
3.82091046,0.62727093,0.43059874,0.02173560,0.23510639,0.00003163,0.03366542,0.19066796
3.82691346,0.61576762,0.42045025,0.02143242,0.24267780,0.00003279,0.03282301,0.18259155
3.83291646,0.60706255,0.41194577,0.02121708,0.25097437,0.00003408,0.03214828,0.17555567
3.83891946,0.60136912,0.40523512,0.02109464,0.25998095,0.00003551,0.03165176,0.16965897
