energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-0.61530765,1.01046125,0.00096954,0.02461786,0.07504541,0.15314695,0.00000000,0.16039087,0.58946503
-0.60930465,0.96973420,0.00088032,0.02352194,0.06707453,0.15774041,0.00000000,0.14790122,0.56915518
-0.60330165,0.93537664,0.00079708,0.02278306,0.06008641,0.16385109,0.00000000,0.13654612,0.55294366
-0.59729865,0.90777736,0.00072064,0.02241421,0.05407166,0.17149702,0.00000000,0.12644504,0.54102143
-0.59129565,0.88718911,0.00065165,0.02242399,0.04900718,0.18066511,0.00000000,0.11768764,0.53349367
-0.58529265,0.87372979,0.00059058,0.02281660,0.04485817,0.19131065,0.00000000,0.11033369,0.53038113
-0.57928964,0.86738582,0.00053776,0.02359177,0.04157992,0.20335773,0.00000000,0.10441355,0.53162280
-0.57328664,0.86801736,0.00049336,0.02474482,0.03911962,0.21670015,0.00000000,0.09992921,0.53707994
-0.56728364,0.87536524,0.00045740,0.02626659,0.03741787,0.23120315,0.00000000,0.09685581,0.54654106
-0.56128064,0.88905918,0.00042978,0.02814346,0.03641011,0.24670569,0.00000000,0.09514348,0.55972787
-0.55527764,0.90862734,0.00041027,0.03035735,0.03602782,0.26302337,0.00000000,0.09471949,0.57630198
-0.54927464,0.93350678,0.00039853,0.03288573,0.03619961,0.27995184,0.00000000,0.09549060,0.59587222
-0.54327164,0.96305484,0.00039412,0.03570178,0.03685216,0.29727065,0.00000000,0.09734565,0.61800251
-0.53726863,0.99656128,0.00039651,0.03877447,0.03791109,0.31474746,0.00000000,0.10015817,0.64222004
-0.53126563,1.03326089,0.00040510,0.04206881,0.03930174,0.33214245,0.00000000,0.10378920,0.66802382
-0.52526263,1.07234674,0.00041920,0.04554612,0.04094989,0.34921295,0.00000000,0.10809013,0.69489333
-0.51925963,1.11298362,0.00043808,0.04916444,0.04278257,0.36571796,0.00000000,0.11290564,0.72229724
-0.51325663,1.15432169,0.00046094,0.05287898,0.04472873,0.38142271,0.00000000,0.11807660,0.74970209
-0.50725363,1.19551018,0.00048695,0.05664265,0.04672005,0.39610292,0.00000000,0.12344307,0.77658076
-0.50125063,1.23571083,0.00051524,0.06040673,0.04869166,0.40954879,0.00000000,0.12884721,0.80242067
-0.49524762,1.27411104,0.00054495,0.06412149,0.05058293,0.42156862,0.00000000,0.13413615,0.82673154
-0.48924462,1.30993637,0.00057518,0.06773698,0.05233823,0.43199197,0.00000000,0.13916478,0.84905272
-0.48324162,1.34246236,0.00060506,0.07120378,0.05390761,0.44067226,0.00000000,0.14379831,0.86895977
-0.47723862,1.37102531,0.00063375,0.07447378,0.05524747,0.44748884,0.00000000,0.14791470,0.88607044
-0.47123562,1.39503197,0.00066045,0.07750097,0.05632110,0.45234851,0.00000000,0.15140668,0.90004981
-0.46523262,1.41396785,0.00068441,0.08024222,0.05709914,0.45518641,0.00000000,0.15418359,0.91061460
-0.45922961,1.42740424,0.00070497,0.08265797,0.05755984,0.45596638,0.00000000,0.15617270,0.91753650
-0.45322661,1.43500350,0.00072156,0.08471293,0.05768922,0.45468074,0.00000000,0.15732016,0.92064466
-0.44722361,1.43652290,0.00073370,0.08637668,0.05748102,0.45134964,0.00000000,0.15759148,0.91982715
-0.44122061,1.43181667,0.00074103,0.08762423,0.05693647,0.44601983,0.00000000,0.15697152,0.91503148
-0.43521761,1.42083644,0.00074332,0.08843640,0.05606391,0.43876319,0.00000000,0.15546403,0.90626412
-0.42921461,1.40362998,0.00074044,0.08880021,0.05487821,0.42967472,0.00000000,0.15309069,0.89358917
-0.42321161,1.38033832,0.00073241,0.08870909,0.05340011,0.41887039,0.00000000,0.14988982,0.87712603
-0.41720860,1.35119128,0.00071937,0.08816302,0.05165533,0.40648466,0.00000000,0.14591460,0.85704628
-0.41120560,1.31650158,0.00070156,0.08716851,0.04967373,0.39266784,0.00000000,0.14123107,0.83356970
-0.40520260,1.27665750,0.00067932,0.08573852,0.04748828,0.37758326,0.00000000,0.13591592,0.80695954
-0.39919960,1.23211436,0.00065311,0.08389215,0.04513407,0.36140443,0.00000000,0.13005403,0.77751722
-0.39319660,1.18338495,0.00062342,0.08165433,0.04264736,0.34431205,0.00000000,0.12373606,0.74557629
-0.38719360,1.13102900,0.00059083,0.07905532,0.04006459,0.32649106,0.00000000,0.11705593,0.71149603
-0.38119060,1.07564201,0.00055594,0.07613008,0.03742153,0.30812772,0.00000000,0.11010849,0.67565467
-0.37518759,1.01784359,0.00051936,0.07291762,0.03475245,0.28940675,0.00000000,0.10298729,0.63844233
-0.36918459,0.95826566,0.00048171,0.06946014,0.03208952,0.27050856,0.00000000,0.09578255,0.60025392
-0.36318159,0.89754055,0.00044359,0.06580223,0.02946215,0.25160671,0.00000000,0.08857942,0.56148207
-0.35717859,0.83628961,0.00040555,0.06198991,0.02689666,0.23286551,0.00000000,0.08145651,0.52251031
-0.35117559,0.77511223,0.00036812,0.05806972,0.02441593,0.21443785,0.00000000,0.07448473,0.48370659
-0.34517259,0.71457579,0.00033174,0.05408777,0.02203924,0.19646340,0.00000000,0.06772641,0.44541736
-0.33916958,0.65520673,0.00029681,0.05008886,0.01978221,0.17906700,0.00000000,0.06123481,0.40796234
