energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.44772386,1.56353538,0.84047453,0.31745186,0.70675240,0.45833167,0.00236337,0.19585050,0.73081234,0.00000000
-5.44172086,1.53338992,0.79828246,0.31711342,0.67122983,0.45725483,0.00234031,0.18238264,0.71473533,0.00000000
-5.43571786,1.50061553,0.75550220,0.31592273,0.63625172,0.45503006,0.00231131,0.16933152,0.69735662,0.00000000
-5.42971486,1.46520838,0.71255374,0.31380052,0.60201099,0.45153913,0.00227645,0.15678882,0.67874042,0.00000000
-5.42371186,1.42719989,0.66983930,0.31068394,0.56867821,0.44668584,0.00223582,0.14483775,0.65896449,0.00000000
-5.41770885,1.38666717,0.62773920,0.30653056,0.53640434,0.44040126,0.00218950,0.13355238,0.63812389,0.00000000
-5.41170585,1.34374340,0.58660948,0.30132182,0.50532441,0.43264852,0.00213760,0.12299759,0.61633474,0.00000000
-5.40570285,1.29862712,0.54678107,0.29506577,0.47556200,0.42342654,0.00208023,0.11322953,0.59373783,0.00000000
-5.39969985,1.25158985,0.50856022,0.28779890,0.44723402,0.41277274,0.00201757,0.10429649,0.57050162,0.00000000
-5.39369685,1.20298143,0.47222995,0.27958694,0.42045562,0.40076442,0.00194986,0.09624014,0.54682453,0.00000000
-5.38769385,1.15323240,0.43805216,0.27052465,0.39534486,0.38751866,0.00187742,0.08909707,0.52293605,0.00000000
-5.38169085,1.10285322,0.40626999,0.26073445,0.37202673,0.37319084,0.00180064,0.08290027,0.49909654,0.00000000
-5.37568784,1.05242996,0.37711021,0.25036399,0.35063633,0.35797170,0.00172002,0.07768065,0.47559567,0.00000000
-5.36968484,1.00261659,0.35078525,0.23958276,0.33132102,0.34208301,0.00163615,0.07346839,0.45274938,0.00000000
-5.36368184,0.95412382,0.32749460,0.22857786,0.31424122,0.32577216,0.00154969,0.07029397,0.43089530,0.00000000
-5.35767884,0.90770505,0.30742547,0.21754903,0.29956992,0.30930573,0.00146141,0.06818873,0.41038697,0.00000000
-5.35167584,0.86413968,0.29075247,0.20670323,0.28749081,0.29296239,0.00137210,0.06718509,0.39158673,0.00000000
-5.34567284,0.82421449,0.27763635,0.19624890,0.27819498,0.27702538,0.00128265,0.06731612,0.37485773,0.00000000
-5.33966983,0.78870363,0.26822166,0.18639012,0.27187646,0.26177485,0.00119391,0.06861470,0.36055523,0.00000000
-5.33366683,0.75834803,0.26263354,0.17732096,0.26872661,0.24748037,0.00110678,0.07111204,0.34901738,0.00000000
-5.32766383,0.73383480,0.26097366,0.16922003,0.26892760,0.23439384,0.00102208,0.07483586,0.34055599,0.00000000
-5.32166083,0.71577741,0.26331556,0.16224558,0.27264526,0.22274311,0.00094064,0.07980809,0.33544739,0.00000000
-5.31565783,0.70469727,0.26969946,0.15653125,0.28002149,0.21272634,0.00086315,0.08604231,0.33392374,0.00000000
-5.30965483,0.70100716,0.28012704,0.15218248,0.29116660,0.20450750,0.00079028,0.09354109,0.33616506,0.00000000
-5.30365183,0.70499726,0.29455614,0.14927381,0.30615174,0.19821286,0.00072253,0.10229316,0.34229231,0.00000000
-5.29764882,0.71682388,0.31289605,0.14784711,0.32500185,0.19392872,0.00066032,0.11227087,0.35236151,0.00000000
-5.29164582,0.73650148,0.33500323,0.14791059,0.34768929,0.19170026,0.00060396,0.12342780,0.36635930,0.00000000
-5.28564282,0.76389804,0.36067818,0.14943888,0.37412848,0.19153164,0.00055360,0.13569681,0.38420004,0.00000000
-5.27963982,0.79873400,0.38966336,0.15237397,0.40417170,0.19338706,0.00050933,0.14898864,0.40572450,0.00000000
-5.27363682,0.84058475,0.42164263,0.15662689,0.43760639,0.19719300,0.00047108,0.16319118,0.43070021,0.00000000
-5.26763382,0.88888677,0.45624219,0.16208036,0.47415386,0.20284122,0.00043871,0.17816943,0.45882369,0.00000000
-5.26163082,0.94294703,0.49303331,0.16859204,0.51346987,0.21019264,0.00041201,0.19376628,0.48972425,0.00000000
-5.25562781,1.00195580,0.53153678,0.17599837,0.55514680,0.21908180,0.00039069,0.20980412,0.52296965,0.00000000
-5.24962481,1.06500226,0.57122912,0.18411903,0.59871766,0.22932182,0.00037442,0.22608723,0.55807329,0.00000000
-5.24362181,1.13109278,0.61155049,0.19276163,0.64366189,0.24070973,0.00036284,0.24240495,0.59450291,0.00000000
-5.23761881,1.19917134,0.65191409,0.20172675,0.68941272,0.25303190,0.00035561,0.25853553,0.63169071,0.00000000
-5.23161581,1.26814169,0.69171691,0.21081307,0.73536614,0.26606966,0.00035235,0.27425048,0.66904452,0.00000000
-5.22561281,1.33689068,0.73035153,0.21982245,0.78089121,0.27960461,0.00035275,0.28931944,0.70595993,0.00000000
-5.21960980,1.40431226,0.76721856,0.22856488,0.82534153,0.29342388,0.00035651,0.30351527,0.74183316,0.00000000
-5.21360680,1.46933159,0.80173962,0.23686312,0.86806760,0.30732493,0.00036338,0.31661922,0.77607421,0.00000000
-5.20760380,1.53092868,0.83337014,0.24455693,0.90842979,0.32111995,0.00037317,0.32842604,0.80812015,0.00000000
-5.20160080,1.58816109,0.86161198,0.25150686,0.94581163,0.33463967,0.00038574,0.33874891,0.83744826,0.00000000
-5.19559780,1.64018499,0.88602520,0.25759731,0.97963312,0.34773665,0.00040102,0.34742382,0.86358862,0.00000000
-5.18959480,1.68627443,0.90623882,0.26273906,1.00936364,0.36028790,0.00041899,0.35431355,0.88613583,0.00000000
-5.18359180,1.72583801,0.92196016,0.26687103,1.03453427,0.37219689,0.00043969,0.35931089,0.90475976,0.00000000
-5.17758879,1.75843290,0.93298255,0.26996135,1.05474899,0.38339490,0.00046319,0.36234113,0.91921476,0.00000000
-5.17158579,1.78377569,0.93919113,0.27200769,1.06969464,0.39384181,0.00048962,0.36336374,0.92934731,0.00000000
-5.16558279,1.80174989,0.94056661,0.27303692,1.07914926,0.40352622,0.00051913,0.36237311,0.93510176,0.00000000
-5.15957979,1.81240992,0.93718681,0.27310408,1.08298845,0.41246518,0.00055190,0.35939850,0.93652392,0.00000000
-5.15357679,1.81598134,0.92922594,0.27229081,1.08118968,0.42070335,0.00058810,0.35450308,0.93376238,0.00000000
-5.14757379,1.81285735,0.91695157,0.27070316,1.07383422,0.42831172,0.00062791,0.34778217,0.92706738,0.00000000
-5.14157079,1.80359146,0.90071939,0.26846900,1.06110667,0.43538597,0.00067151,0.33936073,0.91678719,0.00000000
-5.13556778,1.78888639,0.88096570,0.26573491,1.04329193,0.44204447,0.00071905,0.32939016,0.90336183,0.00000000
-5.12956478,1.76957932,0.85819793,0.26266289,1.02076966,0.44842581,0.00077066,0.31804456,0.88731430,0.00000000
-5.12356178,1.74662362,0.83298321,0.25942659,0.99400627,0.45468612,0.00082641,0.30551649,0.86923934,0.00000000
-5.11755878,1.72106727,0.80593540,0.25620745,0.96354468,0.46099585,0.00088636,0.29201246,0.84978983,0.00000000
-5.11155578,1.69402847,0.77770066,0.25319064,0.92999194,0.46753626,0.00095049,0.27774808,0.82966120,0.00000000
-5.10555278,1.66666865,0.74894206,0.25056081,0.89400513,0.47449546,0.00101873,0.26294326,0.80957406,0.00000000
-5.09954977,1.64016360,0.72032354,0.24849788,0.85627589,0.48206398,0.00109096,0.24781729,0.79025553,0.00000000
-5.09354677,1.61567317,0.69249358,0.24717277,0.81751400,0.49043000,0.00116698,0.23258426,0.77241978,0.00000000
-5.08754377,1.59431056,0.66606911,0.24674322,0.77843039,0.49977418,0.00124650,0.21744855,0.75674825,0.00000000
-5.08154077,1.57711167,0.64162011,0.24734975,0.73972028,0.51026415,0.00132917,0.20260093,0.74387030,0.00000000
-5.07553777,1.56500579,0.61965533,0.24911191,0.70204678,0.52204889,0.00141454,0.18821494,0.73434478,0.00000000
-5.06953477,1.55878834,0.60060956,0.25212487,0.66602546,0.53525308,0.00150205,0.17444399,0.72864340,0.00000000
-5.06353177,1.55909676,0.58483304,0.25645649,0.63221054,0.54997164,0.00159107,0.16141902,0.72713629,0.00000000
-5.05752876,1.56639054,0.57258323,0.26214500,0.60108284,0.56626474,0.00168085,0.14924687,0.73008063,0.00000000
-5.05152576,1.58093623,0.56401936,0.26919738,0.57304010,0.58415350,0.00177055,0.13800938,0.73761259,0.00000000
-5.04552276,1.60279830,0.55919998,0.27758862,0.54838985,0.60361672,0.00185922,0.12776314,0.74974333,0.00000000
-5.03951976,1.63183635,0.55808365,0.28726191,0.52734497,0.62458893,0.00194583,0.11854007,0.76635898,0.00000000
-5.03351676,1.66770924,0.56053285,0.29812975,0.51002222,0.64695990,0.00202927,0.11034847,0.78722509,0.00000000
-5.02751376,1.70988618,0.56632091,0.31007624,0.49644360,0.67057591,0.00210837,0.10317486,0.81199513,0.00000000
-5.02151076,1.75766456,0.57514184,0.32296020,0.48654047,0.69524291,0.00218191,0.09698619,0.84022317,0.00000000
-5.01550775,1.81019424,0.58662274,0.33661943,0.48016036,0.72073144,0.00224868,0.09173252,0.87137995,0.00000000
-5.00950475,1.86650737,0.60033816,0.35087563,0.47707602,0.74678349,0.00230746,0.08735003,0.90487204,0.00000000
-5.00350175,1.92555266,0.61582609,0.36554006,0.47699652,0.77312081,0.00235710,0.08376418,0.94006308,0.00000000
-4.99749875,1.98623279,0.63260478,0.38041965,0.47957980,0.79945468,0.00239652,0.08089297,0.97629636,0.00000000
-4.99149575,2.04744344,0.65018970,0.39532321,0.48444637,0.82549639,0.00242477,0.07865009,1.01291768,0.00000000
-4.98549275,2.10811205,0.66811007,0.41006756,0.49119347,0.85096831,0.00244105,0.07694799,1.04929750,0.00000000
-4.97948974,2.16723478,0.68592413,0.42448332,0.49940921,0.87561462,0.00244477,0.07570065,1.08485140,0.00000000
-4.97348674,2.22390981,0.70323259,0.43841984,0.50868628,0.89921154,0.00243553,0.07482594,1.11905786,0.00000000
-4.96748374,2.27736549,0.71968968,0.45174936,0.51863441,0.92157607,0.00241319,0.07424769,1.15147257,0.00000000
-4.96148074,2.32698194,0.73501140,0.46436984,0.52889151,0.94257304,0.00237786,0.07389713,1.18173865,0.00000000
-4.95547774,2.37230518,0.74898065,0.47620653,0.53913272,0.96211997,0.00232989,0.07371402,1.20959241,0.00000000
-4.94947474,2.41305313,0.76144912,0.48721209,0.54907739,0.98018931,0.00226992,0.07364709,1.23486428,0.00000000
-4.94347174,2.44911331,0.77233598,0.49736534,0.55849357,0.99680800,0.00219882,0.07365423,1.25747519,0.00000000
-4.93746873,2.48053254,0.78162362,0.50666854,0.56720006,1.01205439,0.00211770,0.07370202,1.27742860,0.00000000
-4.93146573,2.50749927,0.78935069,0.51514363,0.57506597,1.02605248,0.00202784,0.07376512,1.29479875,0.00000000
-4.92546273,2.53031984,0.79560306,0.52282741,0.58200802,1.03896397,0.00193074,0.07382519,1.30971584,0.00000000
-4.91945973,2.54938989,0.80050322,0.52976614,0.58798586,1.05097850,0.00182797,0.07386968,1.32234923,0.00000000
-4.91345673,2.56516276,0.80419878,0.53600969,0.59299565,1.06230257,0.00172123,0.07389054,1.33288934,0.00000000
-4.90745373,2.57811674,0.80685079,0.54160587,0.59706253,1.07314787,0.00161222,0.07388280,1.34152970,0.00000000
-4.90145073,2.58872283,0.80862252,0.54659495,0.60023226,1.08371956,0.00150268,0.07384329,1.34844988,0.00000000
-4.89544772,2.59741503,0.80966938,0.55100500,0.60256273,1.09420530,0.00139427,0.07376946,1.35380030,0.00000000
-4.88944472,2.60456453,0.81013037,0.55484812,0.60411570,1.10476545,0.00128857,0.07365840,1.35768991,0.00000000
-4.88344172,2.61045917,0.81012163,0.55811783,0.60494924,1.11552506,0.00118705,0.07350609,1.36017713,0.00000000
-4.87743872,2.61528912,0.80973218,0.56078787,0.60511140,1.12656798,0.00109103,0.07330692,1.36126464,0.00000000
-4.87143572,2.61913923,0.80902213,0.56281228,0.60463518,1.13793339,0.00100164,0.07305347,1.36089806,0.00000000
-4.86543272,2.62198820,0.80802311,0.56412687,0.60353528,1.14961470,0.00091984,0.07273659,1.35896864,0.00000000
-4.85942971,2.62371434,0.80674093,0.56465197,0.60180650,1.16156101,0.00084639,0.07234567,1.35531953,0.00000000
-4.85342671,2.62410711,0.80515996,0.56429622,0.59942387,1.17368057,0.00078184,0.07186916,1.34975528,0.00000000
-4.84742371,2.62288357,0.80324895,0.56296126,0.59634445,1.18584626,0.00072653,0.07129514,1.34205387,0.00000000
-4.84142071,2.61970853,0.80096762,0.56054701,0.59251047,1.19790247,0.00068062,0.07061214,1.33198056,0.00000000
-4.83541771,2.61421698,0.79827371,0.55695723,0.58785364,1.20967287,0.00064407,0.06980981,1.31930278,0.00000000
-4.82941471,2.60603746,0.79512973,0.55210511,0.58230023,1.22096872,0.00061669,0.06887968,1.30380513,0.00000000
-4.82341171,2.59481493,0.79150893,0.54591858,0.57577652,1.23159710,0.00059810,0.06781578,1.28530384,0.00000000
-4.81740870,2.58023194,0.78740026,0.53834512,0.56821445,1.24136862,0.00058782,0.06661517,1.26365974,0.00000000
-4.81140570,2.56202697,0.78281163,0.52935579,0.55955680,1.25010422,0.00058523,0.06527830,1.23878940,0.00000000
-4.80540270,2.54000914,0.77777150,0.51894835,0.54976198,1.25764077,0.00058961,0.06380914,1.21067361,0.00000000
-4.79939970,2.51406873,0.77232854,0.50714942,0.53880778,1.26383532,0.00060015,0.06221518,1.17936318,0.00000000
-4.79339670,2.48418317,0.76654947,0.49401551,0.52669429,1.26856784,0.00061601,0.06050722,1.14498167,0.00000000
-4.78739370,2.45041861,0.76051507,0.47963300,0.51344554,1.27174248,0.00063627,0.05869901,1.10772503,0.00000000
-4.78139070,2.41292723,0.75431481,0.46411707,0.49911007,1.27328757,0.00066002,0.05680670,1.06785847,0.00000000
-4.77538769,2.37194090,0.74804037,0.44760980,0.48376032,1.27315448,0.00068632,0.05484826,1.02571056,0.00000000
-4.76938469,2.32776176,0.74177847,0.43027734,0.46749100,1.27131564,0.00071423,0.05284276,0.98166516,0.00000000
-4.76338169,2.28075058,0.73560355,0.41230657,0.45041661,1.26776202,0.00074285,0.05080967,0.93615149,0.00000000
-4.75737869,2.23131382,0.72957082,0.39390119,0.43266818,1.26250044,0.00077131,0.04876815,0.88963296,0.00000000
-4.75137569,2.17989007,0.72371015,0.37527757,0.41438962,1.25555095,0.00079878,0.04673645,0.84259515,0.00000000
-4.74537269,2.12693691,0.71802130,0.35666046,0.39573369,1.24694462,0.00082451,0.04473129,0.79553373,0.00000000
-4.73936968,2.07291873,0.71247079,0.33827861,0.37685798,1.23672188,0.00084780,0.04276748,0.74894247,0.00000000
-4.73336668,2.01829609,0.70699076,0.32036068,0.35792096,1.22493161,0.00086802,0.04085760,0.70330215,0.00000000
-4.72736368,1.96351710,0.70148003,0.30313118,0.33907834,1.21163101,0.00088466,0.03901178,0.65907041,0.00000000
-4.72136068,1.90901083,0.69580719,0.28680683,0.32047979,1.19688616,0.00089726,0.03723774,0.61667303,0.00000000
-4.71535768,1.85518291,0.68981581,0.27159318,0.30226629,1.18077319,0.00090549,0.03554084,0.57649671,0.00000000
-4.70935468,1.80241294,0.68333147,0.25768150,0.28456787,1.16337989,0.00090909,0.03392434,0.53888350,0.00000000
-4.70335168,1.75105356,0.67617015,0.24524601,0.26750207,1.14480738,0.00090791,0.03238967,0.50412674,0.00000000
-4.69734867,1.70143053,0.66814763,0.23444138,0.25117286,1.12517162,0.00090189,0.03093682,0.47246859,0.00000000
-4.69134567,1.65384340,0.65908938,0.22540039,0.23567013,1.10460443,0.00089108,0.02956481,0.44409881,0.00000000
-4.68534267,1.60856612,0.64884029,0.21823176,0.22106960,1.08325374,0.00087559,0.02827205,0.41915473,0.00000000
-4.67933967,1.56584715,0.63727372,0.21301823,0.20743313,1.06128267,0.00085564,0.02705684,0.39772208,0.00000000
-4.67333667,1.52590859,0.62429944,0.20981457,0.19480922,1.03886754,0.00083151,0.02591770,0.37983651,0.00000000
-4.66733367,1.48894398,0.60986980,0.20864595,0.18323386,1.01619437,0.00080355,0.02485375,0.36548555,0.00000000
-4.66133067,1.45511477,0.59398400,0.20950627,0.17273134,0.99345418,0.00077217,0.02386490,0.35461088,0.00000000
-4.65532766,1.42454535,0.57669009,0.21235691,0.16331516,0.97083705,0.00073781,0.02295206,0.34711071,0.00000000
-4.64932466,1.39731694,0.55808464,0.21712571,0.15498898,0.94852525,0.00070096,0.02211723,0.34284225,0.00000000
-4.64332166,1.37346078,0.53831007,0.22370644,0.14774741,0.92668578,0.00066213,0.02136343,0.34162431,0.00000000
