energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
1.88794397,4.44265567,0.01639987,0.27453690,0.36721921,0.02829473,0.01775344,0.74373261,1.88616087,3.20091928
1.89394697,4.39041205,0.01646290,0.27073193,0.36799727,0.02797979,0.01755967,0.73475625,1.87005855,3.16994483
1.89994997,4.32693081,0.01649203,0.26624527,0.36762087,0.02757320,0.01732331,0.72372351,1.84797756,3.13129361
1.90595298,4.25311835,0.01648339,0.26111515,0.36608202,0.02707918,0.01704837,0.71078245,1.82025899,3.08555615
1.91195598,4.16988824,0.01643358,0.25537944,0.36337988,0.02650264,0.01673891,0.69608579,1.78727355,3.03331633
1.91795898,4.07814311,0.01633970,0.24907574,0.35952108,0.02584902,0.01639889,0.67978777,1.74941368,2.97513962
1.92396198,3.97876229,0.01619943,0.24224169,0.35452030,0.02512429,0.01603203,0.66204191,1.70708710,2.91156624
1.92996498,3.87259532,0.01601111,0.23491554,0.34840097,0.02433481,0.01564178,0.64299946,1.66071180,2.84310915
1.93596798,3.76046112,0.01577384,0.22713671,0.34119595,0.02348733,0.01523124,0.62280870,1.61071247,2.77025661
1.94197099,3.64315193,0.01548759,0.21894652,0.33294830,0.02258888,0.01480319,0.60161478,1.55751815,2.69347866
1.94797399,3.52144122,0.01515328,0.21038880,0.32371185,0.02164679,0.01436003,0.57956023,1.50156100,2.61323670
1.95397699,3.39609414,0.01477288,0.20151040,0.31355161,0.02066861,0.01390391,0.55678572,1.44327564,2.52999486
1.95997999,3.26787926,0.01434948,0.19236161,0.30254387,0.01966206,0.01343670,0.53343110,1.38309891,2.44423234
1.96598299,3.13758020,0.01388728,0.18299629,0.29077603,0.01863502,0.01296007,0.50963633,1.32146953,2.35645517
1.97198599,3.00600576,0.01339161,0.17347177,0.27834593,0.01759546,0.01247560,0.48554237,1.25882746,2.26720649
1.97798899,2.87399742,0.01286886,0.16384851,0.26536085,0.01655135,0.01198478,0.46129163,1.19561272,2.17707425
1.98399200,2.74243336,0.01232640,0.15418951,0.25193604,0.01551062,0.01148911,0.43702809,1.13226333,2.08669551
