energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.03351676,1.60839271,0.38459227,0.29910155,0.77723415,0.20011437,0.00001372,0.54228338,0.00334835,0.59901910
-5.02751376,1.57142334,0.37762182,0.29488479,0.75889929,0.19275441,0.00001136,0.52916685,0.00297552,0.58872070
-5.02151076,1.53647340,0.37046600,0.29049129,0.74239564,0.18602389,0.00000934,0.51747960,0.00263681,0.57817833
-5.01550775,1.50313125,0.36316574,0.28593407,0.72729380,0.17982297,0.00000763,0.50691550,0.00233048,0.56743418
-5.00950475,1.47104556,0.35577094,0.28123541,0.71320706,0.17405921,0.00000618,0.49719441,0.00205457,0.55654588
-5.00350175,1.43993647,0.34834148,0.27642766,0.69979868,0.16864971,0.00000498,0.48806823,0.00180697,0.54558836
-4.99749875,1.40960352,0.34094790,0.27155362,0.68678710,0.16352263,0.00000398,0.47932556,0.00158552,0.53465485
-4.99149575,1.37993002,0.33367140,0.26666652,0.67394898,0.15861828,0.00000316,0.47079478,0.00138804,0.52385697
-4.98549275,1.35088393,0.32660324,0.26182947,0.66112019,0.15388971,0.00000250,0.46234572,0.00121241,0.51332379
-4.97948974,1.32251503,0.31984344,0.25711446,0.64819476,0.14930281,0.00000195,0.45388972,0.00105658,0.50319980
-4.97348674,1.29494863,0.31349877,0.25260080,0.63512190,0.14483588,0.00000152,0.44537828,0.00091862,0.49364185
-4.96748374,1.26837602,0.30768005,0.24837315,0.62190136,0.14047886,0.00000117,0.43680034,0.00079673,0.48481497
-4.96148074,1.24304180,0.30249878,0.24451902,0.60857714,0.13623204,0.00000090,0.42817826,0.00068925,0.47688730
-4.95547774,1.21922878,0.29806337,0.24112592,0.59523001,0.13210456,0.00000069,0.41956279,0.00059465,0.47002414
-4.94947474,1.19724081,0.29447477,0.23827817,0.58196905,0.12811252,0.00000052,0.41102709,0.00051155,0.46438145
-4.94347174,1.17738431,0.29182210,0.23605354,0.56892243,0.12427696,0.00000039,0.40266020,0.00043871,0.46009898
-4.93746873,1.15994927,0.29017814,0.23451977,0.55622807,0.12062169,0.00000029,0.39456001,0.00037500,0.45729332
-4.93146573,1.14519045,0.28959505,0.23373116,0.54402426,0.11717114,0.00000021,0.38682633,0.00031941,0.45605122
-4.92546273,1.13330985,0.29010057,0.23372547,0.53244087,0.11394826,0.00000016,0.37955401,0.00027104,0.45642359
-4.91945973,1.12444104,0.29169485,0.23452113,0.52159134,0.11097254,0.00000012,0.37282674,0.00022908,0.45842039
