energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
0.33316658,0.42295578,0.04248299,0.00005856,0.43917412,0.00000000,0.41415075,0.00211192
0.33916958,0.41396439,0.05007250,0.00005858,0.42046828,0.00000000,0.39916489,0.00213861
0.34517259,0.40638869,0.05870286,0.00005894,0.40219533,0.00000000,0.38487719,0.00218012
0.35117559,0.40073474,0.06843473,0.00005973,0.38485306,0.00000000,0.37176341,0.00223914
0.35717859,0.39746469,0.07931647,0.00006102,0.36889886,0.00000000,0.36025949,0.00231806
0.36318159,0.39698399,0.09138132,0.00006285,0.35473781,0.00000000,0.35074986,0.00241893
0.36918459,0.39963066,0.10464481,0.00006530,0.34271282,0.00000000,0.34355781,0.00254340
0.37518759,0.40566718,0.11910262,0.00006838,0.33309736,0.00000000,0.33893830,0.00269264
0.38119060,0.41527502,0.13472897,0.00007212,0.32609080,0.00000000,0.33707325,0.00286731
0.38719360,0.42855226,0.15147579,0.00007654,0.32181645,0.00000000,0.33806959,0.00306759
0.39319660,0.44551408,0.16927266,0.00008162,0.32032224,0.00000000,0.34195987,0.00329310
0.39919960,0.46609625,0.18802774,0.00008734,0.32158403,0.00000000,0.34870551,0.00354300
0.40520260,0.49016137,0.20762962,0.00009367,0.32551108,0.00000000,0.35820232,0.00381599
0.41120560,0.51750745,0.22795014,0.00010055,0.33195365,0.00000000,0.37028807,0.00411038
0.41720860,0.54787859,0.24884808,0.00010794,0.34071213,0.00000000,0.38475173,0.00442416
0.42321161,0.58097700,0.27017352,0.00011575,0.35154742,0.00000000,0.40134389,0.00475508
0.42921461,0.61647598,0.29177279,0.00012392,0.36419199,0.00000000,0.41978793,0.00510077
0.43521761,0.65403300,0.31349361,0.00013236,0.37836123,0.00000000,0.43979135,0.00545878
0.44122061,0.69330227,0.33519026,0.00014099,0.39376449,0.00000000,0.46105675,0.00582671
0.44722361,0.73394619,0.35672830,0.00014973,0.41011549,0.00000000,0.48329195,0.00620231
0.45322661,0.77564489,0.37798873,0.00015849,0.42714146,0.00000000,0.50621868,0.00658348
0.45922961,0.81810348,0.39887111,0.00016719,0.44459090,0.00000000,0.52957964,0.00696838
0.46523262,0.86105653,0.41929552,0.00017577,0.46223944,0.00000000,0.55314330,0.00735542
0.47123562,0.90426960,0.43920313,0.00018415,0.47989370,0.00000000,0.57670654,0.00774328
0.47723862,0.94753775,0.45855533,0.00019228,0.49739310,0.00000000,0.60009487,0.00813088
0.48324162,0.99068118,0.47733143,0.00020009,0.51460958,0.00000000,0.62316041,0.00851731
0.48924462,1.03353852,0.49552497,0.00020754,0.53144542,0.00000000,0.64577779,0.00890181
0.49524762,1.07595807,0.51313907,0.00021458,0.54782936,0.00000000,0.66783834,0.00928365
0.50125063,1.11778805,0.53018087,0.00022118,0.56371149,0.00000000,0.68924317,0.00966205
0.50725363,1.15886635,0.54665569,0.00022728,0.57905717,0.00000000,0.70989553,0.01003606
0.51325663,1.19901097,0.56256115,0.00023285,0.59384059,0.00000000,0.72969320,0.01040451
0.51925963,1.23801186,0.57788182,0.00023786,0.60803842,0.00000000,0.74852156,0.01076590
0.52526263,1.27562493,0.59258477,0.00024225,0.62162390,0.00000000,0.76624788,0.01111837
0.53126563,1.31156907,0.60661638,0.00024598,0.63456207,0.00000000,0.78271744,0.01145965
0.53726863,1.34552639,0.61990075,0.00024901,0.64680610,0.00000000,0.79775180,0.01178705
0.54327164,1.37714608,0.63233974,0.00025130,0.65829522,0.00000000,0.81114964,0.01209753
0.54927464,1.40605174,0.64381492,0.00025278,0.66895430,0.00000000,0.82269002,0.01238772
0.55527764,1.43185188,0.65419109,0.00025342,0.67869496,0.00000000,0.83213822,0.01265405
0.56128064,1.45415291,0.66332137,0.00025317,0.68741812,0.00000000,0.83925364,0.01289285
0.56728364,1.47257408,0.67105339,0.00025199,0.69501780,0.00000000,0.84379949,0.01310048
0.57328664,1.48676302,0.67723622,0.00024986,0.70138565,0.00000000,0.84555354,0.01327349
0.57928964,1.49641135,0.68172766,0.00024675,0.70641604,0.00000000,0.84431937,0.01340874
0.58529265,1.50126880,0.68440119,0.00024266,0.71001104,0.00000000,0.83993734,0.01350356
0.59129565,1.50115537,0.68515238,0.00023760,0.71208515,0.00000000,0.83229451,0.01355583
0.59729865,1.49597034,0.68390415,0.00023159,0.71256918,0.00000000,0.82133299,0.01356412
0.60330165,1.48569788,0.68061061,0.00022467,0.71141321,0.00000000,0.80705606,0.01352769
0.60930465,1.47040859,0.67525933,0.00021690,0.70858829,0.00000000,0.78953169,0.01344655
0.61530765,1.45025721,0.66787189,0.00020836,0.70408700,0.00000000,0.76889322,0.01332144
0.62131066,1.42547658,0.65850271,0.00019914,0.69792273,0.00000000,0.74533716,0.01315380
0.62731366,1.39636833,0.64723639,0.00018934,0.69012802,0.00000000,0.71911831,0.01294566
0.63331666,1.36329102,0.63418380,0.00017906,0.68075208,0.00000000,0.69054226,0.01269961
0.63931966,1.32664655,0.61947725,0.00016844,0.66985781,0.00000000,0.65995610,0.01241861
0.64532266,1.28686580,0.60326501,0.00015760,0.65751874,0.00000000,0.62773750,0.01210593
0.65132566,1.24439432,0.58570582,0.00014665,0.64381609,0.00000000,0.59428301,0.01176501
0.65732866,1.19967906,0.56696352,0.00013572,0.62883636,0.00000000,0.55999617,0.01139938
0.66333167,1.15315672,0.54720223,0.00012492,0.61266959,0.00000000,0.52527593,0.01101250
