energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
1.20360180,0.23984054,0.00987711,0.01593769,0.00000000,0.02350911,0.05843493,0.01106447,0.00031419,0.25816240
1.20960480,0.24689549,0.00780331,0.01711171,0.00000000,0.01860886,0.05659814,0.01061586,0.00024588,0.27525052
1.21560780,0.25537730,0.00612640,0.01827723,0.00000000,0.01467613,0.05562430,0.01034538,0.00019104,0.29247957
1.22161081,0.26475346,0.00478325,0.01941084,0.00000000,0.01156330,0.05532213,0.01021568,0.00014737,0.30943723
1.22761381,0.27452765,0.00371873,0.02048936,0.00000000,0.00914446,0.05551976,0.01019333,0.00011286,0.32572031
1.23361681,0.28424654,0.00288551,0.02149042,0.00000000,0.00731516,0.05606557,0.01024908,0.00008581,0.34094364
1.23961981,0.29350664,0.00224365,0.02239304,0.00000000,0.00599196,0.05682901,0.01035796,0.00006478,0.35474937
1.24562281,0.30196110,0.00176017,0.02317828,0.00000000,0.00511184,0.05770112,0.01049951,0.00004855,0.36681638
1.25162581,0.30932630,0.00140853,0.02382982,0.00000000,0.00463171,0.05859518,0.01065782,0.00003613,0.37686951
1.25762881,0.31538810,0.00116808,0.02433456,0.00000000,0.00452800,0.05944714,0.01082174,0.00002669,0.38468803
1.26363182,0.32000752,0.00102362,0.02468309,0.00000000,0.00479653,0.06021616,0.01098499,0.00001957,0.39011322
1.26963482,0.32312576,0.00096492,0.02487016,0.00000000,0.00545256,0.06088503,0.01114626,0.00001425,0.39305458
1.27563782,0.32476817,0.00098638,0.02489494,0.00000000,0.00653116,0.06146054,0.01130943,0.00001030,0.39349446
1.28164082,0.32504717,0.00108671,0.02476127,0.00000000,0.00808781,0.06197378,0.01148363,0.00000740,0.39149085
1.28764382,0.32416385,0.00126867,0.02447775,0.00000000,0.01019918,0.06248026,0.01168342,0.00000527,0.38717834
1.29364682,0.32240829,0.00153892,0.02405768,0.00000000,0.01296414,0.06305988,0.01192883,0.00000373,0.38076700
1.29964982,0.32015827,0.00190792,0.02351891,0.00000000,0.01650467,0.06381664,0.01224545,0.00000262,0.37253940
1.30565283,0.31787656,0.00238978,0.02288356,0.00000000,0.02096677,0.06487807,0.01266443,0.00000183,0.36284590
1.31165583,0.31610658,0.00300224,0.02217772,0.00000000,0.02652112,0.06639429,0.01322238,0.00000126,0.35209826
1.31765883,0.31546652,0.00376651,0.02143091,0.00000000,0.03336326,0.06853666,0.01396125,0.00000087,0.34076187
1.32366183,0.31664172,0.00470719,0.02067563,0.00000000,0.04171325,0.07149591,0.01492797,0.00000059,0.32934693
1.32966483,0.32037548,0.00585205,0.01994678,0.00000000,0.05181442,0.07547977,0.01617409,0.00000040,0.31839873
1.33566783,0.32745807,0.00723172,0.01928105,0.00000000,0.06393122,0.08070988,0.01775516,0.00000027,0.30848726
1.34167084,0.33871396,0.00887926,0.01871629,0.00000000,0.07834586,0.08741809,0.01972994,0.00000018,0.30019645
1.34767384,0.35498717,0.01082960,0.01829089,0.00000000,0.09535359,0.09584193,0.02215943,0.00000012,0.29411312
1.35367684,0.37712481,0.01311879,0.01804308,0.00000000,0.11525665,0.10621943,0.02510565,0.00000008,0.29081585
1.35967984,0.40595861,0.01578311,0.01801030,0.00000000,0.13835663,0.11878303,0.02863019,0.00000005,0.29086372
1.36568284,0.44228471,0.01885794,0.01822851,0.00000000,0.16494548,0.13375283,0.03279257,0.00000003,0.29478516
1.37168584,0.48684178,0.02237653,0.01873151,0.00000000,0.19529514,0.15132922,0.03764835,0.00000002,0.30306676
1.37768884,0.54028775,0.02636857,0.01955022,0.00000000,0.22964612,0.17168494,0.04324708,0.00000001,0.31614231
1.38369185,0.60317568,0.03085863,0.02071196,0.00000000,0.26819519,0.19495688,0.04963014,0.00000001,0.33438189
1.38969485,0.67592933,0.03586463,0.02223978,0.00000000,0.31108279,0.22123784,0.05682848,0.00000001,0.35808136
