energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.01550775,0.47822597,0.04221584,0.00493725,0.00019377,0.03675796,0.00120149,0.09921816,0.02682214,0.36402443
5.02151076,0.45306746,0.03754618,0.00471150,0.00017712,0.03449391,0.00111725,0.09592668,0.02433402,0.34534297
5.02751376,0.43115963,0.03332899,0.00451904,0.00016370,0.03251305,0.00105763,0.09319064,0.02213503,0.32904675
5.03351676,0.41248729,0.02959578,0.00435969,0.00015410,0.03082207,0.00102770,0.09098399,0.02024957,0.31510079
5.03951976,0.39695827,0.02637458,0.00423242,0.00014900,0.02942092,0.00103349,0.08926555,0.01869996,0.30340903
5.04552276,0.38441678,0.02369192,0.00413549,0.00014921,0.02830373,0.00108218,0.08798179,0.01750765,0.29382389
5.05152576,0.37465827,0.02157508,0.00406654,0.00015570,0.02745981,0.00118250,0.08706991,0.01669468,0.28615691
5.05752876,0.36744519,0.02005455,0.00402280,0.00016962,0.02687473,0.00134495,0.08646107,0.01628515,0.28019002
5.06353177,0.36252302,0.01916656,0.00400117,0.00019239,0.02653138,0.00158218,0.08608369,0.01630683,0.27568696
5.06953477,0.35963582,0.01895571,0.00399842,0.00022571,0.02641105,0.00190932,0.08586658,0.01679269,0.27240412
5.07553777,0.35854078,0.01947747,0.00401127,0.00027162,0.02649432,0.00234431,0.08574189,0.01778245,0.27010082
5.08154077,0.35902131,0.02080060,0.00403651,0.00033255,0.02676200,0.00290820,0.08564770,0.01932394,0.26854818
5.08754377,0.36089827,0.02300927,0.00407114,0.00041134,0.02719582,0.00362540,0.08553016,0.02147437,0.26753683
5.09354677,0.36403905,0.02620487,0.00411238,0.00051131,0.02777908,0.00452393,0.08534520,0.02430127,0.26688291
5.09954977,0.36836438,0.03050732,0.00415781,0.00063628,0.02849711,0.00563544,0.08505977,0.02788324,0.26643251
5.10555278,0.37385271,0.03605584,0.00420533,0.00079061,0.02933762,0.00699526,0.08465247,0.03231019,0.26606444
5.11155578,0.38054213,0.04300894,0.00425325,0.00097918,0.03029086,0.00864223,0.08411385,0.03768334,0.26569153
5.11755878,0.38852999,0.05154367,0.00430026,0.00120745,0.03134975,0.01061832,0.08344611,0.04411454,0.26526039
5.12356178,0.39797012,0.06185385,0.00434544,0.00148137,0.03250985,0.01296814,0.08266247,0.05172517,0.26475001
5.12956478,0.40906804,0.07414728,0.00438823,0.00180742,0.03376915,0.01573817,0.08178626,0.06064444,0.26416919
5.13556778,0.42207402,0.08864183,0.00442842,0.00219252,0.03512793,0.01897576,0.08084957,0.07100702,0.26355327
5.14157079,0.43727440,0.10556028,0.00446612,0.00264395,0.03658836,0.02272788,0.07989188,0.08295016,0.26296000
5.14757379,0.45498124,0.12512407,0.00450171,0.00316929,0.03815415,0.02703971,0.07895843,0.09661011,0.26246513
5.15357679,0.47552056,0.14754584,0.00453583,0.00377626,0.03983007,0.03195289,0.07809850,0.11211812,0.26215758
5.15957979,0.49921936,0.17302092,0.00456928,0.00447262,0.04162140,0.03750371,0.07736374,0.12959593,0.26213457
5.16558279,0.52639176,0.20171804,0.00460305,0.00526602,0.04353339,0.04372107,0.07680642,0.14915093,0.26249665
5.17158579,0.55732440,0.23376935,0.00463822,0.00616378,0.04557061,0.05062446,0.07647779,0.17087120,0.26334293
5.17758879,0.59226168,0.26926022,0.00467594,0.00717278,0.04773632,0.05822187,0.07642644,0.19482056,0.26476638
5.18359180,0.63139097,0.30821912,0.00471737,0.00829925,0.05003181,0.06650786,0.07669687,0.22103375,0.26684950
5.18959480,0.67482849,0.35060800,0.00476364,0.00954858,0.05245576,0.07546177,0.07732799,0.24951218,0.26966030
5.19559780,0.72260610,0.39631381,0.00481581,0.01092513,0.05500363,0.08504632,0.07835195,0.28022021,0.27324862
5.20160080,0.77465975,0.44514147,0.00487481,0.01243213,0.05766715,0.09520649,0.07979296,0.31308238,0.27764305
5.20760380,0.83081995,0.49680886,0.00494138,0.01407143,0.06043383,0.10586902,0.08166631,0.34798155,0.28284830
5.21360680,0.89080489,0.55094437,0.00501607,0.01584345,0.06328670,0.11694240,0.08397760,0.38475837,0.28884330
5.21960980,0.95421673,0.60708720,0.00509919,0.01774702,0.06620408,0.12831756,0.08672211,0.42321188,0.29557993
5.22561281,1.02054134,0.66469094,0.00519073,0.01977931,0.06915962,0.13986916,0.08988445,0.46310149,0.30298266
5.23161581,1.08915197,0.72313042,0.00529044,0.02193574,0.07212251,0.15145765,0.09343836,0.50415019,0.31094896
5.23761881,1.15931698,0.78171188,0.00539771,0.02420999,0.07505785,0.16293191,0.09734689,0.54604893,0.31935068
5.24362181,1.23021157,0.83968645,0.00551167,0.02659393,0.07792726,0.17413253,0.10156272,0.58846208,0.32803637
5.24962481,1.30093352,0.89626642,0.00563113,0.02907762,0.08068968,0.18489560,0.10602889,0.63103361,0.33683451
5.25562781,1.37052241,0.95064409,0.00575467,0.03164937,0.08330232,0.19505681,0.11067970,0.67339391,0.34555755
5.26163082,1.43798192,1.00201234,0.00588064,0.03429574,0.08572178,0.20445590,0.11544203,0.71516690,0.35400688
5.26763382,1.50230449,1.04958635,0.00600723,0.03700162,0.08790521,0.21294106,0.12023675,0.75597714,0.36197821
5.27363682,1.56249738,1.09262557,0.00613253,0.03975026,0.08981159,0.22037334,0.12498053,0.79545671,0.36926761
5.27963982,1.61760935,1.13045511,0.00625459,0.04252340,0.09140300,0.22663066,0.12958767,0.83325171,0.37567761
5.28564282,1.66675679,1.16248555,0.00637151,0.04530135,0.09264574,0.23161151,0.13397225,0.86902799,0.38102342
