energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.80390195,2.75368633,0.04138352,0.02177073,0.11400338,1.56037002,0.73566530,0.93890604,0.04360186,0.05306068
-1.79789895,2.69695722,0.04000764,0.02127916,0.10592337,1.54231223,0.72329505,0.90942392,0.04188492,0.04949457
-1.79189595,2.64949418,0.03862638,0.02097758,0.09892531,1.52977446,0.71166080,0.88275018,0.04026345,0.04632970
-1.78589295,2.61115278,0.03723606,0.02086215,0.09297923,1.52285075,0.70067288,0.85867595,0.03873599,0.04355311
-1.77988994,2.58159998,0.03583449,0.02092619,0.08804195,1.52148105,0.69024439,0.83696794,0.03729929,0.04114819
-1.77388694,2.56033145,0.03442116,0.02116065,0.08405940,1.52545522,0.68029485,0.81737906,0.03594875,0.03909576
-1.76788394,2.54669119,0.03299732,0.02155442,0.08096893,1.53442130,0.67075257,0.79965748,0.03467863,0.03737502
-1.76188094,2.53989330,0.03156602,0.02209482,0.07870135,1.54789776,0.66155590,0.78355407,0.03348244,0.03596444
-1.75587794,2.53904578,0.03013191,0.02276796,0.07718288,1.56528964,0.65265353,0.76882829,0.03235310,0.03484242
-1.74987494,2.54317619,0.02870106,0.02355923,0.07633684,1.58590817,0.64400418,0.75525283,0.03128315,0.03398793
-1.74387194,2.55125901,0.02728061,0.02445358,0.07608519,1.60899345,0.63557573,0.74261705,0.03026498,0.03338094
-1.73786893,2.56224418,0.02587850,0.02543598,0.07634986,1.63373941,0.62734422,0.73072962,0.02929091,0.03300266
-1.73186593,2.57508648,0.02450308,0.02649168,0.07705391,1.65932043,0.61929278,0.71942041,0.02835338,0.03283584
-1.72586293,2.58877483,0.02316281,0.02760651,0.07812258,1.68491859,0.61141078,0.70854197,0.02744505,0.03286472
-1.71985993,2.60236088,0.02186594,0.02876710,0.07948422,1.70975067,0.60369309,0.69797053,0.02655897,0.03307511
-1.71385693,2.61498580,0.02062026,0.02996102,0.08107111,1.73309384,0.59613972,0.68760677,0.02568864,0.03345422
