energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
5.27963982,2.37868631,0.01763372,0.18393568,0.74022847,0.00000000,0.70138409,1.68104504
5.28564282,2.34487454,0.01823988,0.18136481,0.70223890,0.00000000,0.69644472,1.66163628
5.29164582,2.31032373,0.01885055,0.17870265,0.66340825,0.00000000,0.68949219,1.64468209
5.29764882,2.27579807,0.01946647,0.17607319,0.62429963,0.00000000,0.68067597,1.63064119
5.30365183,2.24206533,0.02008885,0.17359598,0.58544649,0.00000000,0.67018857,1.61993249
5.30965483,2.20986220,0.02071907,0.17138239,0.54733962,0.00000000,0.65825584,1.61290956
5.31565783,2.17986070,0.02135827,0.16953232,0.51041639,0.00000000,0.64512629,1.60983682
5.32166083,2.15263757,0.02200701,0.16813151,0.47505237,0.00000000,0.63105993,1.61086854
5.32766383,2.12864815,0.02266495,0.16724957,0.44155573,0.00000000,0.61631737,1.61603213
5.33366683,2.10820624,0.02333058,0.16693875,0.41016429,0.00000000,0.60114954,1.62521673
5.33966983,2.09147091,0.02400105,0.16723354,0.38104522,0.00000000,0.58578869,1.63816787
5.34567284,2.07844104,0.02467202,0.16815102,0.35429730,0.00000000,0.57044097,1.65448873
5.35167584,2.06895795,0.02533774,0.16969200,0.32995535,0.00000000,0.55528098,1.67364817
5.35767884,2.06271583,0.02599113,0.17184272,0.30799660,0.00000000,0.54044851,1.69499528
5.36368184,2.05927962,0.02662399,0.17457718,0.28834853,0.00000000,0.52604748,1.71777994
5.36968484,2.05810917,0.02722736,0.17785969,0.27089781,0.00000000,0.51214699,1.74117846
5.37568784,2.05858865,0.02779186,0.18164784,0.25549985,0.00000000,0.49878441,1.76432320
5.38169085,2.06005943,0.02830815,0.18589530,0.24198855,0.00000000,0.48597015,1.78633476
5.38769385,2.06185485,0.02876741,0.19055463,0.23018588,0.00000000,0.47369376,1.80635526
5.39369685,2.06333498,0.02916178,0.19557981,0.21991084,0.00000000,0.46193083,1.82358112
5.39969985,2.06391967,0.02948483,0.20092832,0.21098757,0.00000000,0.45065042,1.83729391
5.40570285,2.06311817,0.02973189,0.20656276,0.20325225,0.00000000,0.43982242,1.84688774
5.41170585,2.06055397,0.02990044,0.21245199,0.19655877,0.00000000,0.42942436,1.85189211
5.41770885,2.05598365,0.02999024,0.21857156,0.19078283,0.00000000,0.41944742,1.85198921
5.42371186,2.04930913,0.03000350,0.22490372,0.18582466,0.00000000,0.40990132,1.84702507
5.42971486,2.04058262,0.02994485,0.23143690,0.18161009,0.00000000,0.40081772,1.83701423
5.43571786,2.03000469,0.02982128,0.23816478,0.17809041,0.00000000,0.39225213,1.82213797
5.44172086,2.01791542,0.02964194,0.24508503,0.17524073,0.00000000,0.38428432,1.80273641
5.44772386,2.00477960,0.02941787,0.25219791,0.17305737,0.00000000,0.37701716,1.77929512
5.45372686,1.99116675,0.02916166,0.25950475,0.17155428,0.00000000,0.37057409,1.75242698
5.45972986,1.97772725,0.02888714,0.26700651,0.17075873,0.00000000,0.36509539,1.72285043
5.46573287,1.96516563,0.02860899,0.27470241,0.17070656,0.00000000,0.36073350,1.69136492
5.47173587,1.95421252,0.02834233,0.28258876,0.17143719,0.00000000,0.35764761,1.65882492
5.47773887,1.94559622,0.02810242,0.29065805,0.17298863,0.00000000,0.35599778,1.62611335
5.48374187,1.94001526,0.02790434,0.29889820,0.17539266,0.00000000,0.35593885,1.59411541
5.48974487,1.93811275,0.02776270,0.30729203,0.17867046,0.00000000,0.35761443,1.56369368
5.49574787,1.94045337,0.02769144,0.31581696,0.18282870,0.00000000,0.36115099,1.53566510
5.50175088,1.94750352,0.02770362,0.32444476,0.18785640,0.00000000,0.36665256,1.51078039
5.50775388,1.95961515,0.02781131,0.33314136,0.19372254,0.00000000,0.37419582,1.48970612
5.51375688,1.97701336,0.02802547,0.34186675,0.20037454,0.00000000,0.38382598,1.47300985
5.51975988,1.99978794,0.02835584,0.35057477,0.20773760,0.00000000,0.39555338,1.46114813
5.52576288,2.02788879,0.02881085,0.35921289,0.21571502,0.00000000,0.40935104,1.45445766
