energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
4.28314157,0.42239110,0.33458115,0.00000000,0.01639273,0.07131925,0.31122658,0.00539551
4.28914457,0.41256725,0.31675439,0.00000000,0.01671987,0.07275155,0.31019020,0.00525935
4.29514757,0.40515919,0.29988423,0.00000000,0.01716512,0.07472179,0.31190838,0.00514680
4.30115058,0.40049415,0.28426264,0.00000000,0.01773385,0.07724557,0.31672352,0.00506137
4.30715358,0.39887538,0.27016165,0.00000000,0.01843082,0.08033509,0.32496607,0.00500607
4.31315658,0.40057480,0.25782940,0.00000000,0.01925967,0.08399845,0.33694567,0.00498336
4.31915958,0.40582673,0.24748698,0.00000000,0.02022243,0.08823939,0.35294243,0.00499503
4.32516258,0.41482305,0.23932592,0.00000000,0.02131917,0.09305751,0.37319871,0.00504224
4.33116558,0.42770948,0.23350631,0.00000000,0.02254767,0.09844901,0.39791122,0.00512548
4.33716858,0.44458316,0.23015531,0.00000000,0.02390326,0.10440777,0.42722376,0.00524461
4.34317159,0.46549132,0.22936610,0.00000000,0.02537872,0.11092692,0.46122062,0.00539885
4.34917459,0.49043095,0.23119697,0.00000000,0.02696436,0.11800051,0.49992075,0.00558689
4.35517759,0.51934942,0.23567062,0.00000000,0.02864811,0.12562543,0.54327293,0.00580693
4.36118059,0.55214576,0.24277353,0.00000000,0.03041583,0.13380332,0.59115195,0.00605676
4.36718359,0.58867268,0.25245540,0.00000000,0.03225161,0.14254224,0.64335607,0.00633388
4.37318659,0.62873901,0.26462860,0.00000000,0.03413821,0.15185817,0.69960594,0.00663554
4.37918959,0.67211251,0.27916788,0.00000000,0.03605753,0.16177600,0.75954502,0.00695889
4.38519260,0.71852303,0.29591018,0.00000000,0.03799114,0.17233002,0.82274171,0.00730106
4.39119560,0.76766592,0.31465491,0.00000000,0.03992077,0.18356366,0.88869337,0.00765920
4.39719860,0.81920555,0.33516470,0.00000000,0.04182888,0.19552857,0.95683222,0.00803065
4.40320160,0.87277916,0.35716688,0.00000000,0.04369909,0.20828295,1.02653314,0.00841291
4.40920460,0.92800076,0.38035574,0.00000000,0.04551662,0.22188903,1.09712351,0.00880377
4.41520760,0.98446541,0.40439590,0.00000000,0.04726866,0.23640999,1.16789477,0.00920132
4.42121061,1.04175368,0.42892670,0.00000000,0.04894461,0.25190612,1.23811576,0.00960397
4.42721361,1.09943646,0.45356780,0.00000000,0.05053625,0.26843069,1.30704737,0.01001048
4.43321661,1.15708009,0.47792591,0.00000000,0.05203782,0.28602539,1.37395840,0.01041996
