energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
4.16908454,1.37136193,0.00314685,0.11231634,0.02789174,0.11254356,0.45577218,1.40771796
4.17508754,1.35735198,0.00339232,0.11097360,0.03118532,0.11294185,0.46986687,1.38908843
4.18109055,1.34847027,0.00364688,0.11043993,0.03464828,0.11384060,0.48554063,1.37538435
4.18709355,1.34477465,0.00390697,0.11072242,0.03825477,0.11521534,0.50265552,1.36671314
4.19309655,1.34616708,0.00416861,0.11180911,0.04197421,0.11702325,0.52102148,1.36304258
4.19909955,1.35240314,0.00442743,0.11366966,0.04577176,0.11920537,0.54040359,1.36420816
4.20510255,1.36310747,0.00467881,0.11625668,0.04960892,0.12168943,0.56053180,1.36992585
4.21110555,1.37779418,0.00491802,0.11950750,0.05344425,0.12439324,0.58111230,1.37980929
4.21710855,1.39589106,0.00514038,0.12334637,0.05723441,0.12722843,0.60184030,1.39339044
4.22311156,1.41676617,0.00534139,0.12768697,0.06093513,0.13010440,0.62241344,1.41014235
4.22911456,1.43975567,0.00551692,0.13243515,0.06450241,0.13293220,0.64254517,1.42950294
4.23511756,1.46419139,0.00566331,0.13749176,0.06789374,0.13562832,0.66197749,1.45089850
4.24112056,1.48942698,0.00577761,0.14275558,0.07106927,0.13811806,0.68049248,1.47376590
4.24712356,1.51486148,0.00585762,0.14812607,0.07399306,0.14033838,0.69792180,1.49757244
4.25312656,1.53995954,0.00590202,0.15350615,0.07663412,0.14224022,0.71415399,1.52183268
4.25912956,1.56426747,0.00591046,0.15880466,0.07896737,0.14379005,0.72913898,1.54612170
4.26513257,1.58742490,0.00588360,0.16393866,0.08097453,0.14497070,0.74288979,1.57008443
4.27113557,1.60917165,0.00582311,0.16883543,0.08264461,0.14578150,0.75548111,1.59344111
4.27713857,1.62935022,0.00573166,0.17343416,0.08397437,0.14623762,0.76704522,1.61598901
4.28314157,1.64790400,0.00561287,0.17768731,0.08496842,0.14636893,0.77776515,1.63760082
4.28914457,1.66487177,0.00547123,0.18156165,0.08563914,0.14621818,0.78786573,1.65822017
4.29514757,1.68037917,0.00531201,0.18503895,0.08600626,0.14583890,0.79760293,1.67785502
4.30115058,1.69462793,0.00514113,0.18811630,0.08609632,0.14529294,0.80725209,1.69656954
4.30715358,1.70788345,0.00496502,0.19080614,0.08594186,0.14464796,0.81709566,1.71447517
4.31315658,1.72046158,0.00479050,0.19313588,0.08558038,0.14397484,0.82741116,1.73172150
4.31915958,1.73271533,0.00462464,0.19514719,0.08505323,0.14334527,0.83845975,1.74848740
4.32516258,1.74502176,0.00447460,0.19689501,0.08440433,0.14282952,0.85047620,1.76497281
4.33116558,1.75776975,0.00434751,0.19844617,0.08367884,0.14249452,0.86366041,1.78139149
4.33716858,1.77134863,0.00425036,0.19987764,0.08292182,0.14240220,0.87817091,1.79796447
4.34317159,1.78613781,0.00418983,0.20127457,0.08217689,0.14260821,0.89412041,1.81491446
4.34917459,1.80249737,0.00417226,0.20272794,0.08148494,0.14316095,0.91157342,1.83246064
4.35517759,1.82075928,0.00420348,0.20433191,0.08088297,0.14410081,0.93054573,1.85081368
4.36118059,1.84121912,0.00428875,0.20618101,0.08040305,0.14545969,0.95100558,1.87017054
