energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.83791896,1.68765016,-1.58344171,0.00139859,-0.00182845,0.01659388,-0.07939519,0.50439621,-0.48183517,0.25356307,-0.20293676,0.41841692,-0.53574888,0.29083812,-0.13700277,0.01079113,-0.01369202,0.99800141,-0.94111361
-5.83191596,1.60894788,-1.55102784,0.00127334,-0.00160517,0.01555633,-0.07497054,0.47989018,-0.47603949,0.24174159,-0.20287630,0.39651349,-0.52144323,0.27836032,-0.13379107,0.01036680,-0.01280533,0.95161647,-0.92571856
-5.82591296,1.52451214,-1.52256434,0.00115532,-0.00141780,0.01453374,-0.07048520,0.45382771,-0.47167538,0.22901478,-0.20364728,0.37374014,-0.50745669,0.26469574,-0.13095507,0.00989745,-0.01195423,0.90180633,-0.91286834
-5.81990995,1.43565186,-1.49855110,0.00104423,-0.00126203,0.01352859,-0.06600005,0.42662988,-0.46877907,0.21558421,-0.20529285,0.35040003,-0.49404407,0.25007252,-0.12854944,0.00938927,-0.01114551,0.84936500,-0.90282170
-5.81390695,1.34374594,-1.47936608,0.00093988,-0.00113375,0.01254482,-0.06157277,0.39873235,-0.46734915,0.20166143,-0.20783427,0.32681141,-0.48142712,0.23473278,-0.12661769,0.00884939,-0.01038569,0.79512606,-0.89576242
-5.80790395,1.25019948,-1.46524809,0.00084214,-0.00102908,0.01158753,-0.05725632,0.37057256,-0.46734474,0.18746132,-0.21126789,0.30329757,-0.46978681,0.21892493,-0.12519056,0.00828558,-0.00968092,0.73993665,-0.89178992
-5.80190095,1.15640182,-1.45628411,0.00075094,-0.00094444,0.01066260,-0.05309764,0.34257761,-0.46868485,0.17319560,-0.21556289,0.28017711,-0.45925733,0.20289619,-0.12428490,0.00770594,-0.00903682,0.68463261,-0.89091259
-5.79589795,1.06368791,-1.45240231,0.00066623,-0.00087654,0.00977634,-0.04913671,0.31515333,-0.47124911,0.15906708,-0.22066004,0.25775497,-0.44992197,0.18688565,-0.12390294,0.00711864,-0.00845837,0.63001569,-0.89304453
-5.78989495,0.97330440,-1.45337103,0.00058794,-0.00082240,0.00893517,-0.04540582,0.28867475,-0.47487993,0.14526449,-0.22647153,0.23631450,-0.44181132,0.17111817,-0.12403213,0.00653164,-0.00794985,0.57683356,-0.89800574
-5.78389195,0.88638135,-1.45880410,0.00051599,-0.00077939,0.00814529,-0.04192926,0.26347833,-0.47938615,0.13195835,-0.23288199,0.21611081,-0.43490358,0.15579914,-0.12464552,0.00595245,-0.00751474,0.52576320,-0.90552609
-5.77788894,0.80391016,-1.46817224,0.00045027,-0.00074516,0.00741244,-0.03872320,0.23985594,-0.48454801,0.11929772,-0.23975071,0.19736541,-0.42912716,0.14111045,-0.12570266,0.00538797,-0.00715572,0.47739787,-0.91525285
-5.77188594,0.72672802,-1.48082015,0.00039063,-0.00071766,0.00674164,-0.03579600,0.21805075,-0.49012336,0.10740806,-0.24691494,0.18026237,-0.42436539,0.12720751,-0.12715086,0.00484430,-0.00687458,0.43223804,-0.92676143
-5.76588294,0.65550874,-1.49598857,0.00033686,-0.00069514,0.00613708,-0.03314873,0.19825484,-0.49585484,0.09639003,-0.25419430,0.16494575,-0.42046295,0.11421744,-0.12892707,0.00432666,-0.00667229,0.39068601,-0.93956907
-5.75987994,0.59075973,-1.51284018,0.00028872,-0.00067610,0.00560196,-0.03077585,0.18060860,-0.50147774,0.08631930,-0.26139599,0.15151847,-0.41723386,0.10223848,-0.13095989,0.00383935,-0.00654894,0.35304413,-0.95315061
-5.75387694,0.53282446,-1.53048830,0.00024593,-0.00065929,0.00513846,-0.02866624,0.16520151,-0.50672821,0.07724711,-0.26832065,0.14004229,-0.41447050,0.09134022,-0.13317193,0.00338570,-0.00650373,0.31951625,-0.96695590
-5.74787394,0.48188973,-1.54802691,0.00020817,-0.00064368,0.00474777,-0.02680415,0.15207430,-0.51135153,0.06920172,-0.27476866,0.13053881,-0.41195331,0.08156489,-0.13548226,0.00296812,-0.00653499,0.29021200,-0.98042778
-5.74187094,0.43799695,-1.56456089,0.00017508,-0.00062844,0.00443006,-0.02517032,0.14122214,-0.51511002,0.06219030,-0.28054653,0.12299143,-0.40946063,0.07292933,-0.13780885,0.00258816,-0.00664018,0.26515333,-0.99302012
-5.73586793,0.40105653,-1.57923489,0.00014631,-0.00061293,0.00418463,-0.02374314,0.13259867,-0.51779028,0.05620139,-0.28547317,0.11734794,-0.40677830,0.06542749,-0.14007098,0.00224660,-0.00681582,0.24428300,-1.00421492
-5.72986493,0.37086453,-1.59125984,0.00012148,-0.00059667,0.00400998,-0.02249970,0.12612065,-0.51920952,0.05120762,-0.28938574,0.11352372,-0.40370854,0.05903343,-0.14219144,0.00194354,-0.00705755,0.22747435,-1.01353789
-5.72386193,0.34712078,-1.59993600,0.00010021,-0.00057930,0.00390400,-0.02141677,0.12167309,-0.51922065,0.04716869,-0.29214482,0.11140534,-0.40007784,0.05370458,-0.14409848,0.00167856,-0.00736007,0.21454190,-1.02057188
