energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
4.52326163,1.70008055,0.32635205,0.00000000,0.76471881,0.31356557,0.14595611,0.35789027
4.52926463,1.70340097,0.34079467,0.00000000,0.74853490,0.31308420,0.14353785,0.36868368
4.53526763,1.70836735,0.35764653,0.00000000,0.73302542,0.31383693,0.14079162,0.38015517
4.54127064,1.71512539,0.37691785,0.00000000,0.71839259,0.31585370,0.13774064,0.39221908
4.54727364,1.72373023,0.39856744,0.00000000,0.70479268,0.31912724,0.13440764,0.40476715
4.55327664,1.73415005,0.42250221,0.00000000,0.69233661,0.32361493,0.13081520,0.41767164
4.55927964,1.74627202,0.44857755,0.00000000,0.68109192,0.32924160,0.12698614,0.43078901
4.56528264,1.75990999,0.47659863,0.00000000,0.67108579,0.33590304,0.12294401,0.44396377
4.57128564,1.77481379,0.50632254,0.00000000,0.66230896,0.34347009,0.11871362,0.45703253
4.57728864,1.79067958,0.53746126,0.00000000,0.65472045,0.35179313,0.11432155,0.46982805
4.58329165,1.80716107,0.56968557,0.00000000,0.64825270,0.36070687,0.10979670,0.48218313
4.58929465,1.82388118,0.60262975,0.00000000,0.64281714,0.37003515,0.10517060,0.49393435
4.59529765,1.84044398,0.63589720,0.00000000,0.63830988,0.37959589,0.10047772,0.50492555
4.60130065,1.85644660,0.66906690,0.00000000,0.63461742,0.38920582,0.09575553,0.51501096
4.60730365,1.87149098,0.70170075,0.00000000,0.63162219,0.39868504,0.09104445,0.52405804
4.61330665,1.88519513,0.73335166,0.00000000,0.62920769,0.40786130,0.08638754,0.53194992
4.61930965,1.89720366,0.76357236,0.00000000,0.62726327,0.41657388,0.08182999,0.53858746
4.62531266,1.90719757,0.79192473,0.00000000,0.62568815,0.42467709,0.07741852,0.54389099
4.63131566,1.91490268,0.81798940,0.00000000,0.62439475,0.43204316,0.07320043,0.54780157
4.63731866,1.92009672,0.84137552,0.00000000,0.62331110,0.43856468,0.06922266,0.55028192
4.64332166,1.92261470,0.86173022,0.00000000,0.62238226,0.44415626,0.06553063,0.55131681
4.64932466,1.92235234,0.87874754,0.00000000,0.62157067,0.44875562,0.06216704,0.55091311
4.65532766,1.91926722,0.89217649,0.00000000,0.62085546,0.45232389,0.05917063,0.54909924
4.66133067,1.91337779,0.90182774,0.00000000,0.62023065,0.45484515,0.05657496,0.54592422
4.66733367,1.90475982,0.90757893,0.00000000,0.61970240,0.45632525,0.05440724,0.54145612
4.67333667,1.89354070,0.90937802,0.00000000,0.61928532,0.45678988,0.05268726,0.53578006
4.67933967,1.87989152,0.90724464,0.00000000,0.61899817,0.45628205,0.05142653,0.52899575
4.68534267,1.86401739,0.90126944,0.00000000,0.61885910,0.45485891,0.05062759,0.52121460
4.69134567,1.84614646,0.89161118,0.00000000,0.61888068,0.45258830,0.05028355,0.51255654
4.69734867,1.82651813,0.87849187,0.00000000,0.61906517,0.44954494,0.05037796,0.50314663
4.70335168,1.80537119,0.86219016,0.00000000,0.61940014,0.44580662,0.05088493,0.49311163
4.70935468,1.78293266,0.84303307,0.00000000,0.61985497,0.44145057,0.05176957,0.48257667
4.71535768,1.75940784,0.82138673,0.00000000,0.62037842,0.43655009,0.05298879,0.47166221
4.72136068,1.73497248,0.79764627,0.00000000,0.62089745,0.43117182,0.05449233,0.46048133
4.72736368,1.70976743,0.77222548,0.00000000,0.62131757,0.42537364,0.05622413,0.44913771
4.73336668,1.68389624,0.74554656,0.00000000,0.62152473,0.41920345,0.05812389,0.43772421
4.73936968,1.65742591,0.71803042,0.00000000,0.62138870,0.41269878,0.06012883,0.42632211
4.74537269,1.63039076,0.69008788,0.00000000,0.62076787,0.40588731,0.06217558,0.41500127
4.75137569,1.60279912,0.66211190,0.00000000,0.61951523,0.39878828,0.06420212,0.40382083
4.75737869,1.57464243,0.63447117,0.00000000,0.61748509,0.39141451,0.06614971,0.39283068
4.76338169,1.54590602,0.60750505,0.00000000,0.61454038,0.38377509,0.06796467,0.38207329
4.76938469,1.51658073,0.58151978,0.00000000,0.61055983,0.37587833,0.06960006,0.37158600
4.77538769,1.48667460,0.55678604,0.00000000,0.60544475,0.36773485,0.07101702,0.36140332
4.78139070,1.45622349,0.53353743,0.00000000,0.59912488,0.35936049,0.07218586,0.35155924
4.78739370,1.42529992,0.51196999,0.00000000,0.59156303,0.35077893,0.07308680,0.34208920
4.79339670,1.39401934,0.49224225,0.00000000,0.58275796,0.34202361,0.07371025,0.33303165
4.79939970,1.36254315,0.47447584,0.00000000,0.57274555,0.33313894,0.07405674,0.32442899
4.80540270,1.33107836,0.45875629,0.00000000,0.56159804,0.32418071,0.07413643,0.31632781
4.81140570,1.29987351,0.44513406,0.00000000,0.54942128,0.31521552,0.07396824,0.30877850
4.81740870,1.26921132,0.43362564,0.00000000,0.53635032,0.30631935,0.07357866,0.30183403
4.82341171,1.23939829,0.42421465,0.00000000,0.52254350,0.29757536,0.07300024,0.29554827
4.82941471,1.21075200,0.41685318,0.00000000,0.50817539,0.28907105,0.07226991,0.28997368
4.83541771,1.18358693,0.41146321,0.00000000,0.49342906,0.28089493,0.07142717,0.28515882
4.84142071,1.15819967,0.40793837,0.00000000,0.47848814,0.27313302,0.07051223,0.28114563
4.84742371,1.13485450,0.40614616,0.00000000,0.46352911,0.26586522,0.06956418,0.27796688
4.85342671,1.11377024,0.40593058,0.00000000,0.44871426,0.25916209,0.06861929,0.27564379
4.85942971,1.09510920,0.40711547,0.00000000,0.43418576,0.25308184,0.06770953,0.27418414
4.86543272,1.07896881,0.40950839,0.00000000,0.42006107,0.24766805,0.06686128,0.27358093
4.87143572,1.06537641,0.41290502,0.00000000,0.40642987,0.24294802,0.06609438,0.27381159
4.87743872,1.05428742,0.41709411,0.00000000,0.39335278,0.23893191,0.06542152,0.27483796
4.88344172,1.04558681,0.42186261,0.00000000,0.38086151,0.23561257,0.06484792,0.27660686
4.88944472,1.03909366,0.42700097,0.00000000,0.36896067,0.23296623,0.06437144,0.27905113
4.89544772,1.03456842,0.43230812,0.00000000,0.35763078,0.23095365,0.06398287,0.28209133
4.90145073,1.03172222,0.43759613,0.00000000,0.34683230,0.22952188,0.06366670,0.28563755
4.90745373,1.03022765,0.44269405,0.00000000,0.33651032,0.22860637,0.06340196,0.28959155
4.91345673,1.02973027,0.44745085,0.00000000,0.32659961,0.22813324,0.06316340,0.29384886
