energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
4.35517759,1.35246373,0.36046200,0.00007047,1.26073609,0.76452486,0.07802895,0.32327022
4.36118059,1.40696640,0.38450908,0.00007543,1.30864867,0.78668923,0.08668802,0.33995901
4.36718359,1.46276255,0.40890208,0.00008072,1.36030030,0.80912820,0.09565098,0.35749609
4.37318659,1.51983112,0.43353380,0.00008632,1.41601092,0.83195282,0.10482312,0.37582128
4.37918959,1.57811739,0.45829413,0.00009220,1.47605335,0.85526295,0.11409685,0.39485916
4.38519260,1.63752702,0.48307323,0.00009832,1.54063834,0.87914029,0.12335372,0.41451879
4.39119560,1.69792309,0.50776537,0.00010463,1.60990262,0.90364276,0.13246696,0.43469446
4.39719860,1.75912639,0.53227306,0.00011108,1.68390046,0.92880060,0.14130465,0.45526737
4.40320160,1.82091913,0.55651146,0.00011760,1.76259916,0.95461444,0.14973317,0.47610813
4.40920460,1.88305168,0.58041265,0.00012412,1.84587854,0.98105530,0.15762104,0.49708011
4.41520760,1.94525216,0.60392958,0.00013058,1.93353404,1.00806652,0.16484290,0.51804332
4.42121061,2.00723787,0.62703931,0.00013689,2.02528311,1.03556735,0.17128338,0.53885859
4.42721361,2.06872803,0.64974515,0.00014299,2.12077415,1.06345784,0.17684092,0.55939187
4.43321661,2.12945644,0.67207762,0.00014880,2.21959707,1.09162458,0.18143114,0.57951827
4.43921961,2.18918339,0.69409376,0.00015426,2.32129457,1.11994678,0.18498968,0.59912563
4.44522261,2.24770551,0.71587471,0.00015930,2.42537313,1.14830209,0.18747445,0.61811724
4.45122561,2.30486269,0.73752162,0.00016388,2.53131269,1.17657171,0.18886705,0.63641371
4.45722861,2.36054145,0.75914961,0.00016795,2.63857432,1.20464425,0.18917334,0.65395366
4.46323162,2.41467407,0.78088034,0.00017148,2.74660515,1.23241794,0.18842317,0.67069320
4.46923462,2.46723342,0.80283311,0.00017445,2.85484029,1.25980104,0.18666911,0.68660433
4.47523762,2.51822341,0.82511511,0.00017685,2.96270156,1.28671029,0.18398449,0.70167209
4.48124062,2.56766575,0.84781114,0.00017867,3.06959336,1.31306737,0.18046057,0.71589096
4.48724362,2.61558349,0.87097344,0.00017993,3.17489610,1.33879383,0.17620311,0.72926047
4.49324662,2.66198250,0.89461214,0.00018065,3.27795807,1.36380468,0.17132851,0.74178038
4.49924962,2.70683206,0.91868691,0.00018084,3.37808669,1.38800114,0.16595962,0.75344587
4.50525263,2.75004591,0.94310035,0.00018055,3.47454027,1.41126334,0.16022143,0.76424291
4.51125563,2.79146511,0.96769365,0.00017979,3.56652150,1.43344337,0.15423688,0.77414423
4.51725863,2.83084410,0.99224473,0.00017862,3.65317389,1.45435958,0.14812287,0.78310612
4.52326163,2.86784115,1.01646938,0.00017707,3.73358203,1.47379250,0.14198680,0.79106642
4.52926463,2.90201410,1.04002518,0.00017516,3.80677663,1.49148313,0.13592353,0.79794371
4.53526763,2.93282219,1.06251852,0.00017294,3.87174488,1.50713383,0.13001318,0.80363797
4.54127064,2.95963424,1.08351424,0.00017042,3.92744618,1.52041208,0.12431950,0.80803263
4.54727364,2.98174317,1.10254770,0.00016764,3.97283328,1.53095721,0.11888919,0.81099795
4.55327664,2.99838642,1.11913892,0.00016461,4.00687808,1.53838992,0.11375183,0.81239566
4.55927964,3.00877147,1.13280796,0.00016135,4.02860134,1.54232420,0.10892065,0.81208446
4.56528264,3.01210547,1.14309123,0.00015787,4.03710502,1.54238121,0.10439392,0.80992639
4.57128564,3.00762738,1.14955777,0.00015419,4.03160582,1.53820449,0.10015686,0.80579343
4.57728864,2.99464135,1.15182503,0.00015031,4.01146832,1.52947568,0.09618402,0.79957418
4.58329165,2.97254944,1.14957334,0.00014623,3.97623596,1.51592998,0.09244195,0.79118026
4.58929465,2.94088221,1.14255846,0.00014197,3.92565847,1.49737050,0.08889198,0.78055201
4.59529765,2.89932558,1.13062179,0.00013754,3.85971384,1.47368085,0.08549309,0.76766329
4.60130065,2.84774262,1.11369769,0.00013294,3.77862405,1.44483512,0.08220459,0.75252504
4.60730365,2.78618914,1.09181766,0.00012818,3.68286309,1.41090476,0.07898862,0.73518755
4.61330665,2.71492238,1.06511125,0.00012329,3.57315709,1.37206210,0.07581233,0.71574127
4.61930965,2.63440239,1.03380361,0.00011830,3.45047599,1.32858009,0.07264964,0.69431602
4.62531266,2.54528595,0.99820991,0.00011321,3.31601715,1.28082842,0.06948257,0.67107897
4.63131566,2.44841354,0.95872676,0.00010807,3.17118136,1.22926614,0.06630214,0.64623115
4.63731866,2.34478992,0.91582118,0.00010290,3.01754221,1.17443109,0.06310878,0.62000290
4.64332166,2.23555928,0.87001743,0.00009775,2.85681001,1.11692674,0.05991235,0.59264844
4.64932466,2.12197611,0.82188236,0.00009265,2.69079175,1.05740692,0.05673171,0.56443977
4.65532766,2.00537319,0.77200992,0.00008765,2.52134862,0.99655929,0.05359399,0.53566026
4.66133067,1.88712796,0.72100524,0.00008278,2.35035278,0.93508803,0.05053361,0.50659810
4.66733367,1.76862870,0.66946919,0.00007809,2.17964508,0.87369670,0.04759105,0.47753994
