energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-5.47173587,2.40276906,0.39447525,1.81684667,0.08558147,0.00000000,0.41124204,0.00000000
-5.46573287,2.42129584,0.40199490,1.83311548,0.08783921,0.00000000,0.41001824,0.00000000
-5.45972986,2.43969660,0.40844122,1.85026888,0.08995320,0.00000000,0.40818906,0.00000000
-5.45372686,2.45746191,0.41368975,1.86783095,0.09188273,0.00000000,0.40577225,0.00000000
-5.44772386,2.47406403,0.41763375,1.88530207,0.09358888,0.00000000,0.40278562,0.00000000
-5.44172086,2.48896143,0.42018655,1.90216257,0.09503548,0.00000000,0.39924677,0.00000000
-5.43571786,2.50160723,0.42128380,1.91787984,0.09619023,0.00000000,0.39517326,0.00000000
-5.42971486,2.51146140,0.42088563,1.93191882,0.09702572,0.00000000,0.39058311,0.00000000
-5.42371186,2.51800639,0.41897851,1.94375577,0.09752043,0.00000000,0.38549557,0.00000000
-5.41770885,2.52076549,0.41557682,1.95289459,0.09765966,0.00000000,0.37993215,0.00000000
-5.41170585,2.51932297,0.41072395,1.95888506,0.09743632,0.00000000,0.37391774,0.00000000
-5.40570285,2.51334476,0.40449275,1.96134188,0.09685152,0.00000000,0.36748178,0.00000000
-5.39969985,2.50259855,0.39698546,1.95996339,0.09591492,0.00000000,0.36065929,0.00000000
-5.39369685,2.48697169,0.38833273,1.95454884,0.09464482,0.00000000,0.35349172,0.00000000
-5.38769385,2.46648574,0.37869194,1.94501287,0.09306799,0.00000000,0.34602750,0.00000000
-5.38169085,2.44130642,0.36824464,1.93139620,0.09121916,0.00000000,0.33832214,0.00000000
-5.37568784,2.41174800,0.35719321,1.91387165,0.08914022,0.00000000,0.33043795,0.00000000
-5.36968484,2.37827145,0.34575670,1.89274464,0.08687919,0.00000000,0.32244326,0.00000000
-5.36368184,2.34147606,0.33416613,1.86844802,0.08448889,0.00000000,0.31441122,0.00000000
